Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,49.95,51.8,45.71,47.2,25.19,215636037,,
1998-02-28,05,1998-05,1998,2,2,47.8,50.61,46.61,49.92,26.69,148900193,0.05954743946010321,2.790807363368177
1998-03-31,09,1998-09,1998,3,2,49.8,51.0,45.83,49.65,26.55,168668124,-0.005245410266017214,-0.24583642432007433
1998-04-30,13,1998-13,1998,4,1,49.65,57.36,49.38,55.39,29.62,184063156,0.1156308851224106,5.4192678737868265
1998-05-31,17,1998-17,1998,5,1,55.42,61.81,55.21,56.17,30.09,158703722,0.015867656988521217,0.7436688187514011
1998-06-30,22,1998-22,1998,6,1,56.11,57.36,50.67,54.88,29.4,171218483,-0.02293120638085744,-1.0747158937285621
1998-07-31,26,1998-26,1998,7,1,55.45,66.03,53.9,63.34,33.93,181538948,0.15408163265306118,7.221337455761836
1998-08-31,31,1998-31,1998,8,3,64.05,64.47,53.84,53.84,28.89,195921450,-0.14854111405835546,-6.961670201700594
1998-09-30,35,1998-35,1998,9,1,54.02,65.1,52.94,61.42,32.96,200112769,0.14087919695396334,6.602579452101182
1998-10-31,39,1998-39,1998,10,1,59.78,71.61,55.84,70.98,38.09,259710712,0.15564320388349517,7.294523549535675
1998-11-30,44,1998-44,1998,11,2,70.95,81.53,69.67,78.93,42.42,144007840,0.11367813074297706,5.327748215672493
1998-12-31,48,1998-48,1998,12,1,78.15,90.79,77.56,88.13,47.36,148559616,0.1164545025931163,5.457868319459795
1999-01-31,01,1999-01,1999,1,4,88.43,95.24,82.93,87.6,47.07,258033559,-0.006123310810810745,-0.28698095256391687
1999-02-28,05,1999-05,1999,2,1,88.19,88.19,77.32,81.14,43.66,212419797,-0.07244529424261748,-3.395290585905583
1999-03-31,09,1999-09,1999,3,1,81.02,88.88,78.39,84.73,45.59,241313874,0.044205222171324055,2.071764305125397
1999-04-30,13,1999-13,1999,4,1,84.76,102.89,77.92,99.99,53.81,279671531,0.18030269796007903,8.450239030668554
1999-05-31,18,1999-18,1999,5,3,99.43,117.59,98.62,110.9,59.74,222010571,0.11020256457907451,5.164859001122953
1999-06-30,22,1999-22,1999,6,1,108.63,126.2,104.62,123.57,66.57,137105811,0.1143287579511214,5.358241133919861
1999-07-31,26,1999-26,1999,7,1,124.28,133.07,117.23,120.16,64.73,138844366,-0.027640078113264077,-1.295406388955675
1999-08-31,31,1999-31,1999,8,2,118.55,123.92,112.39,119.08,64.21,134162053,-0.008033369380503808,-0.37649958794261174
1999-09-30,35,1999-35,1999,9,1,120.1,131.63,114.36,115.68,62.38,155118140,-0.028500233608472092,-1.3357192607001684
1999-10-31,39,1999-39,1999,10,1,115.68,117.83,85.09,93.93,50.65,319341809,-0.18804103879448542,-8.812911528037368
1999-11-30,44,1999-44,1999,11,1,94.17,105.04,86.04,98.53,53.2,225082463,0.050345508390918114,2.359540843465263
1999-12-31,48,1999-48,1999,12,1,98.05,116.75,97.75,103.13,55.69,165923111,0.046804511278195404,2.1935850793643885
2000-01-31,01,2000-01,2000,1,3,107.49,119.26,104.8,107.31,57.94,183321540,0.04040222661159998,1.893529470728438
