Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,17.67,20.72,17.62,20.25,11.54,1358238800,,
1998-02-28,05,1998-05,1998,2,2,20.62,23.91,20.55,22.42,12.78,1333076000,0.10745233968804158,3.746516541984625
1998-03-31,09,1998-09,1998,3,2,22.45,22.84,18.5,19.52,11.12,1701521600,-0.1298904538341158,-4.528861217431109
1998-04-30,13,1998-13,1998,4,1,19.38,21.27,17.83,20.2,11.52,1546118800,0.03597122302158273,1.2542005365079654
1998-05-31,17,1998-17,1998,5,1,20.23,21.36,17.81,17.86,10.18,1087710800,-0.11631944444444442,-4.055683887673152
1998-06-30,22,1998-22,1998,6,1,17.28,19.41,16.41,18.53,10.57,1440325200,0.03831041257367396,1.3357605321040658
1998-07-31,26,1998-26,1998,7,1,18.67,22.06,18.06,21.11,12.04,1585564800,0.13907284768211903,4.849021676909597
1998-08-31,31,1998-31,1998,8,3,20.91,23.16,17.73,17.8,10.15,1761071600,-0.15697674418604646,-5.4732728064120835
1998-09-30,35,1998-35,1998,9,1,17.73,22.25,17.44,21.44,12.23,1476413200,0.2049261083743843,7.145112494880453
1998-10-31,39,1998-39,1998,10,1,21.06,22.7,18.95,22.3,12.72,1574883200,0.040065412919051635,1.3969517341219586
1998-11-30,44,1998-44,1998,11,2,22.44,28.97,22.39,26.91,15.35,1293696800,0.20676100628930816,7.209089467471963
1998-12-31,48,1998-48,1998,12,1,26.45,31.55,26.42,29.64,16.92,1208676800,0.10228013029315974,3.566178281200438
1999-01-31,01,1999-01,1999,1,4,29.98,35.92,29.92,35.23,20.11,1393780000,0.18853427895981079,6.57358226823873
1999-02-28,05,1999-05,1999,2,1,35.17,35.17,29.72,29.98,17.12,1444981200,-0.14868224763799098,-5.184070462238441
1999-03-31,09,1999-09,1999,3,1,29.7,31.09,27.39,29.72,16.97,1706606800,-0.008761682242990787,-0.30549160264242375
1999-04-30,13,1999-13,1999,4,1,29.98,33.38,27.5,30.59,17.47,1092352800,0.029463759575721893,1.0273062732740563
1999-05-31,18,1999-18,1999,5,3,30.59,32.5,25.5,27.03,15.44,781813800,-0.1161991986262163,-4.051491303794532
1999-06-30,22,1999-22,1999,6,1,26.91,29.94,25.06,29.75,16.99,919890600,0.10038860103626934,3.5002267563554517
1999-07-31,26,1999-26,1999,7,1,29.88,35.88,29.62,34.5,19.71,1011415000,0.16009417304296658,5.5819674966795985
1999-08-31,31,1999-31,1999,8,2,34.94,42.25,34.75,41.09,23.48,1095635000,0.19127346524606792,6.669088859931698
1999-09-30,35,1999-35,1999,9,1,41.84,44.75,36.31,37.16,21.23,1051548200,-0.09582623509369681,-3.3411517699562716
1999-10-31,39,1999-39,1999,10,1,37.12,39.91,32.5,38.72,22.13,1205532800,0.04239284032030133,1.4781016214521523
