Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,36.21,37.56,32.85,35.73,16.72,157704300,,
1998-02-28,05,1998-05,1998,2,2,36.17,41.54,36.15,41.35,19.35,103378500,0.1572966507177036,5.9874002301788
1998-03-31,09,1998-09,1998,3,2,41.48,46.38,39.46,44.96,21.04,134071500,0.08733850129198961,3.3244863152084556
1998-04-30,13,1998-13,1998,4,1,45.0,49.71,42.79,46.19,21.73,132401100,0.03279467680608361,1.2483091951511258
1998-05-31,17,1998-17,1998,5,1,46.38,48.83,44.5,45.31,21.31,97091100,-0.019328117809480072,-0.7357129124706732
1998-06-30,22,1998-22,1998,6,1,44.71,51.0,44.48,50.33,23.68,101161050,0.11121539183481932,4.233345463065712
1998-07-31,26,1998-26,1998,7,1,50.67,51.71,47.58,50.42,23.83,104965800,0.0063344594594594295,0.24111730194238024
1998-08-31,31,1998-31,1998,8,3,50.42,50.71,34.83,35.0,16.54,136364250,-0.30591691145614774,-11.644539014090883
1998-09-30,35,1998-35,1998,9,1,35.33,38.62,26.71,28.75,13.59,268356150,-0.17835550181378468,-6.788992440341388
1998-10-31,39,1998-39,1998,10,1,28.33,38.25,23.71,37.88,18.06,228264300,0.32891832229580564,12.52007356570041
1998-11-30,44,1998-44,1998,11,2,37.67,44.58,36.42,42.29,20.17,109581450,0.11683277962347738,4.447167873049356
1998-12-31,48,1998-48,1998,12,1,41.83,48.38,39.0,47.33,22.57,113661150,0.11898859692612773,4.529227732272153
1999-01-31,01,1999-01,1999,1,4,46.75,52.17,45.25,51.29,24.58,156360450,0.08905626938413813,3.3898721007505905
1999-02-28,05,1999-05,1999,2,1,51.29,55.04,47.58,53.08,25.44,121636200,0.0349877949552484,1.3317888881465256
1999-03-31,09,1999-09,1999,3,1,53.0,59.67,52.67,54.25,26.0,115617300,0.022012578616352085,0.8378952614249251
1999-04-30,13,1999-13,1999,4,1,53.92,60.75,52.21,55.0,26.49,110742300,0.018846153846153735,0.7173672507430315
1999-05-31,18,1999-18,1999,5,3,54.67,56.92,48.0,48.25,23.24,113155350,-0.12268780671951685,-4.670035877056922
1999-06-30,22,1999-22,1999,6,1,48.17,57.75,46.75,57.67,27.78,100822350,0.19535283993115327,7.435985657882958
1999-07-31,26,1999-26,1999,7,1,57.04,57.92,50.83,51.38,24.87,83632800,-0.10475161987041037,-3.9873059601841057
1999-08-31,31,1999-31,1999,8,2,51.29,59.0,48.38,55.79,27.0,104189100,0.08564535585042221,3.260037775711194
1999-09-30,35,1999-35,1999,9,1,55.79,57.17,48.38,50.25,24.32,127372950,-0.09925925925925927,-3.7782426327872063
1999-10-31,39,1999-39,1999,10,1,50.08,59.5,43.88,58.17,28.31,138490650,0.1640625,6.244938120307678
1999-11-30,44,1999-44,1999,11,1,57.75,58.25,50.88,51.5,25.06,98715750,-0.11480042387848821,-4.369807502057148
1999-12-31,48,1999-48,1999,12,1,51.42,55.58,48.04,51.79,25.21,97817100,0.005985634477254642,0.2278394936151493
2000-01-31,01,2000-01,2000,1,3,49.83,54.33,45.5,53.79,26.33,163664100,0.04442681475604915,1.6910793693494792
2000-02-29,05,2000-05,2000,2,1,54.96,57.58,49.71,53.08,25.98,132968100,-0.013292821876186744,-0.5059830860864514
2000-03-31,09,2000-09,2000,3,1,53.25,67.17,51.42,58.12,28.45,165478800,0.09507313317936861,3.6189003191401303
2000-04-30,14,2000-14,2000,4,3,58.62,62.0,47.83,48.08,23.66,149969250,-0.1683655536028119,-6.40873120817314
2000-05-31,18,2000-18,2000,5,1,48.33,51.33,45.42,49.79,24.5,155677950,0.035502958579881616,1.3513982745551678
2000-06-30,22,2000-22,2000,6,1,50.58,54.92,44.12,46.06,22.66,140779700,-0.07510204081632654,-2.85871297588895
2000-07-31,27,2000-27,2000,7,3,45.88,53.75,45.88,49.81,24.68,84149300,0.08914386584289491,3.3932064060579834
2000-08-31,31,2000-31,2000,8,1,49.88,56.56,49.62,55.88,27.68,139772000,0.12155591572123181,4.626951142622036
2000-09-30,35,2000-35,2000,9,1,56.69,58.38,44.56,46.19,22.88,233944700,-0.17341040462427748,-6.600760358376406
2000-10-31,40,2000-40,2000,10,2,46.62,48.12,32.38,45.5,22.7,245473100,-0.007867132867132809,-0.29945757220256375
2000-11-30,44,2000-44,2000,11,1,45.5,46.5,35.44,36.88,18.4,155467700,-0.18942731277533043,-7.210434112476077
2000-12-31,48,2000-48,2000,12,1,37.12,47.56,36.88,45.44,22.67,200159000,0.23206521739130448,8.83341971800043
2001-01-31,00,2001-00,2001,1,2,44.62,57.33,43.19,54.99,27.63,247102800,0.21879135421261564,8.328158283069582
2001-02-28,04,2001-04,2001,2,1,54.99,55.85,45.3,46.66,23.45,154547500,-0.15128483532392323,-5.758564176084343
2001-03-31,08,2001-08,2001,3,1,45.6,51.19,37.58,44.9,22.56,204257600,-0.03795309168443495,-1.4446610836946903
