Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,23.94,24.34,22.31,23.56,12.82,69523800,,
1998-02-28,05,1998-05,1998,2,2,23.94,27.94,23.72,27.28,14.87,97625000,0.15990639625585024,9.517900954587383
1998-03-31,09,1998-09,1998,3,2,27.38,30.12,25.0,30.0,16.35,151832000,0.09952925353059872,5.9241506241724045
1998-04-30,13,1998-13,1998,4,1,30.03,31.91,28.53,30.94,16.86,124057200,0.031192660550458662,1.8566402631843995
1998-05-31,17,1998-17,1998,5,1,31.25,33.53,30.5,32.81,17.91,85294200,0.06227758007117434,3.706867596843465
1998-06-30,22,1998-22,1998,6,1,32.81,34.97,31.69,34.5,18.83,74961600,0.051367950865438106,3.057507892273971
1998-07-31,26,1998-26,1998,7,1,34.72,37.47,33.09,33.41,18.23,102201400,-0.03186404673393506,-1.8966023118968383
1998-08-31,31,1998-31,1998,8,3,32.94,33.34,28.0,28.19,15.41,92068800,-0.15469007131102575,-9.20741641279116
1998-09-30,35,1998-35,1998,9,1,28.0,32.25,26.75,29.84,16.31,99613000,0.05840363400389359,3.476283731312554
1998-10-31,39,1998-39,1998,10,1,29.38,34.34,28.09,33.53,18.33,99538000,0.12385039852851021,7.371786582535834
1998-11-30,44,1998-44,1998,11,2,33.94,36.81,32.75,35.03,19.17,67301800,0.045826513911620514,2.727672130181392
1998-12-31,48,1998-48,1998,12,1,35.0,39.75,33.03,38.41,21.02,71525200,0.09650495565988515,5.744139265873984
1999-01-31,01,1999-01,1999,1,4,38.69,40.38,35.94,39.41,21.57,81901000,0.026165556612749885,1.5574184778908808
1999-02-28,05,1999-05,1999,2,1,39.38,43.38,39.03,42.5,23.26,78458400,0.07834955957348178,4.663499180250337
1999-03-31,09,1999-09,1999,3,1,42.62,47.38,41.69,45.31,24.83,93769700,0.06749785038693012,4.01758697383473
1999-04-30,13,1999-13,1999,4,1,45.25,47.06,41.5,42.38,23.22,68994100,-0.06484091824405958,-3.8594418491178923
1999-05-31,18,1999-18,1999,5,3,42.31,42.75,37.75,38.5,21.12,64020900,-0.09043927648578798,-5.383099714279135
1999-06-30,22,1999-22,1999,6,1,38.88,42.88,37.75,41.12,22.56,60031800,0.06818181818181812,4.058297901479272
1999-07-31,26,1999-26,1999,7,1,41.12,45.25,39.88,41.69,22.87,58664500,0.013741134751773076,0.8178957354636146
1999-08-31,31,1999-31,1999,8,2,41.5,43.06,38.94,41.38,22.72,55676200,-0.006558810668998771,-0.39039157775489813
1999-09-30,35,1999-35,1999,9,1,41.0,44.38,39.75,43.25,23.75,48415000,0.0453345070422535,2.6983870436478976
1999-10-31,39,1999-39,1999,10,1,43.06,45.25,38.31,41.25,22.66,82637800,-0.04589473684210521,-2.7317328751571353
1999-11-30,44,1999-44,1999,11,1,41.75,49.56,41.06,45.75,25.16,93663000,0.11032656663724616,6.566825083299794
1999-12-31,48,1999-48,1999,12,1,45.12,46.75,38.81,40.31,22.17,79335000,-0.11883942766295696,-7.073525065164455
2000-01-31,01,2000-01,2000,1,3,39.94,43.62,34.69,37.38,20.55,109356500,-0.07307171853856564,-4.349353096037331
2000-02-29,05,2000-05,2000,2,1,37.44,37.62,30.62,31.75,17.46,116297800,-0.15036496350364958,-8.94997863236208
2000-03-31,09,2000-09,2000,3,1,31.88,38.25,29.81,37.38,20.55,107742400,0.17697594501718217,10.533909558707952
2000-04-30,14,2000-14,2000,4,3,37.81,39.44,31.94,38.06,20.93,88858600,0.018491484184914864,1.1006446214555323
2000-05-31,18,2000-18,2000,5,1,38.0,39.94,35.0,35.81,19.69,79034300,-0.059245102723363474,-3.526369382142202
2000-06-30,22,2000-22,2000,6,1,35.56,36.31,31.0,32.94,18.11,114547600,-0.08024377856780096,-4.776246319804291
2000-07-31,27,2000-27,2000,7,3,33.19,33.75,30.06,31.69,17.42,86101500,-0.03810049696300377,-2.267806447430711
2000-08-31,31,2000-31,2000,8,1,31.88,34.25,29.62,29.89,16.44,84650800,-0.05625717566016075,-3.3485228762301267
2000-09-30,35,2000-35,2000,9,1,29.69,30.38,26.38,30.19,16.6,125297300,0.009732360097323589,0.5792866428713316
2000-10-31,40,2000-40,2000,10,2,30.44,31.5,27.56,31.0,17.05,84067000,0.027108433734939652,1.6135401295038023
2000-11-30,44,2000-44,2000,11,1,30.75,34.44,30.62,31.88,17.64,74139700,0.034604105571847565,2.059695279030346
2000-12-31,48,2000-48,2000,12,1,32.12,34.5,28.75,34.0,18.82,102846600,0.06689342403628107,3.981610488374975
2001-01-31,00,2001-00,2001,1,2,33.81,35.06,28.0,29.35,16.24,120591700,-0.13708820403825728,-8.159723304568328
2001-02-28,04,2001-04,2001,2,1,29.5,31.0,28.95,29.4,16.27,93721300,0.001847290640394128,0.10995388403022903
2001-03-31,08,2001-08,2001,3,1,29.04,29.48,24.75,26.55,14.69,121917800,-0.09711124769514445,-5.780226800058171
2001-04-30,13,2001-13,2001,4,2,26.3,27.95,25.39,27.5,15.22,79874200,0.03607896528250509,2.1474814400385
2001-05-31,17,2001-17,2001,5,1,27.25,30.96,26.25,30.28,16.76,109702100,0.10118265440210261,6.022563859050286
2001-06-30,21,2001-21,2001,6,1,30.28,30.45,27.0,27.06,14.98,102637300,-0.10620525059665875,-6.3215173357966785
2001-07-31,26,2001-26,2001,7,2,27.2,29.5,26.05,29.14,16.13,84387800,0.07676902536715602,4.569423093343366
2001-08-31,30,2001-30,2001,8,1,29.29,31.0,27.69,30.03,16.62,86142900,0.030378177309361654,1.8081608339717672
2001-09-30,35,2001-35,2001,9,4,30.23,30.87,26.0,27.14,15.02,98907700,-0.09626955475330934,-5.730127803131594
2001-10-31,39,2001-39,2001,10,1,27.48,30.1,25.0,26.07,14.43,117467300,-0.03928095872170434,-2.338069541109673
2001-11-30,43,2001-43,2001,11,1,26.1,28.5,25.82,26.84,14.98,94387700,0.038115038115038136,2.2686719615569078
2001-12-31,48,2001-48,2001,12,3,27.02,27.72,25.15,26.47,14.77,96335000,-0.014018691588785104,-0.8344163909583592
2002-01-31,00,2002-00,2002,1,2,26.47,27.48,25.38,27.18,15.17,95464400,0.02708192281652,1.6119621545031668
2002-02-28,04,2002-04,2002,2,1,26.88,27.45,26.02,26.1,14.57,74377200,-0.039551746868820015,-2.3541873126577197
