Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,34.36,35.93,33.47,34.91,16.75,62617060,,
1998-02-28,05,1998-05,1998,2,2,35.27,37.36,35.25,35.67,17.22,41726525,0.028059701492537226,1.5650165945490655
1998-03-31,09,1998-09,1998,3,2,35.67,40.19,35.67,38.04,18.37,54740679,0.06678281068524994,3.7247797158798
1998-04-30,13,1998-13,1998,4,1,38.72,40.92,37.23,39.45,19.05,44074512,0.03701687534022868,2.0645987342816032
1998-05-31,17,1998-17,1998,5,1,39.45,40.76,38.64,38.72,18.8,31648314,-0.013123359580052507,-0.7319491807309141
1998-06-30,22,1998-22,1998,6,1,38.83,39.69,33.6,34.36,16.68,58302370,-0.1127659574468085,-6.289468002765673
1998-07-31,26,1998-26,1998,7,1,34.39,35.3,30.94,31.41,15.25,56812628,-0.08573141486810554,-4.781629162321626
1998-08-31,31,1998-31,1998,8,3,31.33,33.26,28.43,28.64,14.0,56530856,-0.08196721311475408,-4.571682587843901
1998-09-30,35,1998-35,1998,9,1,28.32,32.97,27.44,30.81,15.06,69066848,0.07571428571428584,4.222928516142674
1998-10-31,39,1998-39,1998,10,1,30.68,36.58,29.66,33.29,16.28,66510277,0.08100929614873853,4.518255221611471
1998-11-30,44,1998-44,1998,11,2,33.5,35.56,31.9,33.65,16.57,43040692,0.017813267813267863,0.9935265967931062
1998-12-31,48,1998-48,1998,12,1,33.58,34.23,29.0,29.73,14.64,58641315,-0.11647555823777911,-6.496369234361647
1999-01-31,01,1999-01,1999,1,4,30.26,33.05,29.06,32.45,15.98,65720200,0.09153005464480879,5.105045556425692
1999-02-28,05,1999-05,1999,2,1,32.61,33.34,30.73,30.96,15.36,52119288,-0.038798498122653347,-2.163967903282309
1999-03-31,09,1999-09,1999,3,1,30.91,34.02,28.98,29.58,14.67,78123915,-0.044921875,-2.505496355759763
1999-04-30,13,1999-13,1999,4,1,29.68,38.04,29.29,37.21,18.46,85703448,0.2583503749147922,14.409370108842971
1999-05-31,18,1999-18,1999,5,3,37.73,40.29,35.12,35.85,17.9,64686377,-0.030335861321776902,-1.69196833370258
1999-06-30,22,1999-22,1999,6,1,35.74,38.54,34.8,36.35,18.14,44345290,0.013407821229050487,0.747814894816042
1999-07-31,26,1999-26,1999,7,1,35.95,38.33,35.54,36.76,18.35,39766519,0.011576626240352939,0.6456808594297797
1999-08-31,31,1999-31,1999,8,2,36.76,41.81,36.42,39.51,19.84,58824781,0.08119891008174385,4.528830849145854
1999-09-30,35,1999-35,1999,9,1,39.53,41.75,38.1,40.16,20.16,46904010,0.016129032258064502,0.8995891543821862
1999-10-31,39,1999-39,1999,10,1,40.21,41.26,36.55,39.74,19.95,58332747,-0.01041666666666674,-0.5809846622051666
1999-11-30,44,1999-44,1999,11,1,39.77,43.22,38.93,39.95,20.17,56408861,0.01102756892230583,0.61505744690592
1999-12-31,48,1999-48,1999,12,1,39.59,42.15,38.41,40.92,20.66,56405992,0.02429350520575113,1.3549587759112969
2000-01-31,01,2000-01,2000,1,3,40.16,43.4,37.73,39.14,19.76,81934372,-0.04356243949661176,-2.4296744827940935
2000-02-29,05,2000-05,2000,2,1,39.45,40.21,33.99,36.87,18.74,79976997,-0.05161943319838069,-2.879049500158383
2000-03-31,09,2000-09,2000,3,1,36.45,39.56,32.69,37.02,18.81,104198154,0.003735325506937004,0.20833601547591576
2000-04-30,14,2000-14,2000,4,3,37.36,41.1,35.67,36.21,18.4,82476160,-0.021796916533758703,-1.2157127221900725
2000-05-31,18,2000-18,2000,5,1,36.24,38.17,34.8,35.85,18.34,62180994,-0.003260869565217317,-0.18187345947291628
2000-06-30,22,2000-22,2000,6,1,35.98,36.74,33.63,34.7,17.75,72224527,-0.03217011995637953,-1.7942732424918448
2000-07-31,27,2000-27,2000,7,3,34.7,38.3,34.7,37.65,19.26,57964139,0.08507042253521147,4.744762627225946
2000-08-31,31,2000-31,2000,8,1,37.83,40.73,37.16,38.89,20.01,57308970,0.0389408099688473,2.1719052792716327
2000-09-30,35,2000-35,2000,9,1,39.27,40.11,33.65,38.1,19.6,92194617,-0.02048975512243878,-1.1428064120137529
2000-10-31,40,2000-40,2000,10,2,38.44,40.45,35.09,40.4,20.79,96724825,0.0607142857142855,3.3863106025672205
2000-11-30,44,2000-44,2000,11,1,40.24,42.33,38.78,41.75,21.62,68085648,0.039923039923039916,2.2266886909334938
2000-12-31,48,2000-48,2000,12,1,41.49,51.4,41.49,50.38,26.08,147233342,0.20629047178538373,11.505753606371977
2001-01-31,00,2001-00,2001,1,2,49.38,50.79,43.5,46.26,23.95,118335588,-0.08167177914110424,-4.555204897534952
2001-02-28,04,2001-04,2001,2,1,46.36,48.24,44.98,47.14,24.53,77427606,0.024217118997912346,1.3506983712560954
2001-03-31,08,2001-08,2001,3,1,47.14,50.06,41.18,43.44,22.61,159451437,-0.07827150428047291,-4.365556173569327
2001-04-30,13,2001-13,2001,4,2,43.31,50.97,40.62,49.75,25.9,116807578,0.1455108359133126,8.115798129627528
2001-05-31,17,2001-17,2001,5,1,49.75,53.09,48.22,49.57,25.93,95891455,0.0011583011583011782,0.06460369988999601
2001-06-30,21,2001-21,2001,6,1,49.35,51.84,47.66,47.7,24.95,91525336,-0.03779406093328197,-2.1079458935696787
2001-07-31,26,2001-26,2001,7,2,45.67,49.12,44.64,46.77,24.47,94390231,-0.01923847695390779,-1.0730169633031603
2001-08-31,30,2001-30,2001,8,1,46.61,47.03,43.1,43.52,22.89,78593704,-0.06456885982836125,-3.6012976527698823
2001-09-30,35,2001-35,2001,9,4,43.52,44.98,35.89,41.14,21.64,102440989,-0.054608999563128036,-3.0457911517963976
2001-10-31,39,2001-39,2001,10,1,40.97,45.99,39.8,43.64,22.96,112342194,0.060998151571164616,3.402143086628388
2001-11-30,43,2001-43,2001,11,1,43.74,49.2,43.23,47.9,25.33,79606000,0.10322299651567923,5.75721386519679
2001-12-31,48,2001-48,2001,12,3,47.83,50.96,47.12,49.42,26.13,64138848,0.03158310303987366,1.7615326512971365
2002-01-31,00,2002-00,2002,1,2,48.93,49.33,41.81,46.4,24.54,153734799,-0.06084959816303104,-3.3938575904705726
2002-02-28,04,2002-04,2002,2,1,46.4,50.5,45.15,49.3,26.21,95454913,0.06805215973920142,3.7955770596875227
2002-03-31,08,2002-08,2002,3,1,49.0,51.71,47.2,48.08,25.56,85073873,-0.02479969477298749,-1.383191259885626
2002-04-30,13,2002-13,2002,4,1,48.14,53.55,46.95,52.59,27.96,113438210,0.0938967136150235,5.237044842412733
2002-05-31,17,2002-17,2002,5,1,52.59,54.6,51.42,52.44,28.02,93218632,0.0021459227467810482,0.11968782740706833
2002-06-30,22,2002-22,2002,6,3,52.33,54.18,49.91,51.42,27.47,83967810,-0.019628836545324768,-1.0947890850975224
2002-07-31,26,2002-26,2002,7,1,52.57,54.39,45.23,52.6,28.11,189452383,0.02329814342919545,1.2994429430609802
2002-08-31,30,2002-30,2002,8,1,52.36,54.13,48.7,52.24,28.04,129608128,-0.0024902170046247063,-0.1388906769839459
2002-09-30,35,2002-35,2002,9,3,51.69,53.16,45.34,45.97,24.68,140714898,-0.11982881597717543,-6.6833956006026085
2002-10-31,39,2002-39,2002,10,1,46.3,54.26,46.3,53.07,28.49,175247967,0.15437601296596437,8.610249191578616
2002-11-30,43,2002-43,2002,11,1,52.96,55.0,52.42,54.29,29.29,109979377,0.028080028080028185,1.5661503003635187
2002-12-31,48,2002-48,2002,12,2,54.47,54.55,50.16,51.55,27.81,89716025,-0.05052919085011953,-2.8182417482454607
2003-01-31,00,2003-00,2003,1,2,51.56,53.99,51.44,52.07,28.09,107943067,0.010068320747932402,0.5615558331562306
2003-02-28,05,2003-05,2003,2,3,52.51,53.3,50.27,52.41,28.42,101642778,0.011747953008188095,0.655236528966171
2003-03-31,09,2003-09,2003,3,3,52.61,56.42,49.94,54.36,29.48,142100825,0.037297677691766395,2.0802603527796406
2003-04-30,13,2003-13,2003,4,1,54.36,57.17,51.25,52.69,28.58,150140815,-0.030529172320217124,-1.702750163314996
2003-05-31,17,2003-17,2003,5,1,52.69,52.98,50.38,52.87,28.83,118366684,0.008747375787263811,0.4878807520267279
2003-06-30,22,2003-22,2003,6,2,53.2,55.98,52.05,53.92,29.4,100915610,0.019771071800208206,1.102722189242686
2003-07-31,26,2003-26,2003,7,1,53.92,59.21,53.01,58.61,31.95,121051946,0.08673469387755106,4.837586575096049
2003-08-31,30,2003-30,2003,8,1,58.28,60.91,57.6,59.56,32.62,89095782,0.020970266040688523,1.169606681472174
2003-09-30,35,2003-35,2003,9,2,58.95,60.35,56.99,57.75,31.63,127296496,-0.030349478847332856,-1.6927278447571585
2003-10-31,39,2003-39,2003,10,1,58.48,66.3,58.36,65.94,36.12,84147809,0.14195384128991462,7.917408434932444
2003-11-30,44,2003-44,2003,11,3,66.02,67.02,63.55,66.09,36.35,52634165,0.006367663344407637,0.3551534147699391
2003-12-31,48,2003-48,2003,12,1,66.47,71.4,66.39,71.1,39.11,63806482,0.07592847317744145,4.234874720711958
2004-01-31,00,2004-00,2004,1,2,71.07,72.07,65.56,66.13,36.37,89740306,-0.07005880848887758,-3.907496945703044
2004-02-29,05,2004-05,2004,2,2,65.96,68.11,64.86,65.23,36.04,64223645,-0.009073412152873161,-0.506065276289782
2004-03-31,09,2004-09,2004,3,1,65.61,68.55,62.17,68.45,37.82,89779294,0.04938956714761389,2.754679774628702
2004-04-30,13,2004-13,2004,4,1,68.45,74.16,67.64,72.31,39.95,71794682,0.0563194077207827,3.1411883587443605
2004-05-31,18,2004-18,2004,5,3,72.32,73.29,68.29,70.7,39.23,60846739,-0.018022528160200446,-1.00519799378276
2004-06-30,22,2004-22,2004,6,1,70.34,75.49,70.24,75.26,41.76,57886280,0.06449146061687494,3.596980748314812
2004-07-31,26,2004-26,2004,7,1,75.25,75.34,67.52,68.86,38.21,77347113,-0.08500957854406122,-4.741369082363965
2004-08-31,31,2004-31,2004,8,2,68.81,70.11,64.55,68.86,38.39,61639809,0.004710808688825008,0.2627431290998536
2004-09-30,35,2004-35,2004,9,1,68.66,71.04,64.96,66.86,37.28,69919594,-0.02891377963011199,-1.6126523991816117
2004-10-31,39,2004-39,2004,10,1,66.89,68.54,61.3,64.86,36.16,94824981,-0.030042918454935785,-1.6756295836990185
2004-11-30,44,2004-44,2004,11,1,64.8,69.31,62.76,66.55,37.26,82421263,0.03042035398230092,1.6966808719265827
2004-12-31,48,2004-48,2004,12,1,66.47,69.42,65.33,68.62,38.42,84012540,0.031132581857219677,1.7364050451735689
2005-01-31,01,2005-01,2005,1,3,68.7,71.49,67.5,70.54,39.5,88466685,0.028110359187922818,1.5678420035770677
2005-02-28,05,2005-05,2005,2,1,70.53,72.73,69.36,70.18,39.5,57967609,0.0,0.0
2005-03-31,09,2005-09,2005,3,1,70.19,73.12,69.83,71.65,40.32,66145137,0.020759493670886142,1.1578509521212794
2005-04-30,13,2005-13,2005,4,1,71.91,72.08,62.67,63.94,35.98,87967832,-0.10763888888888895,-6.0035081761200155
2005-05-31,18,2005-18,2005,5,2,63.94,66.25,62.78,64.09,36.26,66678315,0.0077821011673151474,0.4340430161221432
2005-06-30,22,2005-22,2005,6,1,64.2,65.68,60.41,60.45,34.21,86530000,-0.05653612796469931,-3.1532758279640323
2005-07-31,26,2005-26,2005,7,1,60.46,64.16,59.39,62.71,35.48,87482975,0.03712364805612389,2.0705539320682056
2005-08-31,31,2005-31,2005,8,1,62.79,63.12,58.87,59.49,33.86,83628388,-0.04565952649379923,-2.5466385193389707
2005-09-30,35,2005-35,2005,9,1,59.7,62.36,59.04,61.34,34.91,71660733,0.031010041346721806,1.7295704060921557
2005-10-31,40,2005-40,2005,10,3,61.25,63.95,58.29,63.53,36.16,80405763,0.035806359209395566,1.9970827689664696
2005-11-30,44,2005-44,2005,11,1,63.13,66.37,62.21,65.62,37.55,70821259,0.038440265486725744,2.143987647252684
2005-12-31,48,2005-48,2005,12,1,65.86,66.76,61.43,64.8,37.08,61361261,-0.012516644474034555,-0.6981099323221517
2006-01-31,01,2006-01,2006,1,3,65.02,66.75,60.17,60.83,34.81,75308054,-0.061218985976267404,-3.4144600212445724
2006-02-28,05,2006-05,2006,2,1,60.45,62.42,58.78,61.53,35.43,67149184,0.01781097385808672,0.9933986525266073
2006-03-31,09,2006-09,2006,3,1,62.03,65.84,59.82,63.29,36.44,83152498,0.02850691504374825,1.5899597190915207
2006-04-30,14,2006-14,2006,4,3,63.52,71.82,63.34,71.43,41.13,89368590,0.12870472008781575,7.178444959145243
2006-05-31,18,2006-18,2006,5,1,71.5,73.87,69.06,69.95,40.49,79970781,-0.015560418186238767,-0.8678749731554877
2006-06-30,22,2006-22,2006,6,1,69.95,71.26,65.73,67.53,39.09,71754854,-0.03457643862682136,-1.9284845295226887
2006-07-31,27,2006-27,2006,7,3,67.85,68.23,56.06,58.86,34.08,152102018,-0.12816577129700701,-7.14838534495255
2006-08-31,31,2006-31,2006,8,1,58.53,60.2,57.01,59.95,34.93,93182752,0.024941314553990734,1.391090036265889
2006-09-30,35,2006-35,2006,9,1,59.98,63.02,59.02,62.22,36.26,76459321,0.038076152304609145,2.1236794065375038
