Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,50.21,56.77,48.37,56.0,22.34,134446454,,
1998-02-28,05,1998-05,1998,2,2,57.25,62.44,53.67,60.86,24.28,111432583,0.08683974932855865,4.271292054383327
1998-03-31,09,1998-09,1998,3,2,60.86,63.36,59.01,61.16,24.49,87703556,0.008649093904447902,0.42541355033062433
1998-04-30,13,1998-13,1998,4,1,61.25,63.45,53.2,57.49,23.02,130276253,-0.06002449979583502,-2.9523596167494732
1998-05-31,17,1998-17,1998,5,1,57.13,58.0,54.57,55.82,22.35,94842325,-0.029105125977410884,-1.431562093285055
1998-06-30,22,1998-22,1998,6,1,55.82,64.05,53.2,63.81,25.65,128579749,0.14765100671140918,7.262349058632513
1998-07-31,26,1998-26,1998,7,1,63.28,66.38,57.64,58.95,23.69,131012368,-0.07641325536062371,-3.758455465325253
1998-08-31,31,1998-31,1998,8,3,58.62,64.44,54.9,55.31,22.23,148608494,-0.06162937948501479,-3.0312970839535662
1998-09-30,35,1998-35,1998,9,1,56.24,66.17,54.87,61.81,24.95,158816436,0.12235717498875398,6.018248939767289
1998-10-31,39,1998-39,1998,10,1,61.43,65.24,58.03,64.44,26.01,148594663,0.042484969939879935,2.089661887994945
1998-11-30,44,1998-44,1998,11,2,64.77,76.28,64.17,74.01,29.88,103897042,0.14878892733563998,7.318318719512194
1998-12-31,48,1998-48,1998,12,1,73.59,77.17,67.51,70.37,28.51,125339960,-0.04585006693440419,-2.2551772443389524
1999-01-31,01,1999-01,1999,1,4,70.91,73.47,64.38,70.01,28.36,128293226,-0.005261311820414005,-0.25878240722623713
1999-02-28,05,1999-05,1999,2,1,69.9,78.24,68.88,77.77,31.5,97163224,0.11071932299012688,5.445830604198953
1999-03-31,09,1999-09,1999,3,1,77.89,83.37,74.43,76.46,31.08,107854708,-0.01333333333333342,-0.6558121271128806
