Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,11.53,13.04,10.54,12.78,7.41,118794274,,
1998-02-28,05,1998-05,1998,2,2,13.02,14.16,13.02,14.05,8.17,76415646,0.10256410256410264,4.919193798115919
1998-03-31,09,1998-09,1998,3,2,14.0,14.78,13.79,14.52,8.45,79032411,0.03427172582619331,1.643745296065657
1998-04-30,13,1998-13,1998,4,1,14.5,15.7,14.42,15.49,9.01,84043483,0.0662721893491125,3.1785559926287483
1998-05-31,17,1998-17,1998,5,1,15.56,15.75,14.47,14.79,8.63,71834239,-0.042175360710321796,-2.022820535185287
1998-06-30,22,1998-22,1998,6,1,14.72,14.88,13.23,14.55,8.5,124246454,-0.015063731170336103,-0.7224887762586268
1998-07-31,26,1998-26,1998,7,1,14.56,15.6,14.42,15.08,8.81,81394935,0.036470588235294255,1.7492074417418129
1998-08-31,31,1998-31,1998,8,3,15.08,15.44,11.42,11.42,6.69,120689634,-0.24063564131668558,-11.541400205114185
1998-09-30,35,1998-35,1998,9,1,11.49,13.06,11.29,12.03,7.05,132348448,0.053811659192825045,2.5809223066348044
1998-10-31,39,1998-39,1998,10,1,11.89,15.14,10.23,14.99,8.78,134813303,0.24539007092198584,11.76943282123691
1998-11-30,44,1998-44,1998,11,2,15.07,17.7,14.7,16.86,9.92,102643679,0.1298405466970387,6.227430417546513
1998-12-31,48,1998-48,1998,12,1,16.74,17.4,15.4,17.11,10.07,99112285,0.015120967741935498,0.7252339646919892
1999-01-31,01,1999-01,1999,1,4,17.19,18.87,16.81,18.79,11.05,93918799,0.09731876861966238,4.667616359582679
1999-02-28,05,1999-05,1999,2,1,18.86,19.98,18.49,19.49,11.5,106922538,0.040723981900452344,1.953209302193077
1999-03-31,09,1999-09,1999,3,1,19.41,21.54,19.17,21.31,12.57,108462598,0.09304347826086956,4.462564286856025
1999-04-30,13,1999-13,1999,4,1,21.35,23.68,20.58,22.79,13.45,163898994,0.0700079554494828,3.357731327592243
1999-05-31,18,1999-18,1999,5,3,22.75,23.9,19.43,19.53,11.55,147110573,-0.141263940520446,-6.775320826029536
1999-06-30,22,1999-22,1999,6,1,19.55,22.73,19.02,22.66,13.4,123779289,0.1601731601731602,7.682247457447258
1999-07-31,26,1999-26,1999,7,1,22.58,22.58,20.98,20.98,12.41,72987853,-0.07388059701492544,-3.5434715027099934
1999-08-31,31,1999-31,1999,8,2,20.61,22.03,19.29,20.81,12.34,64982152,-0.005640612409347323,-0.270535839420961
1999-09-30,35,1999-35,1999,9,1,20.93,21.63,17.17,18.66,11.07,125386083,-0.1029173419773095,-4.936135916140218
1999-10-31,39,1999-39,1999,10,1,18.96,19.35,16.24,19.04,11.29,119898313,0.019873532068653832,0.9531771180631019
1999-11-30,44,1999-44,1999,11,1,18.96,19.08,16.78,17.78,10.58,97125082,-0.06288751107174484,-3.016219580819963
1999-12-31,48,1999-48,1999,12,1,18.25,20.45,17.31,20.45,12.17,94647197,0.1502835538752363,7.207920780273344
2000-01-31,01,2000-01,2000,1,3,20.43,20.73,16.21,16.66,9.91,125437886,-0.18570254724732949,-8.906691482455562
2000-02-29,05,2000-05,2000,2,1,16.83,17.19,14.97,16.03,9.57,147348286,-0.034308779011099855,-1.645522446090236
2000-03-31,09,2000-09,2000,3,1,16.03,20.3,14.63,19.88,11.88,144746777,0.24137931034482762,11.577068162807285
2000-04-30,14,2000-14,2000,4,3,19.88,20.81,17.64,19.57,11.69,105802613,-0.015993265993266115,-0.7670712551355052
2000-05-31,18,2000-18,2000,5,1,19.33,21.06,18.17,19.02,11.4,99827337,-0.02480752780153972,-1.1898221098522426
2000-06-30,22,2000-22,2000,6,1,18.57,20.41,16.99,18.53,11.1,110510182,-0.026315789473684292,-1.2621615666218504
2000-07-31,27,2000-27,2000,7,3,18.09,19.43,17.42,18.37,11.01,85840959,-0.008108108108108136,-0.38888221241862436
2000-08-31,31,2000-31,2000,8,1,18.6,20.45,17.88,19.65,11.81,90014625,0.07266121707538598,3.484987431907731
2000-09-30,35,2000-35,2000,9,1,19.73,22.93,18.57,21.83,13.12,158600630,0.11092294665537672,5.320101844744748
2000-10-31,40,2000-40,2000,10,2,21.67,22.95,18.84,21.97,13.2,203594757,0.0060975609756097615,0.2924520703148184
2000-11-30,44,2000-44,2000,11,1,21.77,22.89,20.51,22.28,13.44,97140653,0.0181818181818183,0.8720389005750997
2000-12-31,48,2000-48,2000,12,1,22.14,25.09,21.93,24.74,14.92,141524284,0.11011904761904767,5.281545126994992
2001-01-31,00,2001-00,2001,1,2,24.47,24.47,21.74,23.59,14.23,146849979,-0.04624664879356566,-2.2180882223072924
2001-02-28,04,2001-04,2001,2,1,23.59,25.3,22.98,24.52,14.83,119694918,0.04216444132115238,2.0222968179183436
2001-03-31,08,2001-08,2001,3,1,24.42,25.96,20.42,23.06,13.95,207889186,-0.05933917734322325,-2.8460339034278213
2001-04-30,13,2001-13,2001,4,2,23.16,25.13,22.03,24.57,14.86,113398349,0.06523297491039437,3.1287130447156652
2001-05-31,17,2001-17,2001,5,1,24.54,27.53,24.06,26.21,15.9,121622062,0.06998654104979818,3.356704247166583
2001-06-30,21,2001-21,2001,6,1,26.12,26.95,22.79,23.05,13.98,192577264,-0.12075471698113205,-5.791654584951567
2001-07-31,26,2001-26,2001,7,2,22.99,24.3,22.22,23.1,14.01,131735728,0.0021459227467810482,0.10292304620521173
2001-08-31,30,2001-30,2001,8,1,23.29,23.47,21.12,21.52,13.1,145414791,-0.06495360456816557,-3.115313845380688
2001-09-30,35,2001-35,2001,9,4,21.68,21.93,12.62,14.63,8.9,311025139,-0.32061068702290074,-15.377174506324177
2001-10-31,39,2001-39,2001,10,1,14.54,18.01,14.38,16.96,10.32,218557414,0.15955056179775284,7.652386307293805
2001-11-30,43,2001-43,2001,11,1,16.96,19.43,16.58,18.94,11.57,139637189,0.12112403100775193,5.809367675827298
2001-12-31,48,2001-48,2001,12,3,18.64,20.74,18.44,20.34,12.42,140641753,0.07346585998271382,3.5235798273021257
2002-01-31,00,2002-00,2002,1,2,20.36,21.66,18.66,21.63,13.21,179236978,0.06360708534621584,3.0507319025755133
2002-02-28,04,2002-04,2002,2,1,21.71,23.58,20.99,22.95,14.07,161535833,0.06510219530658579,3.1224405751099065
2002-03-31,08,2002-08,2002,3,1,22.92,24.47,22.5,23.35,14.31,169534542,0.017057569296375252,0.8181175186632006
2002-04-30,13,2002-13,2002,4,1,23.29,23.77,20.93,22.08,13.54,201375240,-0.05380852550663884,-2.580772008340693
2002-05-31,17,2002-17,2002,5,1,21.87,22.37,21.13,21.67,13.33,146446052,-0.015509601181683874,-0.7438736559558582
2002-06-30,22,2002-22,2002,6,3,21.65,22.34,20.11,21.37,13.14,160642501,-0.014253563390847712,-0.6836313961747736
2002-07-31,26,2002-26,2002,7,1,21.32,22.67,18.44,21.87,13.45,213121129,0.023592085235920823,1.1315268839273467
2002-08-31,30,2002-30,2002,8,1,21.79,21.8,18.06,18.69,11.54,231523339,-0.14200743494423795,-6.810980409324435
2002-09-30,35,2002-35,2002,9,3,18.53,19.73,17.38,17.78,10.98,176617352,-0.048526863084921934,-2.327452178311339
2002-10-31,39,2002-39,2002,10,1,17.94,20.11,15.37,19.41,11.99,235553042,0.09198542805100174,4.411817935058873
2002-11-30,43,2002-43,2002,11,1,19.15,20.83,19.07,19.66,12.19,147525301,0.016680567139282676,0.8000356886010008
2002-12-31,48,2002-48,2002,12,2,20.08,20.34,18.63,19.49,12.09,134832690,-0.008203445447087732,-0.3934547951733381
2003-01-31,00,2003-00,2003,1,2,19.6,21.05,19.51,20.01,12.41,155159494,0.026468155500413593,1.2694693672557213
2003-02-28,05,2003-05,2003,2,3,20.15,20.67,18.19,18.43,11.47,160166435,-0.07574536663980658,-3.6329098436528886
2003-03-31,09,2003-09,2003,3,3,18.44,20.13,16.84,18.18,11.32,205693828,-0.013077593722755076,-0.6272293748687499
2003-04-30,13,2003-13,2003,4,1,18.39,20.12,18.21,19.45,12.11,197898511,0.06978798586572421,3.347181115723299
2003-05-31,17,2003-17,2003,5,1,19.45,21.63,19.14,21.48,13.42,167366511,0.10817506193228743,5.188307414239105
2003-06-30,22,2003-22,2003,6,2,21.66,23.31,21.51,22.29,13.93,156140861,0.03800298062593144,1.822704259398762
2003-07-31,26,2003-26,2003,7,1,22.1,24.26,21.81,23.67,14.8,149205829,0.06245513280689163,2.99548179415063
2003-08-31,30,2003-30,2003,8,1,23.67,25.28,22.73,25.25,15.84,124903027,0.07027027027027022,3.370312507628064
2003-09-30,35,2003-35,2003,9,2,25.21,25.41,24.15,24.32,15.25,133100677,-0.037247474747474696,-1.7864685810392527
2003-10-31,39,2003-39,2003,10,1,24.54,27.06,24.39,26.65,16.71,134172618,0.0957377049180328,4.591785161716725
2003-11-30,44,2003-44,2003,11,3,26.83,27.67,25.98,26.97,16.98,105335128,0.016157989228007263,0.7749717339042617
2003-12-31,48,2003-48,2003,12,1,27.25,30.44,27.19,29.82,18.78,131967085,0.10600706713780927,5.084325745402497
2004-01-31,00,2004-00,2004,1,2,29.84,30.7,29.0,30.06,18.93,138640568,0.007987220447284171,0.383084181562533
2004-02-29,05,2004-05,2004,2,2,30.08,30.79,27.98,28.98,18.32,181770160,-0.03222398309561536,-1.545531173496796
2004-03-31,09,2004-09,2004,3,1,28.73,29.14,26.27,27.16,17.16,202111903,-0.0633187772925764,-3.036904031478765
2004-04-30,13,2004-13,2004,4,1,27.19,28.74,26.5,27.14,17.16,152147068,0.0,0.0
2004-05-31,18,2004-18,2004,5,3,27.23,27.38,25.38,26.62,16.9,151287101,-0.015151515151515249,-0.7266990838125831
2004-06-30,22,2004-22,2004,6,1,26.52,28.95,26.43,28.79,18.27,119565257,0.08106508875739649,3.8880550981262343
2004-07-31,26,2004-26,2004,7,1,28.84,29.96,27.63,29.42,18.68,142782774,0.02244116037219479,1.0763260650228963
2004-08-31,31,2004-31,2004,8,2,29.34,29.72,28.06,29.55,18.83,109834856,0.008029978586723718,0.38513495341244547
2004-09-30,35,2004-35,2004,9,1,29.55,30.21,28.62,29.38,18.72,110397683,-0.005841741901221442,-0.28018244017415334
2004-10-31,39,2004-39,2004,10,1,29.55,30.34,27.84,29.21,18.61,130927880,-0.005876068376068355,-0.28182881135038995
2004-11-30,44,2004-44,2004,11,1,29.26,30.92,29.21,30.7,19.64,134955042,0.05534658785599156,2.6545407693486953
2004-12-31,48,2004-48,2004,12,1,30.84,33.44,30.41,32.52,20.8,148911227,0.05906313645621175,2.832794391888541
2005-01-31,01,2005-01,2005,1,3,32.48,32.83,31.13,31.68,20.26,139926703,-0.02596153846153837,-1.2451709301480864
2005-02-28,05,2005-05,2005,2,1,31.59,32.44,30.85,31.43,20.18,124929404,-0.003948667324777944,-0.18938653319498855
2005-03-31,09,2005-09,2005,3,1,31.43,32.95,31.05,31.99,20.54,131322588,0.01783944499504453,0.8556179500191673
2005-04-30,13,2005-13,2005,4,1,32.14,32.39,30.48,32.01,20.56,138900211,0.0009737098344693162,0.04670120694413786
2005-05-31,18,2005-18,2005,5,2,32.06,33.98,31.48,33.57,21.65,138029122,0.053015564202334664,2.5427398876204728
2005-06-30,22,2005-22,2005,6,1,33.64,34.02,32.16,32.32,20.84,156140383,-0.03741339491916851,-1.7944264674651433
2005-07-31,26,2005-26,2005,7,1,32.35,33.1,31.25,31.91,20.58,104104447,-0.01247600767754331,-0.5983760210280216
2005-08-31,31,2005-31,2005,8,1,31.47,32.94,30.96,31.47,20.38,130267495,-0.0097181729834791,-0.46610436862614335
2005-09-30,35,2005-35,2005,9,1,31.31,32.85,31.29,32.62,21.13,106333019,0.03680078508341511,1.76504438904429
2005-10-31,40,2005-40,2005,10,3,32.5,33.01,31.02,32.27,20.9,120032107,-0.010884997633696214,-0.5220677753088021
