Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,41.59,41.99,38.11,41.62,12.42,65932502,,
1998-02-28,05,1998-05,1998,2,2,41.99,42.18,39.4,40.36,12.04,52562664,-0.03059581320450888,-1.6326950799947575
1998-03-31,09,1998-09,1998,3,2,40.3,47.66,40.27,45.98,13.72,65157254,0.13953488372093026,7.446048798115621
1998-04-30,13,1998-13,1998,4,1,46.03,46.43,40.92,42.07,12.65,70505943,-0.07798833819241979,-4.161718965030363
1998-05-31,17,1998-17,1998,5,1,42.61,45.05,40.19,41.2,12.39,57046927,-0.02055335968379446,-1.0967961207237495
1998-06-30,22,1998-22,1998,6,1,41.82,44.26,40.47,41.03,12.34,59824460,-0.004035512510088823,-0.21534846537461325
1998-07-31,26,1998-26,1998,7,1,41.37,42.72,38.73,40.78,12.37,60595377,0.002431118314424552,0.12973261682291762
1998-08-31,31,1998-31,1998,8,3,40.92,42.16,36.37,39.68,12.03,58136636,-0.027485852869846394,-1.466737179041368
1998-09-30,35,1998-35,1998,9,1,39.68,45.36,36.53,43.56,13.21,57911579,0.09808811305070675,5.234310280082949
1998-10-31,39,1998-39,1998,10,1,43.39,48.11,42.94,47.83,14.61,66327134,0.10598031794095375,5.655464769701741
1998-11-30,44,1998-44,1998,11,2,48.56,52.95,47.78,50.02,15.28,40518824,0.0458590006844628,2.447189891326848
1998-12-31,48,1998-48,1998,12,1,49.46,55.03,46.82,48.56,14.84,50455079,-0.028795811518324554,-1.536640960518622
1999-01-31,01,1999-01,1999,1,4,49.46,53.96,45.98,53.96,16.6,98739301,0.11859838274932621,6.328806974858383
1999-02-28,05,1999-05,1999,2,1,53.62,54.35,50.36,51.82,15.94,59500553,-0.03975903614457843,-2.121675350306445
1999-03-31,09,1999-09,1999,3,1,51.26,51.54,45.53,46.48,14.3,62598994,-0.10288582183186945,-5.490332091626026
1999-04-30,13,1999-13,1999,4,1,46.26,53.79,45.81,51.82,16.06,65386314,0.12307692307692286,6.567796888594279
1999-05-31,18,1999-18,1999,5,3,51.94,54.07,48.62,49.24,15.26,82191737,-0.04981320049813198,-2.6581992388457576
1999-06-30,22,1999-22,1999,6,1,49.24,58.79,48.34,58.79,18.22,61434787,0.19397116644823065,10.350951190740018
1999-07-31,26,1999-26,1999,7,1,56.66,60.2,55.36,57.56,17.95,53818610,-0.014818880351262331,-0.7907850946407085
1999-08-31,31,1999-31,1999,8,2,57.78,58.91,54.52,55.14,17.2,66557862,-0.04178272980501396,-2.2296664228340664
1999-09-30,35,1999-35,1999,9,1,55.14,61.32,54.18,60.54,18.88,65375750,0.0976744186046512,5.2122341586809355
1999-10-31,39,1999-39,1999,10,1,60.54,62.5,55.65,58.4,18.32,70587115,-0.029661016949152463,-1.5828112205033866
1999-11-30,44,1999-44,1999,11,1,58.62,58.85,55.36,57.36,17.99,57829962,-0.018013100436681362,-0.9612393781410249
