Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,15.81,17.44,14.78,16.56,9.79,30140200,,
1998-02-28,05,1998-05,1998,2,2,16.88,18.62,16.88,18.34,10.87,29337000,0.11031664964249233,4.68811966225062
1998-03-31,09,1998-09,1998,3,2,18.31,18.47,17.22,17.62,10.44,34690400,-0.03955841766329349,-1.681111566167199
1998-04-30,13,1998-13,1998,4,1,17.5,18.25,16.25,17.25,10.22,35035200,-0.021072796934865745,-0.8955293146512091
1998-05-31,17,1998-17,1998,5,1,17.53,18.25,16.78,17.59,10.44,26885200,0.02152641878669259,0.9148068537141507
1998-06-30,22,1998-22,1998,6,1,17.69,21.06,17.56,20.66,12.26,33073800,0.17432950191570895,7.4084697848418815
1998-07-31,26,1998-26,1998,7,1,21.06,24.12,20.62,21.59,12.81,32513000,0.04486133768352363,1.9064694218920648
1998-08-31,31,1998-31,1998,8,3,21.34,24.97,19.19,19.19,11.4,35853200,-0.11007025761124123,-4.677648755727683
1998-09-30,35,1998-35,1998,9,1,19.5,24.19,19.19,22.03,13.09,39636000,0.14824561403508763,6.299984456132448
1998-10-31,39,1998-39,1998,10,1,21.66,25.81,19.38,24.34,14.46,49215000,0.10466004583651656,4.4477313291177945
1998-11-30,44,1998-44,1998,11,2,24.53,27.5,23.81,26.94,16.03,40175400,0.10857538035961278,4.614121051988292
1998-12-31,48,1998-48,1998,12,1,26.78,30.22,26.0,29.28,17.42,36552200,0.08671241422333131,3.6850119669065364
1999-01-31,01,1999-01,1999,1,4,29.0,31.28,25.94,31.25,18.59,59918400,0.06716417910447747,2.854271859044371
1999-02-28,05,1999-05,1999,2,1,31.19,33.94,28.75,32.0,19.06,36721000,0.0252824098977944,1.0744249697125936
1999-03-31,09,1999-09,1999,3,1,32.0,32.0,27.5,28.25,16.82,54431400,-0.11752360965372499,-4.994393384696044
1999-04-30,13,1999-13,1999,4,1,28.25,30.12,23.31,26.88,16.01,71804200,-0.04815695600475611,-2.046523104641801
1999-05-31,18,1999-18,1999,5,3,26.69,27.38,23.0,23.25,13.86,51746200,-0.13429106808244862,-5.70695900194799
1999-06-30,22,1999-22,1999,6,1,23.25,29.62,22.69,29.38,17.52,51549200,0.2640692640692641,11.222134764708388
1999-07-31,26,1999-26,1999,7,1,29.12,29.94,27.62,28.31,16.88,32083600,-0.0365296803652968,-1.5523995093331158
1999-08-31,31,1999-31,1999,8,2,28.0,28.31,23.06,23.19,13.84,37394600,-0.1800947867298578,-7.653476727885184
1999-09-30,35,1999-35,1999,9,1,23.25,26.5,23.25,25.38,15.15,45369000,0.09465317919075145,4.0224701520283395
1999-10-31,39,1999-39,1999,10,1,25.0,26.12,23.5,25.19,15.04,41722900,-0.007260726072607304,-0.3085586153451732
1999-11-30,44,1999-44,1999,11,1,25.19,30.0,24.62,29.12,17.41,49277100,0.15757978723404253,6.696658222483105
1999-12-31,48,1999-48,1999,12,1,29.12,32.88,27.25,29.25,17.49,41978500,0.004595060310166543,0.19527598652725467
2000-01-31,01,2000-01,2000,1,3,28.5,30.94,26.38,27.94,16.7,44162400,-0.045168667810177254,-1.9195300107898976
2000-02-29,05,2000-05,2000,2,1,27.69,30.62,25.0,25.81,15.45,38014200,-0.07485029940119758,-3.1809084257480573
2000-03-31,09,2000-09,2000,3,1,25.88,28.44,22.06,25.75,15.41,69799400,-0.0025889967637540146,-0.11002443124399625
2000-04-30,14,2000-14,2000,4,3,26.0,29.5,25.0,28.12,16.83,45936900,0.09214795587280977,3.9160058355971117
2000-05-31,18,2000-18,2000,5,1,27.69,29.56,25.75,28.38,17.0,39431100,0.010101010101010166,0.42926198553529626
2000-06-30,22,2000-22,2000,6,1,28.38,32.3,26.75,32.19,19.29,36485400,0.13470588235294123,5.724587337688613
