Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,6.57,6.99,6.26,6.64,4.26,339529800,,
1998-02-28,05,1998-05,1998,2,2,6.82,7.99,6.7,7.72,4.95,327496200,0.1619718309859155,9.308753666024037
1998-03-31,09,1998-09,1998,3,2,7.78,8.71,7.75,8.47,5.44,408709200,0.09898989898989896,5.689091612489699
1998-04-30,13,1998-13,1998,4,1,8.47,8.99,8.03,8.43,5.41,358291800,-0.005514705882353033,-0.31693806439628397
1998-05-31,17,1998-17,1998,5,1,8.54,9.4,8.29,9.19,5.9,306994800,0.09057301293900188,5.205361087213315
1998-06-30,22,1998-22,1998,6,1,9.28,10.48,9.23,10.12,6.51,387637200,0.10338983050847439,5.941961993743557
1998-07-31,26,1998-26,1998,7,1,10.26,11.61,9.96,10.52,6.77,401537400,0.03993855606758823,2.295326156078318
1998-08-31,31,1998-31,1998,8,3,10.45,11.64,9.54,9.83,6.33,500875200,-0.06499261447562765,-3.7352188623285643
1998-09-30,35,1998-35,1998,9,1,9.92,10.79,8.98,9.1,5.86,598422600,-0.07424960505529221,-4.267231400992127
1998-10-31,39,1998-39,1998,10,1,9.0,11.57,8.74,11.51,7.41,580444200,0.26450511945392496,15.201488958984203
1998-11-30,44,1998-44,1998,11,2,11.55,12.88,11.14,12.55,8.09,391800000,0.09176788124156543,5.274031884006811
1998-12-31,48,1998-48,1998,12,1,12.38,13.79,11.91,13.57,8.75,361786200,0.08158220024721885,4.688646173911826
1999-01-31,01,1999-01,1999,1,4,13.6,14.41,12.9,14.33,9.24,394366200,0.05600000000000005,3.218400397922748
1999-02-28,05,1999-05,1999,2,1,14.29,14.92,13.42,14.35,9.26,390335400,0.0021645021645020357,0.12439704692032134
1999-03-31,09,1999-09,1999,3,1,14.52,16.4,13.94,15.36,9.92,535798800,0.0712742980561556,4.0962362361713485
1999-04-30,13,1999-13,1999,4,1,15.57,17.8,14.4,15.33,9.9,603602400,-0.002016129032258007,-0.11586982999433516
1999-05-31,18,1999-18,1999,5,3,15.29,15.88,13.67,14.21,9.17,489277500,-0.07373737373737377,-4.237792731752534
1999-06-30,22,1999-22,1999,6,1,14.23,16.17,14.06,16.08,10.39,392968500,0.13304252998909494,7.646145204599142
1999-07-31,26,1999-26,1999,7,1,15.98,17.0,14.08,14.08,9.1,316045500,-0.12415784408084707,-7.1355295499112215
1999-08-31,31,1999-31,1999,8,2,14.1,16.15,12.96,14.77,9.55,383810700,0.0494505494505495,2.8419940719490517
1999-09-30,35,1999-35,1999,9,1,14.77,16.0,14.52,15.85,10.26,319348500,0.07434554973821972,4.272745479665564
1999-10-31,39,1999-39,1999,10,1,16.0,19.5,15.85,18.77,12.14,456015300,0.18323586744639386,10.530828369699881
1999-11-30,44,1999-44,1999,11,1,19.08,20.23,18.33,19.21,12.43,359974500,0.023887973640856597,1.3728761405589451
1999-12-31,48,1999-48,1999,12,1,19.23,23.42,19.0,23.04,14.92,411255300,0.20032180209171369,11.512781563653085
2000-01-31,01,2000-01,2000,1,3,22.79,23.0,17.83,18.25,11.82,407253300,-0.20777479892761397,-11.941115991909843
2000-02-29,05,2000-05,2000,2,1,18.33,20.04,14.48,16.25,10.52,690120900,-0.10998307952622677,-6.320885480571021
