Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,7910.2,8035.54,7443.41,7906.5,7906.5,1324260000,,
1998-02-28,05,1998-05,1998,2,2,7909.99,8566.89,7909.99,8545.72,8545.72,1031480000,0.08084740403465496,6.327869340644842
1998-03-31,09,1998-09,1998,3,2,8544.47,8959.24,8405.72,8799.81,8799.81,1191880000,0.02973301254897187,2.3271819393607127
1998-04-30,13,1998-13,1998,4,1,8801.56,9213.33,8748.74,9063.37,9063.37,1387960000,0.02995064666168945,2.344216007996407
1998-05-31,17,1998-17,1998,5,1,9066.61,9261.91,8788.1,8899.95,8899.95,1075240000,-0.018030820765344457,-1.4112596349881366
1998-06-30,22,1998-22,1998,6,1,8900.95,9104.72,8569.88,8952.02,8952.02,1287570000,0.005850594666262143,0.4579219216155808
1998-07-31,26,1998-26,1998,7,1,8958.99,9367.84,8816.09,8883.29,8883.29,1413670000,-0.007677596788210894,-0.6009200902125215
1998-08-31,31,1998-31,1998,8,3,8883.29,8886.12,7539.07,7539.07,7539.07,1641660000,-0.1513200627245087,-11.843714674232825
1998-09-30,35,1998-35,1998,9,1,7545.76,8182.47,7400.3,7842.62,7842.62,1897140000,0.04026358688803788,3.15140257198602
1998-10-31,39,1998-39,1998,10,1,7841.33,8659.81,7467.49,8592.1,8592.1,1916330000,0.09556500251191569,7.479805401971672
1998-11-30,44,1998-44,1998,11,2,8595.7,9380.2,8595.7,9116.55,9116.55,1389030000,0.06103862850758235,4.777450439380567
1998-12-31,48,1998-48,1998,12,1,9116.55,9334.88,8676.03,9181.43,9181.43,1507520000,0.007116727270733092,0.5570212283241578
1999-01-31,01,1999-01,1999,1,4,9184.01,9647.96,9063.26,9358.83,9358.83,1746490000,0.019321608943269064,1.5122887160561542
1999-02-28,05,1999-05,1999,2,1,9359.6,9611.33,9099.04,9306.58,9306.58,1545220000,-0.005582962827618387,-0.43697456620503106
1999-03-31,09,1999-09,1999,3,1,9307.39,10085.31,9211.23,9786.16,9786.16,1993040000,0.051531282168100434,4.033317141214163
1999-04-30,13,1999-13,1999,4,1,9786.44,10961.71,9765.63,10789.04,10789.04,2096500000,0.1024794199154726,8.02099197955967
