Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,970.43,992.65,912.83,980.28,980.28,12733830000,,
1998-02-28,05,1998-05,1998,2,2,980.28,1051.66,980.28,1049.34,1049.34,11656550000,0.0704492593952748,5.397620952390967
1998-03-31,09,1998-09,1998,3,2,1049.34,1113.07,1030.87,1101.75,1101.75,13719590000,0.04994568014180345,3.8266952971388895
1998-04-30,13,1998-13,1998,4,1,1101.75,1132.98,1076.7,1111.75,1111.75,13656060000,0.009076469253460395,0.6954131389988211
1998-05-31,17,1998-17,1998,5,1,1111.75,1130.52,1074.39,1090.82,1090.82,11477140000,-0.018826174949404195,-1.4424077305076355
1998-06-30,22,1998-22,1998,6,1,1090.82,1145.15,1074.67,1133.84,1133.84,13551970000,0.03943822078803105,3.0216437855807365
1998-07-31,26,1998-26,1998,7,1,1133.84,1190.58,1114.3,1120.67,1120.67,14194800000,-0.011615395470260248,-0.8899384109748212
1998-08-31,31,1998-31,1998,8,3,1120.67,1121.79,957.28,957.28,957.28,15071550000,-0.14579671089616042,-11.17052738776679
1998-09-30,35,1998-35,1998,9,1,957.28,1066.11,939.98,1017.01,1017.01,16714080000,0.06239553735584158,4.780567782521969
1998-10-31,39,1998-39,1998,10,1,1017.01,1103.78,923.32,1098.67,1098.67,18001650000,0.08029419573062224,6.151911843377832
1998-11-30,44,1998-44,1998,11,2,1098.67,1192.97,1098.67,1163.63,1163.63,13451280000,0.059126034204993294,4.530067793417603
1998-12-31,48,1998-48,1998,12,1,1163.63,1244.93,1136.89,1229.23,1229.23,15181450000,0.056375308302467175,4.319315034719967
1999-01-31,01,1999-01,1999,1,4,1229.23,1280.37,1205.46,1279.64,1279.64,16213500000,0.04100941239637823,3.1420239970724193
1999-02-28,05,1999-05,1999,2,1,1279.64,1283.84,1211.89,1238.33,1238.33,14555860000,-0.032282516957894525,-2.473394204901116
1999-03-31,09,1999-09,1999,3,1,1238.33,1323.82,1216.03,1286.37,1286.37,18002500000,0.038794182487705164,2.972299411291765
1999-04-30,13,1999-13,1999,4,1,1286.37,1371.56,1282.56,1335.18,1335.18,18523200000,0.037943981902563095,2.907159471830518
