Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,0.12,0.25,0.12,0.25,0.21,28191721600,,
1998-06-30,13,1998-13,1998,4,1,0.24,0.28,0.22,0.26,0.22,18795067200,0.04761904761904767,0.37720603129036673
1998-09-30,26,1998-26,1998,7,1,0.26,0.39,0.25,0.34,0.29,32228851200,0.3181818181818181,2.5204221181674473
1998-12-31,39,1998-39,1998,10,1,0.33,0.37,0.25,0.37,0.31,35978555200,0.06896551724137945,0.5462983901446696
1999-03-31,01,1999-01,1999,1,4,0.38,0.42,0.29,0.32,0.27,33195915200,-0.12903225806451601,-1.0221066654319595
1999-06-30,13,1999-13,1999,4,1,0.32,0.45,0.3,0.41,0.35,31716496000,0.29629629629629606,2.3470597502511668
1999-09-30,26,1999-26,1999,7,1,0.41,0.72,0.4,0.57,0.48,39678654400,0.37142857142857144,2.942207044064858
1999-12-31,39,1999-39,1999,10,1,0.55,1.05,0.53,0.92,0.78,32511640000,0.6250000000000002,4.95082916068606
2000-03-31,01,2000-01,2000,1,3,0.94,1.34,0.77,1.21,1.03,28573316800,0.3205128205128205,2.538886749069773
2000-06-30,14,2000-14,2000,4,3,1.21,1.25,0.72,0.94,0.79,26575360000,-0.23300970873786409,-1.8457460171878122
2000-09-30,27,2000-27,2000,7,3,0.93,1.15,0.45,0.46,0.39,25899787200,-0.5063291139240507,-4.010798307391237
2000-12-31,40,2000-40,2000,10,2,0.48,0.48,0.24,0.27,0.22,39253132800,-0.4358974358974359,-3.452885978734892
2001-03-31,00,2001-00,2001,1,2,0.27,0.42,0.26,0.39,0.33,31532289600,0.5,3.9606633285488466
2001-06-30,13,2001-13,2001,4,2,0.39,0.48,0.33,0.42,0.35,26265691200,0.06060606060606055,0.4800804034604659
2001-09-30,26,2001-26,2001,7,2,0.42,0.45,0.26,0.28,0.23,19315984800,-0.34285714285714275,-2.7158834252906368
2001-12-31,39,2001-39,2001,10,1,0.28,0.43,0.26,0.39,0.33,17543831200,0.4347826086956521,3.4440550683033444
2002-03-31,00,2002-00,2002,1,2,0.39,0.46,0.36,0.42,0.36,21671384000,0.09090909090909083,0.7201206051906988
