Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,48.94,54.75,42.81,52.12,32.88,251884400,,
1998-06-30,13,1998-13,1998,4,1,52.12,56.25,42.12,44.56,28.19,221736800,-0.14263990267639903,-1.4009699457158693
1998-09-30,26,1998-26,1998,7,1,45.25,50.12,29.0,34.31,21.79,340789300,-0.2270308620078042,-2.2298347689179034
1998-12-31,39,1998-39,1998,10,1,34.31,44.0,29.5,32.62,20.78,322167000,-0.046351537402478105,-0.4552520691627002
1999-03-31,01,1999-01,1999,1,4,32.81,37.69,32.56,34.0,21.74,231653500,0.046198267564966145,0.45374669491671415
1999-06-30,13,1999-13,1999,4,1,34.0,45.88,33.5,44.0,28.23,225950100,0.2985280588776451,2.9320605987042483
1999-09-30,26,1999-26,1999,7,1,44.0,48.5,41.06,42.62,27.43,167140200,-0.028338646829613956,-0.27833440548970884
1999-12-31,39,1999-39,1999,10,1,42.69,46.44,37.06,41.44,26.75,232349900,-0.02479037550127594,-0.24348425909326588
2000-03-31,01,2000-01,2000,1,3,41.44,48.12,32.0,37.81,24.49,266916900,-0.08448598130841123,-0.8297981029608545
2000-06-30,14,2000-14,2000,4,3,37.75,42.25,34.06,41.81,27.18,211363900,0.10984075132707227,1.0788256899837332
2000-09-30,27,2000-27,2000,7,3,41.81,66.94,41.44,64.5,42.05,305807900,0.547093451066961,5.373401608255621
2000-12-31,40,2000-40,2000,10,2,61.25,70.94,54.0,66.0,43.12,253031200,0.025445897740784762,0.2499226184798653
2001-03-31,00,2001-00,2001,1,2,65.31,65.6,49.7,55.71,36.51,235034300,-0.15329313543599254,-1.5056030717967643
2001-06-30,13,2001-13,2001,4,2,55.71,69.85,53.92,55.6,36.53,214572600,0.0005477951246235513,0.005380293253202385
2001-09-30,26,2001-26,2001,7,2,56.3,59.8,27.6,33.5,22.08,278237600,-0.395565288803723,-3.8851336181830334
2001-12-31,39,2001-39,2001,10,1,33.5,39.42,31.58,38.78,25.69,279273200,0.16349637681159446,1.605816506101554
2002-03-31,00,2002-00,2002,1,2,38.54,51.07,37.65,48.25,32.09,232620300,0.24912417282989496,2.4468291995249403
2002-06-30,13,2002-13,2002,4,1,48.25,50.05,41.0,45.0,30.04,219321900,-0.06388282954191349,-0.6274396053014053
2002-09-30,26,2002-26,2002,7,1,44.97,45.28,33.2,34.13,22.89,255935700,-0.23801597869507318,-2.3377275677791025
2002-12-31,39,2002-39,2002,10,1,34.32,36.02,28.53,32.99,22.25,247286900,-0.027959807776321566,-0.2746135523625852
2003-03-31,00,2003-00,2003,1,2,33.0,34.59,24.73,25.06,16.99,223077800,-0.2364044943820225,-2.321900011476723
2003-06-30,13,2003-13,2003,4,1,25.37,37.36,25.2,34.32,23.4,299652800,0.37728075338434386,3.7055479334392527
2003-09-30,26,2003-26,2003,7,1,34.1,38.9,31.0,34.33,23.53,226337100,0.005555555555555758,0.05456514074288019
2003-12-31,39,2003-39,2003,10,1,34.5,43.37,34.4,42.14,29.02,200758300,0.23331916702082434,2.2915967735704297
2004-03-31,00,2004-00,2004,1,2,42.5,45.1,38.04,41.07,28.39,204021500,-0.021709166092350074,-0.21322146658312818
2004-06-30,13,2004-13,2004,4,1,41.07,51.49,40.31,51.09,35.48,192607500,0.24973582247270154,2.452836654317053
2004-09-30,26,2004-26,2004,7,1,50.1,55.24,46.4,51.62,36.0,195252500,0.014656144306651742,0.14394862383126938
2004-12-31,39,2004-39,2004,10,1,51.62,55.48,48.1,51.77,36.24,205164800,0.006666666666666821,0.06547816889145536
2005-03-31,01,2005-01,2005,1,3,51.85,58.94,49.52,58.46,41.11,236882900,0.13438189845474602,1.3198620964461092
2005-06-30,13,2005-13,2005,4,1,58.55,66.85,56.22,66.0,46.61,271301800,0.1337873996594503,1.3140230925674883
2005-09-30,26,2005-26,2005,7,1,65.78,68.38,62.01,67.95,48.16,221870600,0.033254666380605036,0.32661819925473135
2005-12-31,40,2005-40,2005,10,3,67.92,72.4,63.7,70.24,49.98,248439700,0.03779069767441867,0.3711698527277187
2006-03-31,01,2006-01,2006,1,3,70.4,79.5,65.9,77.93,55.68,217646700,0.11404561824729909,1.120124737939038
2006-06-30,14,2006-14,2006,4,3,78.25,89.58,76.4,81.91,58.73,255900200,0.054777298850574585,0.5380075838333346
2006-09-30,27,2006-27,2006,7,3,81.35,84.06,72.13,78.85,56.75,252613000,-0.03371360463136386,-0.3311257646988215
2006-12-31,40,2006-40,2006,10,2,79.35,92.05,77.77,88.84,64.17,272464100,0.13074889867841422,1.2841797705055191
2007-03-31,00,2007-00,2007,1,3,88.9,92.24,84.6,88.91,64.47,261684100,0.004675081813931614,0.0459173694890968
2007-06-30,13,2007-13,2007,4,2,88.9,101.45,88.08,96.16,69.98,269336000,0.0854661082674113,0.8394246407443257
2007-09-30,26,2007-26,2007,7,2,96.72,107.83,90.08,104.99,76.67,352205200,0.09559874249785638,0.938944591062787
2007-12-31,39,2007-39,2007,10,1,105.45,107.15,85.55,87.46,64.1,447649300,-0.16394939350463034,-1.6102659116321418
2008-03-31,00,2008-00,2008,1,2,87.57,87.84,71.59,74.37,54.77,456498700,-0.14555382215288604,-1.4295896624584965
2008-06-30,13,2008-13,2008,4,1,75.02,88.29,65.55,65.72,48.63,431581600,-0.11210516706226037,-1.1010661593761002
2008-09-30,26,2008-26,2008,7,1,64.95,69.5,54.2,57.35,42.7,474359000,-0.12194118856672831,-1.1976728609695286
2008-12-31,39,2008-39,2008,10,1,56.76,58.0,36.17,42.67,32.01,589287300,-0.2503512880562062,-2.4588815882305926
2009-03-31,00,2009-00,2009,1,2,42.8,47.0,29.05,35.58,26.96,519735200,-0.15776319900031233,-1.549506808349774
2009-06-30,13,2009-13,2009,4,1,34.52,53.39,34.21,42.5,32.52,481657900,0.2062314540059349,2.025548696419605
2009-09-30,26,2009-26,2009,7,1,42.63,55.48,38.92,54.15,41.83,417751900,0.2862853628536284,2.8118162010121543
2009-12-31,39,2009-39,2009,10,1,53.85,56.56,47.18,54.13,42.18,314227300,0.008367200573750955,0.08218034584751019
2010-03-31,01,2010-01,2010,1,4,55.72,74.53,54.8,72.61,56.97,403266900,0.3506401137980084,3.443890888707689
2010-06-30,13,2010-13,2010,4,1,73.24,76.0,59.84,62.75,49.52,412356900,-0.1307705810075478,-1.2843927283868641
2010-09-30,26,2010-26,2010,7,1,62.48,70.0,59.48,66.54,52.83,306827000,0.06684168012924063,0.656500623073643
2010-12-31,39,2010-39,2010,10,1,67.54,72.49,61.84,65.26,52.12,351488000,-0.013439333711906087,-0.13199744438651942
2011-03-31,01,2011-01,2011,1,3,66.15,74.47,66.0,73.93,59.39,340143900,0.1394858019953953,1.3699912351521575
2011-06-30,13,2011-13,2011,4,1,74.29,80.65,70.29,73.93,59.71,286361200,0.005388112476848006,0.05292056081478052
2011-09-30,26,2011-26,2011,7,1,73.81,76.2,56.01,60.51,49.2,426087600,-0.1760174175180036,-1.728794728812208
2011-12-31,40,2011-40,2011,10,3,60.1,74.74,56.9,73.35,60.02,358590700,0.21991869918699192,2.159981059163204
2012-03-31,01,2012-01,2012,1,3,74.7,76.74,72.3,74.37,61.21,277758100,0.01982672442519151,0.19473264157155043
2012-06-30,14,2012-14,2012,4,2,74.0,77.83,66.82,74.3,61.51,261811200,0.004901159941186117,0.048137846758951885
2012-09-30,27,2012-27,2012,7,2,74.21,75.96,69.03,69.6,57.97,275833900,-0.05755161762315064,-0.5652561808057545
2012-12-31,40,2012-40,2012,10,1,69.86,76.56,69.2,75.36,63.15,283745300,0.08935656373986545,0.8776356258178307
2013-03-31,00,2013-00,2013,1,2,76.55,86.84,72.68,85.85,72.4,398623900,0.14647664291369766,1.4386533545034408
2013-06-30,13,2013-13,2013,4,1,85.6,104.15,83.8,102.44,86.84,317714500,0.19944751381215475,1.9589186991559264
2013-09-30,26,2013-26,2013,7,1,102.93,120.38,98.99,117.5,100.06,321907400,0.1522339935513588,1.4952004711164553
2013-12-31,39,2013-39,2013,10,1,117.97,142.0,113.34,136.49,116.65,269005800,0.1658005196881871,1.6284471645650902
2014-03-31,00,2014-00,2014,1,2,136.01,144.57,118.77,125.49,107.86,331756600,-0.07535362194599238,-0.7401025776543679
2014-06-30,13,2014-13,2014,4,1,126.24,138.39,121.92,127.23,109.97,218235500,0.019562395698127233,0.1921364774165138
2014-09-30,26,2014-26,2014,7,1,127.66,130.58,117.87,127.38,110.76,266428400,0.0071837773938348,0.07055708842081848
2014-12-31,39,2014-39,2014,10,1,127.37,135.78,116.32,129.98,113.68,276683300,0.026363308053448886,0.25893317058917276
2015-03-31,00,2015-00,2015,1,2,131.07,158.83,126.18,150.08,132.08,283242600,0.16185784658691071,1.589723312283715
2015-06-30,13,2015-13,2015,4,1,149.97,155.5,138.44,138.72,122.86,234278500,-0.06980617807389466,-0.6856171076384066
2015-09-30,26,2015-26,2015,7,1,140.48,149.18,115.14,130.95,116.72,244225400,-0.04997558196321017,-0.4908464394353655
2015-12-31,39,2015-39,2015,10,1,131.32,150.59,128.56,144.59,129.67,224667600,0.11094928032899243,1.0897133573650537
2016-03-31,01,2016-01,2016,1,4,141.38,141.7,102.1,126.94,114.9,396923700,-0.11390452687591568,-1.1187389772423526
2016-06-30,13,2016-13,2016,4,1,126.23,137.89,122.35,129.87,118.51,281138900,0.031418624891209834,0.308585104044581
2016-09-30,26,2016-26,2016,7,1,129.54,139.45,123.96,131.74,121.21,209146100,0.02278288752004043,0.2237672635308305
2016-12-31,40,2016-40,2016,10,3,131.28,160.07,130.74,155.68,144.34,218125200,0.19082583945219045,1.8742389816755973
2017-03-31,01,2017-01,2017,1,3,156.3,185.71,155.21,176.86,165.39,212027700,0.14583622003602592,1.4323632969015196
2017-06-30,14,2017-14,2017,4,3,177.08,204.39,175.47,197.75,186.34,182807000,0.12667029445552958,1.2441208400834034
2017-09-30,27,2017-27,2017,7,3,198.07,259.3,197.75,254.21,240.96,236444100,0.2931201030374584,2.8789451418250582
2017-12-31,40,2017-40,2017,10,2,254.65,299.33,253.53,294.91,281.05,193045600,0.1663761620185924,1.6341009654247924
2018-03-31,00,2018-00,2018,1,2,295.75,371.6,295.4,327.88,314.01,380630300,0.11727450631560221,1.151837989679231
2018-06-30,13,2018-13,2018,4,2,325.2,374.48,311.88,335.51,322.92,273870000,0.02837489251934655,0.2786904006987936
2018-09-30,26,2018-26,2018,7,2,330.69,374.22,328.03,371.9,359.71,187741600,0.11392914653784203,1.1189807847996023
2018-12-31,39,2018-39,2018,10,1,375.16,394.28,292.47,322.5,313.37,276877400,-0.12882599872119205,-1.2652935752814647
2019-03-31,00,2019-00,2019,1,2,316.19,446.01,309.4,381.42,372.49,424435300,0.18865877397325836,1.8529546597613442
2019-06-30,13,2019-13,2019,4,1,385.8,398.66,330.67,364.01,357.53,325042600,-0.0401621520040808,-0.3944616257951166
2019-09-30,26,2019-26,2019,7,1,364.88,391.0,319.55,380.47,376.03,278389900,0.05174390960199138,0.5082144678034968
2019-12-31,39,2019-39,2019,10,1,381.7,382.85,320.61,325.76,323.83,326594500,-0.1388187112730367,-1.3634392533044797
2020-03-31,00,2020-00,2020,1,2,328.55,349.95,89.0,149.14,149.14,1043596600,-0.5394497112682581,-5.298326895430353
