Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2004-06-30,25,2004-25,2004,6,23,3.75,4.42,3.69,4.02,4.01,65642000,,
2004-09-30,26,2004-26,2004,7,1,4.02,4.28,2.25,3.91,3.9,145646000,-0.027431421446383997,-0.262497243222217
2004-12-31,39,2004-39,2004,10,1,3.91,5.68,3.65,4.24,4.22,185713600,0.08205128205128198,0.7851665792604875
2005-03-31,01,2005-01,2005,1,3,4.1,4.55,3.24,3.75,3.74,219944000,-0.11374407582938373,-1.0884418219606278
2005-06-30,13,2005-13,2005,4,1,3.64,5.49,3.4,5.12,5.11,263788000,0.3663101604278074,3.505301665264695
2005-09-30,26,2005-26,2005,7,1,5.11,6.29,4.66,5.78,5.76,349276800,0.12720156555772988,1.217219470661287
2005-12-31,40,2005-40,2005,10,3,5.97,9.05,5.07,8.01,7.99,393922800,0.3871527777777779,3.7047492078062434
2006-03-31,01,2006-01,2006,1,3,8.02,10.75,7.9,9.08,9.06,427010000,0.1339173967459324,1.2814847212351441
2006-06-30,14,2006-14,2006,4,3,9.15,9.47,6.03,6.66,6.65,492604000,-0.26600441501103755,-2.5454541523417937
2006-09-30,27,2006-27,2006,7,3,6.71,9.68,5.41,8.97,8.94,529781200,0.34436090225563887,3.295264435796718
2006-12-31,40,2006-40,2006,10,2,8.97,11.15,8.77,9.11,9.09,394215600,0.016778523489932917,0.16055734370364458
2007-03-31,00,2007-00,2007,1,3,9.14,12.61,8.89,10.7,10.67,417534000,0.17381738173817385,1.6632963632436502
2007-06-30,13,2007-13,2007,4,2,10.75,12.49,9.92,10.72,10.68,494893200,0.0009372071227740086,0.008968338973510712
2007-09-30,26,2007-26,2007,7,2,10.75,12.94,9.31,12.83,12.79,435855600,0.19756554307116092,1.8905476886512622
2007-12-31,39,2007-39,2007,10,1,12.85,16.38,11.4,15.67,15.63,412884400,0.22204847537138406,2.124830197392781
2008-03-31,00,2008-00,2008,1,2,15.76,15.89,11.77,14.47,14.43,469292400,-0.07677543186180424,-0.734680820325313
2008-06-30,13,2008-13,2008,4,1,14.62,18.8,14.62,17.06,17.01,488290000,0.17879417879417892,1.7109204176453217
2008-09-30,26,2008-26,2008,7,1,16.84,18.09,11.02,12.1,12.07,669788400,-0.2904174015285127,-2.7790673346620682
2008-12-31,39,2008-39,2008,10,1,11.94,12.12,5.2,8.0,7.98,737069600,-0.3388566694283347,-3.2425932336847674
2009-03-31,00,2009-00,2009,1,2,8.02,9.26,6.3,8.18,8.16,717757600,0.022556390977443552,0.21584701544519944
2009-06-30,13,2009-13,2009,4,1,7.82,11.37,7.5,9.54,9.52,548058800,0.16666666666666652,1.594869614122865
2009-09-30,26,2009-26,2009,7,1,9.63,14.77,8.82,14.23,14.19,499758400,0.490546218487395,4.694143549130538
2009-12-31,39,2009-39,2009,10,1,14.15,18.74,13.52,18.44,18.39,424202400,0.2959830866807611,2.8323265874486427
2010-03-31,01,2010-01,2010,1,4,18.65,19.5,15.07,18.61,18.56,466250400,0.009244154431756302,0.08845932606880416
2010-06-30,13,2010-13,2010,4,1,18.78,24.49,18.48,21.45,21.39,658094400,0.1524784482758621,1.4590994637826662
2010-09-30,26,2010-26,2010,7,1,21.42,30.94,20.9,27.95,27.87,672668000,0.302945301542777,2.8989495370311853
2010-12-31,39,2010-39,2010,10,1,28.27,37.81,24.48,33.0,32.91,862080000,0.18083961248654457,1.7304936179072645
2011-03-31,01,2011-01,2011,1,3,33.28,37.0,29.42,33.4,33.3,728538400,0.01185050136736554,0.11340002725759668
