Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,47.92,48.12,41.3,46.14,20.07,82385087,,
1998-06-30,13,1998-13,1998,4,1,46.2,47.95,44.12,45.87,20.14,83104275,0.0034877927254608476,0.03042031396040071
1998-09-30,26,1998-26,1998,7,1,45.93,46.97,35.43,40.53,17.98,103499986,-0.10724925521350548,-0.9354214176196186
1998-12-31,39,1998-39,1998,10,1,40.41,47.83,39.7,43.14,19.32,98854139,0.07452725250278092,0.6500221194885065
1999-03-31,01,1999-01,1999,1,4,43.17,48.15,40.56,44.21,19.98,93381173,0.03416149068322971,0.29795442382598586
1999-06-30,13,1999-13,1999,4,1,44.12,65.47,43.88,60.19,27.39,139131673,0.3708708708708708,3.2347129599475872
1999-09-30,26,1999-26,1999,7,1,60.19,63.78,50.41,53.91,24.73,137899229,-0.09711573566995257,-0.8470374824767972
1999-12-31,39,1999-39,1999,10,1,53.61,64.61,49.04,63.39,29.28,137532890,0.18398706025070766,1.6047238405596926
2000-03-31,01,2000-01,2000,1,3,63.51,67.13,43.65,54.08,25.18,163465638,-0.14002732240437166,-1.2213097067035144
2000-06-30,14,2000-14,2000,4,3,55.51,59.54,42.79,42.96,20.18,135111984,-0.1985702938840349,-1.731917908729289
2000-09-30,27,2000-27,2000,7,3,43.59,48.21,33.89,35.49,16.87,139165749,-0.16402378592666,-1.4306053878827507
2000-12-31,40,2000-40,2000,10,2,36.12,54.62,32.74,52.13,24.98,153112513,0.48073503260225237,4.192941431630425
2001-03-31,00,2001-00,2001,1,2,49.9,53.11,40.99,44.93,21.72,142661924,-0.13050440352281834,-1.1382513930366656
2001-06-30,13,2001-13,2001,4,2,44.93,56.46,44.18,47.32,23.11,119182189,0.06399631675874762,0.5581719446510756
2001-09-30,26,2001-26,2001,7,2,48.11,52.66,35.67,46.63,23.01,101533182,-0.004327131112072613,-0.03774097182328228
2001-12-31,39,2001-39,2001,10,1,46.26,55.04,44.9,48.08,23.96,114670039,0.04128639721860061,0.3600974210753006
2002-03-31,00,2002-00,2002,1,2,48.39,52.66,33.67,46.57,23.45,243192476,-0.02128547579298834,-0.1856506126904826
2002-06-30,13,2002-13,2002,4,1,46.34,49.23,42.29,48.93,24.9,113684289,0.061833688699360234,0.539309635527633
2002-09-30,26,2002-26,2002,7,1,48.96,49.43,35.3,38.87,20.01,143980720,-0.19638554216867454,-1.7128626384371002
2002-12-31,39,2002-39,2002,10,1,39.57,45.84,34.3,42.27,22.0,147654160,0.09945027486256852,0.8673991899469147
2003-03-31,00,2003-00,2003,1,2,42.63,44.55,35.34,39.3,20.7,138103477,-0.05909090909090908,-0.5153872802213141
2003-06-30,13,2003-13,2003,4,1,39.3,46.9,38.71,44.06,23.46,158801239,0.1333333333333333,1.16292514511476
2003-09-30,26,2003-26,2003,7,1,44.06,51.08,42.43,46.31,24.91,159766552,0.06180733162830343,0.5390797507725066
2003-12-31,39,2003-39,2003,10,1,46.54,59.78,46.14,59.17,32.08,130315918,0.28783621035728624,2.5104897502427233
2004-03-31,00,2004-00,2004,1,2,59.17,62.94,53.36,57.33,31.35,156770215,-0.022755610972568507,-0.19847304144336947
2004-06-30,13,2004-13,2004,4,1,57.34,60.42,51.74,57.93,31.94,135540292,0.018819776714513514,0.16414493675064762
2004-09-30,26,2004-26,2004,7,1,57.71,64.62,54.01,64.3,35.74,132514936,0.11897307451471506,1.0376758495858065
2004-12-31,39,2004-39,2004,10,1,64.29,73.07,59.52,70.47,39.43,164205135,0.10324566312255179,0.9005023332694739
2005-03-31,01,2005-01,2005,1,3,70.99,80.77,67.68,70.95,39.96,177040652,0.013441541973116866,0.11723630362239804
2005-06-30,13,2005-13,2005,4,1,71.23,71.86,61.03,63.38,35.97,218173189,-0.0998498498498499,-0.8708842584474279
2005-09-30,26,2005-26,2005,7,1,63.93,70.38,57.19,59.31,33.93,185986880,-0.056713928273561254,-0.49465539950669496
2005-12-31,40,2005-40,2005,10,3,59.32,67.19,57.71,62.37,35.95,188158218,0.0595343353964044,0.519254817226308
2006-03-31,01,2006-01,2006,1,3,62.72,64.26,57.3,57.78,33.62,223930848,-0.06481223922114066,-0.5652883702609316
2006-06-30,14,2006-14,2006,4,3,58.5,61.34,52.68,55.55,32.64,225575439,-0.029149315883402638,-0.254238543027765
2006-09-30,27,2006-27,2006,7,3,55.91,56.9,46.97,55.48,32.91,212261028,0.008272058823529216,0.07214838905812909
2006-12-31,40,2006-40,2006,10,2,55.48,59.14,54.27,56.79,34.0,214721911,0.03312063202673965,0.28887611854491585
2007-03-31,00,2007-00,2007,1,3,56.93,67.26,55.54,65.27,39.39,341738661,0.1585294117647058,1.3826837938607108
2007-06-30,13,2007-13,2007,4,2,65.14,67.75,62.21,62.94,38.34,266081040,-0.026656511805026595,-0.23249645894335405
2007-09-30,26,2007-26,2007,7,2,63.26,68.26,55.35,61.29,37.7,247201907,-0.016692749087115266,-0.1455931324087335
2007-12-31,39,2007-39,2007,10,1,61.33,67.51,55.79,56.11,34.87,264830405,-0.07506631299734767,-0.6547237720175292
2008-03-31,00,2008-00,2008,1,2,55.82,56.99,46.98,52.45,32.96,323662606,-0.05477487811872661,-0.4777431231364759
2008-06-30,13,2008-13,2008,4,1,52.9,61.81,48.82,49.69,31.59,293677991,-0.0415655339805826,-0.3625320347710614
2008-09-30,26,2008-26,2008,7,1,49.46,56.92,43.87,45.23,29.1,390736964,-0.07882241215574548,-0.6874842382088682
2008-12-31,39,2008-39,2008,10,1,44.86,45.94,21.25,21.48,14.13,706405374,-0.5144329896907216,-4.486852943909268
2009-03-31,00,2009-00,2009,1,2,21.61,23.74,8.38,12.0,8.02,1068928993,-0.43241330502477004,-3.7714822912161283
2009-06-30,13,2009-13,2009,4,1,11.77,27.03,11.59,22.97,15.5,1008426409,0.9326683291770574,8.134675890391279
2009-09-30,26,2009-26,2009,7,1,23.13,38.77,20.24,37.1,25.19,650466718,0.6251612903225807,5.452618382013885
2009-12-31,39,2009-39,2009,10,1,36.69,41.99,32.93,39.32,26.83,480410060,0.06510520047637947,0.5678435603378936
2010-03-31,01,2010-01,2010,1,4,40.14,45.06,36.39,42.09,28.86,472446284,0.07566157286619468,0.6599155920377284
2010-06-30,13,2010-13,2010,4,1,42.54,45.62,33.3,33.76,23.29,568740329,-0.193000693000693,-1.6833401918631017
2010-09-30,26,2010-26,2010,7,1,33.59,40.56,31.91,39.08,27.11,472828008,0.16401889222842425,1.4305627053472687
2010-12-31,39,2010-39,2010,10,1,39.42,49.1,38.97,48.59,33.85,338322237,0.24861674658797495,2.1684199957783523
2011-03-31,01,2011-01,2011,1,3,49.09,55.51,48.56,53.73,37.58,337841509,0.11019202363367797,0.9610880630601303
2011-06-30,13,2011-13,2011,4,1,53.73,60.1,48.35,51.24,36.1,387130761,-0.03938265034592858,-0.34349305776407146
2011-09-30,26,2011-26,2011,7,1,51.15,53.09,31.97,31.97,22.74,546113411,-0.37008310249307486,-3.227842092534598
2011-12-31,40,2011-40,2011,10,3,31.72,42.07,29.33,40.93,29.38,465660852,0.29199648197009687,2.546775383760558
2012-03-31,01,2012-01,2012,1,3,41.67,51.24,41.66,49.3,35.64,338019625,0.21307011572498302,1.85838446436821
2012-06-30,14,2012-14,2012,4,2,49.19,51.35,41.66,44.83,32.74,485153853,-0.08136924803591461,-0.7096975843503369
2012-09-30,27,2012-27,2012,7,2,44.92,46.23,40.49,41.22,30.43,422441073,-0.07055589492974956,-0.6153841826241059
2012-12-31,40,2012-40,2012,10,1,41.55,46.9,39.07,46.01,34.31,350159135,0.12750575090371363,1.1120973290450074
2013-03-31,00,2013-00,2013,1,2,46.95,49.57,43.59,45.32,34.12,330546898,-0.00553774409793073,-0.04829986394020876
2013-06-30,13,2013-13,2013,4,1,45.35,51.24,42.43,45.79,34.82,331211495,0.0205158264947245,0.17893777877645045
2013-09-30,26,2013-26,2013,7,1,46.13,58.47,45.62,54.65,41.9,328906242,0.2033314187248707,1.7734441472025775
2013-12-31,39,2013-39,2013,10,1,54.74,64.03,54.14,63.19,48.8,357891609,0.1646778042959427,1.4363096959352943
2014-03-31,00,2014-00,2014,1,2,62.91,72.53,59.52,69.16,53.8,437956895,0.10245901639344268,0.8936412488074494
2014-06-30,13,2014-13,2014,4,1,69.54,75.93,66.27,73.24,57.39,347022904,0.06672862453531603,0.5820029652828056
2014-09-30,26,2014-26,2014,7,1,73.37,78.24,71.65,74.64,58.89,309578208,0.026136957658128512,0.22796493958078085
2014-12-31,39,2014-39,2014,10,1,74.35,76.57,58.99,64.92,51.69,542340762,-0.12226184411614882,-1.0663602960807792
