Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,32.55,38.06,30.77,35.1,26.89,273405067,,
1998-06-30,13,1998-13,1998,4,1,35.1,42.21,34.36,34.55,26.51,417741415,-0.01413164745258455,-0.17138540547512068
1998-09-30,26,1998-26,1998,7,1,34.88,39.77,23.55,25.03,19.23,483938365,-0.2746133534515277,-3.3304482784535496
1998-12-31,39,1998-39,1998,10,1,24.91,33.29,22.2,29.59,22.78,360237304,0.18460738429537193,2.2388763601215693
1999-03-31,01,1999-01,1999,1,4,29.59,38.17,28.86,30.7,23.64,435337559,0.037752414398595224,0.45785269347238655
1999-06-30,13,1999-13,1999,4,1,30.7,35.51,28.12,30.4,23.4,418810035,-0.010152284263959421,-0.12312459399481769
1999-09-30,26,1999-26,1999,7,1,29.53,29.78,24.79,25.65,19.75,444341208,-0.15598290598290598,-1.8917251989737907
1999-12-31,39,1999-39,1999,10,1,25.28,29.59,23.06,28.86,22.45,515097718,0.13670886075949373,1.657973963185908
2000-03-31,01,2000-01,2000,1,3,28.86,41.93,28.36,40.69,31.67,576345363,0.41069042316258364,4.980760023531104
2000-06-30,14,2000-14,2000,4,3,40.69,43.28,36.56,38.29,29.8,309658186,-0.05904641616671935,-0.7161015027115694
2000-09-30,27,2000-27,2000,7,3,38.17,42.42,34.9,37.73,29.36,258710795,-0.014765100671141007,-0.17906778200454387
2000-12-31,40,2000-40,2000,10,2,37.98,41.37,25.65,28.55,22.37,365180939,-0.23807901907356943,-2.887368182368584
2001-03-31,00,2001-00,2001,1,2,28.05,33.54,25.71,28.21,22.11,380016730,-0.011622708985248198,-0.14095757050546706
2001-06-30,13,2001-13,2001,4,2,28.21,34.33,26.11,28.5,22.33,327045008,0.00995024875621886,0.12067435331830301
2001-09-30,26,2001-26,2001,7,2,28.5,28.63,15.29,18.37,14.39,544725998,-0.3555754590237348,-4.312338276641588
2001-12-31,39,2001-39,2001,10,1,18.37,22.59,17.57,20.44,16.19,556999901,0.1250868658790827,1.517025053181453
2002-03-31,00,2002-00,2002,1,2,20.62,24.66,19.75,22.77,18.03,469625040,0.11365040148239647,1.378326214677003
2002-06-30,13,2002-13,2002,4,1,22.34,24.83,18.2,18.64,14.76,454529748,-0.1813643926788686,-2.1995460955496786
2002-09-30,26,2002-26,2002,7,1,18.64,19.73,13.3,14.94,11.83,610998679,-0.1985094850948509,-2.40747787600774
2002-12-31,39,2002-39,2002,10,1,15.04,19.97,13.71,16.09,12.9,520646121,0.09044801352493659,1.096932931875213
2003-03-31,00,2003-00,2003,1,2,16.57,18.49,14.64,16.79,13.46,463818242,0.04341085271317824,0.5264769461049701
