Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2019-03-31,11,2019-11,2019,3,20,52.75,53.5,48.0,51.63,39.15,10048800,,
2019-06-30,13,2019-13,2019,4,1,52.3,60.52,46.75,49.31,37.93,412339200,-0.03116219667943798,-0.2943971481870194
2019-09-30,26,2019-26,2019,7,1,50.0,52.99,40.44,47.65,37.27,278111300,-0.017400474558396994,-0.16438668107351312
2019-12-31,39,2019-39,2019,10,1,47.94,56.25,43.83,54.73,43.36,236249700,0.16340220016098717,1.5437018843610846
2020-03-31,00,2020-00,2020,1,2,55.23,55.54,21.95,29.24,23.55,450243400,-0.4568726937269373,-4.316191810909194
2020-06-30,13,2020-13,2020,4,1,27.84,45.93,26.92,40.76,33.41,399324600,0.4186836518046708,3.955410279698072
2020-09-30,26,2020-26,2020,7,1,40.75,51.56,39.17,47.05,39.16,275778100,0.17210416043100873,1.6259115024276276
2020-12-31,39,2020-39,2020,10,1,47.21,58.18,44.33,55.5,46.77,256025400,0.19433094994892763,1.8358936007610906
2021-03-31,01,2021-01,2021,1,4,55.82,67.27,51.33,63.94,54.48,270129000,0.1648492623476585,1.557372646579411
2021-06-30,13,2021-13,2021,4,1,63.95,71.38,60.45,63.28,54.47,278058600,-0.0001835535976504321,-0.001734077229652136
2021-09-30,26,2021-26,2021,7,1,64.22,65.86,55.21,57.56,50.08,299191200,-0.08059482283825958,-0.7613996614647387
2021-12-31,39,2021-39,2021,10,1,57.67,61.17,52.07,56.72,49.96,361951700,-0.0023961661341852514,-0.022637187093807132
2022-03-31,01,2022-01,2022,1,3,57.2,64.94,54.6,63.72,56.8,365032600,0.13690952762209752,1.2934189109387393
2022-06-30,13,2022-13,2022,4,1,64.29,71.86,50.42,51.61,46.49,362601500,-0.1815140845070422,-1.714809433505399
2022-09-30,26,2022-26,2022,7,1,50.91,56.42,43.04,43.93,40.09,380138400,-0.13766401376640136,-1.3005467322381998
2022-12-31,40,2022-40,2022,10,3,44.94,53.44,42.91,50.39,46.64,337690400,0.16338238962334728,1.5435147292049436
2023-03-31,01,2023-01,2023,1,3,50.6,60.88,49.2,54.82,51.36,323590000,0.10120068610634636,0.9560684598315492
2023-06-30,14,2023-14,2023,4,3,55.22,57.74,48.34,53.26,50.6,280956800,-0.014797507788161912,-0.13979579610267207
2023-09-30,27,2023-27,2023,7,3,53.25,56.49,50.08,51.56,49.62,273127200,-0.019367588932806434,-0.18297050775110907
2023-12-31,40,2023-40,2023,10,2,51.29,55.9,47.26,54.84,53.5,258220300,0.07819427650141075,0.7387210934892849
