Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-06-30,18,1999-18,1999,5,4,76.0,77.25,60.5,72.25,51.57,83872000,,
1999-09-30,26,1999-26,1999,7,1,71.38,71.44,55.19,61.0,43.63,51369600,-0.15396548380841568,-1.590305105698058
1999-12-31,39,1999-39,1999,10,1,61.0,94.81,57.94,94.19,67.5,55550400,0.5471006188402474,5.650986740345343
2000-03-31,01,2000-01,2000,1,3,94.19,128.0,78.38,105.25,75.54,73311900,0.11911111111111117,1.2302952808635605
2000-06-30,14,2000-14,2000,4,3,108.75,110.81,69.38,94.78,68.11,119856100,-0.0983584855705587,-1.0159420015607317
2000-09-30,27,2000-27,2000,7,3,94.38,133.62,88.38,114.06,82.06,120724600,0.20481573924533847,2.115535948657735
2000-12-31,40,2000-40,2000,10,2,113.12,116.88,77.0,106.94,77.03,151338200,-0.06129661223495009,-0.6331309653826902
2001-03-31,00,2001-00,2001,1,2,104.38,120.0,81.0,85.1,61.37,220040900,-0.2032974165909387,-2.099853237119651
2001-06-30,13,2001-13,2001,4,2,85.1,105.15,77.0,85.8,61.95,178386700,0.009450871761446988,0.09761778577741996
2001-09-30,26,2001-26,2001,7,2,85.95,88.0,63.27,71.35,51.59,169527800,-0.1672316384180791,-1.7273308395630553
2001-12-31,39,2001-39,2001,10,1,71.36,95.17,71.0,92.75,67.16,191947200,0.3018026749370031,3.1173112505064786
2002-03-31,00,2002-00,2002,1,2,92.8,97.25,77.52,90.25,65.44,212494800,-0.025610482430017845,-0.26452994502668903
2002-06-30,13,2002-13,2002,4,1,89.4,89.45,69.03,73.35,53.27,220569600,-0.18597188264058673,-1.9208982894349171
2002-09-30,26,2002-26,2002,7,1,73.75,81.97,64.49,66.03,48.04,407521800,-0.09817908766660421,-1.0140890057102763
2002-12-31,39,2002-39,2002,10,1,66.5,81.0,58.57,68.1,49.71,285179600,0.03476269775187357,0.3590629169290551
2003-03-31,00,2003-00,2003,1,2,68.1,75.75,61.02,68.08,49.78,256375500,0.001408167370750446,0.014544920744498962
2003-06-30,13,2003-13,2003,4,1,68.48,91.98,68.06,83.75,61.33,286830100,0.2320208919244675,2.396537197358058
2003-09-30,26,2003-26,2003,7,1,83.75,93.74,82.36,83.9,61.62,234490200,0.004728517854231118,0.048840726505463325
2003-12-31,39,2003-39,2003,10,1,83.9,100.78,83.9,98.73,72.72,205372000,0.18013631937682573,1.8606229223628337
2004-03-31,00,2004-00,2004,1,2,98.8,109.29,96.15,104.35,77.05,228551300,0.05954345434543451,0.6150226473764238
2004-06-30,13,2004-13,2004,4,1,104.24,107.5,87.68,94.16,69.7,246020600,-0.09539260220635948,-0.9853074765988898
2004-09-30,26,2004-26,2004,7,1,94.17,94.96,83.29,93.24,69.22,217275900,-0.006886657101865201,-0.07113208544790345
2004-12-31,39,2004-39,2004,10,1,93.46,110.88,90.74,104.04,77.44,216754000,0.11875180583646339,1.2265840268951864
2005-03-31,01,2005-01,2005,1,3,104.9,113.93,101.79,109.99,82.07,207769200,0.05978822314049581,0.6175508573029155
2005-06-30,13,2005-13,2005,4,1,110.74,114.25,94.75,102.02,76.3,313650500,-0.07030583648105271,-0.7261869865282075
2005-09-30,26,2005-26,2005,7,1,102.17,121.7,102.02,121.58,91.14,197891100,0.19449541284403682,2.008937590620014
2005-12-31,40,2005-40,2005,10,3,121.29,134.99,110.23,127.71,95.94,228103800,0.05266622778143515,0.543987969686068
2006-03-31,01,2006-01,2006,1,3,126.7,159.63,124.23,156.96,118.13,254910000,0.23129038982697514,2.3889918619580093
2006-06-30,14,2006-14,2006,4,3,157.99,169.31,136.79,150.43,113.45,326775600,-0.039617370693303955,-0.40920669574416735
2006-09-30,27,2006-27,2006,7,3,151.93,171.15,138.97,169.17,127.89,281317400,0.1272807404142795,1.3146791497094878
2006-12-31,40,2006-40,2006,10,2,168.51,206.7,168.51,199.35,151.0,304929200,0.1807021659238408,1.866467535262433
2007-03-31,00,2007-00,2007,1,3,200.6,222.75,189.85,206.63,156.78,479602100,0.03827814569536425,0.3953738788087032
2007-06-30,13,2007-13,2007,4,2,207.67,233.97,203.29,216.75,164.72,370666200,0.05064421482331927,0.5231026553185918
2007-09-30,26,2007-26,2007,7,2,217.5,225.77,157.38,216.74,165.01,827635600,0.0017605633802817433,0.018184809109884733
2007-12-31,39,2007-39,2007,10,1,215.41,250.7,196.9,215.05,163.97,736334800,-0.006302648324343907,-0.0650998753856776
2008-03-31,00,2008-00,2008,1,2,214.8,215.05,140.27,165.39,126.33,870444700,-0.2295541867414771,-2.37105866964049
2008-06-30,13,2008-13,2008,4,1,171.49,203.39,161.21,174.9,133.84,651245300,0.05944747882529877,0.6140313189571021
2008-09-30,26,2008-26,2008,7,1,173.13,190.04,86.31,128.0,98.14,1111273800,-0.2667364016736402,-2.7551127107485622
2008-12-31,39,2008-39,2008,10,1,127.32,142.0,47.41,84.39,64.9,1611247200,-0.33869981658854686,-3.4984207778024095
2009-03-31,00,2009-00,2009,1,2,84.02,115.65,59.13,106.02,81.98,1585111500,0.26317411402157154,2.718317942850458
2009-06-30,13,2009-13,2009,4,1,104.1,151.17,103.94,147.44,114.31,1177081800,0.39436447914125394,4.07337949500868
2009-09-30,26,2009-26,2009,7,1,147.59,188.0,135.23,184.35,143.23,661228800,0.25299623829936135,2.6131909538278286
2009-12-31,39,2009-39,2009,10,1,184.01,193.6,160.2,168.84,131.46,581180400,-0.08217552188787258,-0.8487886296924892
2010-03-31,01,2010-01,2010,1,4,170.05,178.75,147.81,170.63,133.15,754196600,0.012855621481819623,0.13278534885714366
2010-06-30,13,2010-13,2010,4,1,171.72,186.41,131.02,131.27,102.69,1136978200,-0.2287645512579798,-2.3629025471772973
2010-09-30,26,2010-26,2010,7,1,131.69,157.25,129.5,144.58,113.39,504741600,0.10419709806212873,1.0762488640201784
2010-12-31,39,2010-39,2010,10,1,145.2,171.61,144.7,168.16,132.17,355054400,0.16562307081753236,1.7107159905414844
2011-03-31,01,2011-01,2011,1,3,170.55,175.34,153.26,158.6,124.92,311619400,-0.05485359763940367,-0.5665812507717554
2011-06-30,13,2011-13,2011,4,1,159.77,164.4,128.3,133.09,105.1,382455000,-0.15866154338776828,-1.6388105716049466
2011-09-30,26,2011-26,2011,7,1,133.43,139.25,91.4,94.55,74.89,510561300,-0.2874405328258801,-2.968965092892992
2011-12-31,40,2011-40,2011,10,3,93.74,118.07,84.27,90.43,71.9,488294000,-0.03992522366136997,-0.4123865003004203
2012-03-31,01,2012-01,2012,1,3,92.97,128.72,92.42,124.37,99.19,422839300,0.37955493741307356,3.9204121594682038
2012-06-30,14,2012-14,2012,4,2,124.14,125.54,90.43,95.86,76.82,343851000,-0.22552676681117056,-2.3294595636621245
2012-09-30,27,2012-27,2012,7,2,96.56,122.6,91.15,113.68,91.5,258549800,0.19109606873210105,1.9738258619161773
2012-12-31,40,2012-40,2012,10,1,116.67,129.72,113.84,127.56,103.11,254968700,0.1268852459016394,1.3105940981305915
2013-03-31,00,2013-00,2013,1,2,131.3,159.0,129.62,147.15,119.34,274249800,0.15740471341286,1.625828810520247
2013-06-30,13,2013-13,2013,4,1,146.67,168.2,137.29,151.25,123.06,247318100,0.031171442936148708,0.3219689480209548
2013-09-30,26,2013-26,2013,7,1,152.78,170.0,149.28,158.21,129.14,196179100,0.04940679343409715,0.5103213649637445
2013-12-31,39,2013-39,2013,10,1,158.86,177.44,152.83,177.26,145.17,188249200,0.12412885240823912,1.2821233880893597
2014-03-31,00,2014-00,2014,1,2,176.95,181.13,159.77,163.85,134.64,207416900,-0.07253564786112832,-0.7492186448893137
2014-06-30,13,2014-13,2014,4,1,164.76,171.08,151.65,167.44,138.06,178060300,0.02540106951871679,0.26236692501854514
2014-09-30,26,2014-26,2014,7,1,166.35,188.58,161.53,183.57,151.83,158277900,0.09973924380704058,1.0302038141364913
2014-12-31,39,2014-39,2014,10,1,183.19,198.06,171.26,193.83,160.82,193253600,0.059210959625897175,0.6115883188696797
2015-03-31,00,2015-00,2015,1,2,195.3,195.73,172.26,187.97,156.45,164569200,-0.02717323715955733,-0.2806715942058837
2015-06-30,13,2015-13,2015,4,1,187.94,218.77,186.96,208.79,174.32,160347100,0.11422179610099081,1.1797936851056707
2015-09-30,26,2015-26,2015,7,1,211.63,214.61,167.49,173.76,145.57,193618100,-0.1649265718219367,-1.7035218722143688
2015-12-31,39,2015-39,2015,10,1,174.4,199.9,169.87,180.23,151.51,184762900,0.04080511094318884,0.4214748310230159
2016-03-31,01,2016-01,2016,1,4,175.79,177.5,139.05,156.98,132.54,312617800,-0.12520625701273846,-1.2932518696233761
2016-06-30,13,2016-13,2016,4,1,156.46,168.9,138.2,148.58,125.96,214098900,-0.049645390070921946,-0.5127858228432586
2016-09-30,26,2016-26,2016,7,1,148.49,172.42,142.62,161.27,137.25,171529000,0.08963162908859967,0.9258025490245844
2016-12-31,40,2016-40,2016,10,3,160.5,245.57,160.25,239.45,204.42,245326400,0.48939890710382494,5.054987400024792
2017-03-31,01,2017-01,2017,1,3,242.7,255.15,220.85,229.72,196.63,239287100,-0.03810781723901768,-0.3936145610247857
2017-06-30,14,2017-14,2017,4,3,230.0,232.89,209.62,221.9,190.58,227535600,-0.030768448354777878,-0.3178064284453325
2017-09-30,27,2017-27,2017,7,3,224.46,237.6,214.64,237.19,204.4,179116700,0.0725154790639102,0.7490103219561577
2017-12-31,40,2017-40,2017,10,2,237.2,262.14,233.55,254.76,220.24,167069100,0.077495107632094,0.8004447638880691
2018-03-31,00,2018-00,2018,1,2,257.77,275.31,239.29,251.86,218.34,215930600,-0.008626952415546674,-0.08910754627400565
2018-06-30,13,2018-13,2018,4,2,251.26,262.5,219.12,220.57,191.89,200054500,-0.12114133919574988,-1.2512654490393713
2018-09-30,26,2018-26,2018,7,2,219.75,245.08,218.89,224.24,195.73,169661000,0.02001146490176664,0.2066978521327354
2018-12-31,39,2018-39,2018,10,1,226.22,234.06,151.7,167.05,146.4,263519800,-0.2520308588361517,-2.6032195767938133
2019-03-31,00,2019-00,2019,1,2,164.33,206.45,163.35,191.99,168.94,202315800,0.1539617486338798,1.5902665251864512
2019-06-30,13,2019-13,2019,4,1,194.0,209.97,180.73,204.6,180.84,158713900,0.07043920918669344,0.7275645894135733
2019-09-30,26,2019-26,2019,7,1,208.0,222.24,193.71,207.23,184.32,141344000,0.019243530192435188,0.19876587634904477
2019-12-31,39,2019-39,2019,10,1,207.01,232.21,193.99,229.93,205.66,147427000,0.11577690972222232,1.1958564094943553
2020-03-31,00,2020-00,2020,1,2,231.0,250.46,130.85,154.59,139.12,266351100,-0.3235437129242439,-3.3418738138749484
2020-06-30,13,2020-13,2020,4,1,146.1,222.98,141.67,197.62,178.95,231286300,0.28629959746981015,2.9571804040319014
2020-09-30,26,2020-26,2020,7,1,198.88,225.24,185.87,200.97,183.09,220055500,0.023134953897736787,0.23896028118510665
2020-12-31,39,2020-39,2020,10,1,201.53,263.93,185.52,263.71,241.56,190495700,0.3193511387842045,3.2985688347588575
2021-03-31,01,2021-01,2021,1,4,267.0,356.85,260.16,327.0,300.71,199527500,0.2448666997847324,2.5292211815971206
2021-06-30,13,2021-13,2021,4,1,324.3,393.26,322.97,379.53,350.19,179993600,0.16454391273984914,1.699569397432795
2021-09-30,26,2021-26,2021,7,1,380.7,420.76,349.0,378.03,350.5,152711600,0.000885233730260726,0.0091435540365757
2021-12-31,39,2021-39,2021,10,1,379.44,426.16,366.65,382.55,356.57,157563500,0.01731811697574881,0.17887833796488975
2022-03-31,01,2022-01,2022,1,3,389.0,412.66,318.55,330.1,309.49,209463100,-0.13203578539978122,-1.363793874199796
2022-06-30,13,2022-13,2022,4,1,333.93,347.35,278.15,297.02,280.18,167193400,-0.09470419076545289,-0.9781968943942643
2022-09-30,26,2022-26,2022,7,1,295.27,358.62,277.84,293.05,278.53,136032900,-0.005889071311300009,-0.06082805017411605
2022-12-31,40,2022-40,2022,10,3,297.17,389.58,287.75,343.38,328.5,146667300,0.179406168096794,1.8530812105463637
2023-03-31,01,2023-01,2023,1,3,345.5,379.68,301.87,327.11,315.18,187891600,-0.04054794520547944,-0.4188185734283023
2023-06-30,14,2023-14,2023,4,3,326.14,347.73,310.56,322.54,313.14,136415600,-0.006472491909385147,-0.06685418494766518
2023-09-30,27,2023-27,2023,7,3,322.41,361.62,312.7,323.57,316.76,126891300,0.011560324455515136,0.11940626269202133
2023-12-31,40,2023-40,2023,10,2,322.03,387.76,289.36,385.77,380.75,134528300,0.20201414319989897,2.086598342741399
