Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,19.67,23.48,18.44,22.54,13.53,330944100,,
1998-06-30,13,1998-13,1998,4,1,22.48,28.85,21.85,27.69,16.63,387138900,0.22912047302291194,2.784160821510245
1998-09-30,26,1998-26,1998,7,1,27.75,32.67,23.5,26.33,15.83,465916950,-0.0481058328322308,-0.5845587401708308
1998-12-31,39,1998-39,1998,10,1,25.33,41.33,21.08,40.79,24.53,398880900,0.5495893872394189,6.678343579173734
1999-03-31,01,1999-01,1999,1,4,40.25,44.21,34.58,41.5,24.97,351796500,0.017937219730941534,0.2179643912340997
1999-06-30,13,1999-13,1999,4,1,41.67,45.29,36.75,42.96,25.87,346584150,0.03604325190228286,0.4379801093380493
1999-09-30,26,1999-26,1999,7,1,42.54,46.62,35.75,45.75,27.57,308422950,0.06571318129107073,0.7985146957561651
1999-12-31,39,1999-39,1999,10,1,45.58,69.75,44.71,68.75,41.45,381823500,0.5034457743924556,6.1176287842169135
2000-03-31,01,2000-01,2000,1,3,68.62,69.56,51.0,64.5,38.92,407038500,-0.061037394451145977,-0.7416968027163324
2000-06-30,14,2000-14,2000,4,3,65.5,70.0,44.12,49.94,30.16,385711200,-0.22507708119218917,-2.7350274857913233
2000-09-30,27,2000-27,2000,7,3,49.69,60.0,48.0,52.94,32.0,343870900,0.0610079575596818,0.7413390998937068
2000-12-31,40,2000-40,2000,10,2,53.94,56.81,34.69,45.69,27.64,604905800,-0.13624999999999998,-1.6556438930397845
2001-03-31,00,2001-00,2001,1,2,45.69,52.5,38.11,43.1,26.1,545083900,-0.05571635311143264,-0.67703809006526
2001-06-30,13,2001-13,2001,4,2,43.1,53.73,40.05,47.24,28.63,402104700,0.09693486590038303,1.1779054587199973
2001-09-30,26,2001-26,2001,7,2,46.99,50.9,30.3,38.37,23.28,423964300,-0.18686692280824302,-2.270716180246638
2001-12-31,39,2001-39,2001,10,1,38.12,52.04,37.1,51.01,31.01,480318300,0.33204467353951883,4.0348457685291255
2002-03-31,00,2002-00,2002,1,2,51.01,52.6,46.9,48.61,29.58,413579100,-0.04611415672363761,-0.560356858437946
2002-06-30,13,2002-13,2002,4,1,48.15,50.46,34.9,36.73,22.38,570858900,-0.2434077079107505,-2.957772367862354
2002-09-30,26,2002-26,2002,7,1,36.75,38.5,24.75,26.1,15.93,933807200,-0.2882037533512064,-3.5021121775197748
2002-12-31,39,2002-39,2002,10,1,25.95,31.32,23.01,24.02,14.69,959549900,-0.07784055241682364,-0.9458806256128978
2003-03-31,00,2003-00,2003,1,2,24.21,25.8,20.1,24.36,14.94,853204100,0.017018379850238352,0.20679909481452077
2003-06-30,13,2003-13,2003,4,1,24.61,34.72,23.98,33.12,20.35,654022700,0.3621151271753682,4.400247331267694
2003-09-30,26,2003-26,2003,7,1,33.12,34.7,30.1,31.85,19.61,614165800,-0.03636363636363649,-0.4418732658654987
2003-12-31,39,2003-39,2003,10,1,32.12,37.89,31.93,35.49,21.9,495921500,0.11677715451300363,1.4190193226863692
2004-03-31,00,2004-00,2004,1,2,35.75,37.65,34.7,37.36,23.09,487558100,0.054337899543378976,0.6602877911163648
2004-06-30,13,2004-13,2004,4,1,37.3,37.84,32.34,35.2,21.81,475066700,-0.0554352533564314,-0.6736223022289093
2004-09-30,26,2004-26,2004,7,1,35.21,39.73,32.39,39.2,24.35,413739400,0.1164603392939021,1.4151695378590112
2004-12-31,39,2004-39,2004,10,1,39.59,44.3,38.31,42.74,26.6,409391800,0.0924024640657084,1.12282991069518
