Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,37.06,41.77,33.01,40.04,22.54,86801393,,
1998-06-30,13,1998-13,1998,4,1,40.04,45.34,37.78,42.31,23.9,90537713,0.06033717834960073,0.7475907279997785
1998-09-30,26,1998-26,1998,7,1,42.54,44.51,31.1,33.73,19.12,126705435,-0.19999999999999996,-2.4780433836933824
1998-12-31,39,1998-39,1998,10,1,32.77,43.02,31.52,42.25,24.04,82056955,0.2573221757322175,3.188277575254038
1999-03-31,01,1999-01,1999,1,4,41.59,48.56,36.05,46.89,26.79,108243969,0.11439267886855231,1.4173501050658897
1999-06-30,13,1999-13,1999,4,1,46.95,65.42,46.95,60.06,34.41,149537608,0.2844344904815228,3.5242050361596804
1999-09-30,26,1999-26,1999,7,1,60.18,64.83,54.04,57.14,32.82,105039548,-0.0462074978204009,-0.5725209212543543
1999-12-31,39,1999-39,1999,10,1,57.14,61.25,49.87,55.0,31.68,169773624,-0.034734917733089565,-0.4303731653580828
2000-03-31,01,2000-01,2000,1,3,55.0,57.68,38.43,50.23,29.05,221356876,-0.08301767676767668,-1.0286070232186852
2000-06-30,14,2000-14,2000,4,3,52.44,56.37,30.63,32.12,18.64,242973467,-0.35834767641996557,-4.440005443071965
2000-09-30,27,2000-27,2000,7,3,32.59,39.8,31.46,33.96,19.81,293170270,0.0627682403433476,0.777712113444543
2000-12-31,40,2000-40,2000,10,2,34.32,53.09,31.82,45.11,26.41,439387237,0.3331650681474003,4.127987464002102
2001-03-31,00,2001-00,2001,1,2,44.33,47.61,33.22,38.9,22.87,325943508,-0.13404013631200296,-1.6607863646865904
2001-06-30,13,2001-13,2001,4,2,38.56,51.39,31.46,33.27,19.56,623277632,-0.14473108876257113,-1.7932495846141454
2001-09-30,26,2001-26,2001,7,2,32.8,37.26,21.12,25.17,14.95,363398655,-0.23568507157464214,-2.9201891612542163
2001-12-31,39,2001-39,2001,10,1,25.69,33.27,24.14,32.24,19.27,211897058,0.2889632107023412,3.580316862058668
2002-03-31,00,2002-00,2002,1,2,32.37,38.97,27.23,36.49,21.93,280040945,0.13803840166061243,1.7103257396534515
2002-06-30,13,2002-13,2002,4,1,36.49,39.04,32.39,33.59,20.28,194982424,-0.07523939808481528,-0.9322324630857454
2002-09-30,26,2002-26,2002,7,1,33.59,35.06,20.34,20.65,12.54,287994102,-0.3816568047337279,-4.728810599059859
2002-12-31,39,2002-39,2002,10,1,21.07,25.99,17.89,22.88,14.01,290673444,0.11722488038277512,1.4524416961839206
2003-03-31,00,2003-00,2003,1,2,23.98,24.79,19.26,20.36,12.57,235295437,-0.10278372591006424,-1.2735126597139441
2003-06-30,13,2003-13,2003,4,1,20.9,27.85,20.45,25.6,15.92,256356633,0.2665075576770086,3.3020864500289693
