Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,49.95,51.8,45.71,49.65,26.55,533204354,,
1998-06-30,13,1998-13,1998,4,1,49.65,61.81,49.38,54.88,29.4,513985361,0.10734463276836159,1.4351625705654178
1998-09-30,26,1998-26,1998,7,1,55.45,66.03,52.94,61.42,32.96,577573167,0.1210884353741497,1.6189127084938801
1998-12-31,39,1998-39,1998,10,1,59.78,90.79,55.84,88.13,47.36,552278168,0.4368932038834952,5.841118995683983
1999-03-31,01,1999-01,1999,1,4,88.43,95.24,77.32,84.73,45.59,711767230,-0.037373310810810745,-0.4996689208441934
1999-06-30,13,1999-13,1999,4,1,84.76,126.2,77.92,123.57,66.57,638787913,0.4601886378591793,6.1525713156069
1999-09-30,26,1999-26,1999,7,1,124.28,133.07,112.39,115.68,62.38,428124559,-0.06294126483400919,-0.8415040892518589
1999-12-31,39,1999-39,1999,10,1,115.68,117.83,85.09,103.13,55.69,710347383,-0.10724591215133061,-1.433842708259757
2000-03-31,01,2000-01,2000,1,3,107.49,122.61,95.12,113.17,61.17,526256195,0.09840186748069679,1.3156007286063205
2000-06-30,14,2000-14,2000,4,3,114.72,122.37,96.8,104.74,56.69,448194578,-0.07323851561222827,-0.97917495844674
2000-09-30,27,2000-27,2000,7,3,103.97,129.0,95.6,107.67,58.33,397058248,0.028929264420532785,0.3867747871468377
2000-12-31,40,2000-40,2000,10,2,107.67,114.36,76.54,81.26,44.08,545711379,-0.24429967426710097,-3.26620660453556
2001-03-31,00,2001-00,2001,1,2,80.78,113.42,80.07,91.95,49.94,638009266,0.13294010889292185,1.777365700451167
2001-06-30,13,2001-13,2001,4,2,93.16,114.63,86.09,108.51,59.0,552807652,0.18141770124148993,2.4254952273360844
2001-09-30,26,2001-26,2001,7,2,108.51,110.33,83.64,87.69,47.74,516442001,-0.19084745762711863,-2.5515679807210425
2001-12-31,39,2001-39,2001,10,1,87.69,119.22,87.32,115.64,63.04,515554147,0.32048596564725584,4.28479235921351
2002-03-31,00,2002-00,2002,1,2,115.3,120.83,91.55,99.43,54.27,540941407,-0.13911802030456843,-1.8599623519427855
2002-06-30,13,2002-13,2002,4,1,99.43,99.43,63.19,68.83,37.65,638292635,-0.30624654505251525,-4.094415971153117
2002-09-30,26,2002-26,2002,7,1,68.84,79.21,55.44,55.75,30.56,625762805,-0.18831341301460824,-2.5176886344861393
2002-12-31,39,2002-39,2002,10,1,56.6,85.53,51.63,74.09,40.69,650222783,0.3314790575916231,4.4317663968198895
2003-03-31,00,2003-00,2003,1,2,75.33,85.04,69.95,74.98,41.26,555994394,0.014008355861391042,0.18728712827973432
2003-06-30,13,2003-13,2003,4,1,75.05,86.42,74.68,78.87,43.48,535458485,0.05380513814832755,0.7193570687526774
2003-09-30,26,2003-26,2003,7,1,77.82,89.36,75.27,84.45,46.64,459982578,0.07267709291628344,0.9716689209420549
2003-12-31,39,2003-39,2003,10,1,84.85,90.38,83.68,88.6,49.03,387244992,0.05124356775300165,0.6851097118198608
2004-03-31,00,2004-00,2004,1,2,88.78,96.01,85.1,87.8,48.66,378227428,-0.007546400163165545,-0.10089289773858208
2004-06-30,13,2004-13,2004,4,1,87.64,90.39,81.38,84.27,46.8,321444064,-0.038224414303329235,-0.51104789569034
2004-09-30,26,2004-26,2004,7,1,84.4,84.55,78.3,81.97,45.62,320156538,-0.025213675213675235,-0.337098576797451
2004-12-31,39,2004-39,2004,10,1,82.17,94.65,80.58,94.24,52.55,356966957,0.15190705830775975,2.0309475999460616
2005-03-31,01,2005-01,2005,1,3,94.62,94.74,85.17,87.36,48.81,314126248,-0.07117031398667928,-0.951523780322394
2005-06-30,13,2005-13,2005,4,1,87.47,87.72,68.69,70.94,39.74,513276698,-0.18582257734070884,-2.4843869776038296
2005-09-30,26,2005-26,2005,7,1,71.03,81.37,70.9,76.69,43.06,394879645,0.08354302969300442,1.1169429356171179
2005-12-31,40,2005-40,2005,10,3,76.69,85.98,75.24,78.59,44.23,387646244,0.027171388759869908,0.36327256550027126
2006-03-31,01,2006-01,2006,1,3,78.82,81.29,75.46,78.84,44.49,386035401,0.00587836310196721,0.07859178873284742
2006-06-30,14,2006-14,2006,4,3,79.08,80.74,72.72,73.44,41.59,383475421,-0.06518318723308603,-0.8714778572017701
2006-09-30,27,2006-27,2006,7,3,74.13,80.11,69.53,78.34,44.54,356523557,0.0709305121423418,0.9483177082303841
2006-12-31,40,2006-40,2006,10,2,78.16,93.58,77.97,92.88,52.98,396713807,0.18949259092950155,2.533453856871725
2007-03-31,00,2007-00,2007,1,3,92.91,96.46,84.87,90.11,51.56,503829646,-0.026802567006417366,-0.35834153949445674
2007-06-30,13,2007-13,2007,4,2,90.35,103.3,89.78,100.62,57.79,505061729,0.12083010085337453,1.6154588605897977
2007-09-30,26,2007-26,2007,7,2,100.76,113.66,99.14,112.62,64.91,573064593,0.12320470669666017,1.647206562717425
2007-12-31,39,2007-39,2007,10,1,112.44,116.12,94.9,103.35,59.78,530051295,-0.07903250654752725,-1.0566387189542634
2008-03-31,00,2008-00,2008,1,2,104.2,114.52,92.77,110.08,63.91,622462987,0.06908665105386413,0.9236658895855202
2008-06-30,13,2008-13,2008,4,1,110.13,124.27,108.85,113.32,66.06,527113080,0.0336410577374433,0.449769920059187
2008-09-30,26,2008-26,2008,7,1,112.33,125.17,105.11,111.82,65.44,581907583,-0.009385407205570795,-0.125479819377799
2008-12-31,39,2008-39,2008,10,1,110.43,111.66,66.44,80.46,47.35,755349131,-0.27643643031784837,-3.6958645039011446
2009-03-31,00,2009-00,2009,1,2,80.2,95.47,78.16,92.63,54.81,751123707,0.15755015839493147,2.106393999250809
2009-06-30,13,2009-13,2009,4,1,91.9,105.77,91.49,99.83,59.38,551461552,0.08337894544791102,1.1147491830194851
2009-09-30,26,2009-26,2009,7,1,100.38,117.48,95.12,114.35,68.34,439501793,0.15089255641630173,2.017384042040654
2009-12-31,39,2009-39,2009,10,1,114.14,127.01,112.1,125.14,75.12,438017938,0.09920983318700616,1.3264029653841747
2010-03-31,01,2010-01,2010,1,4,125.41,128.35,116.26,122.61,73.93,428147776,-0.015841320553780625,-0.21179326567890958
2010-06-30,13,2010-13,2010,4,1,123.28,127.25,110.9,118.05,71.55,519746624,-0.03219261463546608,-0.43040471034220823
2010-09-30,26,2010-26,2010,7,1,118.12,130.12,115.31,128.24,78.11,394934974,0.09168413696715594,1.225786872584442
2010-12-31,39,2010-39,2010,10,1,129.55,141.04,128.48,140.31,85.84,350173819,0.09896300089617216,1.3231028985259063
2011-03-31,01,2011-01,2011,1,3,140.74,160.34,140.19,155.9,95.75,353143619,0.11544734389561961,1.5434931636285865
