Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,17.67,23.91,17.62,19.52,11.12,4392836400,,
1998-06-30,13,1998-13,1998,4,1,19.38,21.36,16.41,18.53,10.57,4074154800,-0.049460431654676174,-0.49755517589437637
1998-09-30,26,1998-26,1998,7,1,18.67,23.16,17.44,21.44,12.23,4823049600,0.15704824976348153,1.5798521549616387
1998-12-31,39,1998-39,1998,10,1,21.06,31.55,18.95,29.64,16.92,4077256800,0.38348323793949324,3.8577113769990765
1999-03-31,01,1999-01,1999,1,4,29.98,35.92,27.39,29.72,16.97,4545368000,0.002955082742316595,0.029727130646599605
1999-06-30,13,1999-13,1999,4,1,29.98,33.38,25.06,29.75,16.99,2794057200,0.0011785503830288313,0.011855817337430272
1999-09-30,26,1999-26,1999,7,1,29.88,44.75,29.62,37.16,21.23,3158598200,0.24955856386109487,2.510474554787182
1999-12-31,39,1999-39,1999,10,1,37.12,42.75,32.5,41.16,23.53,2901560200,0.10833725859632604,1.0898360963194966
2000-03-31,01,2000-01,2000,1,3,41.63,72.69,38.69,65.97,37.72,3503594600,0.6030599235019123,6.066578399634221
2000-06-30,14,2000-14,2000,4,3,65.69,70.12,52.56,66.84,38.23,3207154000,0.013520678685047693,0.13601344420766348
2000-09-30,27,2000-27,2000,7,3,67.06,75.83,41.38,41.56,23.78,2985239200,-0.3779754119801202,-3.802304514941244
2000-12-31,40,2000-40,2000,10,2,42.94,47.88,29.81,30.06,17.21,3542378200,-0.276282590412111,-2.779309202734289
2001-03-31,00,2001-00,2001,1,2,30.69,38.59,24.56,26.31,15.07,3542338400,-0.12434631028471821,-1.2508817294092565
2001-06-30,13,2001-13,2001,4,2,26.06,32.57,22.25,29.25,16.76,3207566400,0.11214333112143349,1.128123895704635
2001-09-30,26,2001-26,2001,7,2,29.58,32.23,18.96,20.44,11.72,2983902100,-0.30071599045346065,-3.025100924491776
2001-12-31,39,2001-39,2001,10,1,20.21,34.85,19.08,31.45,18.05,3202740800,0.5401023890784982,5.433246945258276
2002-03-31,00,2002-00,2002,1,2,31.9,36.78,28.5,30.41,17.46,2987458400,-0.032686980609418326,-0.3288199443976665
2002-06-30,13,2002-13,2002,4,1,30.14,31.45,17.45,18.27,10.5,3288359000,-0.39862542955326463,-4.010036691594346
2002-09-30,26,2002-26,2002,7,1,18.35,19.88,13.67,13.89,7.99,3942202000,-0.23904761904761906,-2.4047380130602845
2002-12-31,39,2002-39,2002,10,1,14.05,22.09,12.95,15.57,8.97,4307737700,0.12265331664580725,1.2338507873083548
2003-03-31,00,2003-00,2003,1,2,16.02,19.01,14.88,16.28,9.39,3562556200,0.04682274247491636,0.47102091689411124
2003-06-30,13,2003-13,2003,4,1,16.38,22.92,16.28,20.81,12.01,3864368700,0.2790202342917998,2.806848972132277
2003-09-30,26,2003-26,2003,7,1,20.87,29.38,20.51,27.52,15.9,3745690300,0.3238967527060783,3.258291534725289
2003-12-31,39,2003-39,2003,10,1,27.82,34.51,27.81,32.05,18.53,3207700400,0.16540880503144662,1.6639565068195088
2004-03-31,00,2004-00,2004,1,2,32.36,34.6,26.03,27.2,15.74,3922203100,-0.15056664867781977,-1.5146494452325838
2004-06-30,13,2004-13,2004,4,1,27.37,29.01,25.61,27.6,16.0,3598644400,0.016518424396442244,0.16616974986090197
2004-09-30,26,2004-26,2004,7,1,27.39,27.48,19.64,20.06,11.65,4519295900,-0.271875,-2.734970337313956
2004-12-31,39,2004-39,2004,10,1,20.3,24.99,20.22,23.39,13.61,4438783700,0.16824034334763938,1.6924408224195275
2005-03-31,01,2005-01,2005,1,3,23.64,25.47,21.89,23.23,13.56,4372321400,-0.0036737692872886862,-0.03695687366204907
2005-06-30,13,2005-13,2005,4,1,23.34,27.75,21.94,26.02,15.24,3828294200,0.12389380530973448,1.2463296827552153
2005-09-30,26,2005-26,2005,7,1,26.23,28.84,23.8,24.65,14.48,3148314600,-0.04986876640419946,-0.5016628850535146
2005-12-31,40,2005-40,2005,10,3,24.74,27.49,22.53,24.96,14.71,3400775100,0.015883977900552626,0.1597874331827562
2006-03-31,01,2006-01,2006,1,3,25.19,26.63,19.31,19.46,11.52,5378227800,-0.21685927940176752,-2.181530837830303
2006-06-30,14,2006-14,2006,4,3,19.68,20.27,16.75,19.0,11.31,4783658100,-0.01822916666666663,-0.18337923717622273
2006-09-30,27,2006-27,2006,7,3,19.27,20.95,16.84,20.57,12.31,3955923000,0.08841732979664019,0.8894483652351864
2006-12-31,40,2006-40,2006,10,2,20.56,22.5,20.03,20.25,12.18,3679313800,-0.010560519902518384,-0.10623525031724672
2007-03-31,00,2007-00,2007,1,3,20.45,22.3,18.75,19.13,11.57,4171528800,-0.05008210180623973,-0.5038089668796446
2007-06-30,13,2007-13,2007,4,2,19.15,24.45,19.03,23.74,14.43,4092502300,0.247191011235955,2.4866577779530217
2007-09-30,26,2007-26,2007,7,2,23.88,26.52,22.09,25.86,15.79,4219436300,0.0942480942480941,0.9481038790506942
2007-12-31,39,2007-39,2007,10,1,26.04,27.99,24.32,26.66,16.35,3878003500,0.03546548448385067,0.35677075149167803
2008-03-31,00,2008-00,2008,1,2,26.28,26.34,18.05,21.18,13.07,5283990400,-0.20061162079510708,-2.0180849000279304
2008-06-30,13,2008-13,2008,4,1,21.51,25.29,20.5,21.48,13.33,3561466300,0.019892884468247773,0.20011567427777902
2008-09-30,26,2008-26,2008,7,1,21.29,24.75,17.27,18.73,11.7,4089600800,-0.12228057014253568,-1.230101083842478
2008-12-31,39,2008-39,2008,10,1,18.5,18.69,12.06,14.66,9.24,5205778800,-0.21025641025641018,-2.1151082125292713
2009-03-31,00,2009-00,2009,1,2,14.69,15.89,12.05,15.03,9.57,4233897400,0.03571428571428581,0.35927360752892784
2009-06-30,13,2009-13,2009,4,1,14.77,16.74,14.62,16.55,10.62,4148324800,0.10971786833855779,1.1037245623145697
2009-09-30,26,2009-26,2009,7,1,16.67,20.65,15.78,19.57,12.66,3900684400,0.192090395480226,1.932364261963494
2009-12-31,39,2009-39,2009,10,1,19.49,21.27,18.31,20.4,13.29,3926574600,0.04976303317535535,0.5005992446137645
2010-03-31,01,2010-01,2010,1,4,20.79,22.75,18.95,22.29,14.64,3925473000,0.10158013544018063,1.0218617279603794
2010-06-30,13,2010-13,2010,4,1,22.4,24.37,19.4,19.45,12.86,4745036600,-0.12158469945355199,-1.2231008606039433
2010-09-30,26,2010-26,2010,7,1,19.43,22.28,17.6,19.2,12.8,4697213900,-0.004665629860031051,-0.04693465479382506
2010-12-31,39,2010-39,2010,10,1,19.47,22.07,18.77,21.03,14.13,3446935300,0.10390625000000009,1.0452616519044726
2011-03-31,01,2011-01,2011,1,3,21.01,22.21,19.71,20.18,13.67,3782513800,-0.03255484784147211,-0.3274907335437076
2011-06-30,13,2011-13,2011,4,1,20.38,23.96,19.36,22.16,15.13,4214055700,0.10680321872713971,1.0744041752584148
2011-09-30,26,2011-26,2011,7,1,22.21,23.39,19.16,21.34,14.71,3834412000,-0.027759418374091238,-0.27925033870060706
2011-12-31,40,2011-40,2011,10,3,21.18,25.78,20.4,24.25,16.87,3648345500,0.1468388851121687,1.4771494074336855
2012-03-31,01,2012-01,2012,1,3,24.62,28.45,24.39,28.12,19.71,2629425200,0.1683461766449319,1.6935054695139466
2012-06-30,14,2012-14,2012,4,2,28.04,29.27,24.84,26.65,18.82,2409911500,-0.045154743784880824,-0.45424141550587877
2012-09-30,27,2012-27,2012,7,2,26.51,26.9,22.48,22.66,16.14,2454674200,-0.14240170031880972,-1.4325128325701735
2012-12-31,40,2012-40,2012,10,1,22.75,23.17,19.23,20.62,14.84,3079745000,-0.080545229244114,-0.8102577022337633
2013-03-31,00,2013-00,2013,1,2,21.15,23.06,20.1,21.84,15.89,2678589100,0.07075471698113223,0.7117684677459888
2013-06-30,13,2013-13,2013,4,1,21.67,25.98,20.75,24.23,17.79,2862523300,0.11957205789804903,1.2028543688193143
2013-09-30,26,2013-26,2013,7,1,24.35,24.43,21.89,22.92,16.99,2310926600,-0.04496908375491848,-0.4523737385412007
2013-12-31,39,2013-39,2013,10,1,22.94,26.04,22.48,25.96,19.43,2004128600,0.14361389052383755,1.4447070551133778
2014-03-31,00,2014-00,2014,1,2,25.78,27.12,23.5,25.81,19.5,1932032800,0.0036026762738035067,0.03624170204615122
2014-06-30,13,2014-13,2014,4,1,25.8,31.0,25.64,30.9,23.55,1988905000,0.20769230769230762,2.0893142099374513
2014-09-30,26,2014-26,2014,7,1,30.99,35.56,30.44,34.82,26.71,1986990000,0.13418259023354562,1.3498313713018875
2014-12-31,39,2014-39,2014,10,1,34.61,37.9,29.65,36.29,28.02,2057376700,0.049045301385248985,0.49337910610861263
2015-03-31,00,2015-00,2015,1,2,36.67,37.49,29.31,31.27,24.32,2057161500,-0.1320485367594575,-1.3283635167736196
2015-06-30,13,2015-13,2015,4,1,31.13,34.75,30.15,30.42,23.83,1768769900,-0.020148026315789602,-0.2026823147737216
2015-09-30,26,2015-26,2015,7,1,30.49,30.92,24.87,30.14,23.8,2216979800,-0.0012589173310951773,-0.01266428159145108
2015-12-31,39,2015-39,2015,10,1,30.21,35.59,29.46,34.45,27.4,1590834400,0.15126050420168058,1.5216293965931014
