Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,32.53,38.22,31.69,36.72,19.11,269019400,,
1998-06-30,13,1998-13,1998,4,1,36.66,38.94,33.53,37.0,19.32,264992200,0.01098901098901095,0.2176265868901044
1998-09-30,26,1998-26,1998,7,1,36.88,40.41,34.06,39.12,20.5,313710400,0.06107660455486541,1.209562261918193
1998-12-31,39,1998-39,1998,10,1,38.56,44.88,36.31,41.94,22.03,340596200,0.07463414634146348,1.4780560825711888
1999-03-31,01,1999-01,1999,1,4,41.47,47.0,38.5,46.75,24.64,293282200,0.11847480708125291,2.3462773786776627
1999-06-30,13,1999-13,1999,4,1,46.62,51.5,43.91,49.0,25.9,285489400,0.051136363636363535,1.0127055378579306
1999-09-30,26,1999-26,1999,7,1,48.69,52.94,45.0,45.94,24.35,291535800,-0.059845559845559726,-1.185182628604219
1999-12-31,39,1999-39,1999,10,1,46.06,53.44,45.06,46.62,24.78,360862200,0.017659137577002104,0.34972190328582503
2000-03-31,01,2000-01,2000,1,3,46.56,48.47,33.06,35.12,18.74,619843600,-0.2437449556093625,-4.827129831246063
2000-06-30,14,2000-14,2000,4,3,35.31,50.99,35.0,50.94,27.27,440881200,0.45517609391675573,9.014316197529691
2000-09-30,27,2000-27,2000,7,3,50.62,50.72,45.12,46.97,25.23,330937400,-0.07480748074807475,-1.481488800523619
2000-12-31,40,2000-40,2000,10,2,47.09,52.97,44.59,52.53,28.31,420341000,0.12207689258818855,2.4176131499626883
2001-03-31,00,2001-00,2001,1,2,52.0,52.34,40.25,43.74,23.65,580714400,-0.16460614623807845,-3.2598633146103153
2001-06-30,13,2001-13,2001,4,2,43.75,54.2,42.6,49.96,27.12,581842100,0.1467230443974632,2.905706018701421
2001-09-30,26,2001-26,2001,7,2,50.1,57.6,50.0,55.4,30.17,503735200,0.11246312684365778,2.227221946583653
2001-12-31,39,2001-39,2001,10,1,55.4,60.97,53.05,59.1,32.28,495704400,0.06993702353331122,1.3850341713214809
2002-03-31,00,2002-00,2002,1,2,58.9,65.89,54.7,64.95,35.58,418376700,0.1022304832713754,2.0245744746932632
2002-06-30,13,2002-13,2002,4,1,64.2,65.29,52.0,52.26,28.73,508228300,-0.19252388982574475,-3.8127468504200963
2002-09-30,26,2002-26,2002,7,1,51.7,56.5,41.4,54.08,29.84,649641300,0.03863557257222405,0.7651396290208655
2002-12-31,39,2002-39,2002,10,1,54.95,61.3,53.0,53.71,29.74,501271700,-0.0033512064343164116,-0.06636735726206405
2003-03-31,00,2003-00,2003,1,2,54.25,58.68,49.1,57.87,32.17,456278600,0.08170813718897119,1.6181495346001689
2003-06-30,13,2003-13,2003,4,1,57.87,59.08,50.75,51.7,28.87,537988400,-0.10258004351880634,-2.0314971726173012
2003-09-30,26,2003-26,2003,7,1,51.7,54.24,49.0,49.52,27.78,533532300,-0.037755455490128154,-0.7477097732466065
2003-12-31,39,2003-39,2003,10,1,49.71,52.89,48.05,51.66,29.12,551234800,0.04823614110871133,0.955269474635689
2004-03-31,00,2004-00,2004,1,2,51.66,54.9,49.25,50.72,28.71,471969500,-0.01407967032967028,-0.27883406445294623
2004-06-30,13,2004-13,2004,4,1,51.05,57.28,49.9,55.7,31.7,432864100,0.10414489724834541,2.0624875662462085
2004-09-30,26,2004-26,2004,7,1,55.35,58.8,54.37,56.33,32.22,359395600,0.016403785488958933,0.3248608861716007
2004-12-31,39,2004-39,2004,10,1,56.39,64.25,54.81,63.42,36.45,437825000,0.13128491620111737,2.599969028293241
2005-03-31,01,2005-01,2005,1,3,63.35,68.68,61.2,67.16,38.76,401848600,0.06337448559670777,1.2550695426658156
2005-06-30,13,2005-13,2005,4,1,67.32,69.99,64.43,65.0,37.7,446900300,-0.027347781217750167,-0.5415959899747027
2005-09-30,26,2005-26,2005,7,1,64.82,65.43,61.65,63.28,36.89,427383500,-0.021485411140583666,-0.4254974991954837
2005-12-31,40,2005-40,2005,10,3,63.18,64.6,59.76,60.1,35.22,655197100,-0.045269720791542456,-0.8965224291051588
2006-03-31,01,2006-01,2006,1,3,61.07,63.1,56.7,59.22,34.9,585239500,-0.009085746734809774,-0.17993430466325577
2006-06-30,14,2006-14,2006,4,3,59.49,62.0,57.32,59.92,35.53,567133300,0.018051575931232078,0.35749376006904643
2006-09-30,27,2006-27,2006,7,3,60.13,65.13,59.68,64.94,38.73,413968200,0.0900647340275822,1.7836437405684924
2006-12-31,40,2006-40,2006,10,2,65.0,69.41,64.5,66.02,39.6,543116000,0.022463206816421444,0.4448617837358553
2007-03-31,00,2007-00,2007,1,3,66.13,68.22,59.87,60.26,36.36,686117200,-0.0818181818181819,-1.6203288605726938
2007-06-30,13,2007-13,2007,4,2,60.26,65.45,60.03,61.62,37.42,789211800,0.029152915291529302,0.5773449002040608
2007-09-30,26,2007-26,2007,7,2,61.94,65.75,59.72,65.7,40.17,841992400,0.07349011223944424,1.4553996090125303
2007-12-31,39,2007-39,2007,10,1,65.66,68.75,63.55,66.7,41.03,714930200,0.021409011700273872,0.4239844831969047
2008-03-31,00,2008-00,2008,1,2,66.56,68.85,61.17,64.87,40.17,833525800,-0.020960272970996785,-0.4150976526936289
2008-06-30,13,2008-13,2008,4,1,65.13,68.32,63.1,64.34,40.12,670202100,-0.0012447099825741992,-0.02465026065098554
2008-09-30,26,2008-26,2008,7,1,63.75,72.76,63.74,69.28,43.48,900189600,0.08374875373878354,1.6585619443548973
2008-12-31,39,2008-39,2008,10,1,69.07,69.07,52.06,59.83,37.86,1331273800,-0.1292548298068077,-2.559765157942446
2009-03-31,00,2009-00,2009,1,2,60.13,61.0,46.25,52.6,33.57,1081059600,-0.1133122028526149,-2.2440370643430576
2009-06-30,13,2009-13,2009,4,1,52.3,57.23,50.12,56.8,36.57,865395800,0.08936550491510276,1.7697961936550106
2009-09-30,26,2009-26,2009,7,1,56.82,62.47,55.71,60.89,39.52,679686200,0.08066721356302997,1.5975350629108245
2009-12-31,39,2009-39,2009,10,1,60.93,65.41,58.78,64.41,42.13,726001000,0.06604251012145745,1.3079071521323091
2010-03-31,01,2010-01,2010,1,4,64.71,65.95,61.89,65.2,42.98,708414300,0.020175646807500502,0.3995589009245089
2010-06-30,13,2010-13,2010,4,1,65.37,66.2,57.55,59.06,39.28,950979900,-0.08608655188459735,-1.7048597442042415
2010-09-30,26,2010-26,2010,7,1,59.07,62.7,56.86,61.96,41.6,759332100,0.05906313645621175,1.1696875006170815
2010-12-31,39,2010-39,2010,10,1,62.09,64.92,61.25,61.85,41.88,642267300,0.006730769230769207,0.13329628447018893
2011-03-31,01,2011-01,2011,1,3,62.63,63.54,57.5,59.25,40.49,711720600,-0.03319006685768866,-0.6572967281692795
2011-06-30,13,2011-13,2011,4,1,59.63,67.37,59.06,66.52,45.85,773482000,0.13237836502840206,2.621623710089348
2011-09-30,26,2011-26,2011,7,1,66.48,68.05,59.08,63.69,44.29,958965300,-0.03402399127589972,-0.6738117835315022
2011-12-31,40,2011-40,2011,10,3,63.65,66.32,60.83,65.58,46.03,698790300,0.03928652065929117,0.7780310175700919
2012-03-31,01,2012-01,2012,1,3,65.59,66.32,64.02,65.96,46.7,612670000,0.014555724527482106,0.2882618510251953
2012-06-30,14,2012-14,2012,4,2,66.04,67.7,61.71,67.56,48.3,958818100,0.03426124197002123,0.6785103008822087
2012-09-30,27,2012-27,2012,7,2,67.42,69.75,66.85,68.91,49.71,697672900,0.029192546583850953,0.5781297590863232
2012-12-31,40,2012-40,2012,10,1,68.92,72.74,67.8,70.1,51.02,711412200,0.026352846509756667,0.521892283708902
2013-03-31,00,2013-00,2013,1,2,71.02,81.59,70.3,81.53,59.81,581188500,0.17228537828302626,3.4119429750593144
2013-06-30,13,2013-13,2013,4,1,81.39,89.99,80.31,85.86,63.46,649998800,0.06102658418324691,1.2085716575079148
2013-09-30,26,2013-26,2013,7,1,85.72,94.42,85.5,86.69,64.56,563452900,0.017333753545540453,0.34327799161203076
2013-12-31,39,2013-39,2013,10,1,86.59,95.99,85.5,91.59,68.68,455136200,0.06381660470879802,1.2638252781418562
2014-03-31,00,2014-00,2014,1,2,91.14,98.6,86.09,98.23,74.19,536363400,0.0802271403610948,1.5888198446792
2014-06-30,13,2014-13,2014,4,1,98.31,106.0,96.05,104.62,79.57,428825900,0.07251651165925321,1.4361184042277613
2014-09-30,26,2014-26,2014,7,1,105.15,108.77,98.8,106.59,81.62,399530500,0.025763478698001885,0.5102204321270494
2014-12-31,39,2014-39,2014,10,1,105.98,109.49,95.1,104.57,80.59,533745400,-0.012619456015682484,-0.2499159518403534
2015-03-31,00,2015-00,2015,1,2,105.05,106.5,97.15,100.6,78.08,563857900,-0.031145303387517087,-0.6168021927232779
2015-06-30,13,2015-13,2015,4,1,100.46,104.48,97.01,97.46,76.19,485381700,-0.024205942622950838,-0.4793749574696365
2015-09-30,26,2015-26,2015,7,1,98.3,101.36,81.79,93.35,73.54,548530000,-0.034781467384171094,-0.688812855080047
2015-12-31,39,2015-39,2015,10,1,93.43,105.49,91.76,102.72,81.51,479903100,0.10837639379929298,2.1462882060618265
2016-03-31,01,2016-01,2016,1,4,101.71,109.56,94.28,108.2,86.48,585800400,0.06097411360569249,1.2075325291717307
2016-06-30,13,2016-13,2016,4,1,108.0,121.41,107.69,121.3,97.65,466854900,0.12916281221091586,2.5579428396876187
2016-09-30,26,2016-26,2016,7,1,121.3,126.07,117.04,118.13,95.73,400945100,-0.019662058371735847,-0.3893877855754151
2016-12-31,40,2016-40,2016,10,3,118.0,122.5,109.32,115.21,94.01,449410200,-0.01796719941502145,-0.3558227659045161
2017-03-31,01,2017-01,2017,1,3,115.78,129.0,110.76,124.55,102.3,443671900,0.08818210828635253,1.7463601838530631
2017-06-30,14,2017-14,2017,4,3,124.73,137.0,120.95,132.29,109.38,364305600,0.06920821114369491,1.370600756613458
2017-09-30,27,2017-27,2017,7,3,132.79,137.08,129.05,130.01,108.18,331152300,-0.010970927043335021,-0.21726845207898318
2017-12-31,40,2017-40,2017,10,2,130.16,144.35,130.02,139.72,116.97,331606500,0.08125346644481413,1.6091452263590873
2018-03-31,00,2018-00,2018,1,2,139.66,148.32,122.15,128.15,107.97,499825700,-0.07694280584765323,-1.5237768202359245
2018-06-30,13,2018-13,2018,4,2,127.82,132.88,118.62,121.34,102.99,422310700,-0.04612392331203119,-0.9134390723984256
2018-09-30,26,2018-26,2018,7,2,121.34,143.13,120.11,138.17,118.06,391901500,0.1463248859112536,2.897820880313464
2018-12-31,39,2018-39,2018,10,1,138.26,148.99,121.0,129.05,110.97,609880600,-0.06005420972386921,-1.1893147348435282
2019-03-31,00,2019-00,2019,1,2,128.13,140.0,125.0,139.79,121.0,431201100,0.09038478868162558,1.7899821091484682
2019-06-30,13,2019-13,2019,4,1,139.99,144.98,128.52,139.28,121.38,434246900,0.0031404958677685446,0.062194441112890214
2019-09-30,26,2019-26,2019,7,1,140.2,142.47,126.34,129.38,113.6,459174500,-0.06409622672598447,-1.269362917996841
2019-12-31,39,2019-39,2019,10,1,130.02,147.84,126.1,145.87,128.97,462169500,0.13529929577464794,2.6794698792745026
2020-03-31,00,2020-00,2020,1,2,145.87,154.5,109.16,131.13,116.67,653678600,-0.09537101651546864,-1.8887294619376176
2020-06-30,13,2020-13,2020,4,1,127.7,157.0,125.5,140.63,125.99,544653600,0.07988343190194569,1.582013035683861
2020-09-30,26,2020-26,2020,7,1,140.69,155.47,140.06,148.88,134.27,386636400,0.06571950154774209,1.3015102840698227
2020-12-31,39,2020-39,2020,10,1,149.31,157.66,133.65,157.38,142.93,449844800,0.06449690921278028,1.2772980417413902
2021-03-31,01,2021-01,2021,1,4,157.24,173.65,151.47,164.35,150.19,507242900,0.05079409501154397,1.005927243369597
2021-06-30,13,2021-13,2021,4,1,162.6,172.74,156.53,164.74,151.48,442220400,0.008589120447433096,0.17009910803002187
2021-09-30,26,2021-26,2021,7,1,164.74,179.92,161.41,161.5,149.39,380542000,-0.013797200950620536,-0.27324003538836206
2021-12-31,39,2021-39,2021,10,1,161.53,173.51,155.85,171.07,159.27,468562600,0.06613561818060121,1.30975106594254
2022-03-31,01,2022-01,2022,1,3,170.21,180.21,155.72,177.23,166.07,500255700,0.042694795002197417,0.845528548801386
2022-06-30,13,2022-13,2022,4,1,177.05,186.69,167.26,177.51,167.4,475485400,0.008008671042331716,0.1586038767466128
2022-09-30,26,2022-26,2022,7,1,177.45,179.99,160.81,163.36,155.09,440233200,-0.07353643966547196,-1.45631707825666
2022-12-31,40,2022-40,2022,10,3,164.29,181.04,159.17,176.65,168.79,407553900,0.088335805016442,1.7494039968785475
2023-03-31,01,2023-01,2023,1,3,176.16,180.93,150.11,155.0,149.17,511024300,-0.11623911369156947,-2.3020016634002713
2023-06-30,14,2023-14,2023,4,3,154.95,167.23,153.15,165.52,160.5,424595900,0.07595360997519607,1.5041867659804589
2023-09-30,27,2023-27,2023,7,3,164.34,175.97,155.26,155.75,152.12,1433505600,-0.052211838006230527,-1.0340042531505071
2023-12-31,40,2023-40,2023,10,2,155.42,160.02,144.95,156.74,154.31,430499300,0.014396529056008411,0.2851091408186238
