Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,36.21,46.38,32.85,44.96,21.04,395154300,,
1998-06-30,13,1998-13,1998,4,1,45.0,51.0,42.79,50.33,23.68,330653250,0.12547528517110274,1.2912210323800561
1998-09-30,26,1998-26,1998,7,1,50.67,51.71,26.71,28.75,13.59,509686200,-0.426097972972973,-4.3848209932892885
1998-12-31,39,1998-39,1998,10,1,28.33,48.38,23.71,47.33,22.57,451506900,0.6607799852832965,6.7998491783469825
1999-03-31,01,1999-01,1999,1,4,46.75,59.67,45.25,54.25,26.0,393613950,0.15197164377492234,1.5638855293292562
1999-06-30,13,1999-13,1999,4,1,53.92,60.75,46.75,57.67,27.78,324720000,0.06846153846153857,0.7045130700447554
1999-09-30,26,1999-26,1999,7,1,57.04,59.0,48.38,50.25,24.32,315194850,-0.12455003599712022,-1.281699625897422
1999-12-31,39,1999-39,1999,10,1,50.08,59.5,43.88,51.79,25.21,335023500,0.036595394736842035,0.3765900456653695
2000-03-31,01,2000-01,2000,1,3,49.83,67.17,45.5,58.12,28.45,462111000,0.12852042840142786,1.3225575061744275
2000-06-30,14,2000-14,2000,4,3,58.62,62.0,44.12,46.06,22.66,446426900,-0.20351493848857638,-2.0942990376283497
2000-09-30,27,2000-27,2000,7,3,45.88,58.38,44.56,46.19,22.88,457866000,0.009708737864077666,0.09990912960163412
2000-12-31,40,2000-40,2000,10,2,46.62,48.12,32.38,45.44,22.67,601099800,-0.009178321678321555,-0.09445080739874641
2001-03-31,00,2001-00,2001,1,2,44.62,57.33,37.58,44.9,22.56,605907900,-0.004852227613586391,-0.049932529262750366
2001-06-30,13,2001-13,2001,4,2,44.5,50.6,39.21,44.47,22.53,474196400,-0.0013297872340424233,-0.01368436216617994
2001-09-30,26,2001-26,2001,7,2,44.8,46.01,29.04,34.15,17.43,442177500,-0.2263648468708389,-2.3294392267970903
2001-12-31,39,2001-39,2001,10,1,34.3,40.95,31.85,36.35,18.74,536764400,0.07515777395295453,0.7734216211789141
2002-03-31,00,2002-00,2002,1,2,36.49,39.68,26.7,35.65,18.55,721363900,-0.010138740661686074,-0.10433413374087247
2002-06-30,13,2002-13,2002,4,1,35.65,38.75,30.15,33.92,17.82,517530100,-0.039353099730458196,-0.4049685959432274
2002-09-30,26,2002-26,2002,7,1,33.59,33.68,17.86,18.99,10.09,907448800,-0.4337822671156004,-4.463897300646751
