Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,33.34,39.66,31.12,38.72,19.21,361819400,,
1998-06-30,13,1998-13,1998,4,1,38.72,43.41,35.94,42.75,21.25,369861600,0.10619469026548667,1.9072418358967138
1998-09-30,26,1998-26,1998,7,1,42.75,44.47,26.81,28.81,14.36,568174000,-0.32423529411764707,-5.823220690878843
1998-12-31,39,1998-39,1998,10,1,28.56,37.72,27.69,33.5,16.73,459260800,0.1650417827298052,2.9641274145282015
1999-03-31,01,1999-01,1999,1,4,33.5,35.19,29.78,30.69,15.36,532113200,-0.08188882247459661,-1.4707118380911073
1999-06-30,13,1999-13,1999,4,1,30.69,35.44,28.81,31.0,15.56,502650400,0.013020833333333481,0.23385235184063716
1999-09-30,26,1999-26,1999,7,1,31.06,32.75,23.97,24.12,12.14,490720200,-0.21979434447300772,-3.947475792098567
1999-12-31,39,1999-39,1999,10,1,24.12,34.5,23.66,29.12,14.69,621911200,0.21004942339373955,3.7724583677487504
2000-03-31,01,2000-01,2000,1,3,29.0,33.44,21.44,23.47,11.88,718165800,-0.19128658951667799,-3.4354804864549795
2000-06-30,14,2000-14,2000,4,3,23.62,30.44,22.38,28.72,14.59,688370000,0.22811447811447794,4.096904232650466
2000-09-30,27,2000-27,2000,7,3,28.91,32.0,24.59,27.56,14.05,528296800,-0.037011651816312496,-0.6647241079873052
2000-12-31,40,2000-40,2000,10,2,27.62,31.69,26.75,30.47,15.57,562381200,0.10818505338078288,1.942988480033331
2001-03-31,00,2001-00,2001,1,2,30.47,31.09,21.88,22.58,11.58,613125200,-0.25626204238921,-4.602430563855447
2001-06-30,13,2001-13,2001,4,2,22.58,24.67,21.18,22.5,11.59,541186600,0.0008635578583764403,0.015509378774921635
2001-09-30,26,2001-26,2001,7,2,22.5,25.35,21.75,23.42,12.19,565023600,0.05176876617773951,0.9297598250920152
2001-12-31,39,2001-39,2001,10,1,23.25,25.23,22.0,23.58,12.32,552282400,0.010664479081214262,0.19153255789802529
2002-03-31,00,2002-00,2002,1,2,23.4,26.34,21.75,26.13,13.71,643435600,0.11282467532467533,2.026315443481446
2002-06-30,13,2002-13,2002,4,1,26.0,28.95,25.75,28.0,14.75,574099800,0.07585703865791382,1.3623818414453048
2002-09-30,26,2002-26,2002,7,1,28.12,28.75,21.8,23.98,12.68,729281600,-0.14033898305084747,-2.5204685753367264
2002-12-31,39,2002-39,2002,10,1,24.2,26.55,21.45,21.92,11.64,770030200,-0.08201892744479489,-1.4730485052220146
2003-03-31,00,2003-00,2003,1,2,22.08,23.0,18.5,20.24,10.81,723747000,-0.0713058419243986,-1.2806429824509793
2003-06-30,13,2003-13,2003,4,1,20.25,24.17,19.5,23.2,12.45,676857600,0.15171137835337634,2.7247152099011624
2003-09-30,26,2003-26,2003,7,1,23.12,23.32,21.14,21.48,11.59,667104800,-0.06907630522088348,-1.24060081400564
2003-12-31,39,2003-39,2003,10,1,21.5,25.45,21.5,25.38,13.75,573790200,0.18636755823986206,3.347135370331251
2004-03-31,00,2004-00,2004,1,2,25.4,26.39,23.79,25.15,13.7,666858600,-0.0036363636363636598,-0.0653085840776758
2004-06-30,13,2004-13,2004,4,1,25.24,26.75,24.58,25.24,13.81,597315200,0.00802919708029215,0.14420326046348353
2004-09-30,26,2004-26,2004,7,1,25.25,25.69,19.61,20.02,11.02,909855800,-0.20202751629254168,-3.6283860342937326
2004-12-31,39,2004-39,2004,10,1,20.24,20.95,19.15,20.82,11.53,897852400,0.04627949183303093,0.8311732229486377
2005-03-31,01,2005-01,2005,1,3,20.95,22.08,20.27,20.83,11.62,746508600,0.007805724197744945,0.140189718640282
2005-06-30,13,2005-13,2005,4,1,20.92,22.63,20.37,20.88,11.71,703068600,0.0077452667814115195,0.1391039118694061
2005-09-30,26,2005-26,2005,7,1,20.98,22.38,20.69,21.59,12.2,761500200,0.0418445772843723,0.7515227757870837
2005-12-31,40,2005-40,2005,10,3,21.6,21.8,20.16,20.16,11.46,776866600,-0.060655737704917945,-1.0893685950661411
2006-03-31,01,2006-01,2006,1,3,20.4,21.5,19.68,20.93,11.99,840582000,0.04624781849912729,0.8306043742863146
2006-06-30,14,2006-14,2006,4,3,21.05,22.38,20.43,21.51,12.41,863354000,0.0350291909924938,0.6291193879042133
2006-09-30,27,2006-27,2006,7,3,21.6,22.7,21.18,22.34,12.97,664073200,0.04512489927477836,0.8104369015279613
2006-12-31,40,2006-40,2006,10,2,22.45,24.67,21.86,24.12,14.1,997804800,0.08712413261372398,1.5647372784994316
2007-03-31,00,2007-00,2007,1,3,24.18,24.5,22.78,24.0,14.13,1075749000,0.0021276595744681437,0.03821246940715154
