Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,23.94,30.12,22.31,30.0,16.35,318980800,,
1998-06-30,13,1998-13,1998,4,1,30.03,34.97,28.53,34.5,18.83,284313000,0.1516819571865442,2.357682373413246
1998-09-30,26,1998-26,1998,7,1,34.72,37.47,26.75,29.84,16.31,293883200,-0.13382899628252787,-2.0801832428813976
1998-12-31,39,1998-39,1998,10,1,29.38,39.75,28.09,38.41,21.02,238365000,0.28877988963825874,4.488676624596877
1999-03-31,01,1999-01,1999,1,4,38.69,47.38,35.94,45.31,24.83,254129100,0.18125594671741196,2.817368384338613
1999-06-30,13,1999-13,1999,4,1,45.25,47.06,37.75,41.12,22.56,193046800,-0.0914216673378977,-1.421021047121166
1999-09-30,26,1999-26,1999,7,1,41.12,45.25,38.94,43.25,23.75,162755700,0.05274822695035475,0.8198968896261402
1999-12-31,39,1999-39,1999,10,1,43.06,49.56,38.31,40.31,22.17,255635800,-0.06652631578947366,-1.034057873554914
2000-03-31,01,2000-01,2000,1,3,39.94,43.62,29.81,37.38,20.55,333396700,-0.07307171853856564,-1.1357969397870693
2000-06-30,14,2000-14,2000,4,3,37.81,39.94,31.0,32.94,18.11,282440500,-0.11873479318734803,-1.8455651166499534
2000-09-30,27,2000-27,2000,7,3,33.19,34.25,26.38,30.19,16.6,296049600,-0.0833793484262837,-1.2960145276182493
2000-12-31,40,2000-40,2000,10,2,30.44,34.5,27.56,34.0,18.82,261053300,0.13373493975903616,2.0787212667066823
2001-03-31,00,2001-00,2001,1,2,33.81,35.06,24.75,26.55,14.69,336230800,-0.21944739638682254,-3.411000675026489
2001-06-30,13,2001-13,2001,4,2,26.3,30.96,25.39,27.06,14.98,292213600,0.019741320626276426,0.30685102257238156
2001-09-30,26,2001-26,2001,7,2,27.2,31.0,26.0,27.14,15.02,269438400,0.002670226969292422,0.04150491709947357
2001-12-31,39,2001-39,2001,10,1,27.48,30.1,25.0,26.47,14.77,308190000,-0.01664447403462055,-0.2587149043567361
2002-03-31,00,2002-00,2002,1,2,26.47,29.06,25.38,27.75,15.49,263442000,0.04874746106973604,0.75771061927569
2002-06-30,13,2002-13,2002,4,1,27.55,30.72,27.0,28.45,15.88,324248500,0.02517753389283417,0.3913493006432253
2002-09-30,26,2002-26,2002,7,1,28.46,28.62,17.42,17.66,9.86,460454300,-0.3790931989924434,-5.892469808034703
2002-12-31,39,2002-39,2002,10,1,17.84,19.95,15.17,16.08,9.1,484763400,-0.07707910750507097,-1.198086156678704
2003-03-31,00,2003-00,2003,1,2,16.17,17.38,12.12,14.46,8.18,423507900,-0.10109890109890107,-1.5714400151046648
2003-06-30,13,2003-13,2003,4,1,14.6,22.95,13.88,22.06,12.48,488481900,0.525672371638142,8.17083658326852
2003-09-30,26,2003-26,2003,7,1,21.8,24.37,20.4,23.54,13.32,393540900,0.06730769230769229,1.04620327092566
2003-12-31,39,2003-39,2003,10,1,23.75,27.01,23.1,24.83,14.27,396057500,0.0713213213213213,1.1085894805604375
2004-03-31,00,2004-00,2004,1,2,24.95,29.98,24.54,28.57,16.42,313920100,0.15066573230553626,2.3418865890377205
2004-06-30,13,2004-13,2004,4,1,28.75,29.43,25.05,26.0,14.94,288709300,-0.09013398294762498,-1.4010058070373923
2004-09-30,26,2004-26,2004,7,1,26.09,28.25,25.64,28.03,16.11,222310400,0.07831325301204828,1.217269210233644
2004-12-31,39,2004-39,2004,10,1,28.0,32.96,27.31,32.06,18.77,310230300,0.1651148355058969,2.566477546057236
2005-03-31,01,2005-01,2005,1,3,31.6,34.56,30.81,31.14,18.23,286463400,-0.028769312733084695,-0.4471784435283131
2005-06-30,13,2005-13,2005,4,1,31.2,31.91,27.74,27.75,16.24,357074500,-0.10916072408118493,-1.6967496979137593
2005-09-30,26,2005-26,2005,7,1,27.81,35.03,27.36,33.49,19.6,495253000,0.20689655172413812,3.2159154731902104
2005-12-31,40,2005-40,2005,10,3,33.4,35.69,31.48,33.72,20.14,433174300,0.027551020408163263,0.4282418053584918
2006-03-31,01,2006-01,2006,1,3,34.29,36.75,33.2,34.36,20.53,386352600,0.019364448857994043,0.3009930817757468
2006-06-30,14,2006-14,2006,4,3,34.45,35.99,31.73,33.6,20.07,358354400,-0.022406234778373113,-0.3482733594118961
2006-09-30,27,2006-27,2006,7,3,33.7,40.06,32.75,39.12,23.37,389662700,0.1644245142002989,2.5557474737112003
2006-12-31,40,2006-40,2006,10,2,39.12,44.68,38.95,44.33,27.13,693239600,0.160890029952931,2.500808894570389
2007-03-31,00,2007-00,2007,1,3,43.65,46.21,42.31,45.05,27.57,389360600,0.01621820862513834,0.2520892089808781
2007-06-30,13,2007-13,2007,4,2,44.28,52.88,44.26,50.76,31.06,486529200,0.1265868697859993,1.9676145873629605
2007-09-30,26,2007-26,2007,7,2,51.19,55.73,46.64,54.47,33.34,521617500,0.07340631036703171,1.1409976984725099
2007-12-31,39,2007-39,2007,10,1,54.75,63.69,54.67,58.91,37.0,525522700,0.1097780443911216,1.7063450726075187
2008-03-31,00,2008-00,2008,1,2,59.48,59.48,49.36,55.77,35.27,672516500,-0.04675675675675672,-0.7267679247295161
2008-06-30,13,2008-13,2008,4,1,56.04,61.76,55.14,56.22,35.78,463348000,0.014459880918627599,0.22475848146906122
2008-09-30,26,2008-26,2008,7,1,55.87,67.0,55.7,61.7,39.51,623010200,0.1042481833426494,1.6203911716740464
2008-12-31,39,2008-39,2008,10,1,61.18,64.02,45.79,62.19,40.18,794839100,0.016957732219691213,0.26358406160501857
2009-03-31,00,2009-00,2009,1,2,62.38,64.46,50.44,54.57,35.58,687920500,-0.11448481831757096,-1.7795052435854228
2009-06-30,13,2009-13,2009,4,1,54.3,61.01,51.76,57.49,37.8,578210300,0.062394603709949426,0.9698362289862543
2009-09-30,26,2009-26,2009,7,1,57.65,59.59,53.88,57.07,37.85,620133000,0.001322751322751392,0.020560306155758573
2009-12-31,39,2009-39,2009,10,1,56.99,64.75,56.03,62.44,41.77,518129000,0.10356671070013213,1.6097986393318486
2010-03-31,01,2010-01,2010,1,4,62.63,67.49,61.06,66.72,45.01,462471800,0.07756763227196539,1.205679586070351
2010-06-30,13,2010-13,2010,4,1,67.06,71.84,65.55,65.87,44.81,470716500,-0.004443457009553287,-0.06906728039880985
2010-09-30,26,2010-26,2010,7,1,66.72,76.26,65.31,74.51,51.07,402417100,0.1397009596072305,2.171454641831995
2010-12-31,39,2010-39,2010,10,1,75.04,80.94,74.4,76.76,53.02,343234800,0.038182886234580105,0.5934991841554297
2011-03-31,01,2011-01,2011,1,3,77.1,77.59,72.14,76.09,52.99,513152600,-0.0005658242172764671,-0.008794940467984787
2011-06-30,13,2011-13,2011,4,1,76.3,84.91,75.66,84.32,59.16,346529100,0.11643706359690498,1.809850146624908
2011-09-30,26,2011-26,2011,7,1,84.16,91.22,82.01,87.82,62.03,483438100,0.048512508451656666,0.7540586117692746
2011-12-31,40,2011-40,2011,10,3,87.43,101.0,83.74,100.33,71.4,358472700,0.15105594067386763,2.3479518284968988
2012-03-31,01,2012-01,2012,1,3,101.33,102.22,95.13,98.1,70.3,345704900,-0.015406162464986162,-0.23946709522588402
2012-06-30,14,2012-14,2012,4,2,97.82,99.5,85.92,88.53,63.94,419111700,-0.09046941678520626,-1.40621965356852
2012-09-30,27,2012-27,2012,7,2,88.41,94.0,86.15,91.75,66.79,340978700,0.04457303722239603,0.6928250804378344
2012-12-31,40,2012-40,2012,10,1,92.11,94.16,83.31,88.21,64.79,382863200,-0.029944602485401983,-0.4654466672781152
2013-03-31,00,2013-00,2013,1,2,89.4,99.78,89.25,99.69,73.81,301150700,0.1392190152801358,2.163963496108181
2013-06-30,13,2013-13,2013,4,1,99.41,103.7,95.16,99.0,73.88,326373400,0.0009483809781871688,0.014741246467451672
2013-09-30,26,2013-26,2013,7,1,99.35,101.81,94.01,96.21,72.37,293891100,-0.020438548998375605,-0.3176884555382562
2013-12-31,39,2013-39,2013,10,1,96.18,99.27,93.14,97.03,73.6,323153300,0.0169959928147021,0.2641787686626453
2014-03-31,00,2014-00,2014,1,2,96.81,99.07,92.22,98.03,74.99,329881000,0.018885869565217428,0.29355424077060116
2014-06-30,13,2014-13,2014,4,1,98.1,103.78,96.52,100.74,77.68,288422900,0.035871449526603705,0.5575711562954375
2014-09-30,26,2014-26,2014,7,1,100.43,101.36,90.53,94.81,73.74,366336100,-0.05072090628218351,-0.7883850454143375
2014-12-31,39,2014-39,2014,10,1,94.37,97.5,87.62,93.7,73.52,397688100,-0.002983455383780864,-0.04637361160598862
2015-03-31,00,2015-00,2015,1,2,94.13,101.09,88.77,97.44,77.12,458877100,0.04896626768226353,0.7611116598681968
2015-06-30,13,2015-13,2015,4,1,96.81,101.08,94.02,95.07,75.9,379317700,-0.01581950207468874,-0.24589187725075448
2015-09-30,26,2015-26,2015,7,1,95.1,101.88,87.5,98.53,79.35,385639900,0.04545454545454519,0.7065268842614809
2015-12-31,39,2015-39,2015,10,1,98.5,120.23,97.13,118.14,95.89,415463000,0.20844360428481412,3.2399622261508396
2016-03-31,01,2016-01,2016,1,4,117.25,126.96,112.71,125.68,102.79,465111100,0.07195745124621977,1.1184772242245657
2016-06-30,13,2016-13,2016,4,1,125.19,131.96,116.08,120.34,99.14,351145100,-0.03550929078704157,-0.5519419088062777
2016-09-30,26,2016-26,2016,7,1,119.72,128.6,113.96,115.36,95.78,301997700,-0.03389146661287068,-0.5267951107989606
2016-12-31,40,2016-40,2016,10,3,115.01,124.0,110.33,121.72,101.85,268575700,0.06337439966590086,0.9850657770336025
2017-03-31,01,2017-01,2017,1,3,121.86,130.19,118.18,129.61,109.25,230989900,0.07265586647029942,1.129333105132741
2017-06-30,14,2017-14,2017,4,3,129.5,155.46,128.65,153.16,129.91,223270300,0.1891075514874141,2.939410521139862
2017-09-30,27,2017-27,2017,7,3,153.44,161.72,151.77,156.68,133.68,217955500,0.029020090832114542,0.45107643584518176
2017-12-31,40,2017-40,2017,10,2,156.0,175.78,155.8,172.12,147.73,186593600,0.10510173548773172,1.6336584375016803
2018-03-31,00,2018-00,2018,1,2,173.73,178.7,146.84,156.38,135.07,296871900,-0.0856968794422257,-1.3320372829114522
2018-06-30,13,2018-13,2018,4,2,158.27,171.56,155.01,156.69,136.2,253363600,0.00836603242763001,0.1300381901439275
2018-09-30,26,2018-26,2018,7,2,155.99,167.83,153.13,167.29,146.32,209832300,0.07430249632892805,1.154927646930815
2018-12-31,39,2018-39,2018,10,1,168.37,190.88,161.82,177.57,156.27,258449800,0.06800164024056876,1.056989714084468
2019-03-31,00,2019-00,2019,1,2,175.41,190.52,173.41,189.9,168.18,220475100,0.07621424457669423,1.1846430806565202
2019-06-30,13,2019-13,2019,4,1,190.5,207.99,186.7,207.66,184.99,175865800,0.09995243191818282,1.5536197665452616
2019-09-30,26,2019-26,2019,7,1,208.86,221.93,206.19,214.71,192.28,186828300,0.03940753554246168,0.6125346326712618
2019-12-31,39,2019-39,2019,10,1,211.13,213.47,187.55,197.61,178.1,252692900,-0.07374661951320993,-1.1462873248086796
2020-03-31,00,2020-00,2020,1,2,198.0,218.39,124.23,165.35,149.96,326548700,-0.15800112296462654,-2.4559049045962933
2020-06-30,13,2020-13,2020,4,1,160.22,202.73,155.0,184.47,168.41,272620800,0.12303280874899958,1.9123717146021362
2020-09-30,26,2020-26,2020,7,1,184.95,226.72,182.62,219.49,201.55,187123600,0.19678166379668682,3.0586937876454123
2020-12-31,39,2020-39,2020,10,1,221.59,231.91,206.19,214.58,198.22,196555100,-0.016521954849913256,-0.2568105162043991
2021-03-31,01,2021-01,2021,1,4,214.49,227.88,202.73,224.14,208.32,205921000,0.05095348602562799,0.7920001699268572
2021-06-30,13,2021-13,2021,4,1,224.67,238.18,223.28,230.99,215.87,154270000,0.036242319508448695,0.5633358077756967
2021-09-30,26,2021-26,2021,7,1,231.41,248.9,226.42,241.11,226.57,154766000,0.049566868948904386,0.7704471605834686
2021-12-31,39,2021-39,2021,10,1,243.07,269.72,236.14,268.07,253.3,168129500,0.11797678421679847,1.8337829348934511
2022-03-31,01,2022-01,2022,1,3,269.49,271.15,217.68,247.28,234.95,214956300,-0.07244374259771036,-1.1260359383196288
2022-06-30,13,2022-13,2022,4,1,248.12,259.61,228.34,246.88,235.87,177954600,0.003915726750372439,0.06086445685231975
2022-09-30,26,2022-26,2022,7,1,246.35,267.97,230.58,230.74,221.66,156681900,-0.060245050239538744,-0.9364244480341946
2022-12-31,40,2022-40,2022,10,3,233.52,281.67,231.71,263.53,254.59,191022100,0.14856085897320215,2.30916929789802
2023-03-31,01,2023-01,2023,1,3,263.53,280.64,259.51,279.61,271.68,170089800,0.06712753839506669,1.0434030321090126
2023-06-30,14,2023-14,2023,4,3,280.99,299.1,279.68,298.41,291.48,155719100,0.07287985865724389,1.1328147481754385
2023-09-30,27,2023-27,2023,7,3,297.79,299.35,261.75,263.44,258.71,149445100,-0.11242623850693023,-1.7475075200338799
2023-12-31,40,2023-40,2023,10,2,262.0,296.85,245.73,296.51,292.93,199012300,0.13227165552162656,2.0559765743396716
