Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,34.36,40.19,33.47,38.04,18.37,159084264,,
1998-06-30,13,1998-13,1998,4,1,38.72,40.92,33.6,34.36,16.68,134025196,-0.09199782253674471,-1.4629329783953855
1998-09-30,26,1998-26,1998,7,1,34.39,35.3,27.44,30.81,15.06,182410332,-0.09712230215827333,-1.5444215400671037
1998-12-31,39,1998-39,1998,10,1,30.68,36.58,29.0,29.73,14.64,168192284,-0.027888446215139417,-0.4434771015155058
1999-03-31,01,1999-01,1999,1,4,30.26,34.02,28.98,29.58,14.67,195963403,0.002049180327868827,0.03258570037482162
1999-06-30,13,1999-13,1999,4,1,29.68,40.29,29.29,36.35,18.14,194735115,0.23653715064758019,3.7613716146359
1999-09-30,26,1999-26,1999,7,1,35.95,41.81,35.54,40.16,20.16,145495310,0.11135611907386989,1.7707651599495347
1999-12-31,39,1999-39,1999,10,1,40.21,43.22,36.55,40.92,20.66,171147600,0.024801587301587213,0.3943904212032017
2000-03-31,01,2000-01,2000,1,3,40.16,43.4,32.69,37.02,18.81,266109523,-0.0895450145208132,-1.4239288624583417
2000-06-30,14,2000-14,2000,4,3,37.36,41.1,33.63,34.7,17.75,216881681,-0.05635300372142471,-0.8961154221099372
2000-09-30,27,2000-27,2000,7,3,34.7,40.73,33.65,38.1,19.6,207467726,0.10422535211267614,1.6573729745571466
2000-12-31,40,2000-40,2000,10,2,38.44,51.4,35.09,50.38,26.08,312043815,0.33061224489795893,5.25733699761618
2001-03-31,00,2001-00,2001,1,2,49.38,50.79,41.18,43.44,22.61,355214631,-0.13305214723926373,-2.115771533232692
2001-06-30,13,2001-13,2001,4,2,43.31,53.09,40.62,47.7,24.95,304224369,0.10349402919062367,1.645743607784909
2001-09-30,26,2001-26,2001,7,2,45.67,49.12,35.89,41.14,21.64,275424924,-0.13266533066132258,-2.1096204449475953
2001-12-31,39,2001-39,2001,10,1,40.97,50.96,39.8,49.42,26.13,256087042,0.20748613678373373,3.2994075695600746
2002-03-31,00,2002-00,2002,1,2,48.93,51.71,41.81,48.08,25.56,334263585,-0.021814006888633775,-0.34688244991429407
2002-06-30,13,2002-13,2002,4,1,48.14,54.6,46.95,51.42,27.47,290624652,0.07472613458528943,1.188281674701255
2002-09-30,26,2002-26,2002,7,1,52.57,54.39,45.23,45.97,24.68,459775409,-0.10156534401164907,-1.6150739997935089
2002-12-31,39,2002-39,2002,10,1,46.3,55.0,46.3,51.55,27.81,374943369,0.12682333873581841,2.01672213049101
2003-03-31,00,2003-00,2003,1,2,51.56,56.42,49.94,54.36,29.48,351686670,0.060050341603739676,0.9549098301857234
2003-06-30,13,2003-13,2003,4,1,54.36,57.17,50.38,53.92,29.4,369423109,-0.0027137042062416183,-0.04315284065919601
2003-09-30,26,2003-26,2003,7,1,53.92,60.91,53.01,57.75,31.63,337444224,0.0758503401360544,1.2061585910168815
2003-12-31,39,2003-39,2003,10,1,58.48,71.4,58.36,71.1,39.11,200588456,0.23648435030034776,3.760531992924134
2004-03-31,00,2004-00,2004,1,2,71.07,72.07,62.17,68.45,37.82,243743245,-0.03298389158782922,-0.5245039657365884
2004-06-30,13,2004-13,2004,4,1,68.45,75.49,67.64,75.26,41.76,190527701,0.10417768376520353,1.656614960990951
2004-09-30,26,2004-26,2004,7,1,75.25,75.34,64.55,66.86,37.28,208906516,-0.10727969348658994,-1.705942566749302
2004-12-31,39,2004-39,2004,10,1,66.89,69.42,61.3,68.62,38.42,261258784,0.030579399141630992,0.4862681553787834
2005-03-31,01,2005-01,2005,1,3,68.7,73.12,67.5,71.65,40.32,212579431,0.04945340968245704,0.7863993073278235
2005-06-30,13,2005-13,2005,4,1,71.91,72.08,60.41,60.45,34.21,241176147,-0.15153769841269837,-2.4097254735515707
2005-09-30,26,2005-26,2005,7,1,60.46,64.16,58.87,61.34,34.91,242772096,0.02046185325928085,0.3253807438772046
2005-12-31,40,2005-40,2005,10,3,61.25,66.76,58.29,64.8,37.08,212588283,0.0621598395875107,0.9884546911750649
2006-03-31,01,2006-01,2006,1,3,65.02,66.75,58.78,63.29,36.44,225609736,-0.017259978425027023,-0.2744651008917057
2006-06-30,14,2006-14,2006,4,3,63.52,73.87,63.34,67.53,39.09,241094225,0.07272228320526919,1.1564167871767286
2006-09-30,27,2006-27,2006,7,3,67.85,68.23,56.06,62.22,36.26,321744091,-0.07239703248912777,-1.1512447082538828
2006-12-31,40,2006-40,2006,10,2,62.46,68.52,61.04,65.16,38.18,203174088,0.05295091009376729,0.8420159355541444
2007-03-31,00,2007-00,2007,1,3,64.82,66.79,60.95,63.9,37.68,281393564,-0.013095861707700385,-0.2082480589695282
2007-06-30,13,2007-13,2007,4,2,63.91,74.44,63.47,72.57,43.03,277434925,0.14198513800424628,2.257822360365853
2007-09-30,26,2007-26,2007,7,2,72.98,78.58,69.57,78.24,46.65,286476805,0.08412735300952812,1.3377781746257382
2007-12-31,39,2007-39,2007,10,1,78.46,81.1,66.04,70.5,42.28,319797841,-0.09367631296891743,-1.4896240341121207
2008-03-31,00,2008-00,2008,1,2,70.43,70.87,60.24,66.18,39.94,313690108,-0.055345316934721,-0.8800913664147785
2008-06-30,13,2008-13,2008,4,1,66.56,69.58,57.37,58.19,35.34,313380944,-0.11517275913870795,-1.8314566900701155
2008-09-30,26,2008-26,2008,7,1,57.41,62.47,54.77,57.12,34.94,394132232,-0.011318619128466434,-0.179986664209545
2008-12-31,39,2008-39,2008,10,1,56.58,57.12,41.81,48.11,29.67,624409712,-0.1508299942759015,-2.398471688493196
2009-03-31,00,2009-00,2009,1,2,48.12,50.01,34.17,41.57,25.91,467409957,-0.12672733400741498,-2.015195480409622
2009-06-30,13,2009-13,2009,4,1,40.93,51.39,40.74,50.25,31.6,361926349,0.21960632960247017,3.492140715738165
2009-09-30,26,2009-26,2009,7,1,50.43,63.55,48.34,61.71,39.08,321405382,0.2367088607594936,3.764102118233871
2009-12-31,39,2009-39,2009,10,1,61.51,70.5,59.88,69.12,44.07,266285930,0.12768679631525082,2.03045267903625
