Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,4.91,5.95,4.86,5.53,4.21,895498400,,
1998-06-30,13,1998-13,1998,4,1,5.53,6.24,5.36,6.09,4.64,467720800,0.10213776722090251,1.2872759150941329
1998-09-30,26,1998-26,1998,7,1,6.34,6.59,3.88,4.6,3.51,647185600,-0.24353448275862066,-3.0693452841205513
1998-12-31,39,1998-39,1998,10,1,4.53,5.95,4.36,5.07,3.88,541181600,0.10541310541310556,1.3285560809263472
1999-03-31,01,1999-01,1999,1,4,5.07,7.94,4.84,7.21,5.52,690096800,0.42268041237113385,5.327180429259133
1999-06-30,13,1999-13,1999,4,1,7.21,8.37,6.79,7.92,6.07,523906400,0.0996376811594204,1.2557665071623152
1999-09-30,26,1999-26,1999,7,1,7.64,7.7,5.77,7.11,5.45,608270400,-0.10214168039538718,-1.287325234120804
1999-12-31,39,1999-39,1999,10,1,7.08,7.41,4.98,6.2,4.76,621389600,-0.12660550458715603,-1.5956508665487317
2000-03-31,01,2000-01,2000,1,3,6.16,6.69,3.23,4.95,3.81,864761600,-0.19957983193277307,-2.5153703451333733
2000-06-30,14,2000-14,2000,4,3,5.12,5.89,4.35,4.98,3.84,481367200,0.007874015748031482,0.09923881345076535
2000-09-30,27,2000-27,2000,7,3,5.12,6.06,4.44,5.01,3.87,535592800,0.0078125,0.09846351022068142
2000-12-31,40,2000-40,2000,10,2,5.01,7.12,4.37,6.98,5.39,558976000,0.3927648578811369,4.950144844582888
2001-03-31,00,2001-00,2001,1,2,6.84,7.51,4.41,5.04,3.9,845733600,-0.27643784786641923,-3.4840372299236284
2001-06-30,13,2001-13,2001,4,2,5.04,5.72,4.54,5.25,4.07,622888000,0.04358974358974366,0.5493758929235977
2001-09-30,26,2001-26,2001,7,2,5.22,6.5,5.04,5.85,4.54,627365600,0.11547911547911549,1.4554213206084017
2001-12-31,39,2001-39,2001,10,1,5.85,7.3,5.77,7.03,5.46,734944000,0.20264317180616742,2.553978626340847
2002-03-31,00,2002-00,2002,1,2,7.04,8.03,6.82,7.5,5.83,686792000,0.06776556776556775,0.8540717663097932
2002-06-30,13,2002-13,2002,4,1,7.45,7.45,6.03,6.71,5.22,788314400,-0.10463121783876506,-1.3187016943449072
2002-09-30,26,2002-26,2002,7,1,6.79,7.23,5.04,5.4,4.21,1021710400,-0.19348659003831414,-2.4385752109827
2002-12-31,39,2002-39,2002,10,1,5.4,6.03,4.82,5.56,4.34,815437600,0.030878859857482066,0.3891764394470624
2003-03-31,00,2003-00,2003,1,2,5.57,6.68,5.3,6.43,5.03,734965600,0.15898617511520752,2.00375512043562
2003-06-30,13,2003-13,2003,4,1,6.44,7.19,6.28,6.69,5.24,776108800,0.041749502982107334,0.5261827345391482
2003-09-30,26,2003-26,2003,7,1,6.69,7.78,6.2,7.6,5.96,670548000,0.13740458015267176,1.7317551721255726
2003-12-31,39,2003-39,2003,10,1,7.6,8.57,7.59,8.56,6.72,744468000,0.12751677852348986,1.60713595205837
2004-03-31,00,2004-00,2004,1,2,8.59,9.82,8.29,9.73,7.66,646983200,0.13988095238095255,1.7629657068083935
2004-06-30,13,2004-13,2004,4,1,9.73,9.82,8.23,9.47,7.46,657292800,-0.026109660574412552,-0.32906865034588073
2004-09-30,26,2004-26,2004,7,1,9.47,10.0,8.58,9.85,7.77,585475200,0.041554959785522705,0.523730842567913
2004-12-31,39,2004-39,2004,10,1,9.88,11.55,9.58,11.34,8.95,621457600,0.15186615186615193,1.9140191227453962
2005-03-31,01,2005-01,2005,1,3,11.32,11.42,10.18,10.41,8.24,676344000,-0.07932960893854735,-0.9998171853469846
2005-06-30,13,2005-13,2005,4,1,10.48,11.37,9.39,10.82,8.57,811884800,0.040048543689320315,0.50474498443223
2005-09-30,26,2005-26,2005,7,1,10.77,11.12,9.57,10.21,8.1,1090551200,-0.05484247374562434,-0.691197756695006
2005-12-31,40,2005-40,2005,10,3,10.26,11.44,9.99,10.85,8.62,829897600,0.06419753086419755,0.8091026222578466
2006-03-31,01,2006-01,2006,1,3,10.85,11.02,10.07,10.64,8.47,918401600,-0.017401392111368708,-0.21931547520151526
2006-06-30,14,2006-14,2006,4,3,10.64,10.73,9.67,10.12,8.08,799746400,-0.046044864226682525,-0.5803185868024119
2006-09-30,27,2006-27,2006,7,3,10.13,11.11,9.44,10.95,8.75,1187262400,0.08292079207920788,1.045078049074955
2006-12-31,40,2006-40,2006,10,2,10.87,12.65,10.86,12.38,9.91,732103200,0.13257142857142856,1.6708413711504888
2007-03-31,00,2007-00,2007,1,3,12.25,13.76,11.86,13.28,10.66,886112800,0.07568113017154388,0.953834205972292
2007-06-30,13,2007-13,2007,4,2,13.35,14.81,12.97,14.57,11.73,852108400,0.10037523452157604,1.2650621350679676
2007-09-30,26,2007-26,2007,7,2,14.68,15.25,13.0,14.66,11.84,957577200,0.009377664109121886,0.11818978890939394
2007-12-31,39,2007-39,2007,10,1,14.7,16.98,14.65,16.06,13.01,819886000,0.09881756756756754,1.245430345494024
2008-03-31,00,2008-00,2008,1,2,16.08,17.65,12.88,17.0,13.83,1048795600,0.06302843966179861,0.7943681808426379
2008-06-30,13,2008-13,2008,4,1,17.15,17.57,14.41,14.9,12.16,936612800,-0.12075198843094725,-1.5218770748208872
2008-09-30,26,2008-26,2008,7,1,14.9,17.0,13.66,16.73,13.7,1067231600,0.1266447368421051,1.59614532357736
2008-12-31,39,2008-39,2008,10,1,16.55,16.75,10.67,12.75,10.5,1323932000,-0.23357664233576636,-2.943843342072343
2009-03-31,00,2009-00,2009,1,2,12.74,13.5,9.56,11.72,9.71,982705200,-0.0752380952380951,-0.9482504908109797
2009-06-30,13,2009-13,2009,4,1,11.55,14.99,11.41,12.94,10.77,976253200,0.10916580844490209,1.3758526330321368
2009-09-30,26,2009-26,2009,7,1,13.03,16.24,12.65,16.17,13.52,993365200,0.255338904363974,3.218120296906208
2009-12-31,39,2009-39,2009,10,1,16.0,16.66,15.27,16.52,13.86,692296400,0.025147928994082802,0.31694763053284386
2010-03-31,01,2010-01,2010,1,4,16.51,18.84,15.22,18.38,15.48,625587200,0.11688311688311703,1.4731164126522747
2010-06-30,13,2010-13,2010,4,1,18.49,19.64,16.75,16.89,14.28,875811200,-0.07751937984496127,-0.9770022719571494
2010-09-30,26,2010-26,2010,7,1,16.97,20.42,16.58,20.03,17.0,773181600,0.19047619047619047,2.4006341539518514
2010-12-31,39,2010-39,2010,10,1,20.24,23.12,19.76,21.35,18.19,624984400,0.07000000000000006,0.8822330515773064
2011-03-31,01,2011-01,2011,1,3,21.46,22.78,17.36,18.92,16.18,783925200,-0.11050027487630576,-1.3926713529179187
2011-06-30,13,2011-13,2011,4,1,18.99,22.65,18.95,22.5,19.3,757674800,0.19283065512979003,2.430308247325795
