Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,39.66,43.94,38.66,42.19,21.6,230339200,,
1998-06-30,13,1998-13,1998,4,1,41.53,46.25,40.09,45.53,23.38,254462000,0.08240740740740726,1.373782411842467
1998-09-30,26,1998-26,1998,7,1,45.91,47.0,32.56,35.56,18.32,377468000,-0.21642429426860565,-3.607926742455728
1998-12-31,39,1998-39,1998,10,1,35.0,47.41,34.81,45.66,23.6,304032800,0.28820960698689957,4.804632271043189
1999-03-31,01,1999-01,1999,1,4,45.0,50.91,41.0,48.97,25.4,315109000,0.07627118644067776,1.271487815950178
1999-06-30,13,1999-13,1999,4,1,49.06,51.91,42.06,44.06,22.92,312797600,-0.09763779527559047,-1.6276823904622078
1999-09-30,26,1999-26,1999,7,1,44.31,52.06,42.28,46.88,24.47,296114800,0.06762652705061067,1.1273760012472738
1999-12-31,39,1999-39,1999,10,1,46.75,57.81,46.0,54.78,28.69,260161000,0.17245606865549656,2.874949247743506
2000-03-31,01,2000-01,2000,1,3,53.91,59.19,26.38,28.38,14.9,878765000,-0.48065528058556994,-8.012820587391868
2000-06-30,14,2000-14,2000,4,3,28.38,36.38,26.62,28.38,14.97,640773000,0.004697986577181235,0.07831833974458283
2000-09-30,27,2000-27,2000,7,3,28.38,33.91,27.09,33.5,17.78,492182400,0.18770875083500327,3.129220886311593
2000-12-31,40,2000-40,2000,10,2,33.53,39.66,33.28,39.22,20.92,462497400,0.17660292463442073,2.9440798997991577
2001-03-31,00,2001-00,2001,1,2,39.06,39.59,29.62,31.3,16.78,442860600,-0.19789674952198855,-3.2990611209261878
2001-06-30,13,2001-13,2001,4,2,31.5,34.15,27.98,31.9,17.2,419284400,0.02502979737783062,0.4172621914878205
2001-09-30,26,2001-26,2001,7,2,32.0,38.64,31.88,36.4,19.73,418530000,0.14709302325581408,2.4521316057736913
2001-12-31,39,2001-39,2001,10,1,36.25,40.86,34.87,39.56,21.57,391942800,0.09325899645210334,1.5546851078397432
2002-03-31,00,2002-00,2002,1,2,39.45,45.37,38.19,45.04,24.67,401608400,0.14371812702828013,2.39586999986904
2002-06-30,13,2002-13,2002,4,1,44.67,47.38,43.2,44.65,24.75,457995000,0.0032428050263477726,0.05405956394437528
2002-09-30,26,2002-26,2002,7,1,44.67,46.75,37.04,44.69,24.9,590002400,0.0060606060606061,0.10103404867482986
2002-12-31,39,2002-39,2002,10,1,44.75,46.17,41.0,42.97,24.05,524939000,-0.034136546184738825,-0.5690773223552106
2003-03-31,00,2003-00,2003,1,2,43.05,45.0,39.78,44.53,25.04,457477600,0.041164241164241,0.6862333409993051
2003-06-30,13,2003-13,2003,4,1,44.53,46.26,43.8,44.59,25.19,418971200,0.005990415335463295,0.09986392590663092
2003-09-30,26,2003-26,2003,7,1,44.52,46.72,43.26,46.41,26.35,425738600,0.04605001984914647,0.7676822912410602
2003-12-31,39,2003-39,2003,10,1,46.41,49.97,46.41,49.94,28.49,372208200,0.08121442125237177,1.3538945953351853
2004-03-31,00,2004-00,2004,1,2,49.83,53.6,48.89,52.44,30.06,424039600,0.05510705510705516,0.9186686665220966
2004-06-30,13,2004-13,2004,4,1,52.47,56.34,51.64,54.44,31.35,387076800,0.04291417165668676,0.7154057638202751
2004-09-30,26,2004-26,2004,7,1,54.56,56.95,51.5,54.12,31.31,314450200,-0.0012759170653908747,-0.021270326036808236
2004-12-31,39,2004-39,2004,10,1,54.35,57.4,50.53,55.08,32.02,347335200,0.022676461194506725,0.37803062287628025
2005-03-31,01,2005-01,2005,1,3,55.65,57.04,51.16,53.0,30.95,517736200,-0.0334166146158652,-0.5570756181618102
2005-06-30,13,2005-13,2005,4,1,53.1,56.79,52.37,52.75,30.96,414913300,0.0003231017770597422,0.005386306310612339
2005-09-30,26,2005-26,2005,7,1,53.0,59.46,51.91,59.46,35.08,553542400,0.13307493540051674,2.218441417608168
2005-12-31,40,2005-40,2005,10,3,59.43,59.7,54.62,57.88,34.32,549993400,-0.021664766248574607,-0.36116504286840184
2006-03-31,01,2006-01,2006,1,3,58.3,62.5,57.0,57.63,34.34,533242500,0.0005827505827507018,0.009714812372581717
