Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,11.53,14.78,10.54,14.52,8.45,274242331,,
1998-06-30,13,1998-13,1998,4,1,14.5,15.75,13.23,14.55,8.5,280124176,0.00591715976331364,0.07652821656671685
1998-09-30,26,1998-26,1998,7,1,14.56,15.6,11.29,12.03,7.05,334433017,-0.1705882352941177,-2.2062634670204555
1998-12-31,39,1998-39,1998,10,1,11.89,17.7,10.23,17.11,10.07,336569267,0.4283687943262413,5.540208676783086
1999-03-31,01,1999-01,1999,1,4,17.19,21.54,16.81,21.31,12.57,309303935,0.24826216484607744,3.210841261115958
1999-06-30,13,1999-13,1999,4,1,21.35,23.9,19.02,22.66,13.4,434788856,0.06603023070803493,0.8539867094521325
1999-09-30,26,1999-26,1999,7,1,22.58,22.58,17.17,18.66,11.07,263356088,-0.17388059701492542,-2.2488444654832795
1999-12-31,39,1999-39,1999,10,1,18.96,20.45,16.24,20.45,12.17,311670592,0.09936766034327005,1.28514864135073
2000-03-31,01,2000-01,2000,1,3,20.43,20.73,14.63,19.88,11.88,417532949,-0.023829087921117487,-0.30818799457146845
2000-06-30,14,2000-14,2000,4,3,19.88,21.06,16.99,18.53,11.1,316140132,-0.06565656565656575,-0.8491539989751328
2000-09-30,27,2000-27,2000,7,3,18.09,22.93,17.42,21.83,13.12,334456214,0.1819819819819819,2.353621853292401
2000-12-31,40,2000-40,2000,10,2,21.67,25.09,18.84,24.74,14.92,442259694,0.13719512195121952,1.7743813627740204
2001-03-31,00,2001-00,2001,1,2,24.47,25.96,20.42,23.06,13.95,474434083,-0.06501340482573725,-0.8408358271971733
2001-06-30,13,2001-13,2001,4,2,23.16,27.53,22.03,23.05,13.98,427597675,0.0021505376344086446,0.027813480859731905
2001-09-30,26,2001-26,2001,7,2,22.99,24.3,12.62,14.63,8.9,588175658,-0.36337625178826893,-4.699642667157182
2001-12-31,39,2001-39,2001,10,1,14.54,20.74,14.38,20.34,12.42,498836356,0.39550561797752803,5.115180390023402
2002-03-31,00,2002-00,2002,1,2,20.36,24.47,18.66,23.35,14.31,510307353,0.15217391304347827,1.9681060912701211
2002-06-30,13,2002-13,2002,4,1,23.29,23.77,20.11,21.37,13.14,508463793,-0.08176100628930816,-1.057437055327522
2002-09-30,26,2002-26,2002,7,1,21.32,22.67,17.38,17.78,10.98,621261820,-0.1643835616438356,-2.1260167561274104
2002-12-31,39,2002-39,2002,10,1,17.94,20.83,15.37,19.49,12.09,517911033,0.10109289617486339,1.307461579758683
2003-03-31,00,2003-00,2003,1,2,19.6,21.05,16.84,18.18,11.32,521019757,-0.06368899917287008,-0.8237069331535817
2003-06-30,13,2003-13,2003,4,1,18.39,23.31,18.21,22.29,13.93,521405883,0.23056537102473484,2.9819638732696943
2003-09-30,26,2003-26,2003,7,1,22.1,25.41,21.81,24.32,15.25,407209533,0.09475951184493892,1.2255502190741632
2003-12-31,39,2003-39,2003,10,1,24.54,30.44,24.39,29.82,18.78,371474831,0.23147540983606563,2.9937336496528553
2004-03-31,00,2004-00,2004,1,2,29.84,30.79,26.27,27.16,17.16,522522631,-0.08626198083067094,-1.1156493680317163
2004-06-30,13,2004-13,2004,4,1,27.19,28.95,25.38,28.79,18.27,422999426,0.06468531468531458,0.8365925492861489
2004-09-30,26,2004-26,2004,7,1,28.84,30.21,27.63,29.38,18.72,363015313,0.02463054187192104,0.31855341378756175
2004-12-31,39,2004-39,2004,10,1,29.55,33.44,27.84,32.52,20.8,414794149,0.11111111111111116,1.437029844419454
2005-03-31,01,2005-01,2005,1,3,32.48,32.95,30.85,31.99,20.54,396178695,-0.012500000000000067,-0.16166585749718937
2005-06-30,13,2005-13,2005,4,1,32.14,34.02,30.48,32.32,20.84,433069716,0.014605647517039966,0.18889876241151587
2005-09-30,26,2005-26,2005,7,1,32.35,33.1,30.96,32.62,21.13,340704961,0.013915547024951902,0.17997350738650397
2005-12-31,40,2005-40,2005,10,3,32.5,37.06,31.02,35.19,22.88,349370253,0.08282063416942731,1.0711415073169135
2006-03-31,01,2006-01,2006,1,3,35.53,37.72,34.11,36.48,23.82,331834371,0.04108391608391604,0.5313493218439057
2006-06-30,14,2006-14,2006,4,3,36.55,41.78,35.61,39.91,26.16,394453363,0.09823677581863977,1.2705226080383576
2006-09-30,27,2006-27,2006,7,3,40.28,40.74,36.15,39.87,26.25,356902750,0.0034403669724769603,0.04449519013683953
2006-12-31,40,2006-40,2006,10,2,39.91,42.46,38.89,39.35,26.01,364235825,-0.00914285714285712,-0.11824702719794329
2007-03-31,00,2007-00,2007,1,3,39.4,43.73,38.92,40.91,27.15,430241141,0.04382929642445199,0.5668560631965992
2007-06-30,13,2007-13,2007,4,2,40.93,45.71,40.06,44.64,29.74,439637054,0.09539594843462251,1.233781424435266
2007-09-30,26,2007-26,2007,7,2,44.98,50.96,43.42,50.65,33.89,500004597,0.1395427034297243,1.8047432645953798
2007-12-31,39,2007-39,2007,10,1,50.65,51.92,45.69,48.17,32.37,458851564,-0.04485098849218072,-0.5800698811347944
2008-03-31,00,2008-00,2008,1,2,48.23,48.55,41.03,43.31,29.23,573559723,-0.09700339820821735,-1.2545710041178157
2008-06-30,13,2008-13,2008,4,1,43.57,47.74,38.08,38.83,26.32,569671280,-0.09955525145398558,-1.2875748075725442
2008-09-30,26,2008-26,2008,7,1,38.33,42.76,35.34,37.8,25.75,672208342,-0.021656534954407336,-0.28008978350576785
2008-12-31,39,2008-39,2008,10,1,37.43,37.73,26.28,33.73,23.15,952093048,-0.10097087378640779,-1.3058834314336005
2009-03-31,00,2009-00,2009,1,2,33.64,34.93,23.54,27.05,18.72,741335877,-0.19136069114470844,-2.474919218013115
2009-06-30,13,2009-13,2009,4,1,26.71,35.87,26.47,32.7,22.8,623808348,0.21794871794871806,2.8187893102073907
2009-09-30,26,2009-26,2009,7,1,32.82,40.1,30.84,38.34,26.92,558971751,0.18070175438596503,2.3370643259242705
2009-12-31,39,2009-39,2009,10,1,38.28,44.61,37.33,43.68,30.83,445074610,0.14524517087667155,1.8784948077682222
2010-03-31,01,2010-01,2010,1,4,44.19,47.11,40.91,46.32,32.91,491031196,0.06746675316250395,0.8725656402053884
