Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-03-31,00,1998-00,1998,1,2,970.43,1113.07,912.83,1101.75,1101.75,38109970000,,
1998-06-30,13,1998-13,1998,4,1,1101.75,1145.15,1074.39,1133.84,1133.84,38685170000,0.029126389834354338,0.5925400139382295
1998-09-30,26,1998-26,1998,7,1,1133.84,1190.58,939.98,1017.01,1017.01,45980430000,-0.10303922952092004,-2.096204398957013
1998-12-31,39,1998-39,1998,10,1,1017.01,1244.93,923.32,1229.23,1229.23,46634380000,0.20867051454754626,4.245140928954455
1999-03-31,01,1999-01,1999,1,4,1229.23,1323.82,1205.46,1286.37,1286.37,48771860000,0.046484384533407086,0.9456667309605017
1999-06-30,13,1999-13,1999,4,1,1286.37,1375.98,1277.31,1372.71,1372.71,50482630000,0.06711910259101206,1.3654542911422018
1999-09-30,26,1999-26,1999,7,1,1372.71,1420.33,1256.26,1282.71,1282.71,47590180000,-0.06556373888148259,-1.3338123595686375
1999-12-31,39,1999-39,1999,10,1,1282.71,1473.1,1233.7,1469.25,1469.25,56857510000,0.1454264798746403,2.9585200535312826
2000-03-31,01,2000-01,2000,1,3,1469.25,1552.87,1325.07,1498.58,1498.58,68562600000,0.019962565935000898,0.40611346495872613
2000-06-30,14,2000-14,2000,4,3,1498.58,1527.19,1339.4,1454.6,1454.6,61743060000,-0.02934778256749726,-0.5970439725107952
2000-09-30,27,2000-27,2000,7,3,1454.6,1530.09,1413.89,1436.51,1436.51,60291100000,-0.0124364086346761,-0.2530031970196573
2000-12-31,40,2000-40,2000,10,2,1436.52,1454.82,1254.07,1320.28,1320.28,70094500000,-0.08091137548642202,-1.6460408526818926
2001-03-31,00,2001-00,2001,1,2,1320.28,1383.37,1081.19,1160.33,1160.33,77280810000,-0.12114854424818977,-2.46461578333846
2001-06-30,13,2001-13,2001,4,2,1160.33,1315.93,1091.99,1224.38,1224.38,74683920000,0.05519981384606121,1.1229712522474669
2001-09-30,26,2001-26,2001,7,2,1224.42,1239.78,944.75,1040.94,1040.94,72178200000,-0.1498227674414806,-3.0479570318504936
2001-12-31,39,2001-39,2001,10,1,1040.94,1173.62,1026.76,1148.08,1148.08,81409850000,0.10292620131803942,2.0939049813741546
2002-03-31,00,2002-00,2002,1,2,1148.08,1176.97,1074.36,1147.39,1147.39,82357000000,-0.0006010034143960619,-0.012226663639691009
2002-06-30,13,2002-13,2002,4,1,1147.39,1147.84,952.92,989.82,989.82,85455910000,-0.13732906858173777,-2.793788336773829
2002-09-30,26,2002-26,2002,7,1,989.82,994.46,775.68,815.28,815.28,99250830000,-0.17633509122870827,-3.5873171377805932
2002-12-31,39,2002-39,2002,10,1,815.28,954.28,768.63,879.82,879.82,93050910000,0.07916298694926915,1.6104720721338806
2003-03-31,00,2003-00,2003,1,2,879.82,935.05,788.9,848.18,848.18,86064910000,-0.035961901297992926,-0.7315999551452934
