Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,0.12,0.15,0.12,0.15,0.12,718110400,,
1998-01-11,01,1998-01,1998,1,5,0.15,0.18,0.13,0.16,0.14,5166537600,0.16666666666666674,22.15558675590756
1998-01-18,02,1998-02,1998,1,12,0.16,0.18,0.15,0.17,0.14,2548145600,0.0,0.0
1998-01-25,03,1998-03,1998,1,20,0.17,0.18,0.17,0.17,0.15,994660800,0.0714285714285714,9.495251466817518
1998-02-01,04,1998-04,1998,1,26,0.17,0.18,0.16,0.16,0.14,784123200,-0.06666666666666654,-8.862234702363004
1998-02-08,05,1998-05,1998,2,2,0.17,0.17,0.16,0.17,0.14,1650163200,0.0,0.0
1998-02-15,06,1998-06,1998,2,9,0.16,0.18,0.16,0.17,0.15,1540100800,0.0714285714285714,9.495251466817518
1998-02-22,07,1998-07,1998,2,17,0.17,0.19,0.17,0.18,0.15,1402419200,0.0,0.0
1998-03-01,08,1998-08,1998,2,23,0.18,0.21,0.18,0.21,0.18,2761483200,0.19999999999999996,26.586704107089055
1998-03-08,09,1998-09,1998,3,2,0.21,0.22,0.19,0.22,0.18,2893934400,0.0,0.0
1998-03-15,10,1998-10,1998,3,9,0.21,0.24,0.2,0.24,0.2,3812692800,0.11111111111111116,14.77039117060504
1998-03-22,11,1998-11,1998,3,16,0.24,0.24,0.23,0.24,0.2,1465150400,0.0,0.0
1998-03-29,12,1998-12,1998,3,23,0.23,0.25,0.22,0.24,0.2,1936603200,0.0,0.0
1998-04-05,13,1998-13,1998,3,30,0.24,0.25,0.24,0.24,0.2,1101856000,0.0,0.0
1998-04-12,14,1998-14,1998,4,6,0.24,0.24,0.22,0.23,0.19,1035798400,-0.050000000000000044,-6.646676026772271
1998-04-19,15,1998-15,1998,4,13,0.23,0.26,0.22,0.25,0.21,3603779200,0.10526315789473673,13.993002161625807
1998-04-26,16,1998-16,1998,4,20,0.25,0.26,0.24,0.25,0.21,1841593600,0.0,0.0
1998-05-03,17,1998-17,1998,4,27,0.24,0.25,0.23,0.25,0.21,1200528000,0.0,0.0
1998-05-10,18,1998-18,1998,5,4,0.26,0.27,0.26,0.27,0.23,2711150400,0.09523809523809534,12.660335289090042
1998-05-17,19,1998-19,1998,5,11,0.28,0.28,0.26,0.26,0.22,1672518400,-0.0434782608695653,-5.779718284149807
1998-05-24,20,1998-20,1998,5,18,0.26,0.27,0.24,0.25,0.21,1038419200,-0.045454545454545525,-6.04243275161116
1998-05-31,21,1998-21,1998,5,26,0.25,0.25,0.23,0.24,0.2,1197179200,-0.04761904761904756,-6.330167644545007
1998-06-07,22,1998-22,1998,6,1,0.24,0.25,0.23,0.24,0.2,923596800,0.0,0.0
1998-06-14,23,1998-23,1998,6,8,0.24,0.26,0.24,0.25,0.21,1035574400,0.04999999999999982,6.646676026772242
