Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,13.52,13.53,13.34,13.48,9.63,4234800,,
1998-01-11,01,1998-01,1998,1,5,13.5,13.67,13.09,13.16,9.39,35937200,-0.024922118380062308,-4.318106443726567
1998-01-18,02,1998-02,1998,1,12,12.84,13.38,12.03,12.25,8.74,62478800,-0.06922257720979774,-11.99378207512712
1998-01-25,03,1998-03,1998,1,20,12.28,12.56,11.66,12.12,8.65,50223600,-0.010297482837528626,-1.7841832831702056
1998-02-01,04,1998-04,1998,1,26,12.12,12.66,12.11,12.5,8.92,39366800,0.03121387283236987,5.408241119621108
1998-02-08,05,1998-05,1998,2,2,12.72,13.53,12.72,13.48,9.63,78209600,0.07959641255605399,13.791194500977074
1998-02-15,06,1998-06,1998,2,9,13.52,14.19,13.08,13.42,9.58,54294400,-0.005192107995846351,-0.8996055091097078
1998-02-22,07,1998-07,1998,2,17,13.47,13.88,13.25,13.56,9.68,28770800,0.010438413361169019,1.8086014723854602
1998-03-01,08,1998-08,1998,2,23,13.55,13.75,13.09,13.28,9.48,38793200,-0.02066115702479332,-3.579835145754709
1998-03-08,09,1998-09,1998,3,2,13.3,13.38,12.97,13.22,9.44,34877200,-0.0042194092827004814,-0.7310718187954891
1998-03-15,10,1998-10,1998,3,9,13.19,15.16,13.12,14.61,10.43,128365600,0.10487288135593231,18.170697123303324
1998-03-22,11,1998-11,1998,3,16,14.59,15.41,14.56,15.19,10.84,80602000,0.039309683604985546,6.810953847781068
1998-03-29,12,1998-12,1998,3,23,15.12,15.5,14.94,15.14,10.81,47539600,-0.0027675276752766598,-0.4795129733981254
1998-04-05,13,1998-13,1998,3,30,15.06,15.28,14.5,14.56,10.39,40864800,-0.03885291396854762,-6.7318121038762175
1998-04-12,14,1998-14,1998,4,6,14.62,14.69,14.12,14.39,10.27,41708400,-0.011549566891241647,-2.0011244010147777
1998-04-19,15,1998-15,1998,4,13,14.38,14.62,13.62,14.41,10.28,58709200,0.0009737098344693162,0.16870888126049305
1998-04-26,16,1998-16,1998,4,20,14.34,14.67,13.88,14.56,10.39,50856400,0.01070038910505855,1.8539924431905117
1998-05-03,17,1998-17,1998,4,27,14.38,14.95,13.92,14.69,10.48,52352800,0.008662175168431263,1.500843300761088
1998-05-10,18,1998-18,1998,5,4,14.69,15.02,14.31,14.78,10.55,36602000,0.006679389312977069,1.1572978505550513
1998-05-17,19,1998-19,1998,5,11,14.84,15.61,14.59,15.42,11.01,54117200,0.04360189573459716,7.554639780576598
1998-05-24,20,1998-20,1998,5,18,15.41,16.78,15.19,16.39,11.7,78544400,0.06267029972752036,10.858508131482697
1998-05-31,21,1998-21,1998,5,26,15.94,16.0,14.78,15.12,10.8,42998000,-0.07692307692307676,-13.328001619579085
1998-06-07,22,1998-22,1998,6,1,15.11,15.92,14.91,15.83,11.3,41960800,0.04629629629629628,8.021482456228167
1998-06-14,23,1998-23,1998,6,8,15.81,16.19,15.42,15.89,11.34,39757200,0.003539823008849474,0.6133239683345997
1998-06-21,24,1998-24,1998,6,15,15.66,15.91,15.22,15.39,10.99,29510400,-0.030864197530864113,-5.347654970818765
1998-06-28,25,1998-25,1998,6,22,15.25,16.81,14.97,16.25,11.6,66775600,0.0555050045495904,9.617020276911928
1998-07-05,26,1998-26,1998,6,29,16.3,16.78,16.12,16.72,11.93,26621600,0.028448275862068995,4.929062667930557
1998-07-12,27,1998-27,1998,7,6,16.78,17.38,16.66,17.02,12.15,42044000,0.018440905280804776,3.195145400837924
1998-07-19,28,1998-28,1998,7,13,17.02,18.19,17.0,18.12,12.94,41771600,0.0650205761316871,11.265726471858205
1998-07-26,29,1998-29,1998,7,20,18.17,19.84,17.56,18.89,13.48,104456400,0.04173106646058744,7.230492377855149
1998-08-02,30,1998-30,1998,7,27,18.72,19.09,18.23,18.36,13.11,71035600,-0.027448071216617298,-4.7557631891821766
1998-08-09,31,1998-31,1998,8,3,18.25,18.38,16.84,17.67,12.61,57603200,-0.038138825324180003,-6.608086233963708
1998-08-16,32,1998-32,1998,8,10,17.75,18.06,16.97,17.41,12.42,43200400,-0.015067406819984086,-2.6106394924948684
1998-08-23,33,1998-33,1998,8,17,17.41,17.84,16.44,16.77,11.97,41767600,-0.03623188405797095,-6.277681922265514
1998-08-30,34,1998-34,1998,8,24,16.88,18.11,16.0,16.28,11.62,55440000,-0.02923976608187151,-5.066199446038873
1998-09-06,35,1998-35,1998,8,31,16.28,16.62,14.48,15.95,11.39,63577200,-0.019793459552495563,-3.429494392645549
1998-09-13,36,1998-36,1998,9,8,17.12,18.36,16.55,18.12,12.94,61322000,0.1360842844600525,23.578510327876977
1998-09-20,37,1998-37,1998,9,14,18.28,18.56,17.34,18.31,13.07,52934400,0.01004636785162294,1.740674090965135
1998-09-27,38,1998-38,1998,9,21,17.88,19.53,17.81,19.12,13.65,77948000,0.044376434583014435,7.688839495916318
1998-10-04,39,1998-39,1998,9,28,19.25,19.94,18.06,18.78,13.41,58306000,-0.01758241758241763,-3.04640037018952
1998-10-11,40,1998-40,1998,10,5,18.72,18.84,16.53,17.75,12.67,61945200,-0.05518269947800147,-9.561176404202165
1998-10-18,41,1998-41,1998,10,12,18.12,19.5,17.56,18.8,13.42,44967200,0.059194948697711025,10.256354837481936
1998-10-25,42,1998-42,1998,10,19,18.86,19.53,18.0,19.12,13.65,41968400,0.01713859910581217,2.9695025963145625
1998-11-01,43,1998-43,1998,10,26,19.2,20.0,18.88,19.64,14.02,53908800,0.02710622710622701,4.696533904042147
1998-11-08,44,1998-44,1998,11,2,19.66,20.86,19.56,20.64,14.73,55562400,0.050641940085591974,8.774426173232177
1998-11-15,45,1998-45,1998,11,9,20.64,21.03,19.78,20.09,14.34,44298000,-0.026476578411405383,-4.5874384393256165
1998-11-22,46,1998-46,1998,11,16,20.28,20.5,18.81,19.31,13.79,64224800,-0.038354253835425456,-6.645412244071886
1998-11-29,47,1998-47,1998,11,23,19.5,19.75,18.66,19.12,13.65,42332000,-0.01015228426395931,-1.7590255944622042
1998-12-06,48,1998-48,1998,11,30,19.12,20.0,18.59,19.69,14.05,49580800,0.029304029304029422,5.0773339503158725
1998-12-13,49,1998-49,1998,12,7,19.75,20.98,19.62,20.77,14.82,61368000,0.054804270462633475,9.495608271315799
1998-12-20,50,1998-50,1998,12,14,20.56,22.06,20.06,22.03,15.73,49481600,0.06140350877192979,10.639018836681569
1998-12-27,51,1998-51,1998,12,21,26.99,27.25,24.62,25.25,18.02,337492000,0.14558169103623642,25.224069180856326
1999-01-03,52,1998-52,1998,12,28,25.38,26.33,25.19,26.14,18.66,24951600,0.035516093229744694,6.153661125133081
1999-01-10,01,1999-01,1999,1,4,26.16,28.09,25.91,27.7,19.77,61754800,0.059485530546623755,10.306702217070015
1999-01-17,02,1999-02,1999,1,11,27.59,27.69,25.69,27.22,19.43,40177600,-0.017197774405665167,-2.9797555467142005
1999-01-24,03,1999-03,1999,1,19,27.38,28.86,27.25,28.66,20.45,29405200,0.05249613998970659,9.095692304457996
1999-01-31,04,1999-04,1999,1,25,28.66,32.44,27.69,31.95,22.81,66454400,0.11540342298288508,19.995261109471258
1999-02-07,05,1999-05,1999,2,1,32.47,32.5,29.66,29.91,21.35,50817200,-0.06400701446733881,-11.090112702306499
1999-02-14,06,1999-06,1999,2,8,30.19,31.2,28.72,30.06,21.46,40558400,0.005152224824355844,0.8926951904448553
1999-02-21,07,1999-07,1999,2,16,30.56,31.47,30.12,31.03,22.15,25304800,0.03215284249767003,5.570930779479238
1999-02-28,08,1999-08,1999,2,22,31.12,33.56,31.0,31.22,22.28,55175600,0.005869074492099502,1.0168994463697243
1999-03-07,09,1999-09,1999,3,1,31.38,33.19,30.66,33.06,23.6,41656200,0.05924596050269293,10.26519334793435
1999-03-14,10,1999-10,1999,3,8,33.34,38.12,33.06,37.5,26.77,53516000,0.1343220338983051,23.273175709443024
1999-03-21,11,1999-11,1999,3,15,37.72,39.69,36.75,38.78,27.68,38767400,0.03399327605528568,5.889811698155417
1999-03-28,12,1999-12,1999,3,22,38.88,39.69,35.53,37.31,26.63,40449200,-0.03793352601156075,-6.572515249539564
1999-04-04,13,1999-13,1999,3,29,37.69,39.84,37.25,38.44,27.44,29412600,0.03041682313180627,5.27014108352115
1999-04-11,14,1999-14,1999,4,5,39.44,40.69,38.44,39.03,27.86,36111600,0.015306122448979442,2.652000322263165
1999-04-18,15,1999-15,1999,4,12,38.69,39.5,33.06,33.41,23.85,61183600,-0.14393395549174437,-24.93857589478316
1999-04-25,16,1999-16,1999,4,19,34.5,34.56,30.0,32.56,23.24,94937400,-0.025576519916142626,-4.431490685252103
1999-05-02,17,1999-17,1999,4,26,33.0,35.81,29.94,30.72,21.93,50677400,-0.05636833046471601,-9.766603596447172
1999-05-09,18,1999-18,1999,5,3,31.19,32.25,29.88,31.81,22.71,45011400,0.035567715458276306,6.162605400024264
1999-05-16,19,1999-19,1999,5,10,31.81,32.88,30.38,30.5,21.77,36594400,-0.0413914575077059,-7.171650365092776
1999-05-23,20,1999-20,1999,5,17,30.16,32.06,28.5,30.62,21.86,44817000,0.00413412953605885,0.7162959069778487
1999-05-30,21,1999-21,1999,5,24,30.75,32.09,29.5,31.62,22.57,44534400,0.032479414455626854,5.627513950078487
1999-06-06,22,1999-22,1999,6,1,31.72,32.25,29.53,30.25,21.59,34148200,-0.04342046964997781,-7.52320516763127
1999-06-13,23,1999-23,1999,6,7,30.44,31.0,26.06,26.16,18.67,79902200,-0.13524779990736446,-23.43357765072825
1999-06-20,24,1999-24,1999,6,14,26.56,28.38,26.25,26.53,18.94,55648000,0.014461703267273585,2.505692859385234
1999-06-27,25,1999-25,1999,6,21,26.56,28.66,26.31,27.97,19.96,51782800,0.05385427666314668,9.331008525639849
1999-07-04,26,1999-26,1999,6,28,28.38,30.75,27.91,30.47,21.75,44285800,0.08967935871743493,15.538206296974257
1999-07-11,27,1999-27,1999,7,6,30.5,34.88,29.5,34.66,24.74,54276600,0.13747126436781598,23.81882404381792
1999-07-18,28,1999-28,1999,7,12,34.81,39.56,32.75,38.81,27.7,83424000,0.11964430072756671,20.730052640315456
1999-07-25,29,1999-29,1999,7,19,38.84,38.84,36.09,37.69,26.9,49129600,-0.028880866425992857,-5.0040150485062505
1999-08-01,30,1999-30,1999,7,26,37.38,38.53,36.12,38.44,27.44,39506400,0.02007434944237918,3.4781625044403484
1999-08-08,31,1999-31,1999,8,2,38.31,40.12,37.56,38.22,27.28,51123400,-0.005830903790087438,-1.0102858370526397
1999-08-15,32,1999-32,1999,8,9,38.31,41.91,37.38,41.91,29.91,50088000,0.09640762463343111,16.703972704303887
1999-08-22,33,1999-33,1999,8,16,42.09,42.41,38.88,40.03,28.57,41394000,-0.04480106987629551,-7.762413514311866
1999-08-29,34,1999-34,1999,8,23,40.62,41.88,39.19,40.31,28.78,41766400,0.007350367518375922,1.273554232462408
1999-09-05,35,1999-35,1999,8,30,40.12,43.25,39.56,43.19,30.83,44782000,0.07123002084781094,12.341599831889617
1999-09-12,36,1999-36,1999,9,7,43.28,44.09,41.94,43.78,31.25,27341600,0.013623094388582668,2.3603921129712164
1999-09-19,37,1999-37,1999,9,13,43.69,44.62,39.62,41.56,29.67,43002800,-0.05055999999999994,-8.760228904516948
1999-09-26,38,1999-38,1999,9,20,41.62,43.09,38.19,38.94,27.79,37745800,-0.06336366700370755,-10.978643733822516
1999-10-03,39,1999-39,1999,9,27,39.62,43.38,39.59,43.34,30.94,44359000,0.11335012594458438,19.63949860819592
1999-10-10,40,1999-40,1999,10,4,43.5,45.03,42.12,44.25,31.59,36014400,0.021008403361344463,3.640000442322014
1999-10-17,41,1999-41,1999,10,11,44.22,45.0,40.0,40.38,28.82,30538200,-0.08768597657486543,-15.192824891454375
1999-10-24,42,1999-42,1999,10,18,40.38,43.06,38.81,40.56,28.95,77667200,0.004510756419153328,0.7815517951800317
1999-10-31,43,1999-43,1999,10,25,40.88,41.28,37.0,39.88,28.46,63592600,-0.016925734024179517,-2.9326207363287886
1999-11-07,44,1999-44,1999,11,1,40.25,43.88,39.22,42.56,30.38,60633800,0.06746310611384398,11.688929038112953
1999-11-14,45,1999-45,1999,11,8,42.44,46.25,42.0,45.97,32.81,47298000,0.07998683344305468,13.858840393762488
1999-11-21,46,1999-46,1999,11,15,46.25,47.56,44.75,47.34,33.79,49936600,0.029868942395610887,5.175213064109623
1999-11-28,47,1999-47,1999,11,22,47.75,50.06,45.75,49.38,35.24,26325500,0.0429121041728322,7.435123720895717
1999-12-05,48,1999-48,1999,11,29,49.56,49.88,44.0,46.25,33.01,39639800,-0.06328036322360964,-10.964210185913709
1999-12-12,49,1999-49,1999,12,6,46.12,48.0,42.62,44.75,31.94,35933600,-0.03241441987276572,-5.616252727305206
1999-12-19,50,1999-50,1999,12,13,45.25,47.5,43.5,45.56,32.52,44670000,0.018159048215403928,3.146309712323944
1999-12-26,51,1999-51,1999,12,20,45.62,54.81,45.12,54.19,38.68,33297400,0.18942189421894207,32.819999068139445
2000-01-02,52,1999-52,1999,12,27,54.94,66.44,51.12,60.06,42.87,27528500,0.1083247156153051,18.76877580709603
2000-01-09,01,2000-01,2000,1,3,70.0,70.0,57.69,68.0,48.54,80111200,0.13226032190342907,22.91595519895445
2000-01-16,02,2000-02,2000,1,10,69.5,72.69,62.56,68.31,48.76,55759000,0.00453234445817885,0.7852922256282756
2000-01-23,03,2000-03,2000,1,18,70.0,75.0,68.25,74.69,53.31,38344200,0.09331419196062352,16.167992120551784
2000-01-30,04,2000-04,2000,1,24,75.88,76.5,59.12,59.69,42.61,62803100,-0.20071281185518663,-34.77630885919067
2000-02-06,05,2000-05,2000,1,31,61.0,66.5,59.88,64.62,46.13,48181700,0.08260971602910128,14.313291577374821
2000-02-13,06,2000-06,2000,2,7,66.5,72.19,61.94,62.62,44.7,45057700,-0.030999349663993092,-5.37107197285879
2000-02-20,07,2000-07,2000,2,14,63.56,75.0,61.5,71.31,50.9,58610300,0.13870246085011173,24.032146097048667
