Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,25.97,25.97,25.77,25.88,18.2,3085685,,
1998-01-11,01,1998-01,1998,1,5,25.89,26.17,23.74,23.92,16.83,20451616,-0.07527472527472534,-11.308453478565744
1998-01-18,02,1998-02,1998,1,12,23.49,24.42,23.41,23.92,16.83,17715526,0.0,0.0
1998-01-25,03,1998-03,1998,1,20,23.92,24.14,22.87,23.07,16.23,14197646,-0.03565062388591789,-5.355760784571234
1998-02-01,04,1998-04,1998,1,26,23.2,24.8,23.03,24.42,17.18,28008341,0.058533579790511325,8.79344642679373
1998-02-08,05,1998-05,1998,2,2,24.58,25.71,24.58,25.27,17.78,22380555,0.034924330616996624,5.246650407702821
1998-02-15,06,1998-06,1998,2,9,25.09,26.11,24.69,25.77,18.13,18266309,0.019685039370078705,2.9572655513232937
1998-02-22,07,1998-07,1998,2,17,25.75,26.22,25.06,25.68,18.06,18231691,-0.0038610038610038533,-0.5800350965529858
1998-03-01,08,1998-08,1998,2,23,25.78,26.44,25.4,26.28,18.49,18422941,0.023809523809523725,3.576883095410073
1998-03-08,09,1998-09,1998,3,2,26.2,27.35,26.17,27.23,19.15,21689249,0.03569497025419155,5.3624228991221115
1998-03-15,10,1998-10,1998,3,9,27.19,27.48,26.68,26.92,18.93,15812979,-0.011488250652741505,-1.7258694413362488
1998-03-22,11,1998-11,1998,3,16,27.02,28.63,27.02,28.41,19.99,18137781,0.05599577390385635,8.412194157826578
1998-03-29,12,1998-12,1998,3,23,28.3,28.3,26.93,26.99,18.99,18771165,-0.05002501250625313,-7.515212106414388
1998-04-05,13,1998-13,1998,3,30,26.99,29.18,26.44,28.88,20.32,28614990,0.07003686150605581,10.521573971016712
1998-04-12,14,1998-14,1998,4,6,30.05,31.69,29.81,31.24,22.02,29850908,0.08366141732283472,12.568378593124033
1998-04-19,15,1998-15,1998,4,13,31.36,31.62,29.4,31.22,22.01,32774820,-0.0004541326067211138,-0.06822392825032128
1998-04-26,16,1998-16,1998,4,20,31.22,31.22,29.41,29.72,20.95,32039644,-0.048159927305770234,-7.235022053959902
1998-05-03,17,1998-17,1998,4,27,29.76,30.78,29.21,30.78,21.7,35386153,0.03579952267303099,5.378129713862415
1998-05-10,18,1998-18,1998,5,4,30.49,30.78,28.88,29.67,20.92,24123386,-0.035944700460829426,-5.399939640812636
1998-05-17,19,1998-19,1998,5,11,29.67,30.98,29.36,30.36,21.4,20184965,0.022944550669215857,3.4469389676609317
1998-05-24,20,1998-20,1998,5,18,30.27,31.11,29.87,30.31,21.37,20942076,-0.0014018691588784105,-0.2106015280474956
