Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,30.5,30.69,30.25,30.38,15.29,2458600,,
1998-01-11,01,1998-01,1998,1,5,30.88,31.34,29.28,29.5,14.85,33079800,-0.02877697841726612,-3.4070699004378047
1998-01-18,02,1998-02,1998,1,12,29.0,30.97,28.12,30.72,15.46,37363800,0.04107744107744127,4.863391529598038
1998-01-25,03,1998-03,1998,1,20,31.12,31.5,29.0,29.59,14.9,21289600,-0.036222509702457995,-4.288588632763254
1998-02-01,04,1998-04,1998,1,26,29.62,31.0,29.5,29.94,15.07,21248000,0.011409395973154268,1.3508231836802826
1998-02-08,05,1998-05,1998,2,2,30.62,32.69,30.53,32.41,16.31,25026000,0.08228268082282675,9.741913869267767
1998-02-15,06,1998-06,1998,2,9,32.47,32.81,31.84,32.16,16.19,19181400,-0.0073574494175351335,-0.871090219793099
1998-02-22,07,1998-07,1998,2,17,32.5,32.59,32.0,32.53,16.38,14085000,0.011735639283508181,1.3894489819419615
1998-03-01,08,1998-08,1998,2,23,32.97,34.47,32.66,34.25,17.24,25848600,0.05250305250305254,6.216134552782912
1998-03-08,09,1998-09,1998,3,2,34.25,34.69,33.78,34.53,17.48,20928600,0.013921113689095321,1.648199708216459
1998-03-15,10,1998-10,1998,3,9,34.06,35.28,34.06,34.59,17.51,17263200,0.0017162471395881784,0.20319624549236734
1998-03-22,11,1998-11,1998,3,16,34.59,36.88,34.53,36.78,18.62,25932000,0.06339234723015408,7.505379996267121
1998-03-29,12,1998-12,1998,3,23,36.75,37.56,35.94,36.03,18.24,21866200,-0.020408163265306256,-2.416238347759485
1998-04-05,13,1998-13,1998,3,30,36.22,37.25,35.25,36.94,18.7,20483000,0.025219298245614086,2.985855940707157
1998-04-12,14,1998-14,1998,4,6,37.44,38.31,36.91,38.22,19.35,21097800,0.03475935828877019,4.115357827601038
1998-04-19,15,1998-15,1998,4,13,42.5,42.5,38.47,39.44,19.96,54726800,0.031524547803617464,3.732370243644976
1998-04-26,16,1998-16,1998,4,20,39.5,39.56,38.0,38.25,19.36,22462000,-0.030060120240480992,-3.5589883479022277
1998-05-03,17,1998-17,1998,4,27,37.25,39.09,36.09,39.09,19.79,28890600,0.022210743801652777,2.6296560943849046
1998-05-10,18,1998-18,1998,5,4,39.25,39.47,36.53,37.22,18.84,19136600,-0.04800404244567957,-5.683471202031488
