Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,24.25,24.5,24.25,24.5,12.39,1345000,,
1998-01-11,01,1998-01,1998,1,5,24.5,24.94,22.72,22.72,11.49,11588800,-0.07263922518159804,-11.32964871897532
1998-01-18,02,1998-02,1998,1,12,22.72,23.62,22.44,22.66,11.52,17917400,0.0026109660574411553,0.4072362855471395
1998-01-25,03,1998-03,1998,1,20,22.62,23.72,22.25,22.75,11.57,27375400,0.004340277777777901,0.6769596239781455
1998-02-01,04,1998-04,1998,1,26,22.75,24.5,22.72,24.0,12.21,13850800,0.05531547104580814,8.627636846440675
1998-02-08,05,1998-05,1998,2,2,24.41,25.53,24.38,25.38,12.91,14867400,0.05733005733005725,8.941854885765114
1998-02-15,06,1998-06,1998,2,9,25.47,26.84,25.41,26.78,13.62,14357600,0.054996127033307474,8.577828282636538
1998-02-22,07,1998-07,1998,2,17,26.91,27.59,25.22,26.31,13.38,11075600,-0.017621145374449254,-2.7483964293314456
1998-03-01,08,1998-08,1998,2,23,26.31,27.31,26.0,27.28,13.88,8687400,0.03736920777279518,5.828531291650228
1998-03-08,09,1998-09,1998,3,2,27.0,27.0,25.5,26.66,13.56,11185400,-0.023054755043227737,-3.595884665465378
1998-03-15,10,1998-10,1998,3,9,26.66,28.69,26.22,28.09,14.29,11158800,0.053834808259586975,8.396695654581778
1998-03-22,11,1998-11,1998,3,16,28.09,29.62,27.66,28.03,14.26,24362800,-0.0020993701889432392,-0.32744191189199684
1998-03-29,12,1998-12,1998,3,23,28.03,28.59,27.0,27.75,14.11,11215200,-0.01051893408134641,-1.6406538993467048
1998-04-05,13,1998-13,1998,3,30,27.69,27.92,26.5,27.12,13.8,11691600,-0.021970233876683065,-3.426730275195846
1998-04-12,14,1998-14,1998,4,6,27.19,27.62,26.94,27.41,13.94,7903600,0.010144927536231751,1.5823195384810258
1998-04-19,15,1998-15,1998,4,13,27.41,28.81,27.09,28.38,14.5,16920200,0.04017216642754673,6.265712950082781
1998-04-26,16,1998-16,1998,4,20,28.38,29.12,28.03,28.47,14.54,13986200,0.0027586206896550447,0.43026619962635326
1998-05-03,17,1998-17,1998,4,27,28.09,28.81,27.5,28.56,14.59,9056000,0.003438789546079901,0.5363531546236788
1998-05-10,18,1998-18,1998,5,4,28.56,28.78,27.44,27.91,14.26,7216600,-0.022618231665524346,-3.5277994606103444
1998-05-17,19,1998-19,1998,5,11,27.91,29.59,27.75,28.91,14.77,8911600,0.03576437587657777,5.578223257778793
1998-05-24,20,1998-20,1998,5,18,28.91,30.38,28.75,29.28,14.96,9143400,0.012863913337846977,2.0064038252719314
1998-05-31,21,1998-21,1998,5,26,29.28,29.5,27.47,27.47,14.03,7106400,-0.0621657754010696,-9.696089074133774
1998-06-07,22,1998-22,1998,6,1,27.47,28.41,26.94,28.25,14.43,8477600,0.028510334996436182,4.4467996397593765
1998-06-14,23,1998-23,1998,6,8,28.19,28.19,25.53,26.0,13.28,17433400,-0.07969507969507972,-12.43016091262955
1998-06-21,24,1998-24,1998,6,15,26.0,27.5,25.62,25.81,13.19,15695800,-0.006777108433734913,-1.0570357502116243
1998-06-28,25,1998-25,1998,6,22,25.97,27.12,25.97,26.5,13.54,11590800,0.02653525398028811,4.138743296254445
1998-07-05,26,1998-26,1998,6,29,26.5,27.19,25.94,27.06,13.83,11193600,0.021418020679468297,3.340600755961787
1998-07-12,27,1998-27,1998,7,6,27.06,27.34,25.62,26.28,13.43,13459200,-0.028922631959508394,-4.511106214448611
1998-07-19,28,1998-28,1998,7,13,26.28,28.19,25.56,26.59,13.67,25374400,0.017870439314966458,2.7872791785178253
1998-07-26,29,1998-29,1998,7,20,26.59,27.09,24.53,24.59,12.64,17429800,-0.0753474762253109,-11.75205868950235
1998-08-02,30,1998-30,1998,7,27,24.44,25.12,23.97,24.25,12.46,15141400,-0.014240506329113889,-2.221113095381391
1998-08-09,31,1998-31,1998,8,3,24.31,24.94,22.97,23.75,12.2,17289000,-0.020866773675762618,-3.2546219353760852
1998-08-16,32,1998-32,1998,8,10,23.75,24.78,23.03,24.19,12.43,11247400,0.01885245901639343,2.9404462617908886
1998-08-23,33,1998-33,1998,8,17,24.19,25.34,23.12,23.69,12.17,12810400,-0.02091713596138378,-3.2624770164751196
1998-08-30,34,1998-34,1998,8,24,23.69,24.62,21.84,22.0,11.3,14704600,-0.07148726376335246,-11.149975571665355
1998-09-06,35,1998-35,1998,8,31,22.0,23.47,20.97,22.97,11.8,18364600,0.04424778761061954,6.901393688697369
1998-09-13,36,1998-36,1998,9,8,23.38,24.75,22.12,22.62,11.63,17218400,-0.014406779661016889,-2.2470469959300963
1998-09-20,37,1998-37,1998,9,14,22.62,23.75,19.75,20.12,10.34,23389400,-0.11092003439380915,-17.300363852130943
1998-09-27,38,1998-38,1998,9,21,20.12,23.56,19.53,23.47,12.06,21577000,0.16634429400386863,25.944968613834035
1998-10-04,39,1998-39,1998,9,28,23.47,24.75,21.53,22.5,11.56,19278800,-0.041459369817578806,-6.466479990238823
1998-10-11,40,1998-40,1998,10,5,22.5,23.97,20.97,23.38,12.01,17445200,0.03892733564013828,6.0715548282051826
1998-10-18,41,1998-41,1998,10,12,23.66,24.47,22.19,23.5,12.08,22215200,0.005828476269775118,0.909076171150632
1998-10-25,42,1998-42,1998,10,19,23.5,24.47,22.81,23.53,12.17,18324400,0.007450331125827825,1.162039301557156
1998-11-01,43,1998-43,1998,10,26,23.53,23.72,21.34,22.47,11.62,15246000,-0.04519309778142977,-7.048835131512589
1998-11-08,44,1998-44,1998,11,2,23.0,25.06,23.0,24.62,12.73,18004600,0.09552495697074015,14.899170574411531
1998-11-15,45,1998-45,1998,11,9,24.62,24.81,22.53,23.75,12.28,17876000,-0.0353495679497251,-5.513525044308894
1998-11-22,46,1998-46,1998,11,16,23.75,24.75,23.62,24.44,12.64,15107000,0.02931596091205213,4.572454320133692
1998-11-29,47,1998-47,1998,11,23,24.44,25.12,24.38,24.81,12.83,9066800,0.015031645569620222,2.3445082673470248
1998-12-06,48,1998-48,1998,11,30,24.81,26.09,24.09,24.38,12.6,19909000,-0.017926734216679674,-2.7960595786320264
1998-12-13,49,1998-49,1998,12,7,24.38,24.75,22.84,23.31,12.05,12817200,-0.04365079365079361,-6.808279646865719
1998-12-20,50,1998-50,1998,12,14,23.31,23.62,20.56,20.94,10.83,25021600,-0.10124481327800838,-15.791305127366282
1998-12-27,51,1998-51,1998,12,21,21.0,21.59,20.84,21.47,11.1,11878600,0.024930747922437657,3.888486083881002
1999-01-03,52,1998-52,1998,12,28,21.91,23.94,21.91,23.0,11.89,13294800,0.07117117117117133,11.100674136757018
1999-01-10,01,1999-01,1999,1,4,23.28,25.62,23.03,25.5,13.19,26331600,0.10933557611438172,17.053233521776967
1999-01-17,02,1999-02,1999,1,11,25.5,26.5,23.0,23.78,12.38,26143800,-0.06141015921152382,-9.578234485617415
1999-01-24,03,1999-03,1999,1,19,23.78,24.16,21.69,21.97,11.43,13536000,-0.07673667205169632,-11.968733642676279
1999-01-31,04,1999-04,1999,1,25,21.97,22.84,21.53,21.66,11.27,12831400,-0.013998250218722696,-2.1833280470979624
1999-02-07,05,1999-05,1999,2,1,21.72,23.38,21.0,23.12,12.03,18926200,0.06743566992014194,10.518042413226775
