Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2004-06-27,25,2004-25,2004,6,23,3.75,4.42,3.69,3.95,3.94,59171600,,
2004-07-04,26,2004-26,2004,6,28,4.0,4.24,3.86,4.24,4.23,9218400,0.07360406091370564,9.316372807902479
2004-07-11,27,2004-27,2004,7,6,4.23,4.25,3.91,4.1,4.09,5780400,-0.03309692671394815,-4.189215978510661
2004-07-18,28,2004-28,2004,7,12,4.15,4.21,3.73,4.0,3.99,9905600,-0.024449877750611138,-3.094722946053079
2004-07-25,29,2004-29,2004,7,19,4.01,4.05,2.76,3.26,3.25,40114400,-0.18546365914786966,-23.47490844241677
2004-08-01,30,2004-30,2004,7,26,3.39,3.39,3.14,3.25,3.24,5295200,-0.003076923076922977,-0.3894589799802074
2004-08-08,31,2004-31,2004,8,2,3.24,3.27,2.67,2.69,2.68,11816400,-0.1728395061728395,-21.87701677666668
2004-08-15,32,2004-32,2004,8,9,2.74,2.76,2.37,2.4,2.39,6557200,-0.10820895522388063,-13.696458531020802
2004-08-22,33,2004-33,2004,8,16,2.4,3.3,2.25,3.15,3.14,12181200,0.3138075313807531,39.71992735153918
2004-08-29,34,2004-34,2004,8,23,3.17,3.3,3.09,3.29,3.28,4335600,0.04458598726114649,5.643434264044588
2004-09-05,35,2004-35,2004,8,30,3.31,3.49,3.17,3.44,3.43,3916000,0.04573170731707332,5.788452827449935
2004-09-12,36,2004-36,2004,9,7,3.44,3.58,3.24,3.56,3.55,7066400,0.03498542274052463,4.428250792777993
2004-09-19,37,2004-37,2004,9,13,3.6,4.28,3.6,3.92,3.91,17550400,0.10140845070422544,12.83569032610867
2004-09-26,38,2004-38,2004,9,20,3.94,4.22,3.91,4.01,4.0,8914800,0.023017902813299296,2.9134719090591985
2004-10-03,39,2004-39,2004,9,27,4.0,4.2,3.69,4.16,4.15,12078000,0.03750000000000009,4.746531318508943
2004-10-10,40,2004-40,2004,10,4,4.29,4.7,4.12,4.41,4.39,14363200,0.057831325301204606,7.3199519128812165
2004-10-17,41,2004-41,2004,10,11,4.41,4.81,4.4,4.49,4.48,5684000,0.0205011389521641,2.5949146160413408
2004-10-24,42,2004-42,2004,10,18,4.47,4.67,4.31,4.35,4.34,3914400,-0.03125000000000011,-3.9554427654241238
2004-10-31,43,2004-43,2004,10,25,4.39,5.15,4.39,5.08,5.07,7756000,0.16820276497695863,21.29012511527817
2004-11-07,44,2004-44,2004,11,1,5.12,5.68,5.1,5.22,5.2,11134000,0.02564102564102555,3.245491499835155
2004-11-14,45,2004-45,2004,11,8,5.22,5.22,4.78,5.0,4.99,5292800,-0.04038461538461535,-5.111649112240384
2004-11-21,46,2004-46,2004,11,15,5.02,5.3,4.26,4.44,4.42,18856000,-0.11422845691382766,-14.458371952171495
2004-11-28,47,2004-47,2004,11,22,4.44,4.56,4.36,4.43,4.42,3398800,0.0,0.0
2004-12-05,48,2004-48,2004,11,29,4.43,4.52,4.11,4.16,4.15,10108400,-0.06108597285067863,-7.731906220195531
2004-12-12,49,2004-49,2004,12,6,4.2,4.2,3.94,3.98,3.97,10519200,-0.04337349397590362,-5.489963934660934
2004-12-19,50,2004-50,2004,12,13,4.02,4.19,3.9,4.03,4.01,8810800,0.010075566750629594,1.275306483562417
2004-12-26,51,2004-51,2004,12,20,3.65,4.19,3.65,4.15,4.14,66231200,0.032418952618453734,4.103401971113274
2005-01-02,52,2004-52,2004,12,27,4.19,4.42,4.16,4.24,4.22,17031200,0.019323671497584627,2.4458776520497016
2005-01-09,01,2005-01,2005,1,3,4.1,4.55,4.03,4.39,4.37,29948000,0.035545023696682554,4.499081818491889
2005-01-16,02,2005-02,2005,1,10,4.25,4.39,3.68,3.75,3.74,33461200,-0.14416475972540044,-18.247534588318086
2005-01-23,03,2005-03,2005,1,18,3.72,3.8,3.52,3.61,3.6,15543200,-0.03743315508021394,-4.738070478368992
2005-01-30,04,2005-04,2005,1,24,3.61,3.64,3.34,3.37,3.36,14952400,-0.06666666666666676,-8.438277899571446
2005-02-06,05,2005-05,2005,1,31,3.37,3.52,3.32,3.52,3.5,12918800,0.04166666666666674,5.273923687232155
2005-02-13,06,2005-06,2005,2,7,3.52,3.54,3.24,3.36,3.35,6111200,-0.042857142857142816,-5.424607221153059
2005-02-20,07,2005-07,2005,2,14,3.38,4.18,3.36,3.99,3.98,30254000,0.18805970149253737,23.803500343567183
2005-02-27,08,2005-08,2005,2,22,3.96,4.22,3.83,4.12,4.11,23883600,0.03266331658291466,4.134332136724709
2005-03-06,09,2005-09,2005,2,28,4.09,4.25,3.96,4.15,4.14,12194800,0.007299270072992581,0.923899040099047
2005-03-13,10,2005-10,2005,3,7,4.1,4.21,3.62,3.88,3.86,9523200,-0.06763285024154586,-8.560571782173914
2005-03-20,11,2005-11,2005,3,14,3.83,3.93,3.67,3.75,3.74,13191200,-0.031088082901554293,-3.9349482433234524
2005-03-27,12,2005-12,2005,3,21,3.75,3.87,3.42,3.67,3.66,9346800,-0.021390374331550777,-2.707468844782275
2005-04-03,13,2005-13,2005,3,28,3.66,3.81,3.49,3.75,3.74,10876000,0.021857923497267784,2.7666484916627683
2005-04-10,14,2005-14,2005,4,4,3.7,3.9,3.68,3.84,3.83,9976400,0.024064171122994527,3.0459024503800474
2005-04-17,15,2005-15,2005,4,11,3.82,4.09,3.59,3.61,3.6,17682400,-0.06005221932114879,-7.601059726767998
2005-04-24,16,2005-16,2005,4,18,3.61,3.8,3.56,3.64,3.63,15264800,0.008333333333333304,1.0547847374464254
2005-05-01,17,2005-17,2005,4,25,3.64,3.69,3.4,3.61,3.6,12905600,-0.008264462809917328,-1.0460675082113313
2005-05-08,18,2005-18,2005,5,2,3.62,3.88,3.52,3.84,3.83,10540800,0.06388888888888888,8.08668298708929
2005-05-15,19,2005-19,2005,5,9,3.79,3.92,3.64,3.72,3.71,14198000,-0.031331592689295085,-3.9657702922267895
2005-05-22,20,2005-20,2005,5,16,3.72,4.64,3.68,4.62,4.61,40732400,0.24258760107816713,30.705323893319232
2005-05-29,21,2005-21,2005,5,23,4.5,5.08,4.43,4.97,4.95,37654800,0.07375271149674623,9.335188131846925
2005-06-05,22,2005-22,2005,5,31,4.97,5.25,4.93,5.14,5.12,20615200,0.03434343434343434,4.346991645233769
2005-06-12,23,2005-23,2005,6,6,5.15,5.15,4.81,4.93,4.92,16262800,-0.0390625,-4.944303456780137
2005-06-19,24,2005-24,2005,6,13,4.91,5.16,4.87,5.12,5.11,14593200,0.03861788617886197,4.888026832068841
2005-06-26,25,2005-25,2005,6,20,5.12,5.49,4.82,5.2,5.19,29966000,0.015655577299412915,1.9815916789600234
2005-07-03,26,2005-26,2005,6,27,5.2,5.32,4.7,4.88,4.87,26791200,-0.06165703275529866,-7.804187652782829
2005-07-10,27,2005-27,2005,7,5,4.88,4.91,4.77,4.88,4.86,23872800,-0.002053388090349051,-0.2599058901305338
2005-07-17,28,2005-28,2005,7,11,4.89,5.79,4.88,5.7,5.68,31303200,0.16872427983539073,21.356135424841256
2005-07-24,29,2005-29,2005,7,18,5.7,5.8,5.48,5.65,5.63,22368000,-0.008802816901408383,-1.1142092296969237
2005-07-31,30,2005-30,2005,7,25,5.65,6.02,5.49,5.89,5.87,18100000,0.04262877442273538,5.39570167645776
2005-08-07,31,2005-31,2005,8,1,5.89,6.05,5.69,5.92,5.9,21318000,0.005110732538330609,0.6468867214322369
2005-08-14,32,2005-32,2005,8,8,5.88,6.29,5.75,5.88,5.87,23309600,-0.005084745762711895,-0.6435974669164692
2005-08-21,33,2005-33,2005,8,15,5.75,5.78,4.83,5.12,5.11,68638400,-0.12947189097103917,-16.38779694294963
2005-08-28,34,2005-34,2005,8,22,5.12,5.14,4.74,4.81,4.8,20133200,-0.0606653620352251,-7.678667755970098
2005-09-04,35,2005-35,2005,8,29,4.79,4.89,4.66,4.84,4.83,13936400,0.006250000000000089,0.7910885530848332
2005-09-11,36,2005-36,2005,9,6,4.9,5.5,4.89,5.49,5.47,23399200,0.1325051759834368,16.771732471197875
2005-09-18,37,2005-37,2005,9,12,5.5,5.99,5.4,5.9,5.88,33843200,0.07495429616087756,9.487277711583976
2005-09-25,38,2005-38,2005,9,19,5.9,5.91,5.55,5.78,5.77,21472800,-0.018707482993197355,-2.3678841044715853
2005-10-02,39,2005-39,2005,9,26,5.78,5.99,5.57,5.78,5.76,21926000,-0.0017331022530329143,-0.21936597659197649
2005-10-09,40,2005-40,2005,10,3,5.97,6.15,5.61,5.7,5.69,46721600,-0.012152777777777679,-1.5382277421093633
2005-10-16,41,2005-41,2005,10,10,5.7,5.72,5.07,5.55,5.54,20481600,-0.026362038664323406,-3.3367531237321177
2005-10-23,42,2005-42,2005,10,17,5.55,6.19,5.47,6.14,6.12,20875600,0.10469314079422376,13.251447243009283
2005-10-30,43,2005-43,2005,10,24,6.11,6.43,5.99,6.15,6.13,17250000,0.0016339869281045694,0.20682053675420106
2005-11-06,44,2005-44,2005,10,31,6.26,6.96,6.18,6.68,6.66,32214800,0.08646003262642754,10.943606737617129
2005-11-13,45,2005-45,2005,11,7,6.65,6.88,6.41,6.86,6.85,17155200,0.028528528528528385,3.6109747768436136
2005-11-20,46,2005-46,2005,11,14,7.09,7.48,6.53,7.19,7.17,59090800,0.046715328467153316,5.912953856634001
2005-11-27,47,2005-47,2005,11,21,7.14,8.02,7.07,7.86,7.84,25569600,0.0934449093444909,11.827711700236106
2005-12-04,48,2005-48,2005,11,28,7.92,8.24,7.61,7.89,7.87,29575600,0.003826530612244916,0.4843399304600973
2005-12-11,49,2005-49,2005,12,5,7.94,8.9,7.9,8.88,8.85,31846000,0.12452350698856418,15.761459354980952
2005-12-18,50,2005-50,2005,12,12,8.78,9.05,8.54,8.76,8.73,42961600,-0.013559322033898202,-1.7162599117772277
2005-12-25,51,2005-51,2005,12,19,8.55,8.74,7.82,8.45,8.43,39058400,-0.03436426116838498,-4.349627783284257
2006-01-01,52,2005-52,2005,12,27,8.48,8.49,8.0,8.01,7.99,11122000,-0.05219454329774609,-6.6064809178139265
2006-01-08,01,2006-01,2006,1,3,8.02,10.04,7.9,9.96,9.93,38412000,0.2428035043804755,30.732651674283932
2006-01-15,02,2006-02,2006,1,9,9.85,9.86,9.14,9.53,9.51,40045600,-0.04229607250755285,-5.3535902081873115
2006-01-22,03,2006-03,2006,1,17,9.51,10.5,9.32,9.98,9.95,26014800,0.04626708727655093,5.8562181006489356
2006-01-29,04,2006-04,2006,1,23,10.01,10.45,9.85,10.4,10.37,23791200,0.042211055276381915,5.342829222844225
2006-02-05,05,2006-05,2006,1,30,10.4,10.75,9.52,9.56,9.53,39903200,-0.08100289296046281,-10.252873822044357
2006-02-12,06,2006-06,2006,2,6,9.81,9.96,8.31,8.77,8.75,61443200,-0.08184679958027274,-10.35969060073302
2006-02-19,07,2006-07,2006,2,13,8.84,8.96,8.4,8.59,8.56,36679600,-0.021714285714285686,-2.748467658717549
2006-02-26,08,2006-08,2006,2,21,8.57,8.7,8.17,8.45,8.42,44144800,-0.016355140186915973,-2.070138269754685
2006-03-05,09,2006-09,2006,2,27,8.4,9.66,8.38,9.51,9.48,32817600,0.12589073634204273,15.934515273537501
2006-03-12,10,2006-10,2006,3,6,9.55,9.55,9.06,9.46,9.43,23207200,-0.0052742616033756295,-0.6675852768648415
2006-03-19,11,2006-11,2006,3,13,9.5,9.95,9.5,9.79,9.76,28163600,0.03499469777306463,4.429424772309495
2006-03-26,12,2006-12,2006,3,20,9.76,9.78,9.11,9.4,9.38,17058400,-0.038934426229508046,-4.928092625774282
2006-04-02,13,2006-13,2006,3,27,9.51,9.71,8.95,9.08,9.06,15328800,-0.034115138592750616,-4.31809530042036
2006-04-09,14,2006-14,2006,4,3,9.15,9.47,8.59,8.62,8.6,29168800,-0.050772626931567366,-6.426503036097453
2006-04-16,15,2006-15,2006,4,10,8.6,8.79,8.1,8.43,8.4,27551200,-0.023255813953488302,-2.94358531380398
2006-04-23,16,2006-16,2006,4,17,8.4,8.6,8.16,8.28,8.25,28753200,-0.017857142857142905,-2.260253008813783
2006-04-30,17,2006-17,2006,4,24,8.25,8.99,8.11,8.76,8.74,35300000,0.05939393939393933,7.517738492345451
2006-05-07,18,2006-18,2006,5,1,8.77,8.88,8.48,8.53,8.51,35690400,-0.026315789473684292,-3.330899170883471
2006-05-14,19,2006-19,2006,5,8,8.59,8.69,7.76,7.8,7.78,40726400,-0.08578143360752055,-10.857713631058424
2006-05-21,20,2006-20,2006,5,15,7.8,7.94,6.94,7.14,7.12,60664800,-0.08483290488431883,-10.737654396626896
