Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,38.25,39.03,38.22,38.97,14.93,2828000,,
1998-01-11,01,1998-01,1998,1,5,39.0,39.0,35.34,35.56,13.62,21646600,-0.0877427997320831,-17.73450491375228
1998-01-18,02,1998-02,1998,1,12,34.38,38.59,33.88,38.38,14.7,15755600,0.07929515418502198,16.027073512868757
1998-01-25,03,1998-03,1998,1,20,38.41,39.16,36.75,37.0,14.17,10719600,-0.036054421768707434,-7.287291059460464
1998-02-01,04,1998-04,1998,1,26,37.0,38.72,37.0,37.38,14.32,16178600,0.010585744530698715,2.139582267361344
1998-02-08,05,1998-05,1998,2,2,37.5,38.88,37.44,38.84,14.88,11499400,0.03910614525139677,7.904102983224256
1998-02-15,06,1998-06,1998,2,9,38.91,39.06,37.41,38.94,14.92,14557200,0.0026881720430107503,0.5433311958514346
1998-02-22,07,1998-07,1998,2,17,39.0,39.66,38.25,39.59,15.29,12404200,0.02479892761394087,5.012339530629429
1998-03-01,08,1998-08,1998,2,23,38.94,41.41,38.09,40.44,15.61,16599400,0.02092871157619358,4.230094542456167
1998-03-08,09,1998-09,1998,3,2,40.56,42.47,40.56,42.22,16.3,17080400,0.04420243433696358,8.93416088091907
1998-03-15,10,1998-10,1998,3,9,42.09,42.19,40.75,41.44,16.0,13973200,-0.018404907975460127,-3.71998536546136
1998-03-22,11,1998-11,1998,3,16,41.38,43.88,40.47,43.44,16.77,18716400,0.04812499999999997,9.726986733730312
1998-03-29,12,1998-12,1998,3,23,44.75,45.09,41.25,41.5,16.02,17444200,-0.04472271914132375,-9.039320431875389
1998-04-05,13,1998-13,1998,3,30,41.72,41.91,40.09,40.97,15.82,14716200,-0.012484394506866336,-2.5233358908456003
1998-04-12,14,1998-14,1998,4,6,40.97,40.97,39.38,40.16,15.5,10994200,-0.020227560050568916,-4.088378353612825
