Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,32.55,32.82,32.43,32.76,25.06,2964724,,
1998-01-11,01,1998-01,1998,1,5,32.76,33.13,31.57,31.57,24.18,28917384,-0.035115722266560234,-6.317996445242175
1998-01-18,02,1998-02,1998,1,12,31.57,31.94,30.77,31.61,24.22,22161074,0.0016542597187758634,0.2976332636246531
1998-01-25,03,1998-03,1998,1,20,31.81,32.8,31.67,32.43,24.85,15853929,0.026011560693641744,4.6799819963870455
1998-02-01,04,1998-04,1998,1,26,32.43,35.64,31.9,35.14,26.92,31777800,0.08329979879275662,14.987242143761758
1998-02-08,05,1998-05,1998,2,2,35.14,35.97,35.1,35.7,27.35,19046123,0.01597325408618122,2.8738968194752306
1998-02-15,06,1998-06,1998,2,9,35.7,36.71,35.02,36.64,28.07,17035682,0.02632541133455213,4.736449786471406
1998-02-22,07,1998-07,1998,2,17,36.75,37.98,36.75,37.61,28.81,16070146,0.02636266476665483,4.743152398190774
1998-03-01,08,1998-08,1998,2,23,37.61,38.06,35.84,36.81,28.2,22856260,-0.021173203748698355,-3.809468163667879
1998-03-08,09,1998-09,1998,3,2,36.81,36.81,34.42,34.73,26.61,29202027,-0.05638297872340425,-10.144386507062084
1998-03-15,10,1998-10,1998,3,9,34.73,35.47,34.32,34.86,26.7,16423518,0.0033821871476888976,0.6085207706688982
1998-03-22,11,1998-11,1998,3,16,34.92,36.17,34.65,35.19,26.96,18620070,0.009737827715355918,1.752023222617484
1998-03-29,12,1998-12,1998,3,23,34.77,35.58,33.79,35.27,27.02,25933502,0.002225519287833766,0.40041388989858184
1998-04-05,13,1998-13,1998,3,30,35.27,36.48,34.51,36.48,27.95,20125697,0.03441894892672104,6.192633468202238
1998-04-12,14,1998-14,1998,4,6,36.48,36.56,34.75,35.86,27.52,12579322,-0.01538461538461533,-2.7679893517092378
1998-04-19,15,1998-15,1998,4,13,35.86,37.75,35.82,37.28,28.6,22727928,0.03924418604651159,7.060786791060647
1998-04-26,16,1998-16,1998,4,20,37.3,41.97,37.3,40.16,30.81,57183984,0.07727272727272716,13.902855607448704
1998-05-03,17,1998-17,1998,4,27,39.93,41.33,39.21,41.33,31.71,28340801,0.02921129503407993,5.255675984258081
1998-05-10,18,1998-18,1998,5,4,41.54,42.21,39.09,39.3,30.15,28817335,-0.04919583727530752,-8.851280992220687
1998-05-17,19,1998-19,1998,5,11,39.34,39.87,36.36,36.38,27.91,34401319,-0.07429519071310109,-13.367139290509655
1998-05-24,20,1998-20,1998,5,18,36.38,38.39,35.86,38.25,29.34,32767055,0.051236116087423955,9.218366543940347
1998-05-31,21,1998-21,1998,5,26,38.25,38.39,36.4,37.24,28.57,19956919,-0.026244035446489455,-4.721808693014586
1998-06-07,22,1998-22,1998,6,1,37.24,37.8,35.53,37.71,28.93,27203142,0.01260063003150158,2.267096633881569
1998-06-14,23,1998-23,1998,6,8,37.71,39.36,37.24,37.84,29.03,27870350,0.003456619426201124,0.6219125747013428
1998-06-21,24,1998-24,1998,6,15,37.82,38.23,35.14,35.37,27.14,45832336,-0.06510506372717884,-11.713658004046895
1998-06-28,25,1998-25,1998,6,22,35.37,37.47,34.36,36.34,27.88,38731780,0.02726602800294753,4.905684886411721
1998-07-05,26,1998-26,1998,6,29,36.79,37.4,34.55,35.0,26.85,50357425,-0.036944045911047274,-6.646947169904368
1998-07-12,27,1998-27,1998,7,6,34.96,37.98,34.47,37.61,28.86,55362493,0.07486033519553059,13.468819694629893
1998-07-19,28,1998-28,1998,7,13,37.86,39.77,37.55,38.84,29.8,52785809,0.032571032571032665,5.860157636501578
1998-07-26,29,1998-29,1998,7,20,38.84,39.21,35.51,36.32,27.9,30432945,-0.06375838926174504,-11.47136526631183
1998-08-02,30,1998-30,1998,7,27,36.19,36.19,33.54,33.97,26.1,23830411,-0.06451612903225801,-11.607697281361352
1998-08-09,31,1998-31,1998,8,3,34.03,34.71,31.81,32.92,25.3,30265179,-0.03065134099616862,-5.514768057045251
1998-08-16,32,1998-32,1998,8,10,32.92,33.17,30.83,31.32,24.06,29604967,-0.04901185770750993,-8.81817951572196
1998-08-23,33,1998-33,1998,8,17,31.32,33.42,30.7,32.8,25.2,24119411,0.04738154613466339,8.524854985937468
1998-08-30,34,1998-34,1998,8,24,32.8,34.22,29.66,30.21,23.21,27736747,-0.07896825396825391,-14.207913596967895
1998-09-06,35,1998-35,1998,8,31,30.21,31.44,25.65,27.87,21.41,50292347,-0.0775527789745799,-13.953242315811371
1998-09-13,36,1998-36,1998,9,8,27.87,29.78,25.4,25.46,19.56,33086365,-0.08640822045773011,-15.546507218264239
1998-09-20,37,1998-37,1998,9,14,24.91,25.65,23.55,25.22,19.37,59223719,-0.00971370143149275,-1.7476824383235625
1998-09-27,38,1998-38,1998,9,21,25.03,26.76,24.54,25.28,19.42,30587431,0.0025813113061434745,0.4644277435753688
1998-10-04,39,1998-39,1998,9,28,25.46,26.2,24.17,24.91,19.14,26315153,-0.014418125643666402,-2.594099186462852
1998-10-11,40,1998-40,1998,10,5,24.91,25.65,22.2,23.37,17.99,29762392,-0.06008359456635326,-10.810198748185295
1998-10-18,41,1998-41,1998,10,12,24.11,25.65,23.86,25.16,19.37,26580436,0.07670928293496404,13.801481092180104
1998-10-25,42,1998-42,1998,10,19,25.16,27.62,24.79,27.38,21.08,25842473,0.08828084667010838,15.883428830277893
1998-11-01,43,1998-43,1998,10,26,27.38,27.62,25.4,26.57,20.46,23954790,-0.02941176470588225,-5.291744348855897
1998-11-08,44,1998-44,1998,11,2,27.07,30.21,27.07,29.84,22.97,37970502,0.12267839687194515,22.072212254709843
1998-11-15,45,1998-45,1998,11,9,29.84,30.21,27.75,28.73,22.12,24409934,-0.037004788855028226,-6.657875998342867
1998-11-22,46,1998-46,1998,11,16,28.73,29.41,27.75,28.12,21.64,28777091,-0.02169981916817365,-3.904216445448858
1998-11-29,47,1998-47,1998,11,23,28.24,31.69,28.24,31.44,24.21,28074709,0.11876155268022193,21.367496358735227
1998-12-06,48,1998-48,1998,11,30,31.44,32.68,30.27,30.95,23.83,28954588,-0.01569599339116079,-2.8240122671300667
1998-12-13,49,1998-49,1998,12,7,30.95,33.29,30.46,31.57,24.3,28018246,0.019723038187159148,3.5485553795517406
1998-12-20,50,1998-50,1998,12,14,31.07,31.07,29.66,30.4,23.4,25104106,-0.03703703703703709,-6.663678068929681
1998-12-27,51,1998-51,1998,12,21,30.4,32.25,29.53,30.15,23.21,20450075,-0.00811965811965798,-1.4608832689576334
1999-01-03,52,1998-52,1998,12,28,30.15,30.58,29.16,29.59,22.78,20022200,-0.01852649719948296,-3.3332745532216026
1999-01-10,01,1999-01,1999,1,4,29.59,32.37,28.86,32.12,24.73,46060313,0.08560140474100075,15.401345492938836
1999-01-17,02,1999-02,1999,1,11,32.62,38.17,32.62,35.51,27.34,69122454,0.1055398301657906,18.988653195207206
1999-01-24,03,1999-03,1999,1,19,35.51,36.44,33.54,33.66,25.92,27329550,-0.05193855157278704,-9.34474825028395
1999-01-31,04,1999-04,1999,1,25,33.66,34.9,32.25,32.55,25.06,42973037,-0.033179012345679104,-5.9695449367495135
1999-02-07,05,1999-05,1999,2,1,32.8,34.22,32.37,33.79,26.01,32383680,0.037909018355945845,6.820564344295553
1999-02-14,06,1999-06,1999,2,8,33.79,35.08,32.86,34.96,26.91,30246426,0.03460207612456734,6.225581586889287
1999-02-21,07,1999-07,1999,2,16,34.96,35.51,33.54,33.66,25.92,17705931,-0.03678929765886285,-6.619104971478633
1999-02-28,08,1999-08,1999,2,22,33.66,35.51,33.6,34.71,26.72,28044399,0.030864197530864113,5.553065057441377
1999-03-07,09,1999-09,1999,3,1,34.71,35.51,33.6,35.33,27.2,24556716,0.017964071856287456,3.232083374750325
1999-03-14,10,1999-10,1999,3,8,35.45,36.19,33.66,35.58,27.39,34480182,0.006985294117647145,1.2567892828532954
1999-03-21,11,1999-11,1999,3,15,35.58,36.07,34.03,34.59,26.63,25194729,-0.02774735304855791,-4.9922845554741535
1999-03-28,12,1999-12,1999,3,22,34.53,34.53,32.18,32.49,25.02,34105728,-0.06045812992865185,-10.877584891339563
1999-04-04,13,1999-13,1999,3,29,32.49,32.74,30.58,31.07,23.92,29013380,-0.04396482813748992,-7.91012144872945
