Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-05-09,18,1999-18,1999,5,4,76.0,77.25,66.25,74.12,52.91,37654600,,
1999-05-16,19,1999-19,1999,5,10,73.38,75.25,69.06,70.19,50.1,10289800,-0.053109053109053006,-7.630423065458402
1999-05-23,20,1999-20,1999,5,17,69.12,70.44,67.5,67.5,48.18,5666500,-0.03832335329341319,-5.506093251470991
1999-05-30,21,1999-21,1999,5,24,67.0,68.81,63.06,67.94,48.49,6880700,0.006434205064342002,0.9244319726437673
1999-06-06,22,1999-22,1999,6,1,66.62,67.0,62.0,65.38,46.66,5368200,-0.03773974015260895,-5.422242854783383
1999-06-13,23,1999-23,1999,6,7,65.19,67.75,62.31,63.25,45.15,3708500,-0.03236176596656659,-4.649564453036048
1999-06-20,24,1999-24,1999,6,14,63.5,66.88,60.5,64.81,46.26,3912700,0.024584717607973428,3.5321999793230114
1999-06-27,25,1999-25,1999,6,21,66.69,70.12,64.5,66.25,47.29,6849000,0.022265456117596116,3.1989809642020695
1999-07-04,26,1999-26,1999,6,28,66.44,72.25,65.75,70.94,50.63,4892500,0.070628039754705,10.147456828232341
1999-07-11,27,1999-27,1999,7,6,70.0,71.19,67.19,67.25,48.0,2133500,-0.05194548686549483,-7.463248126662108
1999-07-18,28,1999-28,1999,7,12,68.0,68.94,67.31,68.06,48.58,3746900,0.012083333333333224,1.7360683344318852
1999-07-25,29,1999-29,1999,7,19,68.25,70.75,64.0,64.06,45.73,3505000,-0.058666117743927604,-8.428832219527132
1999-08-01,30,1999-30,1999,7,26,64.25,66.38,63.19,64.31,45.9,3202100,0.003717472118959231,0.5341063969538137
1999-08-08,31,1999-31,1999,8,2,64.25,64.56,56.0,56.25,40.15,5534100,-0.12527233115468406,-17.998454672947354
1999-08-15,32,1999-32,1999,8,9,56.5,63.25,55.19,63.12,45.15,5924300,0.12453300124533007,17.892231728589188
1999-08-22,33,1999-33,1999,8,16,63.0,64.5,60.81,62.31,44.57,3583000,-0.012846068660022136,-1.8456540432498598
1999-08-29,34,1999-34,1999,8,23,62.81,65.0,61.5,61.56,44.04,2825000,-0.011891406775858204,-1.7084933590689413
1999-09-05,35,1999-35,1999,8,30,61.75,63.12,58.69,63.12,45.15,2977300,0.02520435967302448,3.6212268180389113
1999-09-12,36,1999-36,1999,9,7,63.0,64.44,61.0,63.09,45.13,2630800,-0.000442967884828227,-0.06364324287066722
1999-09-19,37,1999-37,1999,9,13,62.19,62.81,57.44,60.06,42.96,4251400,-0.048083314868158644,-6.90835202955549
1999-09-26,38,1999-38,1999,9,20,60.06,62.25,58.38,61.94,44.3,6346800,0.031191806331471117,4.48147094613513
1999-10-03,39,1999-39,1999,9,27,62.0,62.75,58.31,59.19,42.34,4152200,-0.044243792325056264,-6.356710084196802
1999-10-10,40,1999-40,1999,10,4,59.5,64.12,59.5,63.94,45.74,3579200,0.08030231459612658,11.537404597400608
1999-10-17,41,1999-41,1999,10,11,63.75,63.94,58.25,59.75,42.74,3370500,-0.06558810668998682,-9.423346356399495
1999-10-24,42,1999-42,1999,10,18,60.25,65.75,57.94,65.5,46.94,4241800,0.09826860084230216,14.118703960655074
1999-10-31,43,1999-43,1999,10,25,64.94,73.75,61.81,71.0,50.89,9201600,0.08414997869620788,12.090216277870805
1999-11-07,44,1999-44,1999,11,1,70.5,74.31,68.31,73.69,52.81,4291600,0.03772843387698965,5.4206184299213405
1999-11-14,45,1999-45,1999,11,8,73.5,79.81,70.62,79.75,57.16,4827900,0.08237076311304659,11.834588153673222
1999-11-21,46,1999-46,1999,11,15,78.75,83.0,77.25,79.94,57.29,5188700,0.0022743177046886665,0.32676173375568307
1999-11-28,47,1999-47,1999,11,22,79.5,80.62,76.62,77.31,55.41,1609500,-0.032815500087275296,-4.714754530764076
1999-12-05,48,1999-48,1999,11,29,77.25,80.69,74.38,79.06,56.66,3066000,0.022559104854719347,3.2411708351509434
1999-12-12,49,1999-49,1999,12,6,79.19,82.44,76.56,82.0,58.77,4502400,0.03723967525591254,5.350396220384852
1999-12-19,50,1999-50,1999,12,13,81.5,82.94,77.75,80.19,57.47,3968100,-0.02212012931767915,-3.1781011913347452
1999-12-26,51,1999-51,1999,12,20,82.0,83.62,79.12,81.0,58.05,3551300,0.010092222028884601,1.449996172833321
2000-01-02,52,1999-52,1999,12,27,80.5,94.81,80.5,94.19,67.5,3358500,0.16279069767441867,23.3888917549767
2000-01-09,01,2000-01,2000,1,3,94.19,94.38,78.38,82.56,59.17,7959400,-0.12340740740740741,-17.7305124607727
2000-01-16,02,2000-02,2000,1,10,81.75,86.94,81.75,85.62,61.37,3845800,0.03718100388710477,5.341966633720719
2000-01-23,03,2000-03,2000,1,18,85.0,89.38,84.56,85.69,61.5,2896900,0.0021182988430830108,0.3043457829798741
2000-01-30,04,2000-04,2000,1,24,87.5,89.94,81.5,87.0,62.44,4027600,0.01528455284552832,2.1960023338818804
2000-02-06,05,2000-05,2000,1,31,87.0,93.0,83.56,84.69,60.78,6244600,-0.02658552210121712,-3.8196648061458616
2000-02-13,06,2000-06,2000,2,7,84.44,89.62,83.5,85.12,61.09,3711800,0.0051003619611715845,0.7327925706149774
2000-02-20,07,2000-07,2000,2,14,85.12,87.31,80.75,80.81,58.0,3711500,-0.05058110983794406,-7.267221774627028
2000-02-27,08,2000-08,2000,2,22,81.25,94.0,80.69,89.25,64.05,3955800,0.10431034482758617,14.986749236594049
2000-03-05,09,2000-09,2000,2,28,89.25,102.5,87.0,102.5,73.56,7503200,0.1484777517564404,21.33248467795835
2000-03-12,10,2000-10,2000,3,6,102.75,119.0,99.69,112.25,80.56,6073300,0.09516041326808056,13.672136289613903
2000-03-19,11,2000-11,2000,3,13,107.5,117.38,99.25,116.5,83.61,6931800,0.037859980139026694,5.439518289234614
2000-03-26,12,2000-12,2000,3,20,117.62,128.0,106.5,121.31,87.06,9797000,0.04126300681736628,5.92844685675122
2000-04-02,13,2000-13,2000,3,27,118.25,119.38,103.31,105.25,75.54,6653200,-0.13232253618194345,-19.011390206664124
2000-04-09,14,2000-14,2000,4,3,108.75,110.81,91.12,102.5,73.56,11817000,-0.026211278792692694,-3.7658955407139487
2000-04-16,15,2000-15,2000,4,10,104.0,109.12,79.44,82.75,59.39,13729100,-0.19263186514410002,-27.676310174832686
2000-04-23,16,2000-16,2000,4,17,81.75,94.94,81.0,88.81,63.82,8132400,0.07459168210136391,10.716931639298373
2000-04-30,17,2000-17,2000,4,24,88.81,99.12,84.62,93.25,67.01,7649900,0.04998433093074284,7.1814797914450486
2000-05-07,18,2000-18,2000,5,1,93.25,101.62,87.44,89.88,64.59,8215600,-0.03611401283390536,-5.188667098776031
2000-05-14,19,2000-19,2000,5,8,86.0,87.88,80.25,83.78,60.21,11083900,-0.06781235485369252,-9.742914367841793
2000-05-21,20,2000-20,2000,5,15,83.81,89.25,82.12,84.56,60.77,8468800,0.009300780601229075,1.3362861258448795
2000-05-28,21,2000-21,2000,5,22,83.5,85.5,69.38,69.81,50.17,10487900,-0.1744281717952938,-25.060901436137144
2000-06-04,22,2000-22,2000,5,30,71.5,87.25,70.62,86.88,62.43,8821900,0.2443691449073151,35.10964422503093
2000-06-11,23,2000-23,2000,6,5,86.88,88.0,81.75,83.25,59.82,6191500,-0.04180682364247956,-6.006579532873466
2000-06-18,24,2000-24,2000,6,12,83.31,91.44,81.75,89.94,64.63,7372800,0.0804078903376797,11.55257315203188
