Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,19.67,19.71,19.04,19.5,11.69,3489300,,
1998-01-11,01,1998-01,1998,1,5,19.56,19.9,18.67,18.79,11.27,22701600,-0.0359281437125748,-5.900488869312896
1998-01-18,02,1998-02,1998,1,12,18.44,19.96,18.44,19.77,11.86,21312600,0.05235137533274181,8.597680690526479
1998-01-25,03,1998-03,1998,1,20,19.88,20.33,19.69,19.96,11.97,17796000,0.00927487352445211,1.52321501586959
1998-02-01,04,1998-04,1998,1,26,20.04,20.54,19.52,20.17,12.09,22327500,0.010025062656641603,1.6464187822477105
1998-02-08,05,1998-05,1998,2,2,20.5,21.29,20.42,21.21,12.72,22854000,0.052109181141439365,8.557905072241693
1998-02-15,06,1998-06,1998,2,9,21.0,21.9,20.94,21.83,13.09,19243800,0.029088050314465264,4.777138459576028
1998-02-22,07,1998-07,1998,2,17,22.12,22.38,22.1,22.33,13.39,20287500,0.02291825821237592,3.7638718150315404
1998-03-01,08,1998-08,1998,2,23,22.42,22.94,21.08,21.29,12.77,44861400,-0.04630321135175508,-7.604389065579519
1998-03-08,09,1998-09,1998,3,2,21.21,22.0,21.15,22.0,13.2,28233000,0.033672670321065024,5.530071857287391
1998-03-15,10,1998-10,1998,3,9,21.98,23.29,21.77,23.08,13.85,36279600,0.04924242424242431,8.087096802574704
1998-03-22,11,1998-11,1998,3,16,23.12,23.48,22.58,22.92,13.75,20753400,-0.0072202166064981865,-1.1857781482253353
1998-03-29,12,1998-12,1998,3,23,22.71,22.73,21.48,22.08,13.25,34533900,-0.036363636363636376,-5.972009946516698
1998-04-05,13,1998-13,1998,3,30,22.08,23.5,21.88,23.23,13.94,44966700,0.05207547169811311,8.552368961143705
1998-04-12,14,1998-14,1998,4,6,23.83,23.83,22.65,23.6,14.17,27280500,0.016499282639885315,2.709681700984097
1998-04-19,15,1998-15,1998,4,13,23.67,24.23,23.35,23.46,14.08,21045600,-0.00635144671841914,-1.0430998318721731
1998-04-26,16,1998-16,1998,4,20,23.38,23.83,22.71,22.88,13.73,18540000,-0.024857954545454475,-4.0824286743766365
1998-05-03,17,1998-17,1998,4,27,22.5,23.54,21.85,23.12,13.88,30031200,0.010924981791696986,1.7942127479520253
1998-05-10,18,1998-18,1998,5,4,23.08,23.67,22.56,22.96,13.78,20939700,-0.007204610951008772,-1.1832152271557064
1998-05-17,19,1998-19,1998,5,11,23.31,24.31,23.04,23.65,14.19,23682900,0.029753265602322276,4.886386948256597
1998-05-24,20,1998-20,1998,5,18,23.79,25.4,23.25,24.79,14.88,28437900,0.04862579281183943,7.985827254063041
1998-05-31,21,1998-21,1998,5,26,25.21,26.31,24.21,26.19,15.72,42920700,0.056451612903225756,9.271063828261799
1998-06-07,22,1998-22,1998,6,1,26.5,26.52,25.35,26.31,15.79,36384300,0.004452926208651231,0.731305289252176
1998-06-14,23,1998-23,1998,6,8,26.4,27.75,26.33,27.04,16.24,31642500,0.02849905003166553,4.680406782023047
1998-06-21,24,1998-24,1998,6,15,26.67,28.15,26.23,27.38,16.44,32464500,0.012315270935960854,2.0225403143991705
1998-06-28,25,1998-25,1998,6,22,27.54,28.85,27.54,28.31,17.0,32971800,0.03406326034063256,5.594218563038748
1998-07-05,26,1998-26,1998,6,29,28.35,28.69,27.67,28.62,17.19,24335400,0.011176470588235343,1.8355148217970514
1998-07-12,27,1998-27,1998,7,6,29.92,32.33,29.25,32.33,19.42,51348750,0.12972658522396752,21.305032575342445
1998-07-19,28,1998-28,1998,7,13,32.08,32.67,31.0,31.33,18.82,32329500,-0.03089598352214218,-5.074055824795349
1998-07-26,29,1998-29,1998,7,20,31.58,31.75,28.0,30.17,18.12,31486650,-0.03719447396386821,-6.108458632861124
1998-08-02,30,1998-30,1998,7,27,29.42,30.17,27.83,27.92,16.77,33554550,-0.07450331125827825,-12.235699186778843
1998-08-09,31,1998-31,1998,8,3,27.71,29.42,25.83,29.33,17.62,40674150,0.05068574836016704,8.324134317222898
1998-08-16,32,1998-32,1998,8,10,29.33,29.58,27.17,28.0,16.82,29606850,-0.04540295119182747,-7.456539093267157
1998-08-23,33,1998-33,1998,8,17,27.75,30.33,27.67,28.58,17.17,32732550,0.020808561236623113,3.417395703639912
1998-08-30,34,1998-34,1998,8,24,29.33,30.62,28.08,28.29,16.99,32152650,-0.01048340128130476,-1.7216918599451425
1998-09-06,35,1998-35,1998,8,31,28.46,28.5,23.5,25.54,15.35,61147350,-0.0965273690406121,-15.852716220594639
1998-09-13,36,1998-36,1998,9,8,27.96,28.08,25.71,26.83,16.13,24818400,0.05081433224755694,8.345251684220388
1998-09-20,37,1998-37,1998,9,14,27.33,28.5,26.67,26.92,16.18,27243750,0.0030998140111593298,0.5090833029423717
1998-09-27,38,1998-38,1998,9,21,26.08,29.75,26.0,28.67,17.23,35107650,0.0648949320148331,10.65771243545547
1998-10-04,39,1998-39,1998,9,28,28.88,29.58,23.21,23.75,14.28,57767400,-0.17121300058038313,-28.118357917072967
1998-10-11,40,1998-40,1998,10,5,23.0,25.17,21.08,24.17,14.53,53905500,0.017507002801120386,2.875179858704632
1998-10-18,41,1998-41,1998,10,12,25.5,29.17,24.67,28.17,16.93,37601400,0.16517549896765327,27.126817375781297
1998-10-25,42,1998-42,1998,10,19,28.58,29.96,28.17,28.46,17.11,30026250,0.010632014176018778,1.746098596293993
1998-11-01,43,1998-43,1998,10,26,28.42,29.04,27.04,29.04,17.46,28860900,0.020455873758036258,3.359473742561266
1998-11-08,44,1998-44,1998,11,2,29.25,30.58,28.75,30.12,18.11,27805050,0.03722794959908349,6.113956345589093
1998-11-15,45,1998-45,1998,11,9,30.29,31.33,29.21,31.0,18.63,25073700,0.028713418001104385,4.715612492279891
1998-11-22,46,1998-46,1998,11,16,31.04,33.17,30.79,32.88,19.76,29963850,0.06065485775630708,9.961363880193584
1998-11-29,47,1998-47,1998,11,23,33.17,34.67,33.0,34.5,20.74,17830050,0.0495951417004048,8.145023687177368
1998-12-06,48,1998-48,1998,11,30,34.46,34.5,32.17,33.92,20.4,22970250,-0.016393442622950838,-2.6922995660526117
1998-12-13,49,1998-49,1998,12,7,34.29,36.67,34.21,35.46,21.33,23154150,0.04558823529411771,7.4869683520668975
1998-12-20,50,1998-50,1998,12,14,34.75,38.83,33.83,38.17,22.95,31359000,0.07594936708860756,12.473185331332335
1998-12-27,51,1998-51,1998,12,21,38.17,40.33,37.92,40.0,24.06,19023300,0.048366013071895475,7.9431635563146985
1999-01-03,52,1998-52,1998,12,28,39.92,41.33,39.46,40.79,24.53,15019950,0.01953449709060684,3.208155800445901
1999-01-10,01,1999-01,1999,1,4,40.25,40.83,37.88,38.75,23.31,34513350,-0.04973501834488392,-8.16799566676052
1999-01-17,02,1999-02,1999,1,11,38.08,38.29,34.58,36.58,22.0,48134550,-0.056199056199056185,-9.229586371654394
1999-01-24,03,1999-03,1999,1,19,37.46,38.62,36.42,37.29,22.43,25807350,0.019545454545454533,3.209955346252722
1999-01-31,04,1999-04,1999,1,25,37.67,40.75,37.17,40.33,24.26,30687300,0.08158716005349986,13.39908161205765
1999-02-07,05,1999-05,1999,2,1,40.25,40.33,36.75,37.25,22.4,26236350,-0.07666941467436117,-12.591438943294696
1999-02-14,06,1999-06,1999,2,8,37.33,39.08,35.88,37.92,22.8,23435250,0.017857142857143016,2.9326834558787604
1999-02-21,07,1999-07,1999,2,16,38.33,41.12,38.04,40.33,24.26,20425800,0.06403508771929833,10.516499971607267
1999-02-28,08,1999-08,1999,2,22,40.17,41.12,38.67,39.79,23.93,31138650,-0.01360263808738671,-2.2339649738103575
1999-03-07,09,1999-09,1999,3,1,39.08,42.12,38.83,41.5,24.97,25739100,0.04346009193480982,7.137462786058392
1999-03-14,10,1999-10,1999,3,8,41.58,44.21,40.83,43.5,26.18,25534350,0.048458149779735615,7.958295193045365
1999-03-21,11,1999-11,1999,3,15,43.25,43.58,41.92,42.17,25.37,25754250,-0.03093964858670739,-5.081226950292564
1999-03-28,12,1999-12,1999,3,22,42.0,42.58,39.71,42.5,25.57,23578800,0.00788332676389425,1.2946809107544877
1999-04-04,13,1999-13,1999,3,29,42.5,43.08,40.62,41.04,24.7,15715050,-0.03402424716464614,-5.587811418475254
1999-04-11,14,1999-14,1999,4,5,41.38,45.29,40.12,44.88,27.0,25717650,0.09311740890688269,15.29269753510856
1999-04-18,15,1999-15,1999,4,12,44.58,45.12,40.5,42.21,25.4,28806750,-0.059259259259259345,-9.732164357286482
1999-04-25,16,1999-16,1999,4,19,42.79,43.08,38.67,41.62,25.05,30210900,-0.013779527559054983,-2.263015580126875
1999-05-02,17,1999-17,1999,4,26,41.71,41.83,37.71,39.83,23.97,27753150,-0.04311377245508985,-7.080586643175489
1999-05-09,18,1999-18,1999,5,3,39.88,41.17,37.62,38.21,22.99,31929600,-0.040884438881935825,-6.714462580668554
1999-05-16,19,1999-19,1999,5,10,38.25,40.17,36.83,38.75,23.32,29235600,0.014354066985646119,2.3573723473092527
1999-05-23,20,1999-20,1999,5,17,38.58,40.67,37.21,38.75,23.32,31701750,0.0,0.0
1999-05-30,21,1999-21,1999,5,24,38.83,38.92,37.0,37.71,22.69,31956150,-0.027015437392795882,-4.436752672530092
1999-06-06,22,1999-22,1999,6,1,38.0,40.33,36.75,40.33,24.27,20973750,0.06963420008814447,11.436043727463645
