Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,37.06,37.66,37.06,37.66,21.12,1011360,,
1998-01-11,01,1998-01,1998,1,5,38.13,38.13,35.04,35.45,19.88,7783865,-0.058712121212121327,-10.101087392613382
1998-01-18,02,1998-02,1998,1,12,33.37,36.17,33.25,34.62,19.42,8090777,-0.0231388329979878,-3.9809049554065035
1998-01-25,03,1998-03,1998,1,20,34.32,35.39,33.01,34.8,19.52,7936692,0.005149330587023604,0.8859131163914437
1998-02-01,04,1998-04,1998,1,26,34.8,38.31,34.44,37.12,20.82,8157698,0.06659836065573765,11.457870151853859
1998-02-08,05,1998-05,1998,2,2,38.61,39.45,38.02,39.33,22.06,6063967,0.05955811719500481,10.246636202305199
1998-02-15,06,1998-06,1998,2,9,39.33,41.05,39.09,40.46,22.69,6761807,0.02855847688123303,4.913323940980482
1998-02-22,07,1998-07,1998,2,17,40.58,40.76,39.68,40.16,22.6,6991833,-0.003966505068311976,-0.6824146958259006
1998-03-01,08,1998-08,1998,2,23,40.34,40.99,39.09,40.58,22.84,8021864,0.010619469026548645,1.8270194039280074
1998-03-08,09,1998-09,1998,3,2,40.1,40.88,39.33,39.74,22.37,5029635,-0.020577933450087516,-3.5403167156529656
1998-03-15,10,1998-10,1998,3,9,39.86,40.58,38.61,38.73,21.8,5144174,-0.02548055431381313,-4.383784823685114
1998-03-22,11,1998-11,1998,3,16,39.09,40.7,38.43,40.4,22.74,6804811,0.04311926605504568,7.4184251179370255
1998-03-29,12,1998-12,1998,3,23,40.34,41.77,39.68,40.16,22.6,6406959,-0.006156552330694676,-1.0591999036257886
1998-04-05,13,1998-13,1998,3,30,39.92,43.32,39.33,42.66,24.01,9141786,0.062389380530973426,10.733738998077067
1998-04-12,14,1998-14,1998,4,6,43.02,44.51,42.48,43.2,24.32,7516393,0.01291128696376509,2.2213136790086847
1998-04-19,15,1998-15,1998,4,13,43.26,45.05,42.48,44.27,24.92,6818028,0.024671052631578982,4.2445146513952645
1998-04-26,16,1998-16,1998,4,20,44.33,45.34,42.07,42.19,23.74,7628835,-0.047351524879614915,-8.146561239959935
1998-05-03,17,1998-17,1998,4,27,40.99,42.78,40.04,42.01,23.64,8365593,-0.004212299915753892,-0.7247023049840635
1998-05-10,18,1998-18,1998,5,4,42.31,43.14,41.71,41.89,23.58,6145152,-0.002538071065989911,-0.4366607289421965
1998-05-17,19,1998-19,1998,5,11,42.13,42.78,40.94,41.11,23.14,5169454,-0.018659881255301047,-3.2103267162602664
1998-05-24,20,1998-20,1998,5,18,40.52,42.19,40.1,40.7,22.99,6075188,-0.006482281763180775,-1.1152398046881464
1998-05-31,21,1998-21,1998,5,26,40.94,41.53,37.78,40.76,23.02,7341434,0.001304915180513344,0.22450325428868814
1998-06-07,22,1998-22,1998,6,1,40.76,42.42,39.8,41.53,23.46,7325280,0.019113814074717794,3.2884232827722815
1998-06-14,23,1998-23,1998,6,8,41.47,42.07,39.33,40.22,22.72,5296477,-0.03154305200341012,-5.426803159862911
1998-06-21,24,1998-24,1998,6,15,39.98,42.37,38.13,40.28,22.75,9436319,0.001320422535211252,0.22717120669439142
1998-06-28,25,1998-25,1998,6,22,40.16,42.13,39.74,41.83,23.63,4447594,0.03868131868131863,6.654901447860853
1998-07-05,26,1998-26,1998,6,29,42.37,42.66,40.7,42.25,23.86,5240464,0.009733389758781241,1.6745744924562416
1998-07-12,27,1998-27,1998,7,6,42.31,43.08,41.53,41.83,23.63,6985959,-0.009639564124056976,-1.6584323242556902
1998-07-19,28,1998-28,1998,7,13,41.71,43.85,40.99,43.62,24.64,9598167,0.04274227676682196,7.353566249481755
1998-07-26,29,1998-29,1998,7,20,43.38,44.51,41.83,42.84,24.2,6602057,-0.017857142857142905,-3.0722201286289574
1998-08-02,30,1998-30,1998,7,27,42.54,43.85,40.82,41.47,23.42,5044949,-0.0322314049586776,-5.545230380930254
1998-08-09,31,1998-31,1998,8,3,41.65,42.01,34.2,35.39,19.99,22715640,-0.14645602049530326,-25.19692751097562
1998-08-16,32,1998-32,1998,8,10,35.51,35.99,33.37,35.33,19.96,12636128,-0.0015007503751874873,-0.25819558859911296
1998-08-23,33,1998-33,1998,8,17,35.04,37.3,34.68,35.69,20.24,8371466,0.014028056112224352,2.4134474757966724
1998-08-30,34,1998-34,1998,8,24,34.8,35.1,31.94,34.32,19.46,17442975,-0.03853754940711451,-6.63016675980791
1998-09-06,35,1998-35,1998,8,31,34.08,34.68,31.1,32.41,18.38,10503273,-0.0554984583761563,-9.548194932141783
1998-09-13,36,1998-36,1998,9,8,33.13,34.5,31.46,32.0,18.14,6896067,-0.013057671381936808,-2.246498287746073
1998-09-20,37,1998-37,1998,9,14,33.01,34.98,32.89,34.08,19.33,7076899,0.06560088202866576,11.286259612559682
1998-09-27,38,1998-38,1998,9,21,32.65,35.1,32.41,33.84,19.19,5980263,-0.007242628039316967,-1.2460530682074724
1998-10-04,39,1998-39,1998,9,28,34.14,34.98,31.52,32.65,18.52,7834108,-0.03491401771756131,-6.006758688179178
