Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,16.91,17.06,16.47,16.59,6.43,300600,,
1998-01-11,01,1998-01,1998,1,5,16.97,17.0,12.5,12.66,4.91,3398000,-0.23639191290824257,-26.26526343765065
1998-01-18,02,1998-02,1998,1,12,11.69,14.66,11.69,14.5,5.62,4715200,0.14460285132382888,16.06667477381103
1998-01-25,03,1998-03,1998,1,20,14.88,15.31,14.12,14.5,5.62,3969000,0.0,0.0
1998-02-01,04,1998-04,1998,1,26,14.56,14.72,12.75,12.78,4.96,9053800,-0.11743772241992889,-13.048385111526258
1998-02-08,05,1998-05,1998,2,2,12.81,14.62,12.16,14.12,5.48,8983000,0.10483870967741948,11.6485217039114
1998-02-15,06,1998-06,1998,2,9,14.03,14.56,13.84,14.5,5.64,4173200,0.029197080291970767,3.244057700808557
1998-02-22,07,1998-07,1998,2,17,14.25,14.88,13.78,14.09,5.48,2697200,-0.028368794326240954,-3.1520276951118444
1998-03-01,08,1998-08,1998,2,23,14.09,14.94,13.47,14.47,5.62,3147600,0.025547445255474477,2.8385504882074937
1998-03-08,09,1998-09,1998,3,2,14.56,15.56,14.5,14.62,5.68,2830800,0.010676156583629748,1.186216828320552
1998-03-15,10,1998-10,1998,3,9,14.47,14.88,14.0,14.75,5.73,3106600,0.008802816901408494,0.978071974055403
1998-03-22,11,1998-11,1998,3,16,14.72,15.62,13.91,15.53,6.04,2909200,0.054101221640488584,6.011131350494739
1998-03-29,12,1998-12,1998,3,23,16.06,16.53,15.81,16.03,6.23,2104000,0.0314569536423841,3.4951499152337266
1998-04-05,13,1998-13,1998,3,30,16.12,16.75,15.5,16.16,6.28,1869000,0.008025682182985605,0.8917253310810107
1998-04-12,14,1998-14,1998,4,6,16.28,16.31,15.31,15.53,6.04,1407400,-0.03821656050955413,-4.246202914115664
1998-04-19,15,1998-15,1998,4,13,15.66,16.25,15.38,16.12,6.27,2681000,0.038079470198675525,4.230970950019778
1998-04-26,16,1998-16,1998,4,20,16.0,17.0,15.38,15.41,5.99,2320800,-0.04465709728867617,-4.961804362161732
1998-05-03,17,1998-17,1998,4,27,15.38,15.84,14.78,15.84,6.16,3719600,0.02838063439065097,3.1533432325472073
1998-05-10,18,1998-18,1998,5,4,15.88,16.09,14.62,14.84,5.77,2414000,-0.06331168831168843,-7.034496873141305
1998-05-17,19,1998-19,1998,5,11,15.09,15.09,13.56,13.62,5.31,2417000,-0.07972270363951472,-8.857907985483342
1998-05-24,20,1998-20,1998,5,18,13.56,13.59,12.81,12.91,5.03,2098400,-0.05273069679849329,-5.858853738371757
1998-05-31,21,1998-21,1998,5,26,12.97,13.06,12.25,12.62,4.92,1886600,-0.021868787276342005,-2.4298185661622833
1998-06-07,22,1998-22,1998,6,1,12.5,12.88,11.75,12.66,4.93,2269800,0.00203252032520318,0.2258312525461164
1998-06-14,23,1998-23,1998,6,8,12.25,12.44,10.94,11.47,4.47,2839800,-0.09330628803245433,-10.367166141224923
1998-06-21,24,1998-24,1998,6,15,11.47,11.66,10.75,10.94,4.26,3593200,-0.046979865771812124,-5.219884790394988
1998-06-28,25,1998-25,1998,6,22,11.09,12.56,11.09,11.38,4.43,4150800,0.039906103286385,4.433926282384474
1998-07-05,26,1998-26,1998,6,29,11.41,12.12,11.12,12.09,4.71,1816800,0.06320541760722365,7.02268924396257
1998-07-12,27,1998-27,1998,7,6,12.06,12.19,11.12,11.22,4.37,2455600,-0.0721868365180467,-8.020605504440699
1998-07-19,28,1998-28,1998,7,13,11.19,12.31,10.75,12.09,4.71,2714800,0.0778032036613272,8.644634307989858
1998-07-26,29,1998-29,1998,7,20,12.12,12.12,10.53,10.56,4.12,2112200,-0.12526539278131632,-13.918109551823564
1998-08-02,30,1998-30,1998,7,27,10.81,10.88,10.25,10.25,3.99,2005800,-0.03155339805825241,-3.505865755546144
1998-08-09,31,1998-31,1998,8,3,10.09,10.47,9.47,10.03,3.91,2931200,-0.020050125313283207,-2.227748897297107
1998-08-16,32,1998-32,1998,8,10,9.97,9.97,9.12,9.47,3.7,3065200,-0.053708439897698246,-5.967489773162556
1998-08-23,33,1998-33,1998,8,17,9.5,10.31,9.41,9.84,3.85,2341800,0.04054054054054057,4.504417956190269
1998-08-30,34,1998-34,1998,8,24,9.81,10.12,8.53,8.75,3.42,2739400,-0.11168831168831173,-12.409573971080027
1998-09-06,35,1998-35,1998,8,31,8.88,10.0,8.06,9.5,3.72,4666400,0.08771929824561409,9.746401425674849
1998-09-13,36,1998-36,1998,9,8,9.81,10.69,9.0,10.5,4.11,2608200,0.10483870967741948,11.6485217039114
1998-09-20,37,1998-37,1998,9,14,10.75,11.25,10.12,10.38,4.06,1432800,-0.012165450121654708,-1.351690708670257
1998-09-27,38,1998-38,1998,9,21,10.19,11.5,9.91,10.78,4.22,2283200,0.039408866995073843,4.378678867101206
1998-10-04,39,1998-39,1998,9,28,10.78,11.5,9.56,10.44,4.08,2837400,-0.033175355450236865,-3.6860797808950245
1998-10-11,40,1998-40,1998,10,5,10.44,10.56,9.06,9.75,3.81,1760800,-0.06617647058823528,-7.352799899075285
1998-10-18,41,1998-41,1998,10,12,9.78,11.5,9.78,11.38,4.45,1534400,0.1679790026246719,18.66397501357576
1998-10-25,42,1998-42,1998,10,19,11.25,12.0,10.94,11.22,4.39,2119200,-0.013483146067415852,-1.4980985562161018
1998-11-01,43,1998-43,1998,10,26,11.12,12.09,11.12,11.91,4.66,2508400,0.06150341685649208,6.83358168296747
1998-11-08,44,1998-44,1998,11,2,11.91,12.62,11.72,12.03,4.71,2629000,0.010729613733905463,1.1921563975610732
1998-11-15,45,1998-45,1998,11,9,12.03,12.25,10.22,10.25,4.02,3552600,-0.14649681528662428,-16.277111170776724
1998-11-22,46,1998-46,1998,11,16,10.19,10.44,9.59,9.72,3.81,5110200,-0.05223880597014918,-5.804200252006354
1998-11-29,47,1998-47,1998,11,23,9.72,9.81,9.16,9.19,3.6,2657600,-0.055118110236220486,-6.124116801329549
1998-12-06,48,1998-48,1998,11,30,9.12,9.16,8.25,8.5,3.33,4208800,-0.07499999999999996,-8.333173218951988
1998-12-13,49,1998-49,1998,12,7,8.41,9.34,8.41,8.78,3.44,2894600,0.033033033033033066,3.6702664828217015
1998-12-20,50,1998-50,1998,12,14,8.75,9.84,8.75,9.38,3.68,3067000,0.06976744186046524,7.751789040885588
1998-12-27,51,1998-51,1998,12,21,9.41,9.5,8.97,9.28,3.64,1778600,-0.010869565217391353,-1.207706263616236
1999-01-03,52,1998-52,1998,12,28,9.38,9.69,8.94,9.69,3.8,2539800,0.0439560439560438,4.88391104407441
1999-01-10,01,1999-01,1999,1,4,9.81,10.44,9.5,10.25,4.02,2211600,0.05789473684210522,6.432624940945392
1999-01-17,02,1999-02,1999,1,11,10.25,10.59,9.31,9.72,3.81,1855800,-0.05223880597014918,-5.804200252006354
1999-01-24,03,1999-03,1999,1,19,9.62,9.94,9.38,9.62,3.78,1669000,-0.007874015748031593,-0.8748738287613747
