Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,17.67,18.16,17.62,18.16,10.35,40927200,,
1998-01-11,01,1998-01,1998,1,5,18.27,18.79,17.81,17.97,10.24,345822000,-0.010628019323671412,-1.5846289289705826
1998-01-18,02,1998-02,1998,1,12,17.7,19.31,17.67,18.7,10.66,457797200,0.041015625,6.115395911075264
1998-01-25,03,1998-03,1998,1,20,18.78,19.47,18.72,19.3,11.0,225470000,0.031894934333958735,4.755508443670072
1998-02-01,04,1998-04,1998,1,26,19.25,20.72,19.25,20.25,11.54,288222400,0.049090909090909074,7.319414119022029
1998-02-08,05,1998-05,1998,2,2,20.62,22.52,20.55,21.89,12.48,387065600,0.08145580589254786,12.144993579608444
1998-02-15,06,1998-06,1998,2,9,21.86,21.97,20.69,20.95,11.94,279780000,-0.04326923076923084,-6.451406675420069
1998-02-22,07,1998-07,1998,2,17,21.16,23.09,20.98,22.95,13.08,342061600,0.09547738693467345,14.235599766197707
1998-03-01,08,1998-08,1998,2,23,23.25,23.91,22.38,22.42,12.78,324168800,-0.022935779816513846,-3.419705882995355
1998-03-08,09,1998-09,1998,3,2,22.45,22.84,18.75,19.53,11.13,740258800,-0.12910798122065714,-19.249893679396298
1998-03-15,10,1998-10,1998,3,9,19.56,19.59,18.73,19.16,10.92,305030000,-0.018867924528301994,-2.813192009407505
1998-03-22,11,1998-11,1998,3,16,19.27,19.48,18.83,18.94,10.79,222776800,-0.011904761904761973,-1.7749901964118784
1998-03-29,12,1998-12,1998,3,23,18.88,19.89,18.5,19.72,11.24,331503600,0.0417052826691382,6.2182233016097115
1998-04-05,13,1998-13,1998,3,30,19.66,19.69,19.02,19.19,10.94,280795200,-0.026690391459074814,-3.9795153869732394
1998-04-12,14,1998-14,1998,4,6,19.05,19.06,17.83,18.44,10.51,283807200,-0.039305301645338186,-5.860388107348871
1998-04-19,15,1998-15,1998,4,13,18.47,19.88,18.32,18.8,10.71,393696800,0.019029495718363654,2.8372821407915967
1998-04-26,16,1998-16,1998,4,20,18.73,21.27,18.72,20.52,11.69,452420000,0.0915032679738561,13.643061901832384
1998-05-03,17,1998-17,1998,4,27,20.06,20.62,19.56,20.53,11.71,283138400,0.0017108639863132602,0.2550884114604139
1998-05-10,18,1998-18,1998,5,4,20.56,21.05,20.14,21.02,11.98,211874800,0.02305721605465405,3.4378119260991467
1998-05-17,19,1998-19,1998,5,11,20.97,21.36,19.97,20.08,11.45,303395200,-0.04424040066777968,-6.596207307533927
1998-05-24,20,1998-20,1998,5,18,20.0,20.33,18.45,18.58,10.59,286700400,-0.07510917030567676,-11.198715440069275
1998-05-31,21,1998-21,1998,5,26,18.86,18.97,17.81,17.86,10.18,239954000,-0.03871576959395662,-5.772489363968349
1998-06-07,22,1998-22,1998,6,1,17.28,17.67,16.41,17.45,9.95,426742400,-0.022593320235756442,-3.3686454415203713
1998-06-14,23,1998-23,1998,6,8,17.48,17.59,16.48,17.11,9.76,286332400,-0.019095477386934623,-2.8471199532395315
1998-06-21,24,1998-24,1998,6,15,16.81,17.73,16.7,17.5,9.98,301437200,0.02254098360655754,3.3608420932061027
1998-06-28,25,1998-25,1998,6,22,17.47,19.41,17.42,19.09,10.89,330194000,0.09118236472945895,13.595215492357038
1998-07-05,26,1998-26,1998,6,29,19.22,19.31,18.11,18.31,10.44,205812800,-0.04132231404958686,-6.161122995809803
1998-07-12,27,1998-27,1998,7,6,18.14,20.12,18.06,19.94,11.37,330804400,0.08908045977011492,13.281823193840527
1998-07-19,28,1998-28,1998,7,13,19.94,21.25,19.88,20.78,11.85,451312000,0.04221635883905028,6.29442433767166
1998-07-26,29,1998-29,1998,7,20,20.59,21.23,20.16,20.77,11.84,327696800,-0.0008438818565400519,-0.12582208987222884
1998-08-02,30,1998-30,1998,7,27,20.56,22.06,20.44,21.11,12.04,365558000,0.016891891891891886,2.5185671705844066
1998-08-09,31,1998-31,1998,8,3,20.91,22.23,20.28,21.67,12.36,401110800,0.02657807308970095,3.9627688105939307
1998-08-16,32,1998-32,1998,8,10,21.56,21.94,20.95,21.55,12.29,304912400,-0.005663430420712046,-0.8444128118852683
1998-08-23,33,1998-33,1998,8,17,21.44,23.16,20.59,21.23,12.11,533592800,-0.014646053702196848,-2.183714545951777
