Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,32.53,32.59,32.31,32.53,16.87,4656400,,
1998-01-11,01,1998-01,1998,1,5,32.66,32.97,31.69,32.31,16.76,27054800,-0.00652045050385297,-1.7602395122389245
1998-01-18,02,1998-02,1998,1,12,31.78,34.25,31.75,33.88,17.57,30814000,0.04832935560859175,13.046834922375378
1998-01-25,03,1998-03,1998,1,20,33.97,34.72,33.31,33.44,17.34,19520800,-0.013090495162208282,-3.53386730037681
1998-02-01,04,1998-04,1998,1,26,33.47,34.25,33.06,33.47,17.36,20783400,0.0011534025374855261,0.31136878023979564
1998-02-08,05,1998-05,1998,2,2,34.25,34.94,34.12,34.88,18.09,20756000,0.042050691244239546,11.351867206312113
1998-02-15,06,1998-06,1998,2,9,34.91,35.0,34.03,34.53,17.97,17367400,-0.0066334991708126845,-1.7907577609812224
1998-02-22,07,1998-07,1998,2,17,34.75,35.28,34.38,35.03,18.23,17361400,0.014468558708959467,3.905884832590907
1998-03-01,08,1998-08,1998,2,23,35.25,37.75,35.0,37.69,19.61,27310200,0.07569939659901248,20.435561755662285
1998-03-08,09,1998-09,1998,3,2,37.59,37.78,35.88,36.94,19.22,20557200,-0.01988781234064252,-5.368848835414951
1998-03-15,10,1998-10,1998,3,9,37.0,38.22,36.81,37.56,19.54,16747800,0.01664932362122795,4.4945970025875885
1998-03-22,11,1998-11,1998,3,16,37.62,37.88,36.97,37.88,19.71,18663400,0.008700102354145534,2.3486512036615523
1998-03-29,12,1998-12,1998,3,23,37.53,37.56,35.53,35.75,18.6,20090400,-0.05631659056316585,-15.203042772165725
1998-04-05,13,1998-13,1998,3,30,35.88,38.75,35.78,38.5,20.03,24546800,0.07688172043010755,20.754738033823656
1998-04-12,14,1998-14,1998,4,6,38.75,38.75,36.75,37.22,19.37,13624400,-0.032950574138791766,-8.89522932745004
1998-04-19,15,1998-15,1998,4,13,37.16,37.16,34.91,36.28,18.88,28491600,-0.025296850800206605,-6.829055183752161
1998-04-26,16,1998-16,1998,4,20,36.16,36.16,34.97,35.31,18.37,22974800,-0.02701271186440668,-7.292263430012534
1998-05-03,17,1998-17,1998,4,27,34.94,36.25,34.03,35.09,18.26,23254600,-0.0059880239520957446,-1.6165073800473841
1998-05-10,18,1998-18,1998,5,4,35.22,35.75,34.56,35.56,18.5,15851000,0.013143483023001057,3.5481717301368922
