Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,23.94,24.0,23.44,23.81,12.96,2523000,,
1998-01-11,01,1998-01,1998,1,5,23.81,23.88,22.62,22.69,12.35,17406600,-0.047067901234567944,-11.033922027231437
1998-01-18,02,1998-02,1998,1,12,22.38,23.97,22.31,23.78,12.94,16350800,0.04777327935222675,11.199280731269987
1998-01-25,03,1998-03,1998,1,20,23.62,24.0,23.25,23.53,12.81,15826000,-0.010046367851622828,-2.355126033329037
1998-02-01,04,1998-04,1998,1,26,23.28,24.34,23.12,23.56,12.82,17417400,0.0007806401249024209,0.18300204690613056
1998-02-08,05,1998-05,1998,2,2,23.94,24.66,23.72,24.41,13.28,18167000,0.035881435257410166,8.41152778158393
1998-02-15,06,1998-06,1998,2,9,24.28,26.81,24.28,26.5,14.42,34579400,0.08584337349397586,20.12388623335077
1998-02-22,07,1998-07,1998,2,17,26.38,26.5,25.53,26.47,14.41,21063000,-0.0006934812760055475,-0.1625697795331157
1998-03-01,08,1998-08,1998,2,23,26.5,27.94,25.75,27.28,14.87,23815600,0.03192227619708521,7.483399455926847
1998-03-08,09,1998-09,1998,3,2,27.38,27.47,26.25,26.91,14.67,18438800,-0.01344989912575656,-3.153000969559556
1998-03-15,10,1998-10,1998,3,9,26.94,28.25,26.72,27.31,14.89,25480800,0.01499659168370826,3.5155853346343346
1998-03-22,11,1998-11,1998,3,16,26.5,26.81,25.31,25.75,14.04,35826800,-0.057085292142377564,-13.382255122480892
1998-03-29,12,1998-12,1998,3,23,25.0,29.31,25.0,28.69,15.64,51592800,0.11396011396011407,26.715170608177
1998-04-05,13,1998-13,1998,3,30,29.25,31.91,29.0,31.75,17.31,52751800,0.10677749360613809,25.03138036348321
1998-04-12,14,1998-14,1998,4,6,31.72,31.75,30.25,31.09,16.95,24613800,-0.020797227036395083,-4.875402885686356
1998-04-19,15,1998-15,1998,4,13,31.0,31.06,30.19,30.91,16.85,21922200,-0.005899705014749124,-1.3830420182108993
1998-04-26,16,1998-16,1998,4,20,31.12,31.31,28.84,29.06,15.84,25303800,-0.05994065281899119,-14.051624825378093
1998-05-03,17,1998-17,1998,4,27,28.75,31.44,28.53,31.28,17.05,28637800,0.07638888888888884,17.907512798293617
1998-05-10,18,1998-18,1998,5,4,31.0,31.34,30.5,31.09,16.95,19972000,-0.0058651026392962935,-1.3749303348196902
1998-05-17,19,1998-19,1998,5,11,31.12,32.06,30.66,31.84,17.36,18784000,0.024188790560472073,5.670472274664844
1998-05-24,20,1998-20,1998,5,18,31.84,33.34,31.25,32.81,17.89,20797600,0.03052995391705071,7.157003439284514
1998-05-31,21,1998-21,1998,5,26,32.75,33.53,32.53,32.81,17.91,17061200,0.0011179429849077493,0.26207447969452063
1998-06-07,22,1998-22,1998,6,1,32.81,33.75,32.78,33.59,18.34,13428600,0.02400893355667222,5.628309184662403
1998-06-14,23,1998-23,1998,6,8,33.59,33.97,31.69,32.31,17.64,14591600,-0.03816793893129766,-8.947542827738653
1998-06-21,24,1998-24,1998,6,15,32.12,34.19,31.81,34.03,18.58,22591600,0.053287981859410305,12.492068297139868
1998-06-28,25,1998-25,1998,6,22,33.78,34.97,33.38,34.47,18.81,18278200,0.01237890204520986,2.9019318126993
1998-07-05,26,1998-26,1998,6,29,34.5,35.88,34.38,35.5,19.38,13579400,0.030303030303030276,7.103806729901598
1998-07-12,27,1998-27,1998,7,6,35.53,37.47,35.41,36.53,19.94,23276600,0.028895768833849367,6.773908584550146
1998-07-19,28,1998-28,1998,7,13,37.12,37.25,35.0,36.62,19.99,18424400,0.0025075225677029245,0.5878275378303303
1998-07-26,29,1998-29,1998,7,20,35.5,35.59,33.38,33.78,18.44,37910000,-0.07753876938469217,-18.177074248847738
1998-08-02,30,1998-30,1998,7,27,33.5,33.91,33.09,33.41,18.23,15082600,-0.011388286334056419,-2.6697061083632434
1998-08-09,31,1998-31,1998,8,3,32.94,33.22,30.5,30.56,16.68,23260600,-0.08502468458584755,-19.931964576767268
1998-08-16,32,1998-32,1998,8,10,30.88,33.28,30.78,32.44,17.71,25968800,0.06175059952038375,14.47592270679591
1998-08-23,33,1998-33,1998,8,17,32.06,33.34,31.88,33.0,18.01,15077600,0.016939582156973554,3.9710720850381858
1998-08-30,34,1998-34,1998,8,24,33.0,33.31,30.84,31.34,17.13,21398200,-0.04886174347584693,-11.454444610568759
1998-09-06,35,1998-35,1998,8,31,31.38,31.56,27.75,29.06,15.89,26303800,-0.07238762405137178,-16.96951379962483
1998-09-13,36,1998-36,1998,9,8,30.5,32.25,28.97,29.59,16.18,20975600,0.018250471994965434,4.278378250796635
1998-09-20,37,1998-37,1998,9,14,30.25,30.47,28.03,28.38,15.51,20613600,-0.04140914709517918,-9.707365067869237
1998-09-27,38,1998-38,1998,9,21,27.94,29.25,26.75,28.62,15.65,22793400,0.009026434558349505,2.116027536566448
1998-10-04,39,1998-39,1998,9,28,30.12,30.59,28.38,29.0,15.85,25179200,0.012779552715654896,2.995854595357852
1998-10-11,40,1998-40,1998,10,5,29.25,31.28,28.09,30.62,16.74,29445800,0.05615141955835945,13.16333146102268
1998-10-18,41,1998-41,1998,10,12,31.0,34.34,31.0,34.09,18.64,23268200,0.11350059737156526,26.607448146047265
1998-10-25,42,1998-42,1998,10,19,33.94,34.34,31.69,32.25,17.63,20954200,-0.0541845493562233,-12.702246690323017
1998-11-01,43,1998-43,1998,10,26,32.25,34.19,31.81,33.53,18.33,15980800,0.03970504821327281,9.307880627380998
1998-11-08,44,1998-44,1998,11,2,33.94,34.81,32.75,34.5,18.86,16967200,0.0289143480632843,6.778264031968322
1998-11-15,45,1998-45,1998,11,9,34.62,36.06,33.41,35.69,19.51,18677200,0.03446447507953354,8.079356010413045
1998-11-22,46,1998-46,1998,11,16,35.53,36.25,34.59,35.56,19.44,19767000,-0.0035879036391593955,-0.8410965425972661
1998-11-29,47,1998-47,1998,11,23,35.47,36.81,35.38,36.09,19.75,9607200,0.015946502057613055,3.738268664963626
1998-12-06,48,1998-48,1998,11,30,35.75,36.0,34.38,35.0,19.16,13959000,-0.02987341772151897,-7.003094533224514
1998-12-13,49,1998-49,1998,12,7,34.84,36.09,33.56,34.12,18.68,14657800,-0.025052192066805867,-5.872875709897783
1998-12-20,50,1998-50,1998,12,14,33.81,37.62,33.03,37.59,20.57,22665000,0.10117773019271947,23.71865234175391
1998-12-27,51,1998-51,1998,12,21,37.75,39.75,37.53,38.16,20.88,13768400,0.015070491006319742,3.532909229309321
1999-01-03,52,1998-52,1998,12,28,38.38,39.38,37.56,38.41,21.02,8758200,0.006704980842911823,1.5718193051793654
1999-01-10,01,1999-01,1999,1,4,38.69,40.38,38.12,40.25,22.03,25316000,0.04804947668886772,11.264028463730751
1999-01-17,02,1999-02,1999,1,11,39.56,40.0,35.94,38.75,21.21,19709000,-0.03722197004085337,-8.725783482121534
1999-01-24,03,1999-03,1999,1,19,38.75,39.78,37.81,38.0,20.8,11978400,-0.019330504479019295,-4.531565537744863
1999-01-31,04,1999-04,1999,1,25,37.75,40.31,37.67,39.41,21.57,24897600,0.03701923076923075,8.678256202249985
1999-02-07,05,1999-05,1999,2,1,39.38,41.0,39.03,40.16,21.98,21014800,0.019007881316643438,4.4559344022053065
1999-02-14,06,1999-06,1999,2,8,40.16,41.0,39.59,40.66,22.25,15880800,0.012283894449499622,2.8796595979719606
1999-02-21,07,1999-07,1999,2,16,40.62,42.81,40.09,42.78,23.41,17003400,0.052134831460674214,12.221740297556572
1999-02-28,08,1999-08,1999,2,22,42.56,43.38,41.66,42.5,23.26,24559400,-0.006407518154634695,-1.5020864294324017
1999-03-07,09,1999-09,1999,3,1,42.62,47.38,42.31,47.16,25.81,28750600,0.10963026655202057,25.70014343599397
1999-03-14,10,1999-10,1999,3,8,46.38,46.56,42.75,43.5,23.83,23828300,-0.07671445176288261,-17.983833077557957
1999-03-21,11,1999-11,1999,3,15,43.19,44.94,43.19,43.62,23.9,16286500,0.002937473772555599,0.6886191164948673
1999-03-28,12,1999-12,1999,3,22,43.56,45.25,41.69,44.38,24.31,16196100,0.017154811715481166,4.0215274081827905
1999-04-04,13,1999-13,1999,3,29,44.88,46.0,44.44,45.62,25.0,11529300,0.028383381324557755,6.653791823934978
1999-04-11,14,1999-14,1999,4,5,46.0,47.06,45.31,45.81,25.1,15180500,0.0040000000000000036,0.9377024883470126
1999-04-18,15,1999-15,1999,4,12,45.38,46.88,43.75,44.44,24.35,16221800,-0.029880478087649376,-7.004749663946795
1999-04-25,16,1999-16,1999,4,19,44.62,45.94,42.19,44.12,24.18,19519800,-0.006981519507186951,-1.6366470535831017
1999-05-02,17,1999-17,1999,4,26,44.0,44.62,41.5,42.38,23.22,15250900,-0.03970223325062039,-9.307220728010053
1999-05-09,18,1999-18,1999,5,3,42.31,42.75,39.69,40.0,21.92,14301000,-0.05598621877691634,-13.124604165063662
1999-05-16,19,1999-19,1999,5,10,40.19,42.06,39.19,40.38,22.12,16991600,0.009124087591240837,2.1389199095506566
1999-05-23,20,1999-20,1999,5,17,39.94,40.88,39.38,39.88,21.85,16838300,-0.01220614828209765,-2.861433904313893
