Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,34.36,34.96,34.18,34.91,16.75,3077308,,
1998-01-11,01,1998-01,1998,1,5,34.7,35.85,34.28,34.54,16.57,22191780,-0.010746268656716351,-2.3718990358147676
1998-01-18,02,1998-02,1998,1,12,33.86,35.22,33.86,34.8,16.7,11755723,0.00784550392275185,1.7316469357227304
1998-01-25,03,1998-03,1998,1,20,34.8,34.91,33.47,34.1,16.36,9849061,-0.02035928143712573,-4.493667667653085
1998-02-01,04,1998-04,1998,1,26,34.28,35.93,33.68,34.91,16.75,15743188,0.023838630806845895,5.261624032688134
1998-02-08,05,1998-05,1998,2,2,35.27,37.1,35.27,36.61,17.56,11890631,0.048358208955223914,10.673545661166528
1998-02-15,06,1998-06,1998,2,9,36.66,37.36,35.93,36.79,17.65,10954882,0.005125284738040969,1.1312445572294234
1998-02-22,07,1998-07,1998,2,17,36.89,37.29,36.21,36.76,17.75,7057835,0.0056657223796034994,1.2505290793169124
1998-03-01,08,1998-08,1998,2,23,36.87,36.92,35.25,35.67,17.22,11823177,-0.02985915492957758,-6.590464378856279
1998-03-08,09,1998-09,1998,3,2,35.67,37.57,35.67,37.44,18.08,13861879,0.04994192799070851,11.023101565012247
1998-03-15,10,1998-10,1998,3,9,37.49,37.97,37.21,37.52,18.12,12002098,0.0022123893805310324,0.4883150055297279
1998-03-22,11,1998-11,1998,3,16,37.83,39.56,37.76,39.17,18.91,14071418,0.043598233995584934,9.622931687337216
1998-03-29,12,1998-12,1998,3,23,39.17,40.19,38.64,39.56,19.1,8672196,0.01004759386567966,2.217688666044021
1998-04-05,13,1998-13,1998,3,30,39.45,39.59,37.83,38.51,18.59,13883646,-0.026701570680628395,-5.8935274908225335
1998-04-12,14,1998-14,1998,4,6,38.57,39.53,38.23,39.32,18.99,8707598,0.02151694459386766,4.74918520708835
1998-04-19,15,1998-15,1998,4,13,39.4,40.73,38.93,40.73,19.67,11577519,0.03580832016850999,7.903554507615282
1998-04-26,16,1998-16,1998,4,20,40.5,40.92,38.51,38.59,18.63,7930675,-0.052872394509405285,-11.669909394987737
1998-05-03,17,1998-17,1998,4,27,38.04,39.77,37.23,39.64,19.14,9213984,0.027375201288244888,6.042210148937755
1998-05-10,18,1998-18,1998,5,4,39.66,40.47,38.64,39.27,18.96,7910584,-0.00940438871473348,-2.075721465511878
1998-05-17,19,1998-19,1998,5,11,39.27,40.34,38.7,40.08,19.35,9023102,0.020569620253164667,4.540093310906045
1998-05-24,20,1998-20,1998,5,18,40.03,40.53,39.32,40.03,19.44,6931537,0.0046511627906977715,1.0265971279043524
1998-05-31,21,1998-21,1998,5,26,40.45,40.76,38.72,38.72,18.8,6677269,-0.03292181069958855,-7.26644880656565
1998-06-07,22,1998-22,1998,6,1,38.83,39.69,38.1,39.14,19.01,7270245,0.011170212765957421,2.4654712938766186
1998-06-14,23,1998-23,1998,6,8,39.3,39.61,35.74,36.29,17.62,14092229,-0.07311941083640194,-16.138798089122012
1998-06-21,24,1998-24,1998,6,15,33.92,34.96,33.6,34.91,16.95,21680850,-0.038024971623155546,-8.39281023124966
1998-06-28,25,1998-25,1998,6,22,34.75,35.67,34.15,34.65,16.82,10948901,-0.007669616519173972,-1.6928253525029964
1998-07-05,26,1998-26,1998,6,29,34.67,35.43,34.07,34.39,16.7,7637656,-0.007134363852556502,-1.5746852496986812
1998-07-12,27,1998-27,1998,7,6,34.33,34.59,33.31,33.73,16.38,13051469,-0.01916167664670665,-4.229334275438215
