Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,50.21,51.44,50.07,51.35,20.48,4791666,,
1998-01-11,01,1998-01,1998,1,5,51.35,51.94,48.96,49.08,19.58,29332891,-0.04394531250000011,-8.809970325977446
1998-01-18,02,1998-02,1998,1,12,48.66,52.78,48.37,52.36,20.89,39688808,0.06690500510725239,13.412832361910306
1998-01-25,03,1998-03,1998,1,20,52.78,55.34,52.72,53.88,21.5,28081160,0.02920057443752988,5.854007621316452
1998-02-01,04,1998-04,1998,1,26,54.39,56.77,53.97,56.0,22.34,32551929,0.039069767441860526,7.832541680199227
1998-02-08,05,1998-05,1998,2,2,57.25,57.34,53.67,54.51,21.75,29680618,-0.02641002685765448,-5.2945704487640795
1998-02-15,06,1998-06,1998,2,9,54.75,56.51,54.12,56.15,22.4,22885385,0.029885057471264354,5.9912298840056915
1998-02-22,07,1998-07,1998,2,17,56.45,59.61,56.3,59.49,23.73,27425322,0.05937500000000018,11.90324879598731
1998-03-01,08,1998-08,1998,2,23,60.23,62.44,59.73,60.86,24.28,31441258,0.02317741255794359,4.646509610516924
1998-03-08,09,1998-09,1998,3,2,60.86,61.19,59.01,60.77,24.33,20001709,0.0020593080724875534,0.4128413698425995
1998-03-15,10,1998-10,1998,3,9,60.89,62.5,60.71,61.19,24.5,18169385,0.006987258528565521,1.4007760280825152
1998-03-22,11,1998-11,1998,3,16,61.19,63.16,60.92,62.92,25.19,19068779,0.028163265306122565,5.646052275303976
1998-03-29,12,1998-12,1998,3,23,62.74,63.36,60.47,60.95,24.4,23029171,-0.03136165144898784,-6.28725119747936
1998-04-05,13,1998-13,1998,3,30,60.71,63.33,60.23,62.71,25.11,22702196,0.029098360655737787,5.833516234789293
1998-04-12,14,1998-14,1998,4,6,63.45,63.45,59.94,60.23,24.11,17918494,-0.03982477100756676,-7.983901600779586
1998-04-19,15,1998-15,1998,4,13,60.23,60.47,56.0,57.43,22.99,39458878,-0.04645375362919957,-9.312851990835522
1998-04-26,16,1998-16,1998,4,20,58.62,58.86,55.4,55.58,22.25,29068586,-0.0321879077859939,-6.452895572193369
1998-05-03,17,1998-17,1998,4,27,54.81,57.52,53.2,55.49,22.22,38549213,-0.001348314606741674,-0.2703044079041665
1998-05-10,18,1998-18,1998,5,4,56.06,56.66,54.57,56.24,22.52,24331207,0.013501350135013634,2.7066935534956404
1998-05-17,19,1998-19,1998,5,11,56.74,57.31,55.34,55.7,22.3,23722109,-0.009769094138543433,-1.9584666617684794
1998-05-24,20,1998-20,1998,5,18,55.82,58.0,55.64,56.3,22.54,20273351,0.010762331838565009,2.1575867536743485
1998-05-31,21,1998-21,1998,5,26,57.01,57.22,55.37,55.82,22.35,16529056,-0.008429458740017659,-1.6899022248074038
1998-06-07,22,1998-22,1998,6,1,55.82,57.04,53.2,57.04,22.93,25941563,0.025950782997762767,5.2025031827039445
1998-06-14,23,1998-23,1998,6,8,57.25,61.13,57.13,60.32,24.25,39824419,0.05756650675970354,11.540689722553843
1998-06-21,24,1998-24,1998,6,15,59.82,62.47,58.98,60.53,24.33,27942196,0.003298969072164981,0.6613633622946875
1998-06-28,25,1998-25,1998,6,22,60.53,63.66,59.79,62.71,25.2,23934853,0.035758323057953234,7.1686773201870455
1998-07-05,26,1998-26,1998,6,29,63.39,64.05,62.41,63.33,25.46,19943439,0.01031746031746028,2.0684007932876725
1998-07-12,27,1998-27,1998,7,6,63.28,64.59,62.32,63.22,25.41,21030426,-0.0019638648860959007,-0.39370732363625627
1998-07-19,28,1998-28,1998,7,13,63.22,66.38,63.22,65.84,26.46,20028958,0.04132231404958686,8.284122694032048
1998-07-26,29,1998-29,1998,7,20,65.96,66.32,58.44,60.0,24.11,53143871,-0.08881330309901747,-17.804915253575285
1998-08-02,30,1998-30,1998,7,27,59.64,60.62,57.64,58.95,23.69,27802392,-0.017420157610949727,-3.492319496563299
1998-08-09,31,1998-31,1998,8,3,58.62,59.4,56.0,59.1,23.75,31369154,0.0025327142254114587,0.5077478324919376
1998-08-16,32,1998-32,1998,8,10,59.46,61.43,57.67,60.77,24.43,37431835,0.02863157894736834,5.739937812757503
1998-08-23,33,1998-33,1998,8,17,61.07,62.92,59.64,61.55,24.74,35391798,0.012689316414244756,2.543900468711755
1998-08-30,34,1998-34,1998,8,24,61.55,64.44,59.55,60.77,24.43,34036734,-0.012530315278900472,-2.5120245938006396
