Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,39.66,40.47,39.44,40.47,20.65,3088400,,
1998-01-11,01,1998-01,1998,1,5,40.59,41.41,39.0,39.44,20.13,20607400,-0.025181598062953947,-6.163464973478357
1998-01-18,02,1998-02,1998,1,12,38.81,41.31,38.78,39.66,20.24,20931000,0.005464480874316946,1.337490034702905
1998-01-25,03,1998-03,1998,1,20,40.16,40.91,39.12,39.19,20.06,14327600,-0.008893280632411016,-2.1767253825648907
1998-02-01,04,1998-04,1998,1,26,39.25,40.66,38.66,39.19,20.06,24548000,0.0,0.0
1998-02-08,05,1998-05,1998,2,2,39.59,41.22,39.34,41.0,20.99,18980000,0.04636091724825531,11.347329461918621
1998-02-15,06,1998-06,1998,2,9,40.97,42.38,40.53,42.34,21.68,18526000,0.03287279656979525,8.0459679219598
1998-02-22,07,1998-07,1998,2,17,42.38,42.38,41.12,41.69,21.34,13399000,-0.01568265682656822,-3.8384976918456837
1998-03-01,08,1998-08,1998,2,23,41.97,42.62,41.25,42.44,21.72,15621000,0.017806935332708385,4.358437535765659
1998-03-08,09,1998-09,1998,3,2,42.0,42.25,39.94,41.81,21.4,16914600,-0.014732965009208066,-3.6060504803039524
1998-03-15,10,1998-10,1998,3,9,41.81,43.47,41.09,41.22,21.1,19400200,-0.014018691588784882,-3.4312244348218943
1998-03-22,11,1998-11,1998,3,16,41.03,42.97,41.0,42.66,21.84,18173000,0.035071090047393394,8.584023720353903
1998-03-29,12,1998-12,1998,3,23,42.75,43.94,41.78,42.06,21.53,19415000,-0.014194139194139144,-3.4741671093725026
1998-04-05,13,1998-13,1998,3,30,41.94,44.84,41.53,44.06,22.56,21800000,0.04784022294472812,11.709405324716649
1998-04-12,14,1998-14,1998,4,6,44.0,44.12,42.91,43.12,22.08,12291800,-0.021276595744680882,-5.207673964907057
1998-04-19,15,1998-15,1998,4,13,43.12,43.12,41.09,42.56,21.79,20962600,-0.013134057971014412,-3.214700912213889
1998-04-26,16,1998-16,1998,4,20,42.78,44.25,41.5,42.75,21.95,30191200,0.007342817806333279,1.7972330525975928
1998-05-03,17,1998-17,1998,4,27,42.31,42.47,40.09,41.72,21.42,24846000,-0.02414578587699301,-5.909938882270331
1998-05-10,18,1998-18,1998,5,4,41.97,42.88,40.12,40.5,20.8,18341400,-0.028944911297852483,-7.0845760661714055
1998-05-17,19,1998-19,1998,5,11,40.62,41.72,40.12,40.97,21.04,17777600,0.011538461538461497,2.8241616501995823
1998-05-24,20,1998-20,1998,5,18,41.34,42.5,41.16,41.94,21.53,15264000,0.023288973384030465,5.700224876987149
1998-05-31,21,1998-21,1998,5,26,41.94,42.34,40.75,41.94,21.53,12357000,0.0,0.0
1998-06-07,22,1998-22,1998,6,1,41.97,44.0,41.78,43.94,22.56,19457200,0.04784022294472812,11.709405324716649
1998-06-14,23,1998-23,1998,6,8,43.94,44.5,41.91,42.62,21.89,18357800,-0.0296985815602836,-7.269044909349403
1998-06-21,24,1998-24,1998,6,15,41.84,45.09,41.84,44.19,22.69,25980200,0.03654636820465962,8.945113799931697
1998-06-28,25,1998-25,1998,6,22,44.09,45.81,43.34,45.19,23.2,16453400,0.022476862053768087,5.501451958520118
1998-07-05,26,1998-26,1998,6,29,45.59,46.38,45.12,46.28,23.76,12884600,0.024137931034482918,5.908016325704934
1998-07-12,27,1998-27,1998,7,6,46.47,47.0,45.0,46.22,23.73,16014200,-0.0012626262626262985,-0.30904125801848276
1998-07-19,28,1998-28,1998,7,13,46.22,46.88,45.12,45.25,23.23,17699000,-0.02107037505267595,-5.157199248854435
1998-07-26,29,1998-29,1998,7,20,45.31,45.56,43.12,43.88,22.6,19680800,-0.02712010331467929,-6.637934829999903
1998-08-02,30,1998-30,1998,7,27,43.5,45.06,39.53,39.69,20.44,46560400,-0.09557522123893802,-23.3930557928037
1998-08-09,31,1998-31,1998,8,3,39.53,40.81,37.81,39.41,20.3,54236400,-0.006849315068493178,-1.6764429887029613
1998-08-16,32,1998-32,1998,8,10,39.38,40.25,38.5,39.25,20.22,22588200,-0.003940886699507429,-0.9645740939926456
1998-08-23,33,1998-33,1998,8,17,39.28,40.66,38.53,39.5,20.35,21772000,0.006429277942631151,1.5736344176845962
1998-08-30,34,1998-34,1998,8,24,39.5,41.69,39.47,40.91,21.07,26512400,0.03538083538083536,8.659837197663611
1998-09-06,35,1998-35,1998,8,31,40.16,40.56,36.53,37.81,19.48,32746800,-0.07546274323682955,-18.470312073920436
1998-09-13,36,1998-36,1998,9,8,38.88,39.88,32.56,33.69,17.35,40894000,-0.10934291581108824,-26.7628460280721
1998-09-20,37,1998-37,1998,9,14,34.53,35.16,32.62,34.47,17.76,33711400,0.023631123919308328,5.783969873415489
1998-09-27,38,1998-38,1998,9,21,33.5,37.5,33.34,35.25,18.16,24035200,0.022522522522522515,5.512627845734939
1998-10-04,39,1998-39,1998,9,28,36.03,37.62,34.81,37.47,19.3,26748000,0.06277533039647576,15.364932325975756
1998-10-11,40,1998-40,1998,10,5,37.25,39.78,36.41,38.69,19.93,35931600,0.032642487046631974,7.989597207300365
1998-10-18,41,1998-41,1998,10,12,39.0,42.38,38.41,41.88,21.57,25525200,0.08228800802809833,20.14086850050353
1998-10-25,42,1998-42,1998,10,19,41.69,44.0,40.47,43.72,22.6,29549200,0.04775150672229955,11.687691082111758
1998-11-01,43,1998-43,1998,10,26,43.5,44.5,41.91,44.34,22.92,22313000,0.014159292035398341,3.4656378952302056
1998-11-08,44,1998-44,1998,11,2,44.44,45.0,43.52,45.0,23.26,20473000,0.014834205933682343,3.6308302774526395
1998-11-15,45,1998-45,1998,11,9,44.88,45.72,43.62,44.78,23.15,20718400,-0.004729148753224499,-1.1575096474019735
1998-11-22,46,1998-46,1998,11,16,44.97,45.75,44.06,45.72,23.63,19472600,0.020734341252699906,5.074951388695626
1998-11-29,47,1998-47,1998,11,23,45.81,46.78,44.66,44.66,23.08,13349000,-0.02327549724925948,-5.6969264491260105
1998-12-06,48,1998-48,1998,11,30,44.59,46.0,43.0,46.0,23.78,20190400,0.030329289428076445,7.423417393650044
1998-12-13,49,1998-49,1998,12,7,45.53,45.81,41.31,42.53,21.99,31969800,-0.0752733389402861,-18.423953350194743
1998-12-20,50,1998-50,1998,12,14,41.91,44.88,41.75,43.66,22.57,24336200,0.026375625284220217,6.455715883736554
1998-12-27,51,1998-51,1998,12,21,43.53,47.41,43.5,46.88,24.23,17904400,0.07354895879486034,18.001892899514736
1999-01-03,52,1998-52,1998,12,28,46.88,47.34,45.28,45.66,23.6,10474400,-0.026000825423029283,-6.363979616215338
1999-01-10,01,1999-01,1999,1,4,45.0,46.5,43.53,44.59,23.05,25053400,-0.02330508474576276,-5.704168304781675
1999-01-17,02,1999-02,1999,1,11,43.66,44.47,41.88,43.31,22.39,33454800,-0.028633405639913234,-7.008331730647146
1999-01-24,03,1999-03,1999,1,19,43.84,43.91,41.59,42.66,22.12,20798200,-0.012058954890576179,-2.9515579550991795
1999-01-31,04,1999-04,1999,1,25,42.5,45.5,41.0,45.44,23.57,30191200,0.06555153707052441,16.04443854920504
1999-02-07,05,1999-05,1999,2,1,45.06,45.44,42.03,42.44,22.01,26661600,-0.0661858294442087,-16.199688379592054
1999-02-14,06,1999-06,1999,2,8,42.69,44.72,42.03,43.75,22.69,17621400,0.030895047705588263,7.561892772304805
1999-02-21,07,1999-07,1999,2,16,43.94,45.97,43.88,45.91,23.81,19434000,0.04936095196121637,12.081619987338344
1999-02-28,08,1999-08,1999,2,22,45.69,46.5,43.81,44.75,23.21,20075200,-0.025199496010079758,-6.167845687122158
1999-03-07,09,1999-09,1999,3,1,45.06,47.0,44.25,47.0,24.38,24682000,0.050409306333476955,12.338215912547986
1999-03-14,10,1999-10,1999,3,8,46.56,46.97,45.03,45.16,23.42,22986400,-0.03937653814602127,-9.637828108966602
1999-03-21,11,1999-11,1999,3,15,45.44,47.47,45.03,46.81,24.28,24787600,0.0367207514944492,8.987795971884845
1999-03-28,12,1999-12,1999,3,22,46.88,50.47,46.72,49.62,25.74,35293400,0.06013179571663918,14.717898989782604
1999-04-04,13,1999-13,1999,3,29,49.81,50.91,48.69,49.22,25.53,17455800,-0.008158508158508049,-1.9968819748885742
1999-04-11,14,1999-14,1999,4,5,49.31,51.0,48.91,50.72,26.31,21469600,0.03055229142185656,7.477999512475204
1999-04-18,15,1999-15,1999,4,12,50.06,51.91,47.56,49.09,25.46,23806800,-0.03230710756366395,-7.907509498214987
1999-04-25,16,1999-16,1999,4,19,48.75,49.88,45.0,45.25,23.54,37027800,-0.07541241162608014,-18.457992874831593
1999-05-02,17,1999-17,1999,4,26,45.12,47.62,44.94,46.91,24.4,30413600,0.03653355989804585,8.941978830142007
1999-05-09,18,1999-18,1999,5,3,46.25,47.38,45.12,45.47,23.65,23260000,-0.030737704918032738,-7.523381445203821
1999-05-16,19,1999-19,1999,5,10,45.34,46.75,44.69,46.16,24.01,18449200,0.015221987315010788,3.725743910622772
1999-05-23,20,1999-20,1999,5,17,46.28,48.72,46.09,48.62,25.29,18521200,0.05331112036651375,13.048465877917826
1999-05-30,21,1999-21,1999,5,24,48.59,49.0,46.41,46.69,24.29,22941800,-0.039541320680110736,-9.678160393461111
1999-06-06,22,1999-22,1999,6,1,46.81,48.5,46.09,48.31,25.13,16482400,0.03458213256484144,8.464346156217784
1999-06-13,23,1999-23,1999,6,7,47.5,48.88,42.97,43.12,22.43,36591200,-0.10744130521289297,-26.2974065319023
1999-06-20,24,1999-24,1999,6,14,43.34,44.84,42.06,43.95,22.86,30327000,0.019170753455193923,4.6922465818444685
1999-06-27,25,1999-25,1999,6,21,43.5,43.69,42.47,42.66,22.19,18117400,-0.029308836395450455,-7.173650619200454
1999-07-04,26,1999-26,1999,6,28,42.97,44.62,42.28,42.44,22.08,23631400,-0.004957187922487782,-1.2133246687052908
1999-07-11,27,1999-27,1999,7,6,42.38,43.47,42.34,43.38,22.56,19889200,0.021739130434782705,5.3208842684920095
1999-07-18,28,1999-28,1999,7,12,43.44,46.03,42.81,45.0,23.41,29173200,0.03767730496453914,9.2219226461896
1999-07-25,29,1999-29,1999,7,19,45.09,45.47,43.72,44.12,23.03,16253000,-0.01623237932507471,-3.9730481423852906
1999-08-01,30,1999-30,1999,7,26,43.94,46.22,43.06,45.28,23.64,26903600,0.02648719062092919,6.483022691006728
1999-08-08,31,1999-31,1999,8,2,44.91,47.44,44.91,46.56,24.31,25228000,0.02834179357021993,6.936956563237005
1999-08-15,32,1999-32,1999,8,9,46.69,47.38,45.41,46.5,24.27,23259000,-0.0016454134101192563,-0.40273249913718795
1999-08-22,33,1999-33,1999,8,16,46.53,48.72,46.41,48.62,25.38,20377200,0.04573547589616811,11.194246013564106
