Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,11.53,11.64,11.3,11.5,6.67,3003846,,
1998-01-11,01,1998-01,1998,1,5,11.54,11.66,10.65,10.78,6.25,22230109,-0.06296851574212892,-11.744401667078458
1998-01-18,02,1998-02,1998,1,12,10.7,11.41,10.54,11.21,6.5,29093954,0.040000000000000036,7.460491344706039
1998-01-25,03,1998-03,1998,1,20,11.22,12.06,11.05,11.75,6.81,28129114,0.0476923076923077,8.895201218687962
1998-02-01,04,1998-04,1998,1,26,11.88,13.04,11.78,12.78,7.41,36337251,0.08810572687224671,16.432800318735758
1998-02-08,05,1998-05,1998,2,2,13.02,13.45,13.02,13.34,7.73,23782245,0.04318488529014841,8.054511573231876
1998-02-15,06,1998-06,1998,2,9,13.35,13.85,13.24,13.51,7.83,19358470,0.012936610608020649,2.4128367867742573
1998-02-22,07,1998-07,1998,2,17,13.59,13.77,13.33,13.56,7.89,13993369,0.007662835249041988,1.429212901284651
1998-03-01,08,1998-08,1998,2,23,13.54,14.16,13.27,14.05,8.17,19281562,0.03548795944233207,6.6189403565199285
1998-03-08,09,1998-09,1998,3,2,14.0,14.27,13.79,14.14,8.22,23658304,0.006119951040391758,1.1414460441716847
1998-03-15,10,1998-10,1998,3,9,14.16,14.35,14.0,14.2,8.26,14673461,0.0048661800486617945,0.9076023533705625
1998-03-22,11,1998-11,1998,3,16,14.24,14.65,14.14,14.63,8.51,16559922,0.030266343825665842,5.645044903681922
1998-03-29,12,1998-12,1998,3,23,14.63,14.77,14.27,14.38,8.36,18654225,-0.01762632197414815,-3.28752556317835
1998-04-05,13,1998-13,1998,3,30,14.39,15.04,14.2,14.87,8.65,17276879,0.0346889952153111,6.469923714009436
1998-04-12,14,1998-14,1998,4,6,15.04,15.32,14.92,15.0,8.72,14944863,0.008092485549132888,1.5093479599116137
1998-04-19,15,1998-15,1998,4,13,14.94,15.46,14.81,15.14,8.81,19233257,0.010321100917431103,1.925012101558306
1998-04-26,16,1998-16,1998,4,20,15.2,15.5,15.04,15.43,8.97,20090681,0.018161180476730987,3.387283243907392
1998-05-03,17,1998-17,1998,4,27,15.28,15.7,15.13,15.56,9.05,21651078,0.008918617614269708,1.663431737950048
1998-05-10,18,1998-18,1998,5,4,15.59,15.75,15.05,15.13,8.8,15953560,-0.027624309392265234,-5.1522730281119085
1998-05-17,19,1998-19,1998,5,11,15.22,15.35,15.03,15.04,8.75,15998687,-0.005681818181818232,-1.0597288841912071
1998-05-24,20,1998-20,1998,5,18,15.03,15.3,14.71,15.14,8.84,18070107,0.010285714285714231,1.9184120600672554
1998-05-31,21,1998-21,1998,5,26,15.18,15.24,14.47,14.79,8.63,18145109,-0.0237556561085972,-4.43072166965006
1998-06-07,22,1998-22,1998,6,1,14.72,14.88,13.94,14.44,8.43,19398512,-0.023174971031286296,-4.322416769818111
1998-06-14,23,1998-23,1998,6,8,14.44,14.63,13.23,13.68,7.98,42767618,-0.053380782918149405,-9.95617172336213
1998-06-21,24,1998-24,1998,6,15,13.47,14.08,13.35,13.53,7.9,33745276,-0.010025062656641603,-1.8697973295002586
1998-06-28,25,1998-25,1998,6,22,13.53,14.42,13.53,14.23,8.31,18969482,0.051898734177215244,9.679751428257836
1998-07-05,26,1998-26,1998,6,29,14.3,14.85,14.23,14.81,8.65,15545505,0.04091456077015643,7.631068162455025
1998-07-12,27,1998-27,1998,7,6,14.81,15.2,14.79,14.89,8.69,14615621,0.0046242774566473965,0.8624845485209282
1998-07-19,28,1998-28,1998,7,13,14.91,15.29,14.74,14.89,8.69,15504827,0.0,0.0
1998-07-26,29,1998-29,1998,7,20,14.89,15.6,14.42,14.9,8.7,26653250,0.0011507479861909697,0.21462863477289065
1998-08-02,30,1998-30,1998,7,27,14.91,15.45,14.61,15.08,8.81,18441298,0.012643678160919603,2.358201287119734
1998-08-09,31,1998-31,1998,8,3,15.08,15.44,14.02,14.21,8.29,30203077,-0.05902383654937582,-11.008670542699047
1998-08-16,32,1998-32,1998,8,10,14.21,14.4,13.71,13.71,8.0,23882670,-0.03498190591073569,-6.524555156709109
1998-08-23,33,1998-33,1998,8,17,13.75,14.16,13.39,13.62,7.98,19228807,-0.0024999999999999467,-0.466280709044117
1998-08-30,34,1998-34,1998,8,24,13.72,13.75,12.23,12.35,7.24,39047449,-0.09273182957393489,-17.295625297877404
1998-09-06,35,1998-35,1998,8,31,12.35,12.61,11.29,11.98,7.02,47172325,-0.0303867403314918,-5.667500330923107
1998-09-13,36,1998-36,1998,9,8,12.37,12.67,11.56,12.07,7.07,18793421,0.007122507122507171,1.3284350685017954
1998-09-20,37,1998-37,1998,9,14,12.43,13.06,12.26,12.54,7.35,28090343,0.03960396039603942,7.3866250937683136
1998-09-27,38,1998-38,1998,9,21,12.27,12.89,11.76,12.49,7.32,32137844,-0.004081632653061162,-0.7612746270108081
1998-10-04,39,1998-39,1998,9,28,12.82,12.88,11.54,11.98,7.02,28329963,-0.040983606557377095,-7.643946049903731
1998-10-11,40,1998-40,1998,10,5,12.0,12.47,11.33,12.08,7.08,32642509,0.008547008547008517,1.5941220822021378
1998-10-18,41,1998-41,1998,10,12,12.39,13.29,10.23,13.14,7.7,32580220,0.08757062146892647,16.332996587986354
1998-10-25,42,1998-42,1998,10,19,13.14,14.45,13.06,13.84,8.11,26886516,0.0532467532467531,9.931173543277483
1998-11-01,43,1998-43,1998,10,26,13.9,15.14,13.65,14.99,8.78,28856241,0.08261405672009858,15.408536377783717
1998-11-08,44,1998-44,1998,11,2,15.07,15.64,14.7,15.51,9.09,27246266,0.03530751708428248,6.585285640258745
1998-11-15,45,1998-45,1998,11,9,15.48,16.04,15.21,15.84,9.29,22863168,0.022002200220021972,4.103680607649077
1998-11-22,46,1998-46,1998,11,16,15.69,16.4,15.19,16.27,9.57,23521649,0.03013993541442428,5.621468182232779
1998-11-29,47,1998-47,1998,11,23,16.4,17.7,16.36,17.58,10.34,23030329,0.08045977011494254,15.006735463489148
1998-12-06,48,1998-48,1998,11,30,17.48,17.53,15.78,16.04,9.43,33188489,-0.08800773694390718,-16.41452399342962
1998-12-13,49,1998-49,1998,12,7,16.01,17.03,16.01,16.31,9.6,17827944,0.018027571580063517,3.362363543478308
1998-12-20,50,1998-50,1998,12,14,16.19,16.24,15.4,15.63,9.2,26524224,-0.04166666666666674,-7.771345150735463
1998-12-27,51,1998-51,1998,12,21,15.77,17.21,15.77,16.79,9.87,15073889,0.07282608695652182,13.582959785198499
1999-01-03,52,1998-52,1998,12,28,16.85,17.4,16.85,17.11,10.07,12480006,0.020263424518743856,3.779377580904813
1999-01-10,01,1999-01,1999,1,4,17.19,18.22,16.95,18.04,10.61,26378672,0.053624627606752684,10.001651753081564
1999-01-17,02,1999-02,1999,1,11,17.94,18.05,16.81,17.26,10.15,21147048,-0.043355325164938674,-8.086300703498514
1999-01-24,03,1999-03,1999,1,19,17.5,18.51,17.05,18.02,10.6,26990118,0.04433497536945796,8.269017500289905
1999-01-31,04,1999-04,1999,1,25,17.99,18.87,17.84,18.79,11.05,19402961,0.04245283018867929,7.91797430452292
1999-02-07,05,1999-05,1999,2,1,18.86,19.67,18.86,19.67,11.57,26660877,0.04705882352941182,8.777048640830635
1999-02-14,06,1999-06,1999,2,8,19.57,19.61,18.49,18.72,11.01,30997576,-0.04840103716508215,-9.027387971122259
1999-02-21,07,1999-07,1999,2,16,19.0,19.78,18.73,19.74,11.64,20893443,0.05722070844686655,10.67236500264488
1999-02-28,08,1999-08,1999,2,22,19.49,19.98,18.96,19.49,11.5,28370642,-0.012027491408934776,-2.2432748888721017
1999-03-07,09,1999-09,1999,3,1,19.41,20.42,19.17,20.31,11.98,24497295,0.04173913043478272,7.784860533606317
1999-03-14,10,1999-10,1999,3,8,20.3,20.45,19.63,20.06,11.84,19315249,-0.0116861435726211,-2.1796093244132932
1999-03-21,11,1999-11,1999,3,15,20.04,21.44,20.0,21.22,12.52,28474244,0.057432432432432456,10.711854126689408
1999-03-28,12,1999-12,1999,3,22,21.12,21.12,20.2,20.77,12.25,21831589,-0.021565495207667706,-4.022229758527608
1999-04-04,13,1999-13,1999,3,29,20.89,21.54,20.89,21.11,12.46,18223923,0.017142857142857126,3.197353433445439
1999-04-11,14,1999-14,1999,4,5,21.21,21.52,20.62,20.73,12.23,21321202,-0.018459069020866803,-3.4428431165377007
1999-04-18,15,1999-15,1999,4,12,20.67,22.73,20.58,22.34,13.18,40742596,0.07767784137367117,14.487871581093048
1999-04-25,16,1999-16,1999,4,19,22.42,23.44,21.48,21.88,12.91,60571408,-0.020485584218512876,-3.8208130938365445
1999-05-02,17,1999-17,1999,4,26,21.88,23.68,21.65,22.79,13.45,37384086,0.04182804027885356,7.801443311660058
1999-05-09,18,1999-18,1999,5,3,22.75,23.76,22.43,22.8,13.49,32477253,0.0029739776951673846,0.5546833713536267
1999-05-16,19,1999-19,1999,5,10,22.8,23.9,22.26,22.26,13.17,32303099,-0.023721275018532273,-4.424309174028786
1999-05-23,20,1999-20,1999,5,17,22.26,22.28,19.67,20.18,11.93,45133002,-0.09415337889141995,-17.560761707356654
1999-05-30,21,1999-21,1999,5,24,20.18,20.69,19.43,19.53,11.55,37197219,-0.03185247275775349,-5.940877432917615
1999-06-06,22,1999-22,1999,6,1,19.55,21.24,19.41,21.22,12.55,23358936,0.08658008658008653,16.14824966386586
1999-06-13,23,1999-23,1999,6,7,21.02,21.77,19.02,19.43,11.49,30774481,-0.08446215139442237,-15.753228735833465
1999-06-20,24,1999-24,1999,6,14,19.51,21.06,19.39,20.93,12.38,29883053,0.0774586597040905,14.446991507372426
1999-06-27,25,1999-25,1999,6,21,20.91,21.14,19.73,20.34,12.03,21690804,-0.028271405492730328,-5.272964399529729
1999-07-04,26,1999-26,1999,6,28,20.49,22.73,20.39,22.03,13.03,25321668,0.0831255195344971,15.503930475282694
1999-07-11,27,1999-27,1999,7,6,22.01,22.58,21.63,22.01,13.02,13160098,-0.0007674597083653367,-0.14314066279175525
1999-07-18,28,1999-28,1999,7,12,22.03,22.3,21.44,22.11,13.07,19627963,0.0038402457757296116,0.7162530092843667
1999-07-25,29,1999-29,1999,7,19,22.11,22.34,21.2,21.67,12.82,20826705,-0.01912777352716144,-3.5675647210721277
1999-08-01,30,1999-30,1999,7,26,21.52,22.24,20.98,20.98,12.41,12123434,-0.03198127925117,-5.964901426149511
1999-08-08,31,1999-31,1999,8,2,20.61,21.2,20.04,20.2,11.95,13854808,-0.03706688154713944,-6.913428723941937
1999-08-15,32,1999-32,1999,8,9,20.22,21.12,19.29,20.53,12.14,15635123,0.0158995815899583,2.9654672709082814
1999-08-22,33,1999-33,1999,8,16,20.61,21.52,20.61,21.26,12.57,13376837,0.03542009884678743,6.606283521877243
1999-08-29,34,1999-34,1999,8,23,21.2,22.03,21.2,21.4,12.69,15110118,0.009546539379474916,1.7805468603116976
1999-09-05,35,1999-35,1999,8,30,21.55,21.73,20.67,21.16,12.55,16319031,-0.011032308904649235,-2.0576611273814724
1999-09-12,36,1999-36,1999,9,7,21.0,21.06,19.76,19.78,11.73,23162536,-0.06533864541832668,-12.186459965456066
1999-09-19,37,1999-37,1999,9,13,19.63,19.94,18.98,19.45,11.53,27780169,-0.017050298380221762,-3.180090087257493
1999-09-26,38,1999-38,1999,9,20,19.51,19.71,17.52,18.09,10.73,44908953,-0.06938421509106674,-12.941008403653125
1999-10-03,39,1999-39,1999,9,27,18.09,18.96,17.17,18.23,10.81,26810561,0.007455731593662529,1.3905855255742652
1999-10-10,40,1999-40,1999,10,4,18.19,19.27,17.31,18.64,11.06,29013551,0.023126734505087843,4.313420065163055
1999-10-17,41,1999-41,1999,10,11,18.6,18.6,16.24,16.56,9.82,32800774,-0.11211573236889694,-20.910961273588335
