Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,41.12,41.19,40.94,41.03,20.89,122000,,
1998-01-11,01,1998-01,1998,1,5,41.03,41.81,37.81,37.84,19.27,1664600,-0.07754906653901394,-14.581800062141639
1998-01-18,02,1998-02,1998,1,12,37.75,39.38,37.31,39.06,19.89,1884200,0.0321743642968344,6.049849059974424
1998-01-25,03,1998-03,1998,1,20,41.25,44.06,41.25,43.94,22.37,8555800,0.12468577174459528,23.445066140916513
1998-02-01,04,1998-04,1998,1,26,43.91,43.94,42.97,43.52,22.16,6531400,-0.009387572641931241,-1.765175435923599
1998-02-08,05,1998-05,1998,2,2,43.56,44.25,43.22,44.0,22.4,4705200,0.010830324909747224,2.0364607788349827
1998-02-15,06,1998-06,1998,2,9,44.0,44.16,42.44,43.5,22.15,4269000,-0.011160714285714302,-2.098584954379816
1998-02-22,07,1998-07,1998,2,17,43.75,44.38,43.5,44.28,22.55,2501200,0.01805869074492117,3.3956336237008227
1998-03-01,08,1998-08,1998,2,23,44.38,44.56,43.44,44.31,22.56,2977000,0.0004434589800441646,0.08338501636911502
1998-03-08,09,1998-09,1998,3,2,44.22,44.66,43.5,44.66,22.74,2401400,0.007978723404255206,1.5002649886629937
1998-03-15,10,1998-10,1998,3,9,44.62,46.12,44.5,46.03,23.44,3090200,0.030782761653474155,5.788181545237568
1998-03-22,11,1998-11,1998,3,16,46.03,47.19,46.03,46.25,23.55,3442200,0.0046928327645050505,0.8824084176777787
1998-03-29,12,1998-12,1998,3,23,46.31,46.47,44.69,45.03,23.06,2348800,-0.020806794055201805,-3.912368315800075
1998-04-05,13,1998-13,1998,3,30,44.81,45.03,44.03,44.47,22.77,3405200,-0.012575888985255856,-2.3646847985518242
1998-04-12,14,1998-14,1998,4,6,44.72,45.38,43.56,43.88,22.46,2469600,-0.013614404918752654,-2.559960285149464
1998-04-19,15,1998-15,1998,4,13,44.0,44.12,42.97,43.56,22.3,2717200,-0.007123775601068583,-1.339506407212336
1998-04-26,16,1998-16,1998,4,20,43.75,44.12,41.47,42.12,21.57,3194000,-0.032735426008968616,-6.155347295788109
1998-05-03,17,1998-17,1998,4,27,41.81,42.81,39.94,42.5,21.76,6513800,0.008808530366249512,1.6562962569940798
