Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,6.22,6.34,6.18,6.21,4.97,4058400,,
1998-01-11,01,1998-01,1998,1,5,6.21,6.38,6.05,6.19,4.95,40771200,-0.004024144869215207,-0.6335601376306378
1998-01-18,02,1998-02,1998,1,12,6.0,6.22,5.87,6.02,4.81,45425600,-0.028282828282828354,-4.4528398359940216
1998-01-25,03,1998-03,1998,1,20,6.03,6.08,5.86,5.91,4.73,31540000,-0.01663201663201641,-2.6185396124942155
1998-02-01,04,1998-04,1998,1,26,5.91,6.41,5.82,6.41,5.12,33572000,0.08245243128964042,12.981285568387825
1998-02-08,05,1998-05,1998,2,2,6.61,6.65,6.41,6.53,5.22,32036800,0.01953125,3.0749940273675156
1998-02-15,06,1998-06,1998,2,9,6.5,7.38,6.5,7.27,5.82,72666400,0.11494252873563227,18.09651657485252
1998-02-22,07,1998-07,1998,2,17,7.24,7.41,7.07,7.33,5.86,40544000,0.0068728522336769515,1.082059753960249
1998-03-01,08,1998-08,1998,2,23,7.32,7.72,7.3,7.59,6.07,39564800,0.03583617747440271,5.642036822910496
1998-03-08,09,1998-09,1998,3,2,7.5,8.11,7.49,8.0,6.4,48522400,0.054365733113673764,8.559324396441763
1998-03-15,10,1998-10,1998,3,9,7.98,8.39,7.98,8.2,6.56,43721600,0.02499999999999991,3.9359923550304057
1998-03-22,11,1998-11,1998,3,16,8.16,8.29,8.0,8.02,6.41,24235200,-0.02286585365853655,-3.599993007649769
1998-03-29,12,1998-12,1998,3,23,7.98,8.41,7.91,8.23,6.59,31396800,0.02808112324492984,4.421083456508435
1998-04-05,13,1998-13,1998,3,30,8.16,8.75,7.94,8.72,6.98,45749600,0.05918057663125964,9.317371887477194
1998-04-12,14,1998-14,1998,4,6,8.72,8.78,8.48,8.76,7.01,21968000,0.004297994269340855,0.6766749034436064
1998-04-19,15,1998-15,1998,4,13,8.73,9.06,8.63,8.73,6.98,30429600,-0.004279600570613273,-0.6737790051407067
1998-04-26,16,1998-16,1998,4,20,8.71,8.81,8.35,8.36,6.69,25484000,-0.04154727793696278,-6.541190733288382
1998-05-03,17,1998-17,1998,4,27,8.12,8.88,8.0,8.7,6.97,43564000,0.041853512705530616,6.589404241605481
1998-05-10,18,1998-18,1998,5,4,8.7,9.12,8.64,9.08,7.27,33612800,0.043041606886657036,6.776457426164272
1998-05-17,19,1998-19,1998,5,11,9.05,9.24,8.79,8.79,7.03,33557600,-0.03301237964236581,-5.197458955748548
1998-05-24,20,1998-20,1998,5,18,8.79,8.79,8.16,8.29,6.63,37175200,-0.056899004267425335,-8.958161832217174
1998-05-31,21,1998-21,1998,5,26,8.33,8.33,7.56,8.0,6.4,102707200,-0.034690799396681626,-5.4617088486093115
1998-06-07,22,1998-22,1998,6,1,7.94,7.97,7.7,7.86,6.29,46805600,-0.017187500000000022,-2.705994744083417
1998-06-14,23,1998-23,1998,6,8,7.91,8.09,7.83,7.98,6.39,34249600,0.015898251192368873,2.5030158060606857
1998-06-21,24,1998-24,1998,6,15,7.98,8.02,7.66,7.92,6.34,43887200,-0.007824726134585291,-1.2319224898373775
1998-06-28,25,1998-25,1998,6,22,7.89,8.16,7.7,8.16,6.53,31344000,0.029968454258675115,4.718224274168963
1998-07-05,26,1998-26,1998,6,29,8.23,8.31,7.92,8.13,6.51,33488000,-0.003062787136294043,-0.48220427014155465
1998-07-12,27,1998-27,1998,7,6,8.12,8.15,7.83,7.95,6.36,29548800,-0.02304147465437778,-3.6276427235303252
1998-07-19,28,1998-28,1998,7,13,8.03,8.03,7.45,7.77,6.21,37005600,-0.02358490566037741,-3.713200334934366
1998-07-26,29,1998-29,1998,7,20,7.73,7.73,7.0,7.09,5.68,50800800,-0.08534621578099844,-13.436882113791457
1998-08-02,30,1998-30,1998,7,27,7.06,7.28,6.83,7.06,5.65,51756800,-0.005281690140845008,-0.8315476806402197
1998-08-09,31,1998-31,1998,8,3,7.06,7.2,4.08,4.54,3.63,266772000,-0.35752212389380533,-56.28817385601025
1998-08-16,32,1998-32,1998,8,10,4.59,4.66,3.7,3.91,3.13,223891200,-0.13774104683195598,-21.68590829217863
1998-08-23,33,1998-33,1998,8,17,3.95,4.29,3.91,4.26,3.41,146407200,0.08945686900958472,14.084062101067326
1998-08-30,34,1998-34,1998,8,24,4.25,4.47,4.19,4.46,3.57,89543200,0.04692082111436946,7.387199727916324
1998-09-06,35,1998-35,1998,8,31,4.44,4.97,4.43,4.5,3.6,74200000,0.008403361344537785,1.323022640346355
1998-09-13,36,1998-36,1998,9,8,4.53,4.66,4.31,4.5,3.6,39575200,0.0,0.0
1998-09-20,37,1998-37,1998,9,14,4.5,5.2,4.5,5.16,4.13,40607200,0.14722222222222214,23.17862164629024
1998-09-27,38,1998-38,1998,9,21,5.12,5.2,4.65,4.7,3.76,40656000,-0.08958837772397099,-14.104766792845096
1998-10-04,39,1998-39,1998,9,28,4.75,4.77,4.17,4.6,3.68,62302400,-0.02127659574468077,-3.3497807276854514
1998-10-11,40,1998-40,1998,10,5,4.56,4.91,4.36,4.64,3.71,58088800,0.008152173913043459,1.283475767944699
1998-10-18,41,1998-41,1998,10,12,4.67,5.02,4.55,4.84,3.88,20538400,0.04582210242587603,7.214217793586756
1998-10-25,42,1998-42,1998,10,19,4.94,4.98,4.56,4.57,3.66,45518400,-0.05670103092783496,-8.926992970172073
1998-11-01,43,1998-43,1998,10,26,4.57,5.48,4.49,5.38,4.3,57432000,0.17486338797814205,27.530438330267415
1998-11-08,44,1998-44,1998,11,2,5.38,6.22,5.33,6.21,4.97,65178400,0.15581395348837201,24.53130118949191
1998-11-15,45,1998-45,1998,11,9,6.19,6.23,5.62,5.66,4.53,29322400,-0.08853118712273633,-13.938323027874311
1998-11-22,46,1998-46,1998,11,16,5.69,6.33,5.42,6.0,4.8,47312000,0.05960264900662238,9.383822833185084
1998-11-29,47,1998-47,1998,11,23,6.0,6.0,5.5,5.81,4.65,21362400,-0.03124999999999989,-4.9199904437880075
1998-12-06,48,1998-48,1998,11,30,5.75,6.01,5.5,5.84,4.68,29912000,0.006451612903225712,1.0157399625884804
