Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-04,00,1998-00,1998,1,2,41.59,41.76,40.89,40.89,12.1,3931403,,
1998-01-11,01,1998-01,1998,1,5,40.64,40.83,38.67,38.92,11.62,19837372,-0.03966942148760333,-9.034962560173993
1998-01-18,02,1998-02,1998,1,12,38.11,40.5,38.11,40.08,11.96,12905489,0.029259896729776358,6.664127218258019
1998-01-25,03,1998-03,1998,1,20,40.13,41.26,40.02,40.92,12.21,11831125,0.020903010033444858,4.760793224729371
1998-02-01,04,1998-04,1998,1,26,40.92,41.99,40.81,41.62,12.42,17427113,0.017199017199017064,3.9171853442195474
1998-02-08,05,1998-05,1998,2,2,41.99,42.18,40.92,40.92,12.21,16226877,-0.016908212560386437,-3.8509527417810747
1998-02-15,06,1998-06,1998,2,9,41.09,41.14,39.4,39.96,11.93,13937376,-0.02293202293202301,-5.222913792292789
1998-02-22,07,1998-07,1998,2,17,40.36,40.64,39.82,40.02,11.94,9615903,0.0008382229673091768,0.19091060173597482
1998-03-01,08,1998-08,1998,2,23,40.3,40.41,39.49,40.36,12.04,12782508,0.008375209380234505,1.9075071010975928
1998-03-08,09,1998-09,1998,3,2,40.3,43.39,40.27,42.86,12.79,16638743,0.06229235880398676,14.187480141469235
1998-03-15,10,1998-10,1998,3,9,42.52,43.56,41.93,43.31,12.93,10710504,0.01094605160281481,2.493032736665183
1998-03-22,11,1998-11,1998,3,16,43.5,47.66,43.5,46.99,14.02,18883544,0.08430007733952039,19.199877740096444
1998-03-29,12,1998-12,1998,3,23,46.99,47.5,45.08,45.42,13.55,14470667,-0.033523537803138326,-7.635198537759956
1998-04-05,13,1998-13,1998,3,30,45.58,47.1,45.42,46.01,13.73,12138912,0.013284132841328455,3.0255455805748785
1998-04-12,14,1998-14,1998,4,6,46.15,46.2,43.11,43.59,13.11,15043096,-0.04515659140568107,-10.284700340863283
1998-04-19,15,1998-15,1998,4,13,43.59,43.59,41.14,43.14,12.97,20877488,-0.010678871090770259,-2.432180679019598
1998-04-26,16,1998-16,1998,4,20,43.17,44.26,41.48,41.85,12.59,15706708,-0.029298380878951535,-6.672892227525082
1998-05-03,17,1998-17,1998,4,27,41.17,43.84,40.92,43.73,13.15,15131387,0.0444797458300239,10.130544464478925
1998-05-10,18,1998-18,1998,5,4,44.4,45.05,42.3,42.49,12.78,13322470,-0.028136882129277674,-6.408353514242569
1998-05-17,19,1998-19,1998,5,11,42.83,43.34,40.58,41.0,12.33,16708573,-0.035211267605633756,-8.019589713769449
1998-05-24,20,1998-20,1998,5,18,41.09,42.1,40.19,41.82,12.58,14694835,0.020275750202757514,4.617930816525806
1998-05-31,21,1998-21,1998,5,26,41.93,41.96,40.61,41.2,12.39,8383197,-0.015103338632750374,-3.439881247655002
1998-06-07,22,1998-22,1998,6,1,41.82,43.84,41.45,43.53,13.09,12045508,0.05649717514124286,12.867590275200696
1998-06-14,23,1998-23,1998,6,8,43.5,43.81,42.52,42.86,12.89,8365627,-0.015278838808250539,-3.4798525266776488
1998-06-21,24,1998-24,1998,6,15,42.94,43.81,42.02,43.65,13.13,11894506,0.018619084561675825,4.240614700469584
1998-06-28,25,1998-25,1998,6,22,43.59,44.26,40.47,40.98,12.32,22314792,-0.061690784463061754,-14.05046776660722
1998-07-05,26,1998-26,1998,6,29,41.34,42.16,40.69,41.82,12.58,8916265,0.02110389610389607,4.806546302473506
1998-07-12,27,1998-27,1998,7,6,41.87,42.72,41.48,41.76,12.66,9516718,0.006359300476947549,1.448371051644217
1998-07-19,28,1998-28,1998,7,13,41.76,42.44,39.85,40.53,12.29,13375509,-0.029225908372827902,-6.656386154209302
1998-07-26,29,1998-29,1998,7,20,40.69,41.37,39.35,40.64,12.32,16079767,0.0024410089503661414,0.5559552836559439
1998-08-02,30,1998-30,1998,7,27,40.64,41.59,38.73,40.78,12.37,17911145,0.0040584415584414835,0.9243358273987354
1998-08-09,31,1998-31,1998,8,3,40.92,42.16,37.6,37.88,11.49,15253255,-0.07113985448666116,-16.20255344596006
1998-08-16,32,1998-32,1998,8,10,37.83,38.78,36.37,36.98,11.22,13011570,-0.023498694516971286,-5.351976842922909
1998-08-23,33,1998-33,1998,8,17,36.93,39.57,36.7,38.9,11.79,12685100,0.050802139037432914,11.570509651203153
1998-08-30,34,1998-34,1998,8,24,39.46,41.37,37.94,40.64,12.32,12911939,0.04495335029686176,10.238410888181335
1998-09-06,35,1998-35,1998,8,31,40.36,41.48,36.53,37.88,11.49,16684111,-0.06737012987012991,-15.343974734819302
1998-09-13,36,1998-36,1998,9,8,38.22,40.08,37.49,40.08,12.15,9818166,0.05744125326370764,13.082610060478233
1998-09-20,37,1998-37,1998,9,14,40.58,41.09,38.5,40.69,12.34,11527674,0.01563786008230439,3.5616219008641656
1998-09-27,38,1998-38,1998,9,21,39.91,43.28,38.95,42.49,12.89,12182279,0.044570502431118264,10.151214856489368
1998-10-04,39,1998-39,1998,9,28,43.39,46.93,42.72,46.2,14.01,21390429,0.08688906128781992,19.789535268857925
1998-10-11,40,1998-40,1998,10,5,45.98,47.66,44.57,44.74,13.67,21707780,-0.024268379728765166,-5.527277535771441
1998-10-18,41,1998-41,1998,10,12,44.91,47.16,42.94,44.54,13.61,15096805,-0.004389173372348232,-0.9996620974589051
1998-10-25,42,1998-42,1998,10,19,44.4,46.93,43.79,46.32,14.15,9642478,0.039676708302718744,9.036622178572292
1998-11-01,43,1998-43,1998,10,26,46.43,48.11,45.42,47.83,14.61,10463763,0.03250883392226145,7.404093287680855
1998-11-08,44,1998-44,1998,11,2,48.56,50.53,47.78,50.02,15.28,12852227,0.0458590006844628,10.444678512909352
1998-11-15,45,1998-45,1998,11,9,49.91,50.76,47.89,48.45,14.8,9912014,-0.03141361256544495,-7.15464967134195
1998-11-22,46,1998-46,1998,11,16,48.79,51.37,48.79,51.21,15.64,8834760,0.05675675675675684,12.926711635924628
1998-11-29,47,1998-47,1998,11,23,50.98,52.95,50.7,51.32,15.68,6719389,0.002557544757033181,0.582497053378636
1998-12-06,48,1998-48,1998,11,30,51.09,51.37,49.18,51.09,15.61,11896730,-0.004464285714285698,-1.0167694101386242
1998-12-13,49,1998-49,1998,12,7,51.09,52.89,48.96,49.18,15.03,10506239,-0.03715566944266502,-8.462439574965455
1998-12-20,50,1998-50,1998,12,14,48.9,51.21,46.82,51.04,15.59,12031833,0.03725881570192957,8.48593179027211
1998-12-27,51,1998-51,1998,12,21,50.81,52.95,50.08,51.99,15.88,7935193,0.018601667735728133,4.236647907800233
1999-01-03,52,1998-52,1998,12,28,52.16,55.03,47.66,48.56,14.84,10285518,-0.06549118387909325,-14.916032858053835
1999-01-10,01,1999-01,1999,1,4,49.46,52.05,46.03,50.92,15.67,32254605,0.055929919137466255,12.738394119472607
1999-01-17,02,1999-02,1999,1,11,50.36,50.42,45.98,47.78,14.7,20885160,-0.061901723037651624,-14.098510365980935
1999-01-24,03,1999-03,1999,1,19,51.6,53.0,50.25,52.78,16.24,23240933,0.10476190476190461,23.86018882458643
1999-01-31,04,1999-04,1999,1,25,52.39,53.96,48.51,53.96,16.6,22358603,0.022167487684729315,5.048786036550485
1999-02-07,05,1999-05,1999,2,1,53.62,54.35,52.16,52.33,16.1,19093369,-0.030120481927710885,-6.860130959971474
1999-02-14,06,1999-06,1999,2,8,52.16,52.89,51.37,51.99,16.0,12826985,-0.006211180124223725,-1.4146357010624666
1999-02-21,07,1999-07,1999,2,16,51.71,52.95,51.09,51.65,15.89,9487696,-0.0068749999999999645,-1.5658248916134787
1999-02-28,08,1999-08,1999,2,22,51.71,54.13,50.36,51.82,15.94,18092503,0.003146633102580232,0.716665663533833
1999-03-07,09,1999-09,1999,3,1,51.26,51.54,48.84,49.74,15.3,13539856,-0.04015056461731481,-9.14454596220033
1999-03-14,10,1999-10,1999,3,8,49.18,50.25,48.11,49.63,15.27,13438000,-0.0019607843137255943,-0.4465810742569896
1999-03-21,11,1999-11,1999,3,15,48.84,49.91,47.72,47.72,14.68,13361944,-0.03863785199738046,-8.800016060505628
1999-03-28,12,1999-12,1999,3,22,47.72,48.9,45.53,46.26,14.23,14004871,-0.0306539509536784,-6.981631917028163
1999-04-04,13,1999-13,1999,3,29,46.32,47.83,45.81,46.54,14.32,11327969,0.006324666198172846,1.4404828747993423
1999-04-11,14,1999-14,1999,4,5,46.54,50.31,45.87,50.25,15.57,15951893,0.0872905027932962,19.88096612002906
1999-04-18,15,1999-15,1999,4,12,49.8,52.61,49.24,52.27,16.2,13191816,0.040462427745664664,9.215574769348933
1999-04-25,16,1999-16,1999,4,19,52.39,53.73,50.31,53.4,16.55,16206640,0.021604938271605034,4.920661836720294
1999-05-02,17,1999-17,1999,4,26,53.17,53.79,50.64,51.82,16.06,16962319,-0.02960725075528714,-6.743239302526663
