Year,Annual Returns
1998,0.0
1999,34.702700759893766
2000,13.254248888422392
2001,6.467974401552756
2002,-14.725879330148883
2003,51.30351285177732
2004,6.536670785112131
2005,3.656082989038678
2006,18.2092987433246
2007,6.377094611083423
2008,-40.12069319937598
2009,44.79407855672337
2010,19.46722620102208
2011,18.087297943501547
2012,9.86717993591859
2013,33.1977135459955
2014,18.990082502376637
2015,5.142611521520912
2016,13.922123154688615
2017,23.20926830434553
2018,4.310984567581011
2019,20.236881249283446
2020,-0.5836352163489544
2021,16.05084376316608
2022,4.57497017672277
2023,10.180068698087897
