Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,0.12,0.39,0.12,0.37,0.31,115194195200,,
1999-12-31,01,1999-01,1999,1,4,0.38,1.05,0.29,0.92,0.78,137102705600,1.5161290322580645,2.25969424471896
2000-12-31,01,2000-01,2000,1,3,0.94,1.34,0.24,0.27,0.22,120301596800,-0.717948717948718,-1.070057067330091
2001-12-31,00,2001-00,2001,1,2,0.27,0.48,0.26,0.39,0.33,94657796800,0.5,0.745218314747742
2002-12-31,00,2002-00,2002,1,2,0.39,0.47,0.24,0.26,0.22,77013927200,-0.33333333333333337,-0.49681220983182806
2003-12-31,00,2003-00,2003,1,2,0.26,0.45,0.23,0.38,0.32,71230252800,0.4545454545454546,0.67747119522522
2004-12-31,00,2004-00,2004,1,2,0.38,1.24,0.38,1.15,0.97,121801668800,2.03125,3.0274494036627018
2005-12-31,01,2005-01,2005,1,3,1.16,2.69,1.12,2.57,2.17,182400982400,1.2371134020618557,1.8438391292727638
2006-12-31,01,2006-01,2006,1,3,2.59,3.33,1.79,3.03,2.56,215698966000,0.17972350230414746,0.2678664910153174
2007-12-31,00,2007-00,2007,1,3,3.08,7.25,2.92,7.07,5.98,246995985600,1.3359375,1.9911301847166232
2008-12-31,00,2008-00,2008,1,2,7.12,7.15,2.83,3.05,2.58,285981206000,-0.5685618729096991,-0.8474054415191716
2009-12-31,00,2009-00,2009,1,2,3.07,7.64,2.79,7.53,6.36,143253686800,1.4651162790697674,2.183662968795709
2010-12-31,01,2010-01,2010,1,4,7.62,11.67,6.79,11.52,9.74,151024927200,0.5314465408805031,0.792087391146971
2011-12-31,01,2011-01,2011,1,3,11.63,15.24,11.09,14.46,12.23,124059339600,0.25564681724846006,0.3810253806410428
2012-12-31,01,2012-01,2012,1,3,14.62,25.18,14.61,19.01,16.21,131964204400,0.3254292722812755,0.4850317077180724
2013-12-31,00,2013-00,2013,1,2,19.78,20.54,13.75,20.04,17.52,102421569600,0.08081431215299184,0.12044861102030109
2014-12-31,00,2014-00,2014,1,2,19.85,29.94,17.63,27.59,24.64,63657952400,0.4063926940639271,0.6057025571922289
2015-12-31,00,2015-00,2015,1,2,27.85,33.63,23.0,26.32,23.89,52264199600,-0.03043831168831168,-0.04536637468026026
2016-12-31,01,2016-01,2016,1,4,25.65,29.67,22.37,28.95,26.88,38729911200,0.1251569694432817,0.18653853169491405
2017-12-31,01,2017-01,2017,1,3,28.95,44.3,28.69,42.31,39.9,27243106000,0.484375,0.7219302424118751
2018-12-31,00,2018-00,2018,1,2,42.54,58.37,36.65,39.44,37.75,34156144800,-0.053884711779448535,-0.08031174820589689
2019-12-31,00,2019-00,2019,1,2,38.72,73.49,35.5,73.41,71.33,28254942800,0.8895364238410595,1.325797669363135
2020-12-31,00,2020-00,2020,1,2,74.06,138.79,53.15,132.69,130.04,39863855600,0.8230758446656385,1.226742387742603
2021-12-31,01,2021-01,2021,1,4,133.52,182.13,116.21,177.57,175.1,22812206100,0.34650876653337437,0.51644935808264
2022-12-31,01,2022-01,2022,1,3,177.83,182.94,125.87,129.93,128.87,22065504500,-0.2640205596801827,-0.39350591308724275
2023-12-31,01,2023-01,2023,1,3,130.28,199.62,124.17,192.53,192.02,14804257200,0.49002871110421364,0.7303567405341804
