Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,25.97,34.61,19.55,29.91,21.19,1462817201,,
1999-12-31,01,1999-01,1999,1,4,29.83,49.27,27.68,48.51,34.63,1564289733,0.634261444077395,1.7472335157222647
2000-12-31,01,2000-01,2000,1,3,48.0,55.14,34.87,48.09,34.54,1463865880,-0.0025989026855328667,-0.007159334559376952
2001-12-31,00,2001-00,2001,1,2,47.7,49.95,21.18,31.24,22.63,1694777560,-0.3448176027793862,-0.9498872712711097
2002-12-31,00,2002-00,2002,1,2,31.2,39.31,23.24,30.94,22.66,1476558666,0.001325673884224443,0.0036519039002976582
2003-12-31,00,2003-00,2003,1,2,31.34,42.99,27.05,42.22,31.2,1316722843,0.37687555163283304,1.0381989969878278
2004-12-31,00,2004-00,2004,1,2,42.39,49.94,41.42,49.34,36.69,1120829653,0.1759615384615385,0.48473054818154243
2005-12-31,01,2005-01,2005,1,3,49.54,53.06,43.34,51.46,38.62,1446899830,0.05260288907059141,0.14490795817117738
2006-12-31,01,2006-01,2006,1,3,51.7,62.5,49.73,60.67,46.0,1237116000,0.1910926980838945,0.5264131531558688
2007-12-31,00,2007-00,2007,1,3,61.18,65.89,50.37,52.02,39.84,1872902600,-0.13391304347826083,-0.36889733711929573
2008-12-31,00,2008-00,2008,1,2,52.09,52.63,16.55,18.55,14.45,3756234900,-0.6372991967871486,-1.7556017736331302
2009-12-31,00,2009-00,2009,1,2,18.57,42.25,9.71,40.52,32.67,4833550700,1.260899653979239,3.4734669054332485
2010-12-31,01,2010-01,2010,1,4,40.81,49.19,36.6,42.92,35.23,2751923400,0.07835935108662362,0.21586064511291672
2011-12-31,01,2011-01,2011,1,3,43.3,53.8,41.3,47.17,39.34,1987353100,0.11666193585012796,0.3213747993508992
2012-12-31,01,2012-01,2012,1,3,48.3,61.42,47.4,57.48,48.61,1406758400,0.2356380274529739,0.6491245258387172
2013-12-31,00,2013-00,2013,1,2,58.33,90.79,58.31,90.73,77.7,1200269200,0.5984365356922445,1.6485447475294175
2014-12-31,00,2014-00,2014,1,2,90.9,96.24,78.41,93.04,80.55,964369900,0.036679536679536495,0.1010430579157671
2015-12-31,00,2015-00,2015,1,2,93.17,93.94,67.57,69.55,61.05,1605086100,-0.24208566108007445,-0.6668861628979507
2016-12-31,01,2016-01,2016,1,4,68.09,75.74,50.27,74.08,66.29,1400212100,0.08583128583128596,0.23644397858694494
2017-12-31,01,2017-01,2017,1,3,74.89,100.53,74.74,99.31,90.3,895919200,0.36219640971488887,0.9977615890694205
2018-12-31,00,2018-00,2018,1,2,99.73,114.55,87.54,95.32,87.93,922888800,-0.026245847176079584,-0.07230082210227345
2019-12-31,00,2019-00,2019,1,2,93.91,129.34,93.23,124.49,116.52,822191300,0.3251450017059023,0.8956941175519463
2020-12-31,00,2020-00,2020,1,2,124.66,138.13,67.0,120.91,115.19,1326744900,-0.01141434946790254,-0.03144371163770807
2021-12-31,01,2021-01,2021,1,4,121.3,189.03,112.1,163.6,157.68,899343000,0.3688688254188732,1.0161424451938084
2022-12-31,01,2022-01,2022,1,3,164.51,199.55,130.65,147.75,144.25,876067800,-0.08517250126839171,-0.23462918993996418
2023-12-31,01,2023-01,2023,1,3,149.54,188.3,140.91,187.34,185.61,790056300,0.28672443674176784,0.7898549570209634
