Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,48.94,56.25,29.0,32.62,20.78,1136577500,,
1999-12-31,01,1999-01,1999,1,4,32.81,48.5,32.56,41.44,26.75,857093700,0.28729547641963427,0.8479845010246979
2000-12-31,01,2000-01,2000,1,3,41.44,70.94,32.0,66.0,43.12,1037119900,0.6119626168224299,1.8062756181860709
2001-12-31,00,2001-00,2001,1,2,65.31,69.85,27.6,38.78,25.69,1007117700,-0.40422077922077915,-1.1931025160684405
2002-12-31,00,2002-00,2002,1,2,38.54,51.07,28.53,32.99,22.25,955164800,-0.1339042428960685,-0.39523324213938954
2003-12-31,00,2003-00,2003,1,2,33.0,43.37,24.73,42.14,29.02,949826000,0.3042696629213484,0.8980856973621301
2004-12-31,00,2004-00,2004,1,2,42.5,55.48,38.04,51.77,36.24,797046300,0.2487939352170918,0.7343429268091961
2005-12-31,01,2005-01,2005,1,3,51.85,72.4,49.52,70.24,49.98,978495000,0.379139072847682,1.1190710745410681
2006-12-31,01,2006-01,2006,1,3,70.4,92.05,65.9,88.84,64.17,998624000,0.28391356542617063,0.8380024151873512
2007-12-31,00,2007-00,2007,1,3,88.9,107.83,84.6,87.46,64.1,1330874600,-0.0010908524232509098,-0.003219772059588152
2008-12-31,00,2008-00,2008,1,2,87.57,88.29,36.17,42.67,32.01,1951726600,-0.5006240249609984,-1.4776474008503242
2009-12-31,00,2009-00,2009,1,2,42.8,56.56,29.05,54.13,42.18,1733372300,0.3177132146204311,0.9377658330246048
2010-12-31,01,2010-01,2010,1,4,55.72,76.0,54.8,65.26,52.12,1473938800,0.23565670934091987,0.6955669458286161
2011-12-31,01,2011-01,2011,1,3,66.15,80.65,56.01,73.35,60.02,1411183400,0.1515732924021489,0.4473854037944148
2012-12-31,01,2012-01,2012,1,3,74.7,77.83,66.82,75.36,63.15,1099148500,0.052149283572142435,0.15392440131610957
2013-12-31,00,2013-00,2013,1,2,76.55,142.0,72.68,136.49,116.65,1307251600,0.847189231987332,2.5005730932948924
2014-12-31,00,2014-00,2014,1,2,136.01,144.57,116.32,129.98,113.68,1093103800,-0.02546078011144448,-0.07515031975988076
2015-12-31,00,2015-00,2015,1,2,131.07,158.83,115.14,144.59,129.67,986414100,0.14065798733286394,0.4151676688058197
2016-12-31,01,2016-01,2016,1,4,141.38,160.07,102.1,155.68,144.34,1105333900,0.1131333384745894,0.3339256112599083
2017-12-31,01,2017-01,2017,1,3,156.3,299.33,155.21,294.91,281.05,824324400,0.9471387002909797,2.7955850477586495
2018-12-31,00,2018-00,2018,1,2,295.75,394.28,292.47,322.5,313.37,1119119300,0.11499733143568758,0.33942739346939094
2019-12-31,00,2019-00,2019,1,2,316.19,446.01,309.4,325.76,323.83,1354462300,0.03337907266170981,0.09852203949902748
2020-12-31,00,2020-00,2020,1,2,328.55,349.95,89.0,214.06,214.06,7188666300,-0.3389741531050242,-1.0005198538565956
2021-12-31,01,2021-01,2021,1,4,210.0,278.57,185.26,201.32,201.32,3064276000,-0.05951602354480057,-0.17566815237597233
2022-12-31,01,2022-01,2022,1,3,204.0,229.67,113.02,190.49,190.49,2231410700,-0.05379495330816597,-0.1587817782833509
2023-12-31,01,2023-01,2023,1,3,192.95,267.54,176.25,260.66,260.66,1417802600,0.36836579347997267,1.0872725441817424
