Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,30.5,44.22,22.0,30.06,15.5,1889019800,,
1999-12-31,01,1999-01,1999,1,4,29.88,38.19,23.81,25.09,13.33,2264156800,-0.14,-0.391390772472149
2000-12-31,01,2000-01,2000,1,3,25.12,30.5,18.16,22.94,12.73,2943073600,-0.045011252813203284,-0.12583563577499157
2001-12-31,00,2001-00,2001,1,2,22.66,32.77,22.5,31.48,18.17,2984574600,0.4273369992144542,1.1946839873462525
2002-12-31,00,2002-00,2002,1,2,31.16,38.54,26.98,34.78,20.81,3253749800,0.14529444138690129,0.40619216893091903
2003-12-31,00,2003-00,2003,1,2,34.96,42.45,32.13,40.22,25.01,3112757400,0.2018260451705911,0.5642346551736892
2004-12-31,00,2004-00,2004,1,2,39.88,47.47,38.51,46.99,30.39,2610998000,0.21511395441823256,0.601382977066362
2005-12-31,01,2005-01,2005,1,3,46.66,47.44,41.13,46.15,31.12,2832867600,0.024021059559065527,0.06715443611730111
2006-12-31,01,2006-01,2006,1,3,46.92,55.08,42.92,53.39,37.57,3226141000,0.2072622107969151,0.5794322627720713
2007-12-31,00,2007-00,2007,1,3,53.4,54.21,40.61,41.26,30.49,5681244300,-0.18844822997072141,-0.5268349878517845
2008-12-31,00,2008-00,2008,1,2,41.53,45.08,10.01,14.08,11.25,19893992600,-0.6310265660872417,-1.7641283939380936
2009-12-31,00,2009-00,2009,1,2,13.92,19.1,2.53,15.06,12.1,83658926600,0.0755555555555556,0.21122676609608051
2010-12-31,01,2010-01,2010,1,4,15.24,19.86,10.91,13.34,10.75,47617435100,-0.11157024793388426,-0.3119111823125153
2011-12-31,01,2011-01,2011,1,3,13.85,15.31,4.92,5.56,4.5,53645519700,-0.5813953488372092,-1.6253769620936416
2012-12-31,01,2012-01,2012,1,3,5.75,11.69,5.62,11.61,9.44,49413078400,1.0977777777777775,3.0690006603371676
2013-12-31,00,2013-00,2013,1,2,12.05,15.98,10.98,15.57,12.7,30119577900,0.34533898305084754,0.9654463667215542
2014-12-31,00,2014-00,2014,1,2,15.69,18.21,14.37,17.89,14.7,21534168200,0.15748031496062986,0.4402595865828446
2015-12-31,00,2015-00,2015,1,2,17.99,18.48,14.6,16.83,14.0,21275342000,-0.04761904761904756,-0.1331261130857648
2016-12-31,01,2016-01,2016,1,4,16.45,23.39,10.99,22.1,18.67,27315252400,0.33357142857142863,0.9325484221657837
2017-12-31,01,2017-01,2017,1,3,22.6,30.03,22.01,29.52,25.33,19797787300,0.3567220139260845,0.9972693184882206
2018-12-31,00,2018-00,2018,1,2,29.75,33.05,22.66,24.64,21.53,17048130800,-0.15001973943939984,-0.41940244075183725
2019-12-31,00,2019-00,2019,1,2,24.08,35.72,24.01,35.22,31.48,13657943600,0.4621458430097538,1.291997274931286
2020-12-31,00,2020-00,2020,1,2,35.35,35.67,17.95,30.31,27.82,17215853000,-0.11626429479034306,-0.3250340867780144
2021-12-31,01,2021-01,2021,1,4,30.46,48.69,29.57,44.49,41.62,12206341800,0.4960460100647015,1.386770221863935
2022-12-31,01,2022-01,2022,1,3,45.09,50.11,29.31,33.12,31.7,11684143700,-0.23834694858241223,-0.6663342594432136
2023-12-31,01,2023-01,2023,1,3,33.23,37.0,24.96,33.67,33.23,12066640000,0.048264984227129215,0.1349319247143728
