Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,9.44,24.44,8.58,23.2,15.6,16008836600,,
1999-12-31,01,1999-01,1999,1,4,23.62,53.59,22.47,53.56,36.01,12349187000,1.3083333333333331,3.2306094112537935
2000-12-31,01,2000-01,2000,1,3,54.97,82.0,35.16,38.25,25.72,13137294600,-0.2857539572341017,-0.705599559396308
2001-12-31,00,2001-00,2001,1,2,38.12,44.5,11.04,18.11,12.18,19721832200,-0.526438569206843,-1.299911385574478
2002-12-31,00,2002-00,2002,1,2,18.44,21.84,8.12,13.1,8.81,19578618300,-0.27668308702791455,-0.6832012623341146
2003-12-31,00,2003-00,2003,1,2,13.11,24.6,12.33,24.23,16.29,14379372300,0.8490351872871735,2.096484891619544
2004-12-31,00,2004-00,2004,1,2,24.36,29.39,17.53,19.32,12.99,13790650600,-0.20257826887661134,-0.5002175250560118
2005-12-31,01,2005-01,2005,1,3,19.42,20.25,16.83,17.12,11.51,13991845200,-0.11393379522709779,-0.2813316620029488
2006-12-31,01,2006-01,2006,1,3,17.21,27.96,17.1,27.33,18.38,13245404000,0.5968722849695915,1.4738302327179507
2007-12-31,00,2007-00,2007,1,3,27.46,34.24,24.82,27.07,18.2,13515770200,-0.009793253536452662,-0.024182046146490548
2008-12-31,00,2008-00,2008,1,2,27.0,27.72,14.2,16.3,10.96,15487402500,-0.3978021978021977,-0.9822753049966038
2009-12-31,00,2009-00,2009,1,2,16.41,24.83,13.61,23.94,16.1,12708459400,0.468978102189781,1.1580268055589171
2010-12-31,01,2010-01,2010,1,4,24.11,27.74,19.0,20.23,13.6,15114934800,-0.15527950310559013,-0.3834247827575023
2011-12-31,01,2011-01,2011,1,3,20.45,22.34,13.3,18.08,12.29,17214296600,-0.0963235294117647,-0.23784741450407285
2012-12-31,01,2012-01,2012,1,3,18.55,21.3,14.96,19.65,13.72,10438430700,0.11635475996745326,0.28730964274779414
2013-12-31,00,2013-00,2013,1,2,20.12,26.49,19.98,22.43,16.02,9856793100,0.16763848396501446,0.41394226546677243
2014-12-31,00,2014-00,2014,1,2,22.17,28.59,21.27,27.82,20.5,8274876800,0.27965043695380776,0.6905284077586296
2015-12-31,00,2015-00,2015,1,2,27.86,30.31,23.03,27.16,20.62,6827729500,0.005853658536585371,0.014454179127560874
2016-12-31,01,2016-01,2016,1,4,26.39,31.95,22.46,30.22,23.74,6253307800,0.15130940834141593,0.3736216040247299
2017-12-31,01,2017-01,2017,1,3,30.37,38.99,29.8,38.3,31.17,5072447400,0.3129738837405225,0.7728125153799613
2018-12-31,00,2018-00,2018,1,2,38.67,49.47,37.35,43.33,36.33,6202972900,0.1655437921077958,0.4087699358660535
2019-12-31,00,2019-00,2019,1,2,42.28,58.26,40.96,47.96,41.35,5172391400,0.1381778144783925,0.34119634232894946
2020-12-31,00,2020-00,2020,1,2,48.06,50.28,32.4,44.75,39.91,6332276400,-0.034824667472793336,-0.08599100520870576
2021-12-31,01,2021-01,2021,1,4,44.31,64.29,43.35,63.37,58.18,4860464800,0.45778000501127547,1.130375841380817
2022-12-31,01,2022-01,2022,1,3,62.9,63.35,38.6,47.64,45.11,5342726200,-0.22464764523891367,-0.5547124562482838
2023-12-31,01,2023-01,2023,1,3,47.86,58.19,45.56,50.52,49.3,4643210200,0.0928840611837729,0.22935448831778593
