Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,38.25,45.09,33.88,41.47,16.37,740437200,,
1999-12-31,01,1999-01,1999,1,4,41.53,52.47,36.56,43.31,17.58,686015600,0.0739156994502137,0.3329657233951343
2000-12-31,01,2000-01,2000,1,3,42.94,47.44,34.97,42.22,17.67,918829200,0.005119453924914863,0.02306144286229045
2001-12-31,00,2001-00,2001,1,2,42.59,49.24,39.22,44.81,19.31,1335615200,0.09281267685342365,0.41809034235756926
2002-12-31,00,2002-00,2002,1,2,44.81,45.8,32.71,33.24,14.85,1463078400,-0.2309684101501812,-1.040436123030651
2003-12-31,00,2003-00,2003,1,2,33.6,43.49,30.66,43.19,20.11,1466613400,0.3542087542087542,1.5955930195512231
2004-12-31,00,2004-00,2004,1,2,43.24,56.07,41.99,52.51,25.24,1463779800,0.2550969666832421,1.1491272717347547
2005-12-31,01,2005-01,2005,1,3,52.46,65.98,49.81,56.77,28.16,2082211800,0.11568938193343903,0.5211423152472399
2006-12-31,01,2006-01,2006,1,3,57.25,76.2,53.76,73.53,37.64,2293198000,0.3366477272727273,1.5164864145835726
2007-12-31,00,2007-00,2007,1,3,72.77,95.5,64.99,93.33,49.14,2511090100,0.30552603613177465,1.376293512654708
2008-12-31,00,2008-00,2008,1,2,93.96,104.63,55.5,73.97,40.14,3919468900,-0.18315018315018317,-0.8250308618621313
2009-12-31,00,2009-00,2009,1,2,74.23,79.82,56.12,76.99,43.37,3001358200,0.08046836073741903,0.36248329032456833
2010-12-31,01,2010-01,2010,1,4,78.2,92.39,66.83,91.25,53.32,2601802600,0.22942125893474752,1.0334667196768272
2011-12-31,01,2011-01,2011,1,3,91.66,110.01,86.68,106.4,64.14,2300147100,0.2029257314328583,0.9141131513953773
2012-12-31,01,2012-01,2012,1,3,108.74,118.53,95.73,108.14,67.39,1622782500,0.05067040848144688,0.22825339326073482
2013-12-31,00,2013-00,2013,1,2,110.27,127.83,108.74,124.91,80.4,1446169700,0.19305534945837666,0.8696503525750372
2014-12-31,00,2014-00,2014,1,2,124.46,135.1,100.15,112.18,74.78,1645405300,-0.06990049751243788,-0.31487856968173994
2015-12-31,00,2015-00,2015,1,2,111.63,113.0,69.58,89.96,62.69,2331549800,-0.1616742444503878,-0.7282888771693753
2016-12-31,01,2016-01,2016,1,4,89.53,119.0,75.33,117.7,85.67,2029781100,0.36656564045302287,1.6512566958451285
2017-12-31,01,2017-01,2017,1,3,118.38,126.2,102.55,125.19,94.74,1402879500,0.10587136687288434,0.4769154120148108
2018-12-31,00,2018-00,2018,1,2,125.71,133.88,100.22,108.79,85.5,1677263700,-0.09753008233058891,-0.43934069023948946
2019-12-31,00,2019-00,2019,1,2,107.34,127.34,107.1,120.51,98.56,1592796900,0.15274853801169597,0.6880815284832764
2020-12-31,00,2020-00,2020,1,2,120.81,122.72,51.6,84.45,72.98,2833820800,-0.25953733766233766,-1.1691296710382093
2021-12-31,01,2021-01,2021,1,4,85.15,119.34,83.89,117.35,106.73,2641556300,0.4624554672513017,2.0832085786468104
2022-12-31,01,2022-01,2022,1,3,117.42,189.68,117.29,179.49,169.13,2881173900,0.5846528623629719,2.633667335893146
2023-12-31,01,2023-01,2023,1,3,178.04,187.81,140.72,149.16,146.07,2161705800,-0.1363448235085437,-0.6141882323833292
