Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,47.92,48.12,35.43,43.14,19.32,367843487,,
1999-12-31,01,1999-01,1999,1,4,43.17,65.47,40.56,63.39,29.28,507944965,0.515527950310559,1.753609426669796
2000-12-31,01,2000-01,2000,1,3,63.51,67.13,32.74,52.13,24.98,590855884,-0.14685792349726778,-0.4995489359419234
2001-12-31,00,2001-00,2001,1,2,49.9,56.46,35.67,48.08,23.96,478047334,-0.04083266613290626,-0.1388955694906351
2002-12-31,00,2002-00,2002,1,2,48.39,52.66,33.67,42.27,22.0,648511645,-0.08180300500834725,-0.27825944379182216
2003-12-31,00,2003-00,2003,1,2,42.63,59.78,35.34,59.17,32.08,586987186,0.458181818181818,1.558541985955026
2004-12-31,00,2004-00,2004,1,2,59.17,73.07,51.74,70.47,39.43,589030578,0.22911471321695775,0.7793519646102005
2005-12-31,01,2005-01,2005,1,3,70.99,80.77,57.19,62.37,35.95,769358939,-0.08825767182348454,-0.3002155076021719
2006-12-31,01,2006-01,2006,1,3,62.72,64.26,46.97,56.79,34.0,876489226,-0.05424200278164126,-0.18450849724449397
2007-12-31,00,2007-00,2007,1,3,56.93,68.26,55.35,56.11,34.87,1119852013,0.025588235294117467,0.08704042253495273
2008-12-31,00,2008-00,2008,1,2,55.82,61.81,21.25,21.48,14.13,1714482935,-0.5947806137080585,-2.023193680130392
2009-12-31,00,2009-00,2009,1,2,21.61,41.99,8.38,39.32,26.83,3208232180,0.8987968860580324,3.0573292701265626
2010-12-31,01,2010-01,2010,1,4,40.14,49.1,31.91,48.59,33.85,1852336858,0.26164740961610145,0.8900145252844717
2011-12-31,01,2011-01,2011,1,3,49.09,60.1,29.33,40.93,29.38,1736746533,-0.13205317577548015,-0.4491894061652054
2012-12-31,01,2012-01,2012,1,3,41.67,51.35,39.07,46.01,34.31,1595773686,0.1678012253233494,0.5707892469389957
2013-12-31,00,2013-00,2013,1,2,46.95,64.03,42.43,63.19,48.8,1348556244,0.42232585252113064,1.436575059919198
2014-12-31,00,2014-00,2014,1,2,62.91,78.24,58.99,64.92,51.69,1636898769,0.05922131147540988,0.20144601277285945
2015-12-31,00,2015-00,2015,1,2,65.03,81.27,49.97,73.27,60.46,1859575107,0.16966531243954353,0.5771300878907278
2016-12-31,01,2016-01,2016,1,4,71.55,84.44,57.3,81.44,69.59,1232932972,0.1510089315249752,0.5136689207132333
2017-12-31,01,2017-01,2017,1,3,81.41,105.11,80.44,101.37,88.96,1123721135,0.27834458973990506,0.94681131476265
2018-12-31,00,2018-00,2018,1,2,101.86,109.71,69.58,76.12,68.36,1674370512,-0.2315647482014388,-0.7876859539542672
2019-12-31,00,2019-00,2019,1,2,74.71,85.5,61.63,64.2,58.79,1443214285,-0.13999414862492687,-0.4762012584562983
2020-12-31,00,2020-00,2020,1,2,64.8,71.55,28.33,71.11,66.59,1462649800,0.1326756251063106,0.451306717192689
2021-12-31,01,2021-01,2021,1,4,71.68,87.27,66.37,80.78,76.86,1301734000,0.1542273614656855,0.524616666766005
2022-12-31,01,2022-01,2022,1,3,81.04,85.16,49.52,68.63,66.59,753328100,-0.13361956804579755,-0.4545176143631054
2023-12-31,01,2023-01,2023,1,3,69.05,78.74,62.8,76.93,76.15,748989400,0.14356509986484456,0.4883481338152881
