Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,32.55,42.21,22.2,29.59,22.78,1535322151,,
1999-12-31,01,1999-01,1999,1,4,29.59,38.17,23.06,28.86,22.45,1813586520,-0.01448639157155407,-0.056384539110876056
2000-12-31,01,2000-01,2000,1,3,28.86,43.28,25.65,28.55,22.37,1509895283,-0.0035634743875277985,-0.013869904039368133
2001-12-31,00,2001-00,2001,1,2,28.05,34.33,15.29,20.44,16.19,1808787637,-0.27626285203397405,-1.075281826288554
2002-12-31,00,2002-00,2002,1,2,20.62,24.83,13.3,16.09,12.9,2055799588,-0.20321185917232865,-0.7909496968033988
2003-12-31,00,2003-00,2003,1,2,16.57,23.48,14.64,23.02,18.63,2069907350,0.44418604651162785,1.7288795065584088
2004-12-31,00,2004-00,2004,1,2,23.17,28.03,20.6,27.42,22.39,2107862444,0.20182501341921633,0.7855517577637925
2005-12-31,01,2005-01,2005,1,3,27.43,29.59,22.58,23.65,19.51,1851550420,-0.1286288521661455,-0.500654597794437
2006-12-31,01,2006-01,2006,1,3,23.75,34.42,23.45,33.81,28.15,2661176382,0.4428498206048179,1.7236785922015558
2007-12-31,00,2007-00,2007,1,3,33.75,36.29,30.68,32.28,27.17,2550814743,-0.03481349911190046,-0.13550255718034687
2008-12-31,00,2008-00,2008,1,2,32.32,35.02,18.6,22.69,19.39,3751199700,-0.28634523371365483,-1.1145248939179728
2009-12-31,00,2009-00,2009,1,2,22.76,32.75,15.14,32.25,27.87,3485895600,0.43733883445074784,1.7022285014174692
2010-12-31,01,2010-01,2010,1,4,32.5,38.0,28.71,37.51,32.77,3014994300,0.175816289917474,0.6843195164382442
2011-12-31,01,2011-01,2011,1,3,37.74,44.34,28.19,37.5,33.31,2978920100,0.016478486420506533,0.0641382539934626
2012-12-31,01,2012-01,2012,1,3,37.97,53.4,37.94,49.79,44.91,2231901200,0.34824377063944745,1.35544896800221
2013-12-31,00,2013-00,2013,1,2,50.8,76.54,50.18,76.4,69.76,1959189100,0.5533288799821867,2.153689807460166
2014-12-31,00,2014-00,2014,1,2,76.04,95.93,69.85,94.19,87.1,1682808300,0.24856651376146766,0.9674809801744197
2015-12-31,00,2015-00,2015,1,2,94.91,122.08,90.0,105.08,98.36,2102010400,0.12927669345579806,0.5031761527554243
2016-12-31,01,2016-01,2016,1,4,103.12,106.75,86.25,104.22,99.02,2047945300,0.0067100447336314595,0.02611711673334142
2017-12-31,01,2017-01,2017,1,3,105.3,116.1,96.2,107.51,103.74,1861528500,0.047667137951928895,0.18553202782614894
2018-12-31,00,2018-00,2018,1,2,108.95,120.2,97.68,109.65,107.48,2018079900,0.03605166763061507,0.1403218084703926
2019-12-31,00,2019-00,2019,1,2,108.1,153.41,105.94,144.63,143.5,2574885500,0.3351321176032749,1.3044152437117518
2020-12-31,00,2020-00,2020,1,2,145.29,183.4,79.07,181.18,179.76,3700664200,0.2526829268292683,0.9835030552696208
2021-12-31,01,2021-01,2021,1,4,182.26,203.02,142.04,154.89,153.68,2582444600,-0.14508233199821974,-0.5646955200986017
2022-12-31,01,2022-01,2022,1,3,155.83,160.32,84.07,86.88,86.2,3195963700,-0.4390942217595003,-1.709060893312732
2023-12-31,01,2023-01,2023,1,3,88.98,118.18,78.73,90.29,89.88,3259712600,0.042691415313224956,0.16616531208185154
