Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,37.06,45.34,31.1,42.25,24.04,386101496,,
1999-12-31,01,1999-01,1999,1,4,41.59,65.42,36.05,55.0,31.68,532594749,0.31780366056572373,1.3286373127430593
2000-12-31,01,2000-01,2000,1,3,55.0,57.68,30.63,45.11,26.41,1196887850,-0.16635101010101006,-0.6954613381081279
2001-12-31,00,2001-00,2001,1,2,44.33,51.39,21.12,32.24,19.27,1524516853,-0.27035213934115865,-1.130257402539545
2002-12-31,00,2002-00,2002,1,2,32.37,39.04,17.89,22.88,14.01,1053690915,-0.2729631551634665,-1.1411732398194094
2003-12-31,00,2003-00,2003,1,2,23.98,31.94,19.26,31.87,20.08,961366582,0.43326195574589565,1.8113321903571389
2004-12-31,00,2004-00,2004,1,2,31.51,36.67,29.77,33.76,21.74,884131048,0.08266932270916327,0.3456144796289292
2005-12-31,01,2005-01,2005,1,3,33.93,37.66,31.16,35.51,23.38,1002594353,0.0754369825206993,0.3153783362952146
2006-12-31,01,2006-01,2006,1,3,35.48,43.64,33.6,43.13,29.02,966925597,0.24123182207014549,1.0085144999678397
2007-12-31,00,2007-00,2007,1,3,42.92,59.39,41.13,58.7,40.23,1276213129,0.3862853204686423,1.6149376291825581
2008-12-31,00,2008-00,2008,1,2,58.65,60.05,22.16,31.3,22.0,1615356548,-0.4531444195873726,-1.8944545284762995
2009-12-31,00,2009-00,2009,1,2,31.39,39.61,21.98,37.37,27.22,1644934581,0.2372727272727273,0.9919627677971875
2010-12-31,01,2010-01,2010,1,4,37.76,51.23,34.97,50.68,37.96,1402291000,0.3945628214548127,1.6495432616252943
2011-12-31,01,2011-01,2011,1,3,51.0,59.38,39.3,51.82,39.82,1281360554,0.04899894625922019,0.20484920837350906
2012-12-31,01,2012-01,2012,1,3,52.7,61.48,49.78,60.51,47.73,933958324,0.19864389753892508,0.8304677603433193
2013-12-31,00,2013-00,2013,1,2,61.65,87.29,61.17,87.11,70.17,786349446,0.47014456316781916,1.9655267906483695
2014-12-31,00,2014-00,2014,1,2,86.72,97.62,79.02,95.26,78.28,746631272,0.11557645717543119,0.4831888758127479
2015-12-31,00,2015-00,2015,1,2,95.53,102.4,82.94,98.74,82.82,814531388,0.05799693408277973,0.24246697004657367
2016-12-31,01,2016-01,2016,1,4,96.88,114.42,89.34,111.04,95.19,883847702,0.14936005795701535,0.6244275024457019
2017-12-31,01,2017-01,2017,1,3,111.78,150.19,110.76,146.99,128.61,714744629,0.35108729908603853,1.467785754152522
2018-12-31,00,2018-00,2018,1,2,147.43,162.52,123.48,132.12,117.98,783810011,-0.0826529818832129,-0.3455461637667392
2019-12-31,00,2019-00,2019,1,2,130.19,183.12,129.07,177.0,161.27,678781300,0.3669265977284286,1.5340048881502182
2020-12-31,00,2020-00,2020,1,2,177.5,216.7,101.08,212.7,198.32,879189000,0.22973894710733544,0.9604663985737337
2021-12-31,01,2021-01,2021,1,4,212.84,236.86,194.55,208.51,197.73,683084800,-0.0029749899152884396,-0.01243749867276653
2022-12-31,01,2022-01,2022,1,3,207.86,221.89,166.63,214.3,207.43,787950200,0.04905679461892487,0.20509105420073398
2023-12-31,01,2023-01,2023,1,3,215.15,217.22,174.88,209.71,207.47,697576500,0.00019283613749210282,0.0008061873392558766
